date,p1,p2,p3
07/1963,1844,,129
08/1963,1846,,129
09/1963,1845,,129
10/1963,1845,,129
11/1963,1845,,129
12/1963,1851,,129
01/1964,1841,,129
02/1964,1856,,129
03/1964,1858,,129
04/1964,1864,,129
05/1964,1878,,129
06/1964,1880,,129
07/1964,1925,,88
08/1964,1934,,88
09/1964,1942,,88
10/1964,1941,,88
11/1964,1945,,88
12/1964,1947,,88
01/1965,1949,,88
02/1965,1952,,88
03/1965,1957,,88
04/1965,1957,,88
05/1965,1963,,88
06/1965,1967,,88
07/1965,1869,,191
08/1965,1878,,191
09/1965,1883,,191
10/1965,1876,,191
11/1965,1876,,191
12/1965,1883,,190
01/1966,1871,,190
02/1966,1884,,191
03/1966,1885,,191
04/1966,1881,,191
05/1966,1874,,191
06/1966,1884,,190
07/1966,1904,,169
08/1966,1919,,170
09/1966,1922,,169
10/1966,1926,,169
11/1966,1929,,169
12/1966,1930,,169
01/1967,1923,,169
02/1967,1927,,169
03/1967,1929,,169
04/1967,1926,,169
05/1967,1928,,169
06/1967,1924,,169
07/1967,1924,,169
08/1967,1918,,168
09/1967,1920,,167
10/1967,1919,,167
11/1967,1923,,168
12/1967,1924,,167
01/1968,1919,,167
02/1968,1910,,167
03/1968,1914,,167
04/1968,1922,,166
05/1968,1927,,166
06/1968,1929,,166
07/1968,1982,,106
08/1968,1971,,106
09/1968,1982,,107
10/1968,1984,,105
11/1968,1987,,105
12/1968,1995,,104
01/1969,1998,,104
02/1969,1998,,104
03/1969,2012,,104
04/1969,2018,,103
05/1969,2035,,103
06/1969,2043,,103
07/1969,1972,,185
08/1969,1982,,185
09/1969,1998,,185
10/1969,2007,,183
11/1969,2012,,184
12/1969,2020,,184
01/1970,2026,,184
02/1970,2036,,183
03/1970,2056,,183
04/1970,2064,,184
05/1970,2066,,183
06/1970,2074,,181
07/1970,2099,,155
08/1970,2104,,156
09/1970,2108,,156
10/1970,2115,,157
11/1970,2125,,156
12/1970,2133,,156
01/1971,2131,,156
02/1971,2139,,156
03/1971,2141,,156
04/1971,2142,,156
05/1971,2148,,155
06/1971,2154,,156
07/1971,2213,,102
08/1971,2225,,101
09/1971,2238,,102
10/1971,2252,,101
11/1971,2262,,101
12/1971,2276,,101
01/1972,2288,,101
02/1972,2301,,100
03/1972,2311,,100
04/1972,2321,,100
05/1972,2333,,100
06/1972,2339,,99
07/1972,2221,,220
08/1972,2231,,219
09/1972,2242,,220
10/1972,2252,,221
11/1972,2261,,221
12/1972,2278,,221
01/1973,5153,,221
02/1973,5177,,221
03/1973,5173,,221
04/1973,5128,,220
05/1973,5092,,219
06/1973,5027,,217
07/1973,4840,,361
08/1973,4807,,359
09/1973,4763,,357
10/1973,4716,,358
11/1973,4720,,354
12/1973,4629,,354
01/1974,4539,,352
02/1974,4522,,352
03/1974,4503,,349
04/1974,4496,,350
05/1974,4484,,349
06/1974,4457,,347
07/1974,4426,,357
08/1974,4402,,356
09/1974,4358,,353
10/1974,4326,,352
11/1974,4234,,406
12/1974,4254,,351
01/1975,4221,,351
02/1975,4207,,352
03/1975,4217,,352
04/1975,4223,,352
05/1975,4243,,349
06/1975,4226,,349
07/1975,4199,,398
08/1975,4205,,395
09/1975,4227,,394
10/1975,4221,,394
11/1975,4230,,392
12/1975,4211,,394
01/1976,4222,,393
02/1976,4158,,384
03/1976,4225,,392
04/1976,4199,,388
05/1976,4225,,391
06/1976,4238,,390
07/1976,4211,,424
08/1976,4234,,426
09/1976,4017,,391
10/1976,4266,,421
11/1976,4252,,418
12/1976,4273,,421
01/1977,4268,,420
02/1977,4215,,412
03/1977,4251,,417
04/1977,4246,,415
05/1977,4258,,415
06/1977,4254,,412
07/1977,3801,,867
08/1977,3788,,862
09/1977,3774,,859
10/1977,3764,,857
11/1977,3760,,856
12/1977,3753,,855
01/1978,3747,,852
02/1978,3721,,850
03/1978,3721,,848
04/1978,3696,,848
05/1978,3723,,844
06/1978,3712,,838
07/1978,3964,,565
08/1978,3961,,566
09/1978,3957,,560
10/1978,3975,,558
11/1978,3977,,555
12/1978,3974,,555
01/1979,3974,,555
02/1979,3963,,553
03/1979,3954,,549
04/1979,3968,,547
05/1979,3963,,543
06/1979,3962,,543
07/1979,3971,,530
08/1979,3972,,527
09/1979,3971,,520
10/1979,3974,,518
11/1979,3981,,519
12/1979,3989,,516
01/1980,3985,,516
02/1980,3994,,507
03/1980,4005,,506
04/1980,4007,,503
05/1980,4004,,500
06/1980,4012,,497
07/1980,4068,,462
08/1980,4088,,464
09/1980,4096,,462
10/1980,4118,,459
11/1980,4161,,456
12/1980,4175,,452
01/1981,4217,,452
02/1981,4243,,449
03/1981,4256,,447
04/1981,4288,,445
05/1981,4341,,445
06/1981,4393,,445
07/1981,4534,,351
08/1981,4596,,350
09/1981,4625,,344
10/1981,4621,,340
11/1981,4666,,338
12/1981,4694,,339
01/1982,4693,,335
02/1982,4708,,335
03/1982,4716,,333
04/1982,4693,,333
05/1982,4681,,331
06/1982,4679,,330
07/1982,4618,,381
08/1982,4605,,381
09/1982,4606,,379
10/1982,4580,,380
11/1982,4544,,376
12/1982,4604,,376
01/1983,4613,,374
02/1983,4608,,370
03/1983,4622,,370
04/1983,4665,,372
05/1983,4686,,373
06/1983,4728,,373
07/1983,4892,,265
08/1983,4964,,264
09/1983,5042,,261
10/1983,5093,,260
11/1983,5165,,262
12/1983,5245,,260
01/1984,5327,,258
02/1984,5359,,254
03/1984,5396,,253
04/1984,5437,,253
05/1984,5456,,253
06/1984,5484,,253
07/1984,5315,,425
08/1984,5329,,422
09/1984,5333,,420
10/1984,5299,,421
11/1984,5294,,416
12/1984,5288,,413
01/1985,5294,,411
02/1985,5283,,408
03/1985,5276,,405
04/1985,5266,,405
05/1985,5265,,404
06/1985,5253,,403
07/1985,5093,,562
08/1985,5100,,556
09/1985,5096,,550
10/1985,5102,,546
11/1985,5120,,543
12/1985,5131,,538
01/1986,5127,,538
02/1986,5112,,539
03/1986,5117,,537
04/1986,5134,,534
05/1986,5142,,531
06/1986,5192,,526
07/1986,5528,,251
08/1986,5577,,250
09/1986,5603,,253
10/1986,5628,,252
11/1986,5661,,250
12/1986,5692,,246
01/1987,5687,,239
02/1987,5695,,236
03/1987,5758,,236
04/1987,5799,,234
05/1987,5827,,233
06/1987,5880,,232
07/1987,5829,,344
08/1987,5869,,343
09/1987,5910,,342
10/1987,5955,,340
11/1987,5939,,337
12/1987,5914,,334
01/1988,5896,,332
02/1988,5876,,331
03/1988,5843,,329
04/1988,5828,,328
05/1988,5811,,324
06/1988,5790,,320
07/1988,5507,,595
08/1988,5496,,594
09/1988,5478,,588
10/1988,5452,,586
11/1988,5453,,582
12/1988,5423,,576
01/1989,5387,,573
02/1989,5376,,571
03/1989,5353,,569
04/1989,5327,,568
05/1989,5317,,565
06/1989,5298,,559
07/1989,4219,,1609
08/1989,4234,,1596
09/1989,4218,,1586
10/1989,4197,,1577
11/1989,4190,,1575
12/1989,4195,,1563
01/1990,4211,,1555
02/1990,4208,,1545
03/1990,4206,,1538
04/1990,4214,,1535
05/1990,4212,,1532
06/1990,4212,,1523
07/1990,3988,,1739
08/1990,3983,,1738
09/1990,3980,,1724
10/1990,3975,,1719
11/1990,3954,,1717
12/1990,3938,,1705
01/1991,3932,,1697
02/1991,3913,,1691
03/1991,3903,,1688
04/1991,3881,,1687
05/1991,3882,,1683
06/1991,3887,,1679
07/1991,3821,,1777
08/1991,3831,,1765
09/1991,3851,,1762
10/1991,3864,,1757
11/1991,3891,,1753
12/1991,3925,,1742
01/1992,3923,,1741
02/1992,3953,,1733
03/1992,3976,,1727
04/1992,4031,,1721
05/1992,4048,,1716
06/1992,4035,,1710
07/1992,3961,,1775
08/1992,3969,,1759
09/1992,3980,,1746
10/1992,3976,,1745
11/1992,4006,,1728
12/1992,4023,,1722
01/1993,4058,,1719
02/1993,4072,,1711
03/1993,4107,,1708
04/1993,4155,,1704
05/1993,4192,,1697
06/1993,4238,,1690
07/1993,3921,,2058
08/1993,3966,,2050
09/1993,4006,,2049
10/1993,4057,,2041
11/1993,4124,,2033
12/1993,4225,,2013
01/1994,4314,,2005
02/1994,4351,,1998
03/1994,4397,,1990
04/1994,4460,,1988
05/1994,4498,,1977
06/1994,4554,,1976
07/1994,4499,,2062
08/1994,4518,,2050
09/1994,4537,,2048
10/1994,4551,,2036
11/1994,4571,,2040
12/1994,4620,,2009
01/1995,4633,,1996
02/1995,4624,,1990
03/1995,4639,,1985
04/1995,4653,,1972
05/1995,4682,,1963
06/1995,4692,,1952
07/1995,4410,,2251
08/1995,4448,,2240
09/1995,4492,,2230
10/1995,4513,,2219
11/1995,4564,,2209
12/1995,4627,,2181
01/1996,4690,,2168
02/1996,4690,,2156
03/1996,4731,,2146
04/1996,4797,,2133
05/1996,4858,,2120
06/1996,4944,,2105
07/1996,4887,,2223
08/1996,4947,,2206
09/1996,4997,,2184
10/1996,5016,,2188
11/1996,5098,,2177
12/1996,5166,,2155
01/1997,5196,,2129
02/1997,5207,,2122
03/1997,5231,,2107
04/1997,5237,,2097
05/1997,5256,,2089
06/1997,5261,,2080
07/1997,4945,,2403
08/1997,4980,,2367
09/1997,4963,,2362
10/1997,4977,,2342
11/1997,5020,,2318
12/1997,5077,,2289
01/1998,5063,,2257
02/1998,5050,,2244
03/1998,5049,,2228
04/1998,5039,,2202
05/1998,5049,,2187
06/1998,5066,,2167
07/1998,4815,,2395
08/1998,4819,,2371
09/1998,4788,,2369
10/1998,4729,,2350
11/1998,4662,,2319
12/1998,4643,,2300
01/1999,4596,,2280
02/1999,4573,,2256
03/1999,4550,,2238
04/1999,4505,,2212
05/1999,4499,,2195
06/1999,4506,,2178
07/1999,4538,,2133
08/1999,4556,,2100
09/1999,4556,,2066
10/1999,4546,,2049
11/1999,4565,,2026
12/1999,4558,,2005
01/2000,4563,,1985
02/2000,4543,,1967
03/2000,4568,,1950
04/2000,4577,,1924
05/2000,4614,,1906
06/2000,4617,,1887
07/2000,4392,,2080
08/2000,4418,,2057
09/2000,4438,,2043
10/2000,4432,,2016
11/2000,4403,,1986
12/2000,4364,,1963
01/2001,4311,,1947
02/2001,4260,,1926
03/2001,4220,,1913
04/2001,4177,,1898
05/2001,4115,,1877
06/2001,4073,,1862
07/2001,3856,,2012
08/2001,3813,,1996
09/2001,3751,,1981
10/2001,3725,,1965
11/2001,3701,,1953
12/2001,3661,,1931
01/2002,3641,,1915
02/2002,3612,,1903
03/2002,3586,,1890
04/2002,3557,,1879
05/2002,3528,,1871
06/2002,3506,,1861
07/2002,3742,,1608
08/2002,3716,,1600
09/2002,3674,,1592
10/2002,3641,,1594
11/2002,3611,,1581
12/2002,3598,,1574
01/2003,3569,,1568
02/2003,3541,,1559
03/2003,3510,,1550
04/2003,3466,,1541
05/2003,3435,,1538
06/2003,3420,,1532
07/2003,2958,,1961
08/2003,2940,,1951
09/2003,2927,,1938
10/2003,2919,,1932
11/2003,2911,,1920
12/2003,2914,,1912
01/2004,2914,,1902
02/2004,2921,,1889
03/2004,2927,,1881
04/2004,2929,,1874
05/2004,2922,,1866
06/2004,2928,,1855
07/2004,2780,,2000
08/2004,2790,,1987
09/2004,2785,,1986
10/2004,2782,,1985
11/2004,2783,,1979
12/2004,2793,,1962
01/2005,2802,,1951
02/2005,2800,,1946
03/2005,2807,,1940
04/2005,2808,,1929
05/2005,2812,,1921
06/2005,2814,,1910
07/2005,2301,,2427
08/2005,2317,,2408
09/2005,2320,,2398
10/2005,2324,,2391
11/2005,2336,,2375
12/2005,2350,,2353
01/2006,2356,,2331
02/2006,2344,,2320
03/2006,2347,,2312
04/2006,2353,,2300
05/2006,2364,,2290
06/2006,2374,,2279
07/2006,2358,,2299
08/2006,2358,,2291
09/2006,2361,,2282
10/2006,2370,,2272
11/2006,2385,,2258
12/2006,2403,,2233
01/2007,2414,,2211
02/2007,2415,,2189
03/2007,2419,,2181
04/2007,2428,,2164
05/2007,2435,,2145
06/2007,2456,,2133
07/2007,2440,,2149
08/2007,2449,,2135
09/2007,2464,,2112
10/2007,2455,,2096
11/2007,2467,,2084
12/2007,2483,,2052
01/2008,2499,,2037
02/2008,2499,,2029
03/2008,2500,,2017
04/2008,2487,,2006
05/2008,2467,,2001
06/2008,2457,,1992
07/2008,2609,,1826
08/2008,2594,,1815
