date,p1,p2,p3
07/1963,1,,
08/1963,1,,
09/1963,1,,
10/1963,1,,
11/1963,1,,
12/1963,1,,
01/1964,1,,
02/1964,1,,
03/1964,1,,
04/1964,1,,
05/1964,1,,
06/1964,1,,
07/1964,13,11,11
08/1964,13,11,11
09/1964,13,11,11
10/1964,13,11,11
11/1964,13,11,11
12/1964,13,11,11
01/1965,13,11,11
02/1965,13,11,11
03/1965,13,11,11
04/1965,13,11,11
05/1965,13,11,11
06/1965,13,11,11
07/1965,31,28,31
08/1965,31,28,31
09/1965,31,28,31
10/1965,31,28,31
11/1965,31,28,31
12/1965,31,28,30
01/1966,31,28,30
02/1966,31,28,31
03/1966,31,28,31
04/1966,31,28,31
05/1966,31,28,31
06/1966,31,28,31
07/1966,47,47,42
08/1966,47,47,42
09/1966,47,47,42
10/1966,47,47,42
11/1966,47,47,42
12/1966,47,47,42
01/1967,47,47,42
02/1967,47,47,42
03/1967,47,47,42
04/1967,47,47,42
05/1967,47,47,41
06/1967,47,47,41
07/1967,54,50,61
08/1967,54,49,62
09/1967,54,49,62
10/1967,54,49,62
11/1967,54,49,62
12/1967,54,49,61
01/1968,54,49,62
02/1968,52,49,61
03/1968,52,49,62
04/1968,52,49,62
05/1968,52,49,62
06/1968,51,49,62
07/1968,90,60,82
08/1968,90,60,80
09/1968,90,60,80
10/1968,90,60,80
11/1968,90,60,80
12/1968,90,60,80
01/1969,90,60,80
02/1969,90,59,80
03/1969,90,59,80
04/1969,89,59,79
05/1969,88,59,79
06/1969,89,59,79
07/1969,102,66,105
08/1969,102,66,105
09/1969,102,66,105
10/1969,101,66,104
11/1969,102,66,104
12/1969,102,66,104
01/1970,102,66,104
02/1970,102,65,103
03/1970,102,66,105
04/1970,101,66,105
05/1970,101,66,105
06/1970,101,66,105
07/1970,143,94,153
08/1970,144,94,153
09/1970,144,94,153
10/1970,144,94,153
11/1970,143,94,153
12/1970,143,94,153
01/1971,143,93,153
02/1971,143,93,153
03/1971,143,93,152
04/1971,143,93,152
05/1971,143,93,152
06/1971,142,93,151
07/1971,518,405,487
08/1971,516,405,487
09/1971,516,405,487
10/1971,517,405,487
11/1971,517,405,487
12/1971,517,405,487
01/1972,516,405,487
02/1972,515,405,486
03/1972,515,405,486
04/1972,514,405,486
05/1972,514,405,486
06/1972,513,405,485
07/1972,623,486,589
08/1972,621,485,589
09/1972,620,481,587
10/1972,620,480,585
11/1972,619,481,584
12/1972,620,481,583
01/1973,619,480,583
02/1973,619,480,582
03/1973,618,479,580
04/1973,614,478,580
05/1973,614,477,579
06/1973,609,476,576
07/1973,656,494,601
08/1973,653,493,600
09/1973,652,493,599
10/1973,650,491,598
11/1973,651,488,597
12/1973,650,487,595
01/1974,649,488,594
02/1974,643,488,591
03/1974,643,487,585
04/1974,641,486,586
05/1974,639,486,583
06/1974,635,485,583
07/1974,869,625,778
08/1974,866,621,776
09/1974,860,620,771
10/1974,847,618,768
11/1974,854,615,764
12/1974,854,615,758
01/1975,854,613,757
02/1975,853,612,754
03/1975,853,612,753
04/1975,852,609,753
05/1975,851,607,752
06/1975,847,607,748
07/1975,1120,816,1011
08/1975,1121,814,1007
09/1975,1121,813,1008
10/1975,1117,813,1003
11/1975,1119,809,1004
12/1975,1113,807,1002
01/1976,1110,804,997
02/1976,1082,790,977
03/1976,1106,803,990
04/1976,1084,797,976
05/1976,1094,799,982
06/1976,1095,798,977
07/1976,1215,805,1137
08/1976,1213,804,1139
09/1976,1127,759,1062
10/1976,1211,803,1130
11/1976,1198,798,1121
12/1976,1205,800,1126
01/1977,1200,797,1124
02/1977,1182,784,1108
03/1977,1190,791,1121
04/1977,1187,785,1118
05/1977,1182,787,1117
06/1977,1177,783,1114
07/1977,1201,850,1075
08/1977,1194,850,1069
09/1977,1187,848,1062
10/1977,1180,846,1054
11/1977,1178,845,1045
12/1977,1179,844,1039
01/1978,1176,838,1037
02/1978,1168,827,1030
03/1978,1168,826,1025
04/1978,1164,822,1020
05/1978,1160,816,1021
06/1978,1154,814,1010
07/1978,1081,777,1138
08/1978,1079,770,1136
09/1978,1069,767,1127
10/1978,1067,767,1116
11/1978,1060,767,1115
12/1978,1057,762,1110
01/1979,1048,764,1105
02/1979,1034,760,1102
03/1979,1028,757,1096
04/1979,1026,752,1094
05/1979,1024,752,1083
06/1979,1019,751,1072
07/1979,1110,711,1062
08/1979,1102,711,1054
09/1979,1099,703,1050
10/1979,1096,701,1043
11/1979,1092,702,1042
12/1979,1083,701,1041
01/1980,1077,696,1031
02/1980,1067,690,1018
03/1980,1064,685,1016
04/1980,1060,683,1003
05/1980,1058,680,1000
06/1980,1061,675,994
07/1980,1021,771,992
08/1980,1020,771,989
09/1980,1014,767,985
10/1980,1002,761,980
11/1980,1002,758,981
12/1980,994,755,972
01/1981,991,752,971
02/1981,986,745,965
03/1981,978,743,957
04/1981,972,740,950
05/1981,967,737,944
06/1981,962,735,937
07/1981,998,708,1050
08/1981,994,709,1042
09/1981,986,707,1034
10/1981,977,703,1019
11/1981,980,699,1021
12/1981,975,700,1018
01/1982,964,698,1010
02/1982,962,695,1007
03/1982,957,693,1000
04/1982,949,687,995
05/1982,945,682,993
06/1982,942,679,985
07/1982,1021,641,1047
08/1982,1011,637,1040
09/1982,1014,641,1031
10/1982,1007,637,1021
11/1982,997,633,1013
12/1982,997,630,1012
01/1983,988,626,1005
02/1983,975,619,998
03/1983,970,616,997
04/1983,966,615,991
05/1983,960,614,984
06/1983,955,612,982
07/1983,1191,693,980
08/1983,1189,689,975
09/1983,1184,684,967
10/1983,1176,683,960
11/1983,1168,680,956
12/1983,1167,678,953
01/1984,1156,675,950
02/1984,1146,673,942
03/1984,1130,667,935
04/1984,1121,666,933
05/1984,1120,663,929
06/1984,1111,659,922
07/1984,1184,725,1073
08/1984,1175,726,1065
09/1984,1166,720,1056
10/1984,1149,714,1048
11/1984,1137,711,1041
12/1984,1119,704,1030
01/1985,1109,699,1022
02/1985,1094,693,1015
03/1985,1087,690,1007
04/1985,1078,683,1004
05/1985,1071,682,998
06/1985,1061,679,985
07/1985,1321,686,1038
08/1985,1313,683,1029
09/1985,1303,675,1018
10/1985,1295,671,1007
11/1985,1285,664,999
12/1985,1276,659,990
01/1986,1255,656,986
02/1986,1250,653,978
03/1986,1241,652,973
04/1986,1232,652,962
05/1986,1220,647,955
06/1986,1203,644,947
07/1986,1374,736,1009
08/1986,1363,729,1001
09/1986,1353,725,987
10/1986,1334,720,980
11/1986,1313,711,967
12/1986,1296,702,956
01/1987,1268,690,938
02/1987,1258,686,935
03/1987,1256,685,929
04/1987,1248,681,922
05/1987,1245,675,916
06/1987,1235,673,914
07/1987,1189,749,1107
08/1987,1177,744,1101
09/1987,1167,742,1088
10/1987,1152,736,1084
11/1987,1144,728,1072
12/1987,1131,727,1057
01/1988,1125,722,1043
02/1988,1116,716,1041
03/1988,1105,714,1028
04/1988,1098,710,1022
05/1988,1092,701,1011
06/1988,1075,695,1008
07/1988,1297,751,1069
08/1988,1287,746,1060
09/1988,1282,736,1047
10/1988,1272,730,1039
11/1988,1263,722,1036
12/1988,1245,717,1027
01/1989,1232,715,1011
02/1989,1223,709,998
03/1989,1215,703,987
04/1989,1208,700,976
05/1989,1199,698,969
06/1989,1179,693,963
07/1989,1312,731,1123
08/1989,1301,726,1115
09/1989,1287,722,1105
10/1989,1276,716,1092
11/1989,1265,717,1087
12/1989,1254,714,1077
01/1990,1244,712,1067
02/1990,1233,707,1060
03/1990,1226,704,1050
04/1990,1217,703,1043
05/1990,1210,698,1034
06/1990,1194,692,1026
07/1990,1247,743,1189
08/1990,1238,742,1182
09/1990,1224,736,1177
10/1990,1216,734,1172
11/1990,1200,732,1166
12/1990,1185,731,1164
01/1991,1177,728,1154
02/1991,1170,725,1144
03/1991,1160,720,1137
04/1991,1148,718,1126
05/1991,1139,712,1122
06/1991,1129,708,1115
07/1991,1245,716,1199
08/1991,1229,710,1191
09/1991,1221,706,1184
10/1991,1218,704,1178
11/1991,1213,702,1166
12/1991,1200,699,1161
01/1992,1188,697,1151
02/1992,1176,695,1143
03/1992,1166,693,1132
04/1992,1155,690,1128
05/1992,1147,688,1119
06/1992,1130,681,1105
07/1992,1206,790,1094
08/1992,1190,786,1080
09/1992,1175,780,1069
10/1992,1171,774,1057
11/1992,1163,770,1045
12/1992,1153,767,1039
01/1993,1147,767,1033
02/1993,1146,763,1026
03/1993,1140,760,1021
04/1993,1134,760,1012
05/1993,1129,756,1005
06/1993,1129,754,999
07/1993,1329,771,1016
08/1993,1321,768,1011
09/1993,1314,765,1006
10/1993,1309,760,998
11/1993,1304,758,995
12/1993,1298,756,987
01/1994,1292,753,981
02/1994,1290,752,975
03/1994,1278,749,971
04/1994,1278,748,966
05/1994,1266,743,961
06/1994,1262,740,954
07/1994,1292,908,1134
08/1994,1282,904,1126
09/1994,1277,895,1119
10/1994,1275,890,1113
11/1994,1269,886,1103
12/1994,1259,880,1098
01/1995,1250,874,1083
02/1995,1244,871,1078
03/1995,1240,867,1069
04/1995,1226,863,1060
05/1995,1219,860,1056
06/1995,1211,850,1052
07/1995,1476,879,1216
08/1995,1463,876,1205
09/1995,1452,873,1198
10/1995,1440,869,1188
11/1995,1433,864,1177
12/1995,1425,856,1170
01/1996,1415,852,1162
02/1996,1395,847,1156
03/1996,1386,845,1145
04/1996,1378,837,1140
05/1996,1366,831,1138
06/1996,1355,822,1128
07/1996,1474,905,1384
08/1996,1467,899,1374
09/1996,1458,890,1357
10/1996,1450,886,1352
11/1996,1442,883,1342
12/1996,1434,876,1334
01/1997,1422,868,1325
02/1997,1413,863,1315
03/1997,1404,857,1306
04/1997,1393,852,1294
05/1997,1382,847,1285
06/1997,1371,842,1275
07/1997,1570,985,1381
08/1997,1558,976,1360
09/1997,1546,966,1343
10/1997,1537,958,1335
11/1997,1523,948,1320
12/1997,1513,942,1312
01/1998,1491,931,1296
02/1998,1480,922,1280
03/1998,1467,917,1263
04/1998,1450,904,1254
05/1998,1441,896,1247
06/1998,1429,886,1236
07/1998,1696,1011,1412
08/1998,1677,1003,1395
09/1998,1656,997,1383
10/1998,1629,987,1360
11/1998,1595,965,1338
12/1998,1569,959,1328
01/1999,1546,949,1307
02/1999,1523,944,1284
03/1999,1506,929,1268
04/1999,1481,918,1241
05/1999,1465,906,1227
06/1999,1443,904,1212
07/1999,1506,1070,1370
08/1999,1489,1054,1352
09/1999,1477,1035,1332
10/1999,1457,1020,1307
11/1999,1442,1009,1290
12/1999,1418,993,1273
01/2000,1408,981,1261
02/2000,1396,973,1252
03/2000,1382,963,1238
04/2000,1367,950,1225
05/2000,1352,941,1214
06/2000,1338,926,1203
07/2000,1466,893,1340
08/2000,1454,884,1333
09/2000,1439,874,1312
10/2000,1418,865,1295
11/2000,1394,853,1268
12/2000,1372,844,1258
01/2001,1355,830,1241
02/2001,1334,821,1224
03/2001,1323,813,1215
04/2001,1312,802,1201
05/2001,1295,796,1172
06/2001,1271,788,1156
07/2001,1435,801,1316
08/2001,1415,797,1287
09/2001,1378,791,1262
10/2001,1364,785,1249
11/2001,1349,777,1239
12/2001,1331,764,1231
01/2002,1318,757,1217
02/2002,1311,751,1207
03/2002,1296,741,1198
04/2002,1282,736,1186
05/2002,1268,730,1179
06/2002,1255,723,1169
07/2002,1371,925,1242
08/2002,1358,919,1231
09/2002,1344,914,1212
10/2002,1330,911,1202
11/2002,1312,900,1189
12/2002,1301,893,1178
01/2003,1285,885,1169
02/2003,1273,873,1154
03/2003,1262,869,1140
04/2003,1242,859,1127
05/2003,1225,854,1121
06/2003,1216,849,1114
07/2003,1409,910,1130
08/2003,1396,903,1116
09/2003,1388,898,1097
10/2003,1378,890,1091
11/2003,1367,884,1079
12/2003,1357,881,1070
01/2004,1350,875,1059
02/2004,1343,871,1051
03/2004,1330,865,1048
04/2004,1327,862,1037
05/2004,1319,860,1027
06/2004,1311,853,1020
07/2004,1364,877,1242
08/2004,1351,878,1233
09/2004,1342,876,1226
10/2004,1336,869,1222
11/2004,1332,861,1215
12/2004,1322,854,1211
01/2005,1311,847,1203
02/2005,1305,842,1198
03/2005,1300,835,1192
04/2005,1291,827,1188
05/2005,1282,825,1177
06/2005,1273,822,1169
07/2005,1300,878,1225
08/2005,1286,875,1215
09/2005,1272,868,1199
10/2005,1262,865,1189
11/2005,1254,859,1175
12/2005,1250,850,1162
01/2006,1235,840,1152
02/2006,1224,835,1140
03/2006,1218,831,1131
04/2006,1215,826,1118
05/2006,1208,820,1112
06/2006,1202,812,1104
07/2006,1242,964,1172
08/2006,1238,954,1166
09/2006,1230,949,1159
10/2006,1220,946,1153
11/2006,1210,942,1145
12/2006,1202,932,1137
01/2007,1192,928,1125
02/2007,1180,916,1115
03/2007,1174,911,1110
04/2007,1166,904,1099
05/2007,1158,899,1085
06/2007,1145,895,1073
07/2007,1220,857,1211
08/2007,1210,850,1204
09/2007,1200,845,1186
10/2007,1189,839,1179
11/2007,1173,832,1171
12/2007,1162,822,1154
01/2008,1148,813,1148
02/2008,1147,809,1138
03/2008,1141,807,1131
04/2008,1128,800,1127
05/2008,1115,797,1114
06/2008,1104,790,1104
07/2008,1215,810,1196
08/2008,1204,806,1182
09/2008,1186,801,1172
10/2008,1175,798,1166
11/2008,1159,788,1154
12/2008,1154,780,1145
01/2009,1146,773,1135
02/2009,1136,770,1128
03/2009,1125,765,1123
04/2009,1114,762,1113
05/2009,1108,753,1102
06/2009,1098,746,1095
07/2009,1280,844,1035
08/2009,1272,836,1025
09/2009,1266,834,1017
10/2009,1260,828,1011
11/2009,1252,816,1000
12/2009,1240,810,987
01/2010,1233,805,973
02/2010,1225,801,967
03/2010,1219,796,961
04/2010,1211,791,955
05/2010,1205,787,950
06/2010,1202,784,945
07/2010,1056,853,1129
08/2010,1048,845,1115
09/2010,1041,841,1109
10/2010,1030,838,1100
11/2010,1020,833,1092
12/2010,1011,824,1085
01/2011,1005,813,1073
02/2011,998,809,1069
03/2011,993,804,1061
04/2011,987,801,1052
05/2011,981,799,1041
06/2011,975,791,1034
07/2011,1026,793,1041
08/2011,1021,789,1037
09/2011,1016,785,1030
10/2011,1013,783,1027
11/2011,1008,777,1017
12/2011,998,772,1011
01/2012,991,766,1004
02/2012,981,764,1002
03/2012,973,759,997
04/2012,963,757,995
05/2012,956,750,992
06/2012,949,749,988
07/2012,1051,759,999
08/2012,1044,755,989
09/2012,1035,751,985
10/2012,1025,750,976
11/2012,1015,745,972
12/2012,1008,742,970
01/2013,999,735,962
02/2013,993,732,960
03/2013,987,729,955
04/2013,983,724,949
05/2013,977,717,944
06/2013,975,713,937
07/2013,1062,705,957
08/2013,1056,700,952
09/2013,1051,697,946
10/2013,1045,694,943
11/2013,1036,690,938
12/2013,1032,686,927
01/2014,1025,684,923
02/2014,1023,676,918
03/2014,1016,672,911
04/2014,1011,672,908
05/2014,1007,669,904
06/2014,1002,667,902
07/2014,879,726,1085
08/2014,874,724,1078
09/2014,868,720,1076
10/2014,865,717,1072
