date,p1,p2,p3
07/1963,276,272,272
08/1963,277,272,272
09/1963,277,272,272
10/1963,277,272,272
11/1963,275,272,272
12/1963,277,272,270
01/1964,276,272,271
02/1964,277,271,272
03/1964,276,271,272
04/1964,277,272,271
05/1964,277,272,272
06/1964,277,272,272
07/1964,335,322,307
08/1964,337,322,306
09/1964,337,322,307
10/1964,337,322,306
11/1964,337,322,307
12/1964,337,322,307
01/1965,337,322,307
02/1965,337,322,307
03/1965,336,322,307
04/1965,337,322,307
05/1965,337,322,307
06/1965,336,322,307
07/1965,383,348,337
08/1965,383,348,337
09/1965,383,348,337
10/1965,382,348,337
11/1965,382,348,337
12/1965,381,347,337
01/1966,380,345,335
02/1966,382,348,337
03/1966,382,348,337
04/1966,383,347,337
05/1966,383,344,337
06/1966,383,346,337
07/1966,435,388,365
08/1966,435,389,365
09/1966,435,389,365
10/1966,434,389,365
11/1966,434,389,365
12/1966,434,389,365
01/1967,434,389,365
02/1967,433,389,365
03/1967,434,389,365
04/1967,434,389,365
05/1967,433,389,365
06/1967,433,389,364
07/1967,535,466,430
08/1967,535,466,429
09/1967,533,465,429
10/1967,532,466,430
11/1967,530,466,430
12/1967,530,465,429
01/1968,531,465,430
02/1968,529,465,427
03/1968,529,465,428
04/1968,528,465,428
05/1968,527,465,428
06/1968,527,462,428
07/1968,572,491,455
08/1968,571,489,454
09/1968,571,489,454
10/1968,570,488,453
11/1968,569,488,453
12/1968,570,489,452
01/1969,570,488,452
02/1969,568,487,451
03/1969,568,487,451
04/1969,568,484,450
05/1969,566,484,451
06/1969,566,485,452
07/1969,615,539,496
08/1969,612,539,496
09/1969,612,538,496
10/1969,613,537,494
11/1969,612,536,496
12/1969,612,537,496
01/1970,613,537,496
02/1970,611,535,496
03/1970,612,537,496
04/1970,610,537,496
05/1970,610,537,495
06/1970,608,536,492
07/1970,681,567,539
08/1970,679,566,539
09/1970,677,565,538
10/1970,674,566,536
11/1970,671,566,536
12/1970,668,566,534
01/1971,666,563,534
02/1971,666,563,530
03/1971,664,561,529
04/1971,663,560,527
05/1971,657,559,525
06/1971,653,556,524
07/1971,675,588,567
08/1971,673,588,565
09/1971,672,588,565
10/1971,672,588,565
11/1971,672,588,565
12/1971,670,587,565
01/1972,667,587,563
02/1972,664,587,563
03/1972,662,586,563
04/1972,662,585,562
05/1972,662,583,561
06/1972,661,583,559
07/1972,704,608,614
08/1972,703,607,614
09/1972,700,603,614
10/1972,698,602,614
11/1972,697,601,614
12/1972,696,602,614
01/1973,693,602,613
02/1973,693,602,612
03/1973,692,601,609
04/1973,690,599,608
05/1973,689,597,609
06/1973,687,592,606
07/1973,870,789,841
08/1973,868,788,839
09/1973,867,786,836
10/1973,864,784,835
11/1973,865,784,834
12/1973,862,781,834
01/1974,861,782,831
02/1974,857,779,826
03/1974,854,775,824
04/1974,850,778,823
05/1974,846,774,821
06/1974,845,769,822
07/1974,1088,912,1106
08/1974,1086,909,1105
09/1974,1084,902,1097
10/1974,1072,900,1094
11/1974,1069,891,1092
12/1974,1063,889,1091
01/1975,1063,885,1087
02/1975,1062,884,1085
03/1975,1065,885,1081
04/1975,1064,884,1082
05/1975,1063,883,1086
06/1975,1056,879,1083
07/1975,1097,956,1288
08/1975,1092,955,1286
09/1975,1093,960,1289
10/1975,1093,952,1286
11/1975,1094,953,1287
12/1975,1090,948,1285
01/1976,1091,949,1282
02/1976,1064,931,1261
03/1976,1093,942,1279
04/1976,1080,931,1259
05/1976,1082,938,1271
06/1976,1083,942,1270
07/1976,1117,1005,1241
08/1976,1119,1005,1242
09/1976,1028,944,1174
10/1976,1114,1005,1235
11/1976,1102,992,1231
12/1976,1112,996,1231
01/1977,1111,995,1223
02/1977,1093,979,1210
03/1977,1108,989,1211
04/1977,1104,984,1209
05/1977,1104,981,1207
06/1977,1102,979,1200
07/1977,1147,984,1229
08/1977,1144,986,1219
09/1977,1137,980,1214
10/1977,1134,972,1210
11/1977,1130,968,1206
12/1977,1129,967,1199
01/1978,1122,963,1199
02/1978,1112,956,1189
03/1978,1111,953,1187
04/1978,1104,949,1183
05/1978,1102,950,1176
06/1978,1096,940,1169
07/1978,1134,920,1214
08/1978,1131,912,1215
09/1978,1124,909,1203
10/1978,1120,908,1199
11/1978,1120,905,1193
12/1978,1109,902,1192
01/1979,1101,902,1188
02/1979,1093,891,1188
03/1979,1084,886,1183
04/1979,1082,886,1175
05/1979,1082,883,1165
06/1979,1078,875,1159
07/1979,1098,941,1218
08/1979,1091,936,1213
09/1979,1083,934,1205
10/1979,1079,926,1201
11/1979,1075,924,1202
12/1979,1072,920,1196
01/1980,1064,911,1191
02/1980,1051,904,1180
03/1980,1047,903,1174
04/1980,1038,899,1168
05/1980,1033,900,1161
06/1980,1032,897,1157
07/1980,1107,937,1286
08/1980,1103,936,1284
09/1980,1102,931,1276
10/1980,1090,925,1263
11/1980,1088,922,1266
12/1980,1082,918,1255
01/1981,1081,914,1252
02/1981,1069,910,1249
03/1981,1058,908,1237
04/1981,1057,900,1227
05/1981,1050,898,1220
06/1981,1044,892,1219
07/1981,1074,966,1356
08/1981,1069,963,1353
09/1981,1066,954,1348
10/1981,1056,946,1334
11/1981,1050,949,1337
12/1981,1046,948,1331
01/1982,1042,938,1320
02/1982,1036,940,1318
03/1982,1032,932,1314
04/1982,1026,924,1304
05/1982,1021,919,1298
06/1982,1011,914,1297
07/1982,1087,1050,1483
08/1982,1079,1040,1479
09/1982,1081,1038,1471
10/1982,1068,1029,1466
11/1982,1056,1021,1455
12/1982,1052,1023,1452
01/1983,1045,1020,1444
02/1983,1034,1014,1431
03/1983,1029,1011,1424
04/1983,1027,1007,1414
05/1983,1022,1002,1403
06/1983,1013,1001,1399
07/1983,1138,1064,1530
08/1983,1134,1064,1521
09/1983,1125,1057,1515
10/1983,1116,1054,1505
11/1983,1107,1050,1499
12/1983,1106,1046,1492
01/1984,1094,1043,1485
02/1984,1081,1037,1476
03/1984,1067,1032,1463
04/1984,1062,1030,1454
05/1984,1058,1026,1452
06/1984,1048,1019,1445
07/1984,1183,1148,1612
08/1984,1181,1145,1602
09/1984,1168,1141,1590
10/1984,1154,1133,1569
11/1984,1144,1119,1562
12/1984,1127,1109,1547
01/1985,1120,1103,1535
02/1985,1109,1092,1524
03/1985,1101,1086,1512
04/1985,1089,1075,1507
05/1985,1088,1069,1498
06/1985,1073,1059,1488
07/1985,1296,1076,1725
08/1985,1287,1069,1715
09/1985,1269,1060,1701
10/1985,1254,1053,1686
11/1985,1243,1050,1666
12/1985,1228,1046,1652
01/1986,1212,1037,1638
02/1986,1203,1027,1633
03/1986,1193,1029,1613
04/1986,1179,1022,1606
05/1986,1169,1012,1596
06/1986,1156,1003,1583
07/1986,1284,1074,1659
08/1986,1273,1064,1650
09/1986,1257,1057,1642
10/1986,1240,1046,1628
11/1986,1213,1035,1618
12/1986,1203,1022,1595
01/1987,1172,996,1568
02/1987,1159,987,1562
03/1987,1155,984,1557
04/1987,1141,977,1547
05/1987,1139,971,1537
06/1987,1133,967,1531
07/1987,1382,1112,1602
08/1987,1373,1103,1595
09/1987,1357,1094,1578
10/1987,1347,1084,1568
11/1987,1334,1072,1554
12/1987,1315,1060,1549
01/1988,1302,1050,1535
02/1988,1292,1044,1522
03/1988,1277,1034,1506
04/1988,1267,1029,1493
05/1988,1253,1022,1484
06/1988,1232,1010,1471
07/1988,1418,1161,1651
08/1988,1406,1151,1639
09/1988,1385,1145,1621
10/1988,1366,1134,1607
11/1988,1353,1121,1600
12/1988,1336,1112,1582
01/1989,1322,1102,1561
02/1989,1313,1091,1549
03/1989,1297,1085,1537
04/1989,1286,1073,1524
05/1989,1278,1064,1513
06/1989,1269,1052,1498
07/1989,1443,1037,1635
08/1989,1433,1034,1625
09/1989,1414,1027,1615
10/1989,1398,1019,1602
11/1989,1383,1013,1590
12/1989,1366,1009,1577
01/1990,1355,1000,1565
02/1990,1340,996,1550
03/1990,1332,985,1547
04/1990,1326,977,1538
05/1990,1309,972,1526
06/1990,1288,966,1517
07/1990,1343,1067,1607
08/1990,1329,1062,1596
09/1990,1316,1055,1587
10/1990,1307,1051,1579
11/1990,1293,1046,1565
12/1990,1280,1043,1553
01/1991,1275,1037,1541
02/1991,1263,1034,1529
03/1991,1255,1028,1523
04/1991,1238,1021,1510
05/1991,1224,1017,1504
06/1991,1213,1012,1496
07/1991,1293,1105,1618
08/1991,1273,1101,1607
09/1991,1266,1094,1594
10/1991,1260,1094,1585
11/1991,1247,1088,1575
12/1991,1241,1080,1567
01/1992,1223,1075,1557
02/1992,1216,1066,1548
03/1992,1209,1060,1539
04/1992,1206,1056,1529
05/1992,1191,1048,1524
06/1992,1171,1036,1502
07/1992,1226,1137,1640
08/1992,1213,1132,1623
09/1992,1199,1123,1610
10/1992,1192,1118,1601
11/1992,1176,1114,1589
