date,p1,p2,p3
07/1963,179,171,173
08/1963,179,172,173
09/1963,179,172,173
10/1963,179,172,173
11/1963,179,172,173
12/1963,178,172,173
01/1964,177,172,173
02/1964,179,172,173
03/1964,179,172,173
04/1964,179,172,173
05/1964,179,172,173
06/1964,179,172,173
07/1964,304,261,272
08/1964,304,260,274
09/1964,304,261,274
10/1964,304,261,273
11/1964,304,261,274
12/1964,304,261,274
01/1965,304,261,274
02/1965,304,261,274
03/1965,304,261,273
04/1965,304,261,274
05/1965,304,261,274
06/1965,304,261,273
07/1965,340,293,337
08/1965,340,293,337
09/1965,340,293,337
10/1965,340,292,337
11/1965,340,292,337
12/1965,339,291,337
01/1966,338,290,336
02/1966,339,292,337
03/1966,340,292,337
04/1966,340,293,337
05/1966,340,292,335
06/1966,340,293,336
07/1966,384,330,357
08/1966,384,330,358
09/1966,384,330,358
10/1966,384,330,358
11/1966,384,330,358
12/1966,384,330,358
01/1967,384,330,358
02/1967,383,330,358
03/1967,384,330,358
04/1967,384,330,358
05/1967,383,330,358
06/1967,383,330,357
07/1967,429,348,411
08/1967,429,346,412
09/1967,429,346,411
10/1967,429,347,410
11/1967,428,347,410
12/1967,427,347,409
01/1968,427,347,410
02/1968,425,346,408
03/1968,425,347,408
04/1968,425,346,407
05/1968,425,346,407
06/1968,424,346,405
07/1968,487,396,536
08/1968,487,396,532
09/1968,487,396,532
10/1968,487,395,530
11/1968,487,396,528
12/1968,487,395,530
01/1969,487,395,529
02/1969,487,394,526
03/1969,487,394,526
04/1969,486,394,523
05/1969,487,393,522
06/1969,487,393,523
07/1969,572,424,513
08/1969,572,424,510
09/1969,571,424,510
10/1969,571,421,511
11/1969,570,422,511
12/1969,570,423,511
01/1970,571,423,511
02/1970,568,423,510
03/1970,570,424,510
04/1970,569,423,509
05/1970,568,423,509
06/1970,566,422,506
07/1970,637,460,543
08/1970,634,459,544
09/1970,632,459,542
10/1970,631,458,540
11/1970,630,457,539
12/1970,627,456,538
01/1971,626,454,536
02/1971,624,453,535
03/1971,620,453,534
04/1971,619,453,531
