date,p1,p2,p3
07/1963,139,133,133
08/1963,139,133,133
09/1963,139,133,133
10/1963,139,133,133
11/1963,139,133,133
12/1963,139,132,133
01/1964,139,132,133
02/1964,139,133,133
03/1964,139,133,133
04/1964,139,133,133
05/1964,139,133,133
06/1964,139,133,133
07/1964,204,202,206
08/1964,204,202,206
09/1964,204,202,206
10/1964,204,202,206
11/1964,204,202,206
12/1964,204,202,206
01/1965,204,202,206
02/1965,204,202,206
03/1965,204,201,206
04/1965,204,202,206
05/1965,204,202,206
06/1965,204,202,205
07/1965,249,223,243
08/1965,249,223,243
09/1965,249,223,243
10/1965,249,223,243
11/1965,249,223,243
12/1965,249,223,241
01/1966,248,223,241
02/1966,249,223,243
03/1966,249,223,243
04/1966,249,223,243
05/1966,247,223,242
06/1966,249,223,242
07/1966,283,243,283
08/1966,283,244,283
09/1966,283,244,283
10/1966,283,244,283
11/1966,283,244,283
12/1966,283,244,283
01/1967,283,244,283
02/1967,283,244,283
03/1967,283,244,283
04/1967,283,244,283
05/1967,283,244,283
06/1967,283,244,283
07/1967,313,286,302
08/1967,313,286,301
09/1967,313,285,301
10/1967,313,285,300
11/1967,313,285,299
12/1967,312,284,299
01/1968,313,284,299
02/1968,311,284,297
03/1968,311,284,297
04/1968,310,284,296
05/1968,310,284,296
06/1968,307,284,296
07/1968,380,324,361
08/1968,379,324,359
09/1968,379,324,359
10/1968,379,322,359
11/1968,379,322,358
12/1968,378,323,358
01/1969,378,323,357
02/1969,378,322,355
03/1969,378,322,355
04/1969,377,321,354
05/1969,377,321,353
06/1969,377,322,352
07/1969,439,367,412
08/1969,439,367,411
09/1969,439,367,410
10/1969,439,367,408
11/1969,439,367,409
12/1969,439,367,410
01/1970,439,367,410
02/1970,437,366,410
03/1970,439,365,411
04/1970,439,366,409
05/1970,438,366,409
06/1970,436,365,406
07/1970,523,408,456
08/1970,523,409,456
09/1970,521,409,455
10/1970,521,407,456
11/1970,519,406,456
12/1970,517,406,455
01/1971,516,404,454
02/1971,514,403,454
03/1971,512,402,454
04/1971,510,401,454
05/1971,509,398,452
06/1971,508,397,448
07/1971,551,441,559
08/1971,549,440,558
09/1971,549,440,557
10/1971,549,441,556
11/1971,549,441,556
12/1971,548,441,554
01/1972,547,440,553
02/1972,547,439,551
03/1972,547,438,551
04/1972,546,438,550
05/1972,546,438,546
06/1972,546,438,545
07/1972,563,467,622
08/1972,563,465,621
09/1972,561,463,619
10/1972,558,463,619
11/1972,559,462,617
12/1972,559,463,616
01/1973,558,463,615
02/1973,558,462,615
03/1973,555,462,614
04/1973,552,461,614
05/1973,553,461,611
06/1973,548,458,609
07/1973,651,469,624
08/1973,649,468,622
09/1973,647,467,623
10/1973,646,464,623
11/1973,644,464,622
12/1973,645,463,620
01/1974,645,462,620
02/1974,642,461,615
03/1974,641,457,613
04/1974,641,458,610
05/1974,639,457,608
06/1974,640,456,603
07/1974,863,600,809
08/1974,858,597,809
09/1974,857,593,802
10/1974,850,589,797
11/1974,850,588,797
12/1974,850,583,795
01/1975,851,583,790
02/1975,846,583,789
03/1975,847,583,788
04/1975,845,582,787
05/1975,843,581,786
06/1975,839,581,782
07/1975,1050,777,1157
08/1975,1049,777,1153
09/1975,1050,778,1150
10/1975,1048,776,1145
11/1975,1048,774,1146
12/1975,1042,776,1140
01/1976,1039,776,1134
02/1976,1017,764,1109
03/1976,1032,772,1134
04/1976,1018,765,1113
05/1976,1024,766,1121
06/1976,1022,765,1122
07/1976,1190,825,1233
08/1976,1187,822,1238
09/1976,1122,779,1132
10/1976,1183,820,1231
11/1976,1170,814,1222
12/1976,1177,819,1224
01/1977,1172,818,1220
02/1977,1150,814,1199
03/1977,1163,817,1209
04/1977,1157,814,1207
05/1977,1156,815,1202
06/1977,1148,811,1203
07/1977,1305,766,1153
08/1977,1297,766,1149
09/1977,1289,765,1140
10/1977,1288,762,1129
11/1977,1286,762,1119
12/1977,1280,760,1118
01/1978,1278,757,1113
02/1978,1265,749,1108
03/1978,1264,748,1104
04/1978,1258,744,1100
05/1978,1254,745,1095
06/1978,1251,741,1079
07/1978,1198,750,1181
08/1978,1188,750,1178
09/1978,1180,744,1170
10/1978,1179,740,1165
11/1978,1177,736,1163
12/1978,1165,736,1160
01/1979,1159,735,1157
02/1979,1152,730,1149
03/1979,1147,723,1143
04/1979,1142,722,1140
05/1979,1139,717,1135
06/1979,1131,714,1129
07/1979,1210,743,1097
08/1979,1207,736,1091
09/1979,1201,732,1084
10/1979,1199,726,1076
11/1979,1196,724,1078
12/1979,1190,721,1075
01/1980,1181,719,1066
02/1980,1168,713,1055
03/1980,1164,711,1051
04/1980,1163,708,1038
05/1980,1156,705,1040
06/1980,1152,705,1035
07/1980,1121,725,1167
08/1980,1118,725,1165
09/1980,1115,722,1160
10/1980,1107,714,1150
11/1980,1108,715,1144
12/1980,1104,713,1133
01/1981,1095,706,1140
02/1981,1093,698,1133
03/1981,1085,696,1124
04/1981,1079,692,1118
05/1981,1073,687,1115
06/1981,1069,681,1111
07/1981,1163,740,1187
08/1981,1160,738,1182
09/1981,1150,735,1179
10/1981,1141,726,1167
11/1981,1142,728,1167
12/1981,1137,728,1164
01/1982,1133,725,1149
02/1982,1128,723,1150
03/1982,1121,721,1140
04/1982,1114,717,1128
05/1982,1106,717,1122
06/1982,1104,711,1116
07/1982,1290,705,1142
08/1982,1279,703,1132
09/1982,1284,697,1126
10/1982,1276,694,1114
11/1982,1260,692,1107
12/1982,1258,694,1102
