date,p1,p2,p3
07/1963,483,784,694
08/1963,511,769,684
09/1963,304,945,714
10/1963,295,951,717
11/1963,282,1076,605
12/1963,423,1006,540
01/1964,353,994,612
02/1964,346,943,685
03/1964,489,724,763
04/1964,448,824,710
05/1964,490,735,771
06/1964,471,746,781
07/1964,432,875,695
08/1964,540,831,640
09/1964,561,823,635
10/1964,675,685,658
11/1964,681,688,653
12/1964,742,526,756
01/1965,726,458,842
02/1965,808,550,671
03/1965,809,659,566
04/1965,801,844,389
05/1965,828,675,538
06/1965,683,873,490
07/1965,723,818,510
08/1965,728,820,512
09/1965,778,700,587
10/1965,726,675,657
11/1965,791,611,656
12/1965,873,598,593
01/1966,792,769,491
02/1966,884,702,481
03/1966,800,769,498
04/1966,983,586,494
05/1966,860,685,511
06/1966,875,643,547
07/1966,776,743,545
08/1966,685,718,677
09/1966,677,752,653
10/1966,720,740,626
11/1966,689,684,716
12/1966,658,900,532
01/1967,806,642,635
02/1967,723,950,414
03/1967,819,846,424
04/1967,909,774,403
05/1967,869,757,462
06/1967,953,727,404
07/1967,900,816,368
08/1967,898,713,467
09/1967,909,632,537
10/1967,664,807,606
11/1967,631,985,466
12/1967,635,703,744
01/1968,538,973,566
02/1968,636,849,583
03/1968,692,739,642
04/1968,710,726,644
05/1968,730,701,654
06/1968,830,628,630
07/1968,732,761,587
08/1968,624,854,591
09/1968,806,819,456
10/1968,777,785,520
11/1968,565,945,575
12/1968,633,866,593
01/1969,615,883,597
02/1969,666,941,488
03/1969,568,863,678
04/1969,512,948,654
05/1969,540,982,609
06/1969,617,982,540
07/1969,380,841,929
08/1969,382,874,904
09/1969,465,1106,605
10/1969,608,826,749
11/1969,693,830,666
12/1969,751,683,763
01/1970,696,1017,490
02/1970,886,831,495
03/1970,792,904,536
04/1970,668,1041,532
05/1970,549,1047,646
06/1970,569,936,742
07/1970,528,1059,659
08/1970,468,892,892
09/1970,473,714,1069
10/1970,594,564,1106
11/1970,521,731,1021
12/1970,427,855,999
01/1971,479,713,1087
02/1971,699,871,717
03/1971,728,796,765
04/1971,573,933,784
05/1971,842,667,786
06/1971,852,651,799
07/1971,868,702,737
08/1971,682,808,828
09/1971,712,767,853
10/1971,723,685,937
11/1971,581,844,930
12/1971,584,880,906
01/1972,566,1093,723
02/1972,749,970,675
03/1972,794,1058,552
04/1972,733,1095,586
05/1972,881,857,688
06/1972,909,1017,505
07/1972,878,1049,507
08/1972,802,984,657
09/1972,903,738,814
10/1972,833,727,906
11/1972,749,916,810
12/1972,597,1168,727
01/1973,1332,1856,2133
02/1973,1587,1589,2168
03/1973,1333,1956,2049
04/1973,1518,2204,1568
05/1973,1842,1962,1453
06/1973,1710,2171,1313
07/1973,1727,2126,1297
08/1973,1451,2589,1078
09/1973,1560,2303,1211
10/1973,1615,1849,1563
11/1973,1386,2266,1376
12/1973,1773,1752,1416
01/1974,1269,2164,1420
02/1974,1239,2117,1480
03/1974,1288,2166,1361
