date,p1,p2,p3
08/1963,233,230,249
09/1963,222,215,281
10/1963,237,236,235
11/1963,217,226,264
12/1963,239,227,243
01/1964,217,224,259
02/1964,226,243,235
03/1964,217,237,252
04/1964,215,234,260
05/1964,239,242,252
06/1964,236,245,261
07/1964,236,236,270
08/1964,247,238,252
09/1964,250,227,251
10/1964,232,240,262
11/1964,233,240,256
12/1964,256,225,250
01/1965,244,239,240
02/1965,220,244,267
03/1965,223,242,275
04/1965,236,231,249
05/1965,225,224,254
06/1965,226,230,248
07/1965,236,214,270
08/1965,224,245,265
09/1965,225,235,276
10/1965,239,239,262
11/1965,228,237,283
12/1965,243,218,279
01/1966,223,247,268
02/1966,237,225,267
03/1966,224,238,262
04/1966,232,232,265
05/1966,226,228,279
06/1966,239,239,261
07/1966,234,239,266
08/1966,239,266,262
09/1966,274,244,259
10/1966,275,254,267
11/1966,262,247,287
12/1966,271,260,267
01/1967,266,249,255
02/1967,225,242,288
03/1967,241,230,261
04/1967,218,231,277
05/1967,222,230,284
06/1967,227,243,255
07/1967,219,232,280
08/1967,211,231,285
09/1967,229,234,267
10/1967,229,229,263
11/1967,234,233,270
12/1967,234,233,273
01/1968,210,241,284
02/1968,237,235,246
03/1968,238,231,248
04/1968,229,226,275
05/1968,227,221,279
06/1968,217,241,254
07/1968,236,223,237
08/1968,236,218,234
09/1968,226,223,246
10/1968,218,233,261
11/1968,226,233,253
12/1968,227,244,249
01/1969,240,235,255
02/1969,230,241,261
03/1969,265,237,257
04/1969,248,239,263
05/1969,250,246,261
06/1969,257,237,262
07/1969,254,227,270
08/1969,268,239,264
09/1969,248,252,293
10/1969,256,246,289
11/1969,245,249,286
12/1969,240,262,272
01/1970,255,245,278
02/1970,261,265,262
03/1970,258,265,301
04/1970,286,275,279
05/1970,286,265,276
06/1970,274,260,260
07/1970,277,266,250
08/1970,259,268,291
09/1970,262,260,296
10/1970,267,270,277
11/1970,277,243,280
12/1970,242,252,296
01/1971,262,250,281
02/1971,247,252,279
03/1971,250,247,271
04/1971,230,254,267
05/1971,229,239,284
06/1971,245,251,270
07/1971,242,243,293
08/1971,250,257,288
09/1971,242,270,301
10/1971,272,258,276
11/1971,268,267,278
12/1971,270,255,293
01/1972,270,256,293
02/1972,268,263,271
03/1972,256,264,289
04/1972,240,276,289
05/1972,256,256,294
06/1972,253,261,315
07/1972,262,274,294
08/1972,274,266,310
09/1972,285,264,311
10/1972,291,279,301
11/1972,296,288,290
12/1972,286,285,309
01/1973,1406,1122,1164
02/1973,1773,1012,932
03/1973,1417,1059,1232
04/1973,728,579,549
05/1973,862,549,474
06/1973,677,575,585
07/1973,661,590,621
08/1973,525,488,904
09/1973,611,645,676
10/1973,514,509,909
11/1973,632,591,715
12/1973,683,606,599
01/1974,483,490,817
02/1974,712,586,545
03/1974,631,596,629
04/1974,867,514,470
05/1974,730,584,542
06/1974,763,579,578
07/1974,802,646,622
08/1974,925,587,537
09/1974,916,585,542
10/1974,969,589,467
11/1974,595,668,742
12/1974,743,641,607
01/1975,659,573,647
02/1975,457,550,800
03/1975,592,600,577
04/1975,525,535,687
05/1975,551,573,661
06/1975,503,614,684
07/1975,512,572,784
08/1975,861,491,474
09/1975,775,498,576
10/1975,837,512,510
11/1975,554,578,794
12/1975,667,582,637
01/1976,724,520,581
02/1976,512,547,660
03/1976,578,522,560
04/1976,455,554,651
05/1976,573,570,540
06/1976,592,497,627
07/1976,381,528,936
08/1976,621,597,654
09/1976,638,545,586
10/1976,584,666,563
11/1976,605,593,563
12/1976,504,598,692
01/1977,471,547,714
02/1977,672,541,428
03/1977,643,541,450
04/1977,560,581,535
05/1977,580,536,608
06/1977,739,525,508
07/1977,431,559,799
08/1977,677,601,479
09/1977,577,631,551
10/1977,529,588,593
11/1977,735,541,514
12/1977,444,536,791
01/1978,610,533,619
02/1978,817,493,421
03/1978,684,539,495
04/1978,489,444,807
05/1978,409,440,878
06/1978,506,545,660
07/1978,527,594,570
08/1978,382,456,854
09/1978,435,526,760
10/1978,526,609,605
11/1978,681,455,501
12/1978,467,502,638
01/1979,496,526,558
02/1979,461,513,646
03/1979,791,474,376
04/1979,442,515,714
05/1979,497,548,631
06/1979,447,645,602
07/1979,408,456,841
08/1979,450,510,791
09/1979,383,506,891
10/1979,484,602,696
11/1979,609,518,584
12/1979,408,533,753
01/1980,583,510,584
02/1980,575,577,614
03/1980,783,510,514
04/1980,579,593,636
05/1980,573,512,706
06/1980,545,482,743
07/1980,624,517,694
08/1980,562,608,658
09/1980,595,575,686
10/1980,532,517,771
11/1980,629,547,701
12/1980,578,514,785
01/1981,413,696,853
02/1981,647,670,683
03/1981,494,641,854
04/1981,472,630,907
05/1981,631,686,712
06/1981,543,629,862
07/1981,647,664,701
08/1981,774,647,586
09/1981,764,685,567
10/1981,596,618,733
11/1981,555,577,839
12/1981,608,641,733
01/1982,810,659,510
02/1982,700,574,718
03/1982,666,607,723
04/1982,691,612,730
05/1982,689,634,695
06/1982,975,563,447
07/1982,715,581,690
08/1982,926,571,599
09/1982,533,531,1077
10/1982,712,658,691
11/1982,388,535,1011
12/1982,472,638,801
01/1983,586,625,687
02/1983,600,618,642
03/1983,462,542,842
04/1983,439,588,837
05/1983,430,622,837
06/1983,664,546,639
07/1983,505,573,769
08/1983,589,646,662
09/1983,528,682,785
10/1983,682,593,814
11/1983,867,701,536
12/1983,759,588,766
01/1984,851,667,626
02/1984,871,679,617
03/1984,851,744,581
04/1984,663,706,832
05/1984,572,712,951
06/1984,990,604,574
07/1984,646,671,839
08/1984,954,595,624
09/1984,486,589,1116
10/1984,742,667,691
11/1984,708,694,631
12/1984,745,634,577
01/1985,591,559,796
02/1985,430,526,880
03/1985,554,565,644
04/1985,621,529,554
05/1985,572,497,597
06/1985,434,469,748
07/1985,509,456,676
08/1985,617,585,452
09/1985,604,546,480
10/1985,650,472,458
11/1985,474,429,685
12/1985,394,458,795
