date,p1,p2,p3
07/1963,730,557,674
08/1963,688,575,701
09/1963,614,531,818
10/1963,739,571,653
11/1963,628,568,767
12/1963,641,550,778
01/1964,584,566,809
02/1964,778,569,627
03/1964,672,567,737
04/1964,625,570,787
05/1964,708,588,700
06/1964,658,577,763
07/1964,646,575,781
08/1964,723,577,711
09/1964,722,577,720
10/1964,679,594,745
11/1964,694,576,752
12/1964,704,584,736
01/1965,662,578,786
02/1965,781,549,699
03/1965,727,549,758
04/1965,791,541,702
05/1965,716,564,761
06/1965,742,567,737
07/1965,655,565,831
08/1965,710,591,759
09/1965,682,552,831
10/1965,658,591,809
11/1965,766,556,736
12/1965,768,565,731
01/1966,754,570,728
02/1966,827,580,660
03/1966,793,566,708
04/1966,769,582,712
05/1966,762,574,720
06/1966,642,574,849
07/1966,722,619,723
08/1966,683,614,783
09/1966,684,595,803
10/1966,721,624,741
11/1966,581,607,901
12/1966,734,603,753
01/1967,752,578,753
02/1967,862,569,656
03/1967,858,580,651
04/1967,765,571,750
05/1967,724,579,785
06/1967,774,613,697
07/1967,853,580,651
08/1967,788,578,712
09/1967,717,612,749
10/1967,840,547,691
11/1967,778,596,709
12/1967,710,609,764
01/1968,864,565,649
02/1968,856,576,637
03/1968,632,586,855
04/1968,642,600,838
05/1968,839,584,662
06/1968,883,594,611
07/1968,744,566,770
08/1968,739,597,733
09/1968,760,572,749
10/1968,776,570,736
11/1968,676,592,817
12/1968,726,573,793
01/1969,870,585,640
02/1969,802,604,689
03/1969,628,600,881
04/1969,722,597,795
05/1969,703,573,855
06/1969,809,597,733
07/1969,619,586,945
08/1969,680,602,878
09/1969,751,599,826
10/1969,718,573,892
11/1969,877,606,706
12/1969,679,616,902
01/1970,657,582,964
02/1970,946,597,669
03/1970,721,640,871
04/1970,696,643,902
05/1970,630,578,1034
06/1970,829,635,783
07/1970,779,647,820
08/1970,685,634,933
09/1970,760,616,880
10/1970,1000,595,669
11/1970,729,657,887
12/1970,599,595,1087
01/1971,763,622,894
02/1971,1036,607,644
03/1971,934,613,742
04/1971,808,629,853
05/1971,725,637,933
06/1971,744,630,928
07/1971,741,664,902
08/1971,784,661,873
09/1971,722,635,975
10/1971,855,640,850
11/1971,803,672,880
12/1971,708,669,993
01/1972,865,654,863
02/1972,1128,594,672
03/1972,900,673,831
04/1972,828,660,926
05/1972,825,666,935
06/1972,753,691,987
07/1972,812,695,927
08/1972,811,743,889
09/1972,758,712,985
10/1972,818,692,956
11/1972,800,715,960
12/1972,795,682,1015
01/1973,1686,2550,1085
02/1973,2412,1316,1616
03/1973,1929,1381,2028
04/1973,1814,1386,2090
05/1973,1895,1435,1927
06/1973,1571,1422,2201
07/1973,1699,1429,2022
08/1973,1726,1210,2182
09/1973,1644,1379,2051
10/1973,1489,1086,2452
11/1973,1938,1320,1770
12/1973,1794,1313,1834
01/1974,1277,1342,2234
02/1974,1993,1403,1440
03/1974,1635,1333,1847
04/1974,2084,1262,1465
05/1974,1867,1210,1722
06/1974,1771,1306,1693
07/1974,1779,1348,1624
08/1974,1825,1257,1641
09/1974,1879,1231,1569
10/1974,1827,1304,1517
11/1974,1280,1123,2207
12/1974,1541,1202,1834
01/1975,1497,1182,1865
02/1975,1565,1166,1804
03/1975,1716,1240,1588
04/1975,1571,1192,1785
05/1975,1479,1309,1777
06/1975,1541,1127,1881
07/1975,1542,1039,1990
08/1975,2287,1056,1231
09/1975,1724,1173,1696
10/1975,1812,1101,1674
11/1975,1230,1247,2117
12/1975,1389,1161,2027
01/1976,1613,1182,1791
02/1976,1601,1045,1866
03/1976,1990,1183,1415
04/1976,1620,1223,1714
05/1976,1838,1220,1526
06/1976,1607,1225,1764
07/1976,1195,1070,2338
08/1976,1725,1249,1654
09/1976,1617,1107,1653
10/1976,1577,1189,1890
11/1976,1747,1237,1654
12/1976,1468,1242,1952
01/1977,1750,1044,1862
02/1977,2138,1307,1155
03/1977,1987,1221,1431
04/1977,1758,1300,1573
05/1977,1654,1280,1707
06/1977,1816,1222,1596
07/1977,1351,1081,2205
08/1977,2063,1199,1357
09/1977,1841,1241,1518
10/1977,1690,1314,1584
11/1977,1931,1110,1542
12/1977,1461,1057,2059
01/1978,1831,1262,1475
02/1978,2256,1079,1206
03/1978,1963,1265,1310
04/1978,1634,1006,1873
05/1978,1482,1046,2006
06/1978,1786,1195,1539
07/1978,1839,1198,1466
08/1978,1377,1132,1991
09/1978,1735,1060,1694
10/1978,1887,1091,1525
11/1978,1613,1116,1774
12/1978,1520,1137,1843
01/1979,1565,1307,1627
02/1979,1694,1093,1698
03/1979,2023,1063,1388
04/1979,1416,1093,1977
05/1979,1634,1222,1620
06/1979,1629,1233,1615
07/1979,1423,1104,1944
08/1979,1447,1204,1818
09/1979,1457,1084,1920
10/1979,1670,1221,1569
11/1979,1691,1069,1707
12/1979,1348,1214,1911
01/1980,1760,1190,1519
02/1980,1818,1229,1424
03/1980,1975,1147,1355
04/1980,1231,1256,1986
05/1980,1500,1079,1888
06/1980,1522,1007,1942
07/1980,1617,1174,1699
08/1980,1469,1132,1909
09/1980,1851,1146,1516
10/1980,1675,1292,1564
11/1980,1851,1238,1481
12/1980,1504,1388,1689
01/1981,1388,1334,1899
02/1981,1830,1326,1479
03/1981,1341,1321,1976
04/1981,1511,1191,1967
05/1981,1779,1361,1579
06/1981,1674,1225,1871
07/1981,1697,1328,1784
08/1981,1832,1306,1729
09/1981,1881,1094,1912
10/1981,1473,1298,2107
11/1981,1635,1229,2054
12/1981,1536,1226,2180
01/1982,1867,1248,1826
02/1982,1891,1317,1745
03/1982,1710,1432,1818
04/1982,1600,1413,1925
05/1982,1682,1166,2082
06/1982,2210,1118,1601
07/1982,1611,1320,1990
08/1982,1752,1347,1814
09/1982,1209,1005,2698
10/1982,1770,1249,1871
11/1982,1510,1060,2282
12/1982,1897,1111,1902
01/1983,1863,1286,1771
02/1983,2176,1255,1482
03/1983,1745,1186,1995
04/1983,1695,1236,2040
05/1983,1841,1119,2033
06/1983,2149,1366,1519
07/1983,1815,1215,2060
08/1983,2020,1321,1822
09/1983,1487,1427,2324
10/1983,1665,1259,2365
11/1983,1804,1395,2166
12/1983,1682,1174,2590
01/1984,1822,1477,2227
02/1984,2286,1428,1841
03/1984,2032,1395,2167
04/1984,1750,1556,2332
05/1984,1780,1425,2454
06/1984,2407,1341,1941
07/1984,1702,1455,2541
08/1984,1999,1540,2172
09/1984,1591,1106,3020
10/1984,2027,1536,2127
11/1984,1838,1539,2306
12/1984,2014,1374,2286
01/1985,1742,1361,2575
02/1985,2135,1151,2380
03/1985,2317,1343,1996
04/1985,2184,1363,2099
05/1985,2074,1468,2102
06/1985,1645,1269,2715
07/1985,1788,1448,2393
08/1985,2115,1364,2152
09/1985,2068,1414,2140
10/1985,2144,1251,2230
11/1985,1748,1357,2534
12/1985,1736,1174,2735
01/1986,1785,1207,2650
02/1986,2413,1474,1739
03/1986,1822,1202,2606
04/1986,1800,1374,2470
05/1986,2282,1427,1940
06/1986,1875,1242,2579
07/1986,2287,1551,1918
08/1986,2366,1349,2090
09/1986,1423,1282,3129
10/1986,2293,1348,2216
11/1986,1723,1342,2823
12/1986,1972,1428,2515
01/1987,2068,1453,2380
02/1987,1995,1332,2578
03/1987,2047,1390,2532
04/1987,2250,1516,2241
05/1987,2235,1480,2319
06/1987,2000,1545,2541
07/1987,1936,1352,2856
08/1987,1895,1533,2754
09/1987,1887,1420,2913
10/1987,2452,1646,2166
11/1987,2371,1517,2357
12/1987,2636,1425,2155
01/1988,1676,1341,3179
02/1988,2295,1516,2364
03/1988,1871,1419,2850
04/1988,2684,1586,1853
05/1988,2221,1592,2288
06/1988,1960,1694,2423
07/1988,1810,1246,3019
08/1988,2298,1683,2082
09/1988,2280,1528,2232
10/1988,1814,1353,2845
11/1988,2006,1638,2365
12/1988,2357,1322,2293
01/1989,2007,1384,2542
02/1989,1914,1269,2737
03/1989,2198,1566,2131
04/1989,2007,1376,2486
05/1989,1905,1300,2651
06/1989,1788,1334,2709
07/1989,2118,1454,2219
08/1989,1539,1261,2993
09/1989,2022,1418,2327
10/1989,2228,1431,2078
11/1989,2430,1354,1945
12/1989,1902,1451,2369
01/1990,1938,1433,2359
02/1990,2673,1101,1943
03/1990,1896,1417,2395
04/1990,2023,1219,2471
05/1990,2473,1297,1938
06/1990,1520,1140,3038
07/1990,2213,1445,2029
08/1990,2328,1291,2062
09/1990,2295,1202,2167
10/1990,2279,1321,2053
11/1990,2166,1419,2045
12/1990,1489,1037,3077
01/1991,1681,1201,2708
02/1991,1824,1095,2645
03/1991,2031,1106,2415
04/1991,2168,1169,2191
05/1991,2144,1406,1974
06/1991,1687,1335,2504
07/1991,2518,1184,1856
08/1991,1816,1232,2510
09/1991,1916,1208,2450
10/1991,2130,1555,1898
11/1991,2065,1455,2085
12/1991,2502,1215,1910
01/1992,1392,1135,3098
02/1992,2650,1372,1625
03/1992,2128,1429,2106
04/1992,2283,1327,2101
05/1992,1801,1460,2462
06/1992,2018,1389,2298
07/1992,2017,1475,2212
08/1992,1953,1414,2329
09/1992,2173,1354,2169
10/1992,2089,1387,2215
11/1992,1984,1230,2489
12/1992,2231,1172,2310
01/1993,2234,1270,2240
02/1993,2421,1364,1965
03/1993,2031,1374,2377
04/1993,1927,1393,2506
05/1993,2388,1392,2075
06/1993,2069,1398,2426
07/1993,2155,1420,2377
08/1993,2389,1479,2120
09/1993,2165,1426,2435
10/1993,2335,1557,2176
11/1993,2697,1357,2073
12/1993,2233,1574,2401
01/1994,1967,1471,2851
02/1994,2332,1530,2457
03/1994,2521,1402,2432
04/1994,2475,1555,2386
05/1994,1922,1651,2870
06/1994,2107,1688,2702
07/1994,2576,1552,2404
08/1994,2202,1666,2672
09/1994,2098,1356,3103
10/1994,2998,1515,2045
11/1994,2171,1721,2690
12/1994,2690,1561,2348
01/1995,2018,1539,3042
02/1995,2488,1643,2453
03/1995,2166,1396,3032
04/1995,2297,1586,2713
05/1995,2264,1544,2808
06/1995,2195,1444,2976
07/1995,2606,1577,2457
08/1995,2479,1514,2674
09/1995,2585,1572,2545
10/1995,2413,1613,2686
11/1995,2438,1662,2653
12/1995,1999,1681,3108
01/1996,2323,1824,2690
02/1996,2414,1775,2637
03/1996,2396,1750,2710
04/1996,2352,1729,2828
05/1996,2689,1765,2502
06/1996,2859,1633,2534
07/1996,2336,1711,3040
08/1996,2288,1780,3062
09/1996,2650,1553,2955
10/1996,2255,1498,3428
11/1996,2200,1797,3255
12/1996,1935,1525,3838
01/1997,2744,1688,2870
02/1997,2848,1634,2824
03/1997,2500,1792,3023
04/1997,2850,1572,2888
05/1997,1721,1703,3897
06/1997,2731,1568,3018
07/1997,2530,1807,2985
08/1997,2283,1664,3374
09/1997,3152,1871,2276
10/1997,2986,1576,2731
11/1997,2850,1770,2693
12/1997,2015,1898,3428
01/1998,2085,1701,3509
02/1998,2895,1689,2686
03/1998,2292,1536,3424
04/1998,2573,1706,2937
05/1998,2781,1801,2628
06/1998,2660,1787,2761
07/1998,1884,1805,3498
08/1998,2398,1953,2816
09/1998,2553,1755,2827
10/1998,2288,1813,2956
11/1998,2072,1777,3110
12/1998,2444,1595,2882
01/1999,2119,1713,3022
02/1999,3046,1785,1975
03/1999,2461,1918,2387
04/1999,1880,1834,2981
05/1999,2150,1650,2871
06/1999,2660,1878,2123
07/1999,2010,1662,2969
08/1999,3012,1564,2050
09/1999,2503,1678,2411
10/1999,2360,1887,2318
11/1999,2211,1695,2655
12/1999,2977,1587,1970
01/2000,2554,1666,2299
02/2000,3045,1706,1730
03/2000,3207,1577,1705
04/2000,1586,1521,3365
05/2000,1711,1578,3202
06/2000,1734,1479,3262
07/2000,2962,1512,1970
08/2000,1921,1642,2885
09/2000,2128,1546,2780
10/2000,2114,1775,2532
11/2000,1688,1798,2877
12/2000,1716,1698,2887
01/2001,1623,1432,3177
02/2001,3040,1484,1636
03/2001,2021,1429,2658
04/2001,2129,1534,2388
05/2001,2029,1463,2476
06/2001,2300,1438,2173
07/2001,2108,1648,2086
08/2001,1919,1561,2303
09/2001,2198,1402,2106
10/2001,2059,1421,2184
11/2001,2296,1554,1779
12/2001,1896,1230,2441
01/2002,1996,1249,2287
02/2002,2214,1404,1873
03/2002,1627,1497,2328
04/2002,1954,1313,2145
05/2002,2033,1391,1951
06/2002,1905,1380,2058
07/2002,1907,1424,1995
08/2002,1942,1410,1940
09/2002,1734,1314,2194
10/2002,2269,1168,1774
11/2002,1635,1456,2077
12/2002,1955,1400,1794
01/2003,1928,1275,1911
02/2003,2194,1232,1651
03/2003,1966,1234,1837
04/2003,1876,1295,1813
05/2003,1695,1163,2093
06/2003,2026,1165,1740
07/2003,2013,1213,1671
08/2003,2024,1233,1612
09/2003,1946,1205,1693
10/2003,2027,1262,1541
11/2003,1683,1167,1960
12/2003,1808,1206,1791
01/2004,1537,1178,2080
02/2004,2042,1212,1535
03/2004,1575,1250,1962
04/2004,1719,1231,1832
05/2004,1718,1197,1852
06/2004,1514,1224,2024
07/2004,1535,1168,2057
08/2004,1570,1229,1958
09/2004,1579,1196,1976
10/2004,1884,1182,1681
11/2004,1694,1305,1743
12/2004,1824,1129,1782
01/2005,1889,1139,1705
02/2005,1740,1153,1833
03/2005,1664,1278,1785
04/2005,1520,1240,1956
05/2005,1495,1168,2049
06/2005,1652,1207,1844
07/2005,1873,1214,1620
08/2005,1910,1156,1638
09/2005,1640,1278,1779
10/2005,1848,1311,1535
11/2005,1502,1318,1869
12/2005,1527,1163,1991
01/2006,1645,1287,1734
02/2006,1824,1372,1446
03/2006,1644,1284,1709
04/2006,1762,1234,1635
05/2006,1529,1200,1903
06/2006,1673,1188,1769
07/2006,1635,1227,1770
08/2006,1418,1285,1921
09/2006,1588,1278,1752
10/2006,1432,1182,2003
11/2006,1684,1138,1796
12/2006,1558,1267,1786
01/2007,1581,1149,1870
02/2007,1490,1243,1846
03/2007,1891,1178,1507
04/2007,1580,1256,1731
05/2007,1374,1190,1991
06/2007,1407,1186,1972
07/2007,1915,1147,1494
08/2007,1837,1173,1539
09/2007,1441,1136,1962
10/2007,1627,1270,1617
11/2007,1485,1338,1690
12/2007,1597,1140,1760
