date,p1,p2,p3
08/1963,250,237,225
09/1963,219,219,280
10/1963,253,230,225
11/1963,227,238,242
12/1963,246,232,231
01/1964,221,237,242
02/1964,243,232,229
03/1964,228,235,243
04/1964,226,230,253
05/1964,253,241,239
06/1964,243,241,258
07/1964,234,251,257
08/1964,253,243,241
09/1964,256,236,236
10/1964,229,241,264
11/1964,245,228,256
12/1964,265,233,233
01/1965,251,234,238
02/1965,230,235,266
03/1965,232,243,265
04/1965,260,220,236
05/1965,237,226,240
06/1965,242,235,227
07/1965,251,227,242
08/1965,242,237,255
09/1965,244,230,262
10/1965,246,248,246
11/1965,246,235,267
12/1965,249,234,257
01/1966,248,232,258
02/1966,254,237,238
03/1966,248,228,248
04/1966,253,234,242
05/1966,238,248,247
06/1966,268,237,234
07/1966,255,244,240
08/1966,257,251,259
09/1966,285,238,254
10/1966,275,268,253
11/1966,243,258,295
12/1966,277,249,272
01/1967,274,239,257
02/1967,232,231,292
03/1967,256,239,237
04/1967,237,231,258
05/1967,242,238,256
06/1967,257,234,234
07/1967,236,229,266
08/1967,234,231,262
09/1967,240,247,243
10/1967,245,225,252
11/1967,259,231,248
12/1967,254,240,246
01/1968,242,235,258
02/1968,265,230,223
03/1968,249,229,239
04/1968,236,236,258
05/1968,248,214,265
06/1968,244,229,239
07/1968,246,227,223
08/1968,246,221,221
09/1968,240,216,239
10/1968,236,227,249
11/1968,243,228,241
12/1968,240,223,257
01/1969,261,229,240
02/1969,251,236,245
03/1969,272,232,255
04/1969,246,233,271
05/1969,246,238,273
06/1969,258,244,254
07/1969,256,228,267
08/1969,273,237,261
09/1969,267,235,291
10/1969,274,244,273
11/1969,261,234,285
12/1969,269,244,261
01/1970,269,243,266
02/1970,305,236,247
03/1970,255,266,303
04/1970,286,269,285
05/1970,291,241,295
06/1970,272,250,272
07/1970,278,265,250
08/1970,255,245,318
09/1970,259,256,303
10/1970,290,248,276
11/1970,291,246,263
12/1970,248,240,302
01/1971,283,241,269
02/1971,267,247,264
03/1971,264,247,257
04/1971,249,236,266
05/1971,245,242,265
06/1971,268,242,256
07/1971,256,254,268
08/1971,276,255,264
09/1971,259,245,309
10/1971,284,259,263
11/1971,286,250,277
12/1971,258,271,289
01/1972,285,246,288
02/1972,296,249,257
03/1972,278,251,280
04/1972,266,253,286
05/1972,268,260,278
06/1972,272,257,300
07/1972,277,273,280
08/1972,280,274,296
09/1972,279,274,307
10/1972,288,288,295
11/1972,291,292,291
12/1972,275,269,336
01/1973,762,1638,1292
02/1973,1703,775,1239
03/1973,1320,729,1659
04/1973,640,593,623
05/1973,795,487,603
06/1973,596,567,674
07/1973,599,566,707
08/1973,514,424,979
09/1973,656,581,695
10/1973,501,440,991
11/1973,737,600,601
12/1973,802,509,577
01/1974,458,548,784
02/1974,714,536,593
03/1974,593,562,701
04/1974,854,497,500
05/1974,732,554,570
06/1974,719,584,617
07/1974,783,613,674
08/1974,846,587,616
09/1974,899,545,599
10/1974,863,592,570
11/1974,445,481,1079
