date,p1,p2,p3
07/1963,156,148,148
08/1963,156,149,148
09/1963,156,149,148
10/1963,156,149,148
11/1963,156,149,148
12/1963,156,149,147
01/1964,155,149,147
02/1964,156,149,148
03/1964,156,149,148
04/1964,156,149,148
05/1964,156,149,148
06/1964,156,149,148
07/1964,266,226,243
08/1964,266,227,244
09/1964,266,227,244
10/1964,266,227,244
11/1964,266,227,244
12/1964,266,227,244
01/1965,266,227,244
02/1965,266,227,244
03/1965,266,227,243
04/1965,266,227,244
05/1965,266,227,244
06/1965,266,227,243
07/1965,296,270,302
08/1965,296,270,302
09/1965,296,270,302
10/1965,295,270,302
11/1965,295,270,302
12/1965,295,269,301
01/1966,295,268,301
02/1966,295,269,302
03/1966,295,270,302
04/1966,296,270,302
05/1966,295,269,301
06/1966,296,269,302
07/1966,331,297,338
08/1966,331,298,338
09/1966,331,298,338
10/1966,331,298,338
11/1966,331,298,338
12/1966,331,298,338
01/1967,331,298,338
02/1967,330,298,338
03/1967,331,298,338
04/1967,331,298,338
05/1967,330,298,338
06/1967,330,298,337
07/1967,368,324,386
08/1967,368,324,386
09/1967,368,324,385
10/1967,368,323,385
11/1967,368,323,384
12/1967,367,323,383
01/1968,367,323,384
02/1968,365,323,381
03/1968,365,323,382
04/1968,364,323,381
05/1968,364,323,381
06/1968,363,322,380
07/1968,435,372,502
08/1968,435,371,499
09/1968,435,371,499
10/1968,435,369,498
11/1968,435,370,496
12/1968,435,369,498
01/1969,435,369,497
02/1969,435,368,495
03/1969,435,368,495
04/1969,433,367,494
05/1969,434,365,494
06/1969,435,365,494
07/1969,489,415,500
08/1969,489,415,497
09/1969,489,415,496
10/1969,489,413,496
11/1969,487,415,496
12/1969,488,415,496
01/1970,489,415,496
02/1970,486,414,496
03/1970,487,415,497
04/1970,486,415,495
05/1970,485,415,495
06/1970,484,413,492
07/1970,577,420,532
08/1970,574,419,533
09/1970,572,419,531
10/1970,571,417,530
11/1970,570,416,529
12/1970,569,414,527
01/1971,566,413,526
02/1971,563,412,526
03/1971,559,412,525
04/1971,559,409,524
05/1971,558,409,516
06/1971,552,409,514
07/1971,566,465,584
08/1971,565,463,583
09/1971,565,463,582
10/1971,565,463,582
11/1971,565,463,582
12/1971,565,463,579
01/1972,564,463,575
02/1972,563,462,574
03/1972,563,462,572
04/1972,562,462,571
05/1972,562,461,569
06/1972,561,461,567
07/1972,588,457,638
08/1972,588,457,635
09/1972,585,455,633
10/1972,583,455,632
11/1972,581,455,632
12/1972,582,455,631
01/1973,581,455,630
02/1973,581,455,629
03/1973,579,454,628
04/1973,577,454,625
05/1973,577,454,623
06/1973,572,451,621
07/1973,626,487,648
08/1973,625,487,644
09/1973,622,486,646
10/1973,622,485,643
11/1973,621,484,642
12/1973,622,483,640
01/1974,620,482,642
02/1974,615,480,640
03/1974,613,479,636
04/1974,612,479,635
05/1974,612,475,634
06/1974,610,475,630
07/1974,883,620,781
08/1974,879,620,777
09/1974,876,618,770
10/1974,871,612,765
11/1974,870,613,764
12/1974,866,612,761
01/1975,866,612,758
02/1975,864,611,755
03/1975,863,611,756
04/1975,861,610,755
05/1975,861,608,753
06/1975,857,605,752
07/1975,1127,756,1113
08/1975,1122,755,1114
09/1975,1124,753,1113
10/1975,1122,752,1107
11/1975,1122,751,1108
12/1975,1118,752,1101
01/1976,1111,751,1100
02/1976,1096,739,1067
03/1976,1101,752,1098
04/1976,1090,743,1075
05/1976,1094,749,1081
06/1976,1095,749,1078
07/1976,1083,1005,1176
08/1976,1083,1002,1178
09/1976,1046,927,1076
10/1976,1082,997,1172
11/1976,1080,987,1156
12/1976,1079,992,1166
01/1977,1074,989,1164
02/1977,1063,969,1149
03/1977,1067,979,1161
04/1977,1064,975,1157
05/1977,1062,976,1153
06/1977,1059,970,1151
07/1977,1190,848,1219
08/1977,1185,848,1212
09/1977,1179,843,1205
10/1977,1177,841,1194
11/1977,1176,836,1188
12/1977,1172,836,1184
01/1978,1169,836,1177
02/1978,1166,824,1166
03/1978,1165,821,1163
04/1978,1158,821,1156
05/1978,1156,817,1154
06/1978,1150,809,1145
