date,p1,p2,p3
07/1963,1,,
08/1963,1,,
09/1963,1,,
10/1963,1,,
11/1963,1,,
12/1963,1,,
01/1964,1,,
02/1964,1,,
03/1964,1,,
04/1964,1,,
05/1964,1,,
06/1964,1,,
07/1964,1,1,
08/1964,1,1,
09/1964,1,1,
10/1964,1,1,
11/1964,1,1,
12/1964,1,1,
01/1965,1,1,
02/1965,1,1,
03/1965,1,1,
04/1965,1,1,
05/1965,1,1,
06/1965,1,1,
07/1965,2,1,
08/1965,2,1,
09/1965,2,1,
10/1965,2,1,
11/1965,2,1,
12/1965,2,1,
01/1966,2,1,
02/1966,2,1,
03/1966,2,1,
04/1966,2,1,
05/1966,2,1,
06/1966,2,1,
07/1966,2,1,1
08/1966,2,1,1
09/1966,2,1,1
10/1966,2,1,1
11/1966,2,1,1
12/1966,2,1,1
01/1967,2,1,1
02/1967,2,1,1
03/1967,2,1,1
04/1967,2,1,1
05/1967,2,1,1
06/1967,2,1,1
07/1967,2,1,1
08/1967,2,1,1
09/1967,2,1,1
10/1967,2,1,1
11/1967,2,1,1
12/1967,2,1,1
01/1968,2,1,1
02/1968,2,1,1
03/1968,2,1,1
04/1968,2,1,1
05/1968,2,1,1
06/1968,2,1,1
07/1968,2,1,1
08/1968,2,1,1
09/1968,2,1,1
10/1968,2,1,1
11/1968,2,1,1
12/1968,2,1,1
01/1969,2,1,1
02/1969,2,1,1
03/1969,2,1,1
04/1969,2,1,1
05/1969,2,1,1
06/1969,2,1,1
07/1969,2,1,1
08/1969,2,1,1
09/1969,2,1,1
10/1969,2,1,1
11/1969,2,1,1
12/1969,2,1,1
01/1970,2,1,1
02/1970,2,1,1
03/1970,2,1,1
04/1970,2,1,1
05/1970,2,1,1
06/1970,2,1,1
07/1970,2,1,1
08/1970,2,1,1
09/1970,2,1,1
10/1970,2,1,1
11/1970,2,1,1
12/1970,2,1,1
01/1971,2,1,1
02/1971,2,1,1
03/1971,2,1,1
04/1971,2,1,1
05/1971,2,1,1
06/1971,2,1,1
07/1971,2,1,1
08/1971,2,1,1
09/1971,2,1,1
10/1971,2,1,1
11/1971,2,1,1
12/1971,2,1,1
01/1972,2,1,1
02/1972,2,1,1
03/1972,2,1,1
04/1972,2,1,1
05/1972,2,1,1
06/1972,2,1,1
07/1972,2,1,1
08/1972,2,1,1
09/1972,2,1,1
10/1972,2,1,1
11/1972,2,1,1
12/1972,2,1,1
01/1973,2,1,1
02/1973,2,1,1
03/1973,2,1,1
04/1973,2,1,1
05/1973,2,1,1
06/1973,2,1,1
07/1973,3,2,1
08/1973,3,2,1
09/1973,3,2,1
10/1973,3,2,1
11/1973,3,2,1
12/1973,3,2,1
01/1974,3,2,1
02/1974,3,2,1
03/1974,3,2,1
04/1974,3,2,1
05/1974,3,2,1
06/1974,3,2,1
07/1974,4,4,3
08/1974,4,4,3
09/1974,4,4,3
10/1974,4,4,3
11/1974,4,4,3
12/1974,4,4,3
01/1975,4,4,3
02/1975,4,4,3
03/1975,4,4,3
04/1975,4,4,3
05/1975,4,4,3
06/1975,4,4,3
07/1975,5,4,4
08/1975,5,4,4
09/1975,5,4,4
10/1975,5,4,4
11/1975,5,4,4
12/1975,5,4,4
01/1976,5,4,4
02/1976,5,4,4
03/1976,5,4,4
04/1976,5,4,4
05/1976,5,4,4
06/1976,5,4,4
07/1976,5,4,4
08/1976,5,4,4
09/1976,5,4,4
10/1976,5,4,4
11/1976,5,4,4
12/1976,5,4,4
01/1977,5,4,4
02/1977,5,4,4
03/1977,5,4,4
04/1977,5,4,4
05/1977,5,4,4
06/1977,5,4,4
07/1977,6,5,4
08/1977,6,5,4
09/1977,6,5,4
10/1977,6,5,4
11/1977,6,5,4
12/1977,6,5,4
01/1978,6,5,4
02/1978,6,5,4
03/1978,6,5,4
04/1978,6,5,4
05/1978,6,5,4
06/1978,6,5,4
07/1978,6,6,5
08/1978,6,6,5
09/1978,6,6,5
10/1978,6,6,5
11/1978,6,6,5
12/1978,6,6,5
01/1979,6,6,5
02/1979,6,6,5
03/1979,6,6,5
04/1979,6,6,5
05/1979,6,6,5
06/1979,6,6,5
07/1979,7,7,6
08/1979,7,7,6
09/1979,7,7,6
10/1979,7,7,6
11/1979,7,7,6
12/1979,7,7,6
01/1980,7,7,6
02/1980,7,7,6
03/1980,7,7,6
04/1980,7,7,6
05/1980,7,7,6
06/1980,7,7,6
07/1980,9,8,7
08/1980,9,8,7
09/1980,9,8,7
10/1980,9,8,7
11/1980,9,8,7
12/1980,9,8,7
01/1981,9,8,7
02/1981,9,8,7
03/1981,9,8,7
04/1981,9,8,7
05/1981,9,8,7
06/1981,9,8,7
07/1981,11,10,10
08/1981,11,10,10
09/1981,11,10,10
10/1981,11,10,9
11/1981,11,10,9
12/1981,11,10,9
01/1982,11,10,9
02/1982,11,10,9
03/1982,11,10,9
04/1982,11,10,9
05/1982,11,10,9
06/1982,11,10,9
07/1982,12,12,11
08/1982,11,12,11
09/1982,12,12,11
10/1982,12,12,11
11/1982,12,12,11
12/1982,12,12,11
01/1983,12,12,11
02/1983,12,12,11
03/1983,12,12,11
04/1983,12,12,11
05/1983,12,12,11
06/1983,12,12,11
07/1983,12,12,11
08/1983,12,12,11
09/1983,12,12,11
10/1983,12,12,11
11/1983,12,12,11
12/1983,12,12,11
01/1984,12,12,11
02/1984,12,12,11
03/1984,12,12,10
04/1984,12,12,10
05/1984,12,12,10
06/1984,12,12,10
07/1984,12,12,11
08/1984,12,12,11
09/1984,12,12,11
10/1984,12,12,11
11/1984,12,12,11
12/1984,12,12,11
01/1985,12,12,11
02/1985,12,12,11
03/1985,12,12,11
04/1985,12,12,11
05/1985,12,12,11
06/1985,12,12,11
07/1985,13,13,12
08/1985,13,13,12
09/1985,13,13,12
10/1985,13,13,12
11/1985,13,13,12
12/1985,13,13,12
01/1986,13,13,12
02/1986,13,13,12
03/1986,13,13,12
04/1986,13,13,12
05/1986,13,13,12
06/1986,13,13,12
07/1986,14,13,13
08/1986,14,13,13
09/1986,14,13,13
10/1986,14,13,13
11/1986,14,13,13
12/1986,14,12,13
01/1987,14,12,13
02/1987,14,12,13
03/1987,14,12,13
04/1987,14,12,13
05/1987,14,12,13
06/1987,14,12,13
07/1987,12,11,11
08/1987,12,11,11
09/1987,12,11,11
10/1987,12,11,11
11/1987,12,11,11
12/1987,12,11,11
01/1988,12,11,11
02/1988,12,11,11
03/1988,12,11,11
04/1988,12,11,11
05/1988,12,11,11
06/1988,12,11,11
07/1988,15,14,13
08/1988,14,14,13
09/1988,14,14,13
10/1988,14,14,13
11/1988,14,14,13
12/1988,14,14,13
01/1989,14,14,13
02/1989,14,14,13
03/1989,14,14,13
04/1989,14,14,13
05/1989,14,14,12
06/1989,14,14,12
07/1989,17,16,15
08/1989,17,16,15
09/1989,17,16,15
10/1989,17,16,15
11/1989,17,16,15
12/1989,17,16,15
01/1990,17,16,15
02/1990,17,16,15
03/1990,17,16,15
04/1990,17,16,15
05/1990,17,16,15
06/1990,17,16,15
07/1990,21,19,19
08/1990,21,19,19
09/1990,21,19,19
10/1990,21,19,19
11/1990,21,19,19
12/1990,21,19,19
01/1991,21,19,19
02/1991,21,19,19
03/1991,21,19,19
04/1991,21,19,19
05/1991,21,19,19
06/1991,21,19,19
07/1991,23,22,22
08/1991,23,22,22
09/1991,23,22,22
10/1991,23,22,22
11/1991,23,22,22
12/1991,23,22,22
01/1992,23,22,22
02/1992,23,22,22
03/1992,23,22,22
04/1992,23,22,22
05/1992,23,22,22
06/1992,23,22,22
07/1992,23,21,21
08/1992,23,21,21
09/1992,23,21,21
10/1992,23,21,21
11/1992,23,21,21
12/1992,23,21,21
01/1993,23,21,21
02/1993,23,21,21
03/1993,23,21,21
04/1993,23,21,21
05/1993,23,21,21
06/1993,23,21,21
07/1993,24,23,23
08/1993,24,23,23
09/1993,24,23,23
10/1993,24,23,23
11/1993,24,23,23
12/1993,24,23,23
01/1994,24,23,23
02/1994,24,23,23
03/1994,24,23,23
04/1994,24,23,23
05/1994,24,23,23
06/1994,24,23,23
07/1994,27,24,24
08/1994,27,24,24
09/1994,27,24,24
10/1994,27,24,24
11/1994,27,24,24
12/1994,27,24,23
01/1995,27,24,23
02/1995,27,24,23
03/1995,27,24,23
04/1995,27,24,23
05/1995,27,24,23
06/1995,27,24,23
07/1995,28,27,25
08/1995,28,27,25
09/1995,28,27,25
10/1995,28,27,25
11/1995,28,27,25
12/1995,28,27,25
01/1996,28,27,25
02/1996,28,27,25
03/1996,28,27,25
04/1996,28,27,25
05/1996,28,27,25
06/1996,28,27,25
07/1996,31,30,30
08/1996,31,30,30
09/1996,31,30,30
10/1996,31,30,30
11/1996,31,30,30
12/1996,31,30,30
01/1997,30,30,30
02/1997,30,30,30
03/1997,30,30,30
04/1997,30,30,30
05/1997,30,30,30
06/1997,30,30,30
07/1997,32,32,31
08/1997,32,32,31
09/1997,32,31,31
10/1997,32,31,31
11/1997,32,31,31
12/1997,32,31,31
01/1998,32,31,31
02/1998,32,31,31
03/1998,32,31,31
04/1998,32,31,31
05/1998,31,31,31
06/1998,31,31,31
07/1998,35,35,35
08/1998,35,35,35
09/1998,35,35,35
10/1998,35,34,35
11/1998,35,34,35
12/1998,34,34,35
01/1999,34,34,34
02/1999,34,34,34
03/1999,34,34,34
04/1999,34,34,34
05/1999,34,34,34
06/1999,34,34,34
07/1999,39,36,39
08/1999,39,36,39
09/1999,38,36,39
10/1999,38,36,39
11/1999,38,35,39
12/1999,36,35,39
01/2000,36,35,39
02/2000,36,35,39
03/2000,36,35,39
04/2000,36,35,39
05/2000,35,35,39
06/2000,35,35,39
07/2000,37,38,39
08/2000,37,38,39
09/2000,37,38,39
10/2000,37,38,39
11/2000,37,38,39
12/2000,37,38,39
01/2001,37,38,39
02/2001,36,38,39
03/2001,36,38,39
04/2001,36,38,39
05/2001,36,38,39
06/2001,36,38,39
07/2001,46,43,42
08/2001,46,43,42
09/2001,45,43,42
10/2001,44,43,41
11/2001,44,43,40
12/2001,44,43,40
01/2002,44,43,39
02/2002,44,43,38
03/2002,44,43,38
04/2002,44,43,38
05/2002,44,43,38
06/2002,43,42,38
07/2002,48,43,42
08/2002,48,43,42
09/2002,48,43,41
10/2002,48,43,41
11/2002,48,43,41
12/2002,48,43,41
01/2003,47,43,41
02/2003,47,43,41
03/2003,47,43,41
04/2003,47,43,41
05/2003,46,42,40
06/2003,46,42,40
07/2003,39,37,44
08/2003,39,37,44
09/2003,39,37,44
10/2003,39,37,44
11/2003,39,37,44
12/2003,39,37,44
01/2004,39,37,44
02/2004,39,37,44
03/2004,39,37,44
04/2004,39,37,43
05/2004,39,37,43
06/2004,39,37,43
07/2004,41,41,47
08/2004,41,41,47
09/2004,41,41,47
10/2004,41,41,47
11/2004,41,41,47
12/2004,41,41,47
01/2005,41,41,47
02/2005,41,41,47
03/2005,40,41,47
04/2005,40,39,47
05/2005,40,39,47
06/2005,40,39,47
07/2005,53,46,56
08/2005,53,46,55
09/2005,53,45,54
10/2005,52,45,53
11/2005,52,45,52
12/2005,52,45,50
01/2006,51,45,50
02/2006,51,45,50
03/2006,51,45,50
04/2006,51,45,50
05/2006,51,45,50
06/2006,51,45,50
07/2006,54,54,59
08/2006,54,54,59
09/2006,54,54,59
10/2006,54,54,59
11/2006,54,54,59
12/2006,54,54,58
01/2007,53,54,58
02/2007,52,53,58
03/2007,52,53,58
04/2007,52,53,57
05/2007,52,53,57
06/2007,52,53,57
07/2007,62,55,57
08/2007,62,55,57
09/2007,62,55,57
10/2007,62,55,57
11/2007,60,55,57
12/2007,60,55,57
01/2008,60,55,56
02/2008,60,55,56
03/2008,60,55,56
04/2008,60,55,56
05/2008,60,55,56
06/2008,60,55,56
07/2008,64,60,58
08/2008,64,60,58
09/2008,64,60,57
10/2008,64,60,57
11/2008,64,60,57
12/2008,64,59,56
01/2009,64,59,56
02/2009,64,59,56
03/2009,64,59,55
04/2009,64,59,54
05/2009,64,59,54
06/2009,64,59,54
07/2009,64,63,66
08/2009,64,63,65
09/2009,64,63,65
10/2009,64,63,65
11/2009,64,62,65
12/2009,64,62,64
01/2010,64,62,64
02/2010,63,62,64
03/2010,62,62,63
04/2010,62,62,63
05/2010,62,62,63
06/2010,62,62,63
07/2010,53,55,59
08/2010,53,55,59
09/2010,53,55,59
10/2010,53,54,59
11/2010,53,54,59
12/2010,53,54,59
01/2011,53,54,59
02/2011,53,54,59
03/2011,53,54,59
04/2011,53,53,59
05/2011,53,53,59
06/2011,53,53,59
07/2011,55,55,63
08/2011,55,55,63
09/2011,55,55,63
10/2011,54,55,63
11/2011,54,55,63
12/2011,54,55,63
01/2012,53,55,63
02/2012,53,55,63
03/2012,53,55,63
04/2012,53,53,63
05/2012,53,53,63
06/2012,53,53,63
07/2012,60,62,64
08/2012,60,62,64
09/2012,60,62,64
10/2012,60,62,64
11/2012,60,62,63
12/2012,60,62,63
01/2013,60,62,63
02/2013,60,62,63
03/2013,60,62,63
04/2013,60,62,63
05/2013,60,62,63
06/2013,60,62,63
07/2013,62,62,67
08/2013,61,62,67
09/2013,61,62,67
10/2013,60,62,67
11/2013,59,62,67
12/2013,59,62,67
01/2014,58,62,67
02/2014,58,62,67
03/2014,58,62,67
04/2014,58,62,66
05/2014,58,62,66
06/2014,58,62,66
07/2014,69,67,64
08/2014,69,67,64
09/2014,69,67,64
10/2014,69,67,64
11/2014,69,66,64
12/2014,69,66,64
01/2015,69,66,64
02/2015,69,65,64
03/2015,69,65,64
04/2015,69,65,64
05/2015,69,65,64
06/2015,68,65,64
07/2015,69,63,76
08/2015,69,63,74
09/2015,69,63,74
10/2015,69,63,74
11/2015,69,63,74
12/2015,69,63,74
01/2016,69,63,74
02/2016,69,63,74
03/2016,69,63,74
04/2016,69,63,74
05/2016,69,63,73
06/2016,68,63,73
07/2016,64,63,74
08/2016,64,63,74
09/2016,64,63,74
10/2016,64,63,73
11/2016,64,63,73
12/2016,64,63,73
01/2017,63,63,73
02/2017,63,63,73
03/2017,63,63,73
04/2017,63,63,73
05/2017,63,63,73
06/2017,63,63,73
07/2017,67,65,75
08/2017,67,65,74
09/2017,66,65,72
10/2017,65,65,72
11/2017,65,65,72
12/2017,65,65,72
01/2018,65,65,72
02/2018,65,65,72
03/2018,65,65,72
04/2018,65,65,72
05/2018,65,65,72
06/2018,65,65,72
07/2018,73,74,71
08/2018,73,74,71
09/2018,73,74,71
10/2018,72,74,71
11/2018,71,74,70
12/2018,71,74,70
01/2019,71,74,69
02/2019,71,74,69
03/2019,71,74,69
04/2019,71,74,68
05/2019,71,74,68
06/2019,71,74,68
07/2019,78,80,73
08/2019,78,80,73
09/2019,78,79,73
10/2019,78,79,73
11/2019,78,79,73
12/2019,78,78,73
01/2020,78,77,73
02/2020,78,77,73
03/2020,78,77,73
04/2020,77,77,73
05/2020,76,77,73
06/2020,75,77,73
07/2020,85,70,76
08/2020,85,70,76
09/2020,85,70,76
10/2020,85,70,76
11/2020,85,70,76
12/2020,85,70,76
