date,p1,p2,p3
07/1963,214,207,200
08/1963,214,207,200
09/1963,214,207,200
10/1963,214,207,200
11/1963,214,207,200
12/1963,214,206,200
01/1964,212,207,199
02/1964,213,207,200
03/1964,213,206,200
04/1964,214,207,200
05/1964,214,207,200
06/1964,214,207,200
07/1964,248,236,237
08/1964,248,236,238
09/1964,248,236,238
10/1964,248,236,238
11/1964,248,236,238
12/1964,248,236,238
01/1965,248,236,238
02/1965,248,236,238
03/1965,247,236,238
04/1965,248,236,238
05/1965,248,236,238
06/1965,248,236,237
07/1965,279,263,284
08/1965,279,263,284
09/1965,279,263,284
10/1965,279,263,284
11/1965,279,263,284
12/1965,279,263,282
01/1966,279,262,281
02/1966,279,263,283
03/1966,279,263,284
04/1966,279,263,284
05/1966,278,262,283
06/1966,279,263,283
07/1966,317,293,308
08/1966,317,293,309
09/1966,317,293,309
10/1966,317,293,309
11/1966,317,293,309
12/1966,317,293,309
01/1967,317,293,309
02/1967,317,293,309
03/1967,317,293,309
04/1967,317,293,309
05/1967,317,292,309
06/1967,317,292,308
07/1967,392,342,366
08/1967,392,342,365
09/1967,391,342,364
10/1967,392,341,364
11/1967,392,340,363
12/1967,391,340,362
01/1968,391,341,363
02/1968,389,340,361
03/1968,389,340,362
04/1968,389,339,361
05/1968,389,339,360
06/1968,387,339,359
07/1968,467,371,416
08/1968,467,370,414
09/1968,467,370,414
10/1968,467,368,414
11/1968,467,369,412
12/1968,467,368,413
01/1969,467,367,413
02/1969,467,366,411
03/1969,467,366,411
04/1969,466,365,409
05/1969,466,364,409
06/1969,466,365,409
07/1969,537,421,449
08/1969,537,421,448
09/1969,537,420,448
10/1969,537,420,446
11/1969,537,420,447
12/1969,537,420,448
01/1970,537,420,448
02/1970,535,420,446
03/1970,536,420,448
04/1970,535,420,447
05/1970,534,420,447
06/1970,532,418,445
07/1970,653,447,499
08/1970,652,448,499
09/1970,651,447,498
10/1970,651,447,497
11/1970,650,445,497
12/1970,649,442,497
01/1971,646,442,495
02/1971,644,442,494
03/1971,641,441,494
04/1971,640,440,493
05/1971,639,438,489
06/1971,638,435,487
07/1971,669,472,552
08/1971,668,470,551
09/1971,668,470,550
10/1971,668,470,550
11/1971,668,470,550
12/1971,667,470,548
01/1972,666,469,545
02/1972,666,468,543
03/1972,665,468,542
04/1972,664,467,542
05/1972,665,464,541
06/1972,664,464,539
07/1972,648,520,627
08/1972,648,519,626
09/1972,646,518,622
10/1972,644,518,621
11/1972,643,518,620
12/1972,644,518,619
01/1973,643,517,617
02/1973,643,516,617
03/1973,640,515,616
04/1973,637,514,616
05/1973,637,513,615
06/1973,630,512,613
07/1973,956,643,751
08/1973,955,643,747
09/1973,952,642,745
10/1973,950,641,742
11/1973,951,640,742
12/1973,951,638,738
01/1974,948,636,740
02/1974,938,634,740
03/1974,936,630,737
04/1974,936,631,734
05/1974,930,627,734
06/1974,928,629,729
07/1974,1370,838,887
08/1974,1366,839,884
09/1974,1356,838,878
10/1974,1349,834,872
11/1974,1340,831,870
12/1974,1337,829,866
01/1975,1335,828,861
02/1975,1331,827,862
03/1975,1332,826,862
04/1975,1331,825,863
05/1975,1333,823,865
06/1975,1328,818,861
07/1975,1423,890,1010
08/1975,1415,888,1012
09/1975,1424,888,1012
10/1975,1417,888,1008
11/1975,1420,884,1011
12/1975,1411,886,1007
01/1976,1412,883,1009
02/1976,1382,876,980
03/1976,1403,883,1009
04/1976,1385,877,990
05/1976,1394,877,1001
06/1976,1393,879,1004
07/1976,1373,835,1132
08/1976,1371,832,1140
09/1976,1314,779,1030
10/1976,1370,827,1133
11/1976,1362,821,1118
12/1976,1364,825,1126
01/1977,1359,821,1125
02/1977,1342,810,1105
03/1977,1352,813,1118
04/1977,1349,810,1113
05/1977,1345,811,1111
06/1977,1337,810,1109
07/1977,1392,892,1040
08/1977,1389,887,1037
09/1977,1379,887,1029
10/1977,1376,880,1024
11/1977,1378,874,1016
12/1977,1374,870,1014
01/1978,1374,866,1007
02/1978,1362,856,1002
03/1978,1360,856,998
04/1978,1353,854,992
05/1978,1350,850,991
06/1978,1338,848,982
07/1978,1364,842,1036
08/1978,1359,839,1034
09/1978,1350,834,1025
10/1978,1346,833,1020
11/1978,1342,828,1019
12/1978,1333,824,1017
01/1979,1326,819,1018
02/1979,1319,817,1007
03/1979,1311,815,999
04/1979,1305,812,998
05/1979,1302,807,993
06/1979,1296,799,989
07/1979,1408,816,990
08/1979,1402,813,982
09/1979,1398,810,972
10/1979,1391,802,971
11/1979,1389,798,972
12/1979,1379,795,972
01/1980,1370,789,965
02/1980,1362,779,952
03/1980,1358,774,950
04/1980,1355,769,939
05/1980,1350,769,934
06/1980,1346,768,930
07/1980,1377,881,1032
08/1980,1372,881,1031
09/1980,1370,877,1024
10/1980,1358,868,1014
11/1980,1360,866,1012
12/1980,1349,864,1004
01/1981,1344,861,1004
02/1981,1336,857,998
03/1981,1325,849,991
04/1981,1320,844,983
05/1981,1309,843,979
06/1981,1306,839,973
07/1981,1446,855,1059
08/1981,1441,853,1055
09/1981,1434,847,1051
10/1981,1424,840,1036
11/1981,1426,836,1039
12/1981,1416,833,1040
01/1982,1409,828,1027
02/1982,1406,824,1028
03/1982,1397,820,1024
04/1982,1388,809,1020
05/1982,1382,807,1012
06/1982,1378,801,1006
07/1982,1698,874,999
08/1982,1691,866,993
09/1982,1691,863,988
10/1982,1678,856,981
11/1982,1655,852,976
12/1982,1651,854,972
01/1983,1643,851,968
02/1983,1625,842,965
03/1983,1618,840,960
04/1983,1607,838,957
05/1983,1599,833,951
06/1983,1594,830,945
07/1983,1803,809,1064
08/1983,1800,807,1056
09/1983,1787,806,1048
10/1983,1773,804,1041
11/1983,1764,800,1035
12/1983,1755,801,1031
01/1984,1742,801,1023
02/1984,1730,793,1015
03/1984,1715,782,1010
04/1984,1708,779,1004
05/1984,1703,779,999
06/1984,1692,775,991
07/1984,1960,865,1057
08/1984,1957,857,1052
09/1984,1944,851,1043
10/1984,1927,841,1027
11/1984,1911,835,1019
12/1984,1887,828,1008
01/1985,1878,822,999
02/1985,1858,820,989
03/1985,1847,811,985
04/1985,1833,808,973
05/1985,1824,804,972
06/1985,1810,793,961
07/1985,2139,916,975
08/1985,2125,910,969
09/1985,2105,902,956
10/1985,2084,895,948
11/1985,2065,886,943
12/1985,2050,875,936
01/1986,2025,870,926
02/1986,2009,868,920
03/1986,1989,864,917
04/1986,1976,854,913
05/1986,1968,848,897
06/1986,1950,837,891
07/1986,2015,937,1008
08/1986,2000,930,1000
09/1986,1988,926,989
10/1986,1967,916,981
11/1986,1945,906,965
12/1986,1920,899,949
01/1987,1873,883,933
02/1987,1858,875,927
03/1987,1855,869,924
04/1987,1841,860,916
05/1987,1836,856,908
06/1987,1827,851,906
07/1987,2091,937,1010
08/1987,2079,930,1005
09/1987,2055,925,994
10/1987,2040,919,987
11/1987,2016,915,977
12/1987,2000,907,965
01/1988,1981,897,956
02/1988,1964,894,948
03/1988,1943,882,939
04/1988,1926,877,931
05/1988,1909,868,928
06/1988,1889,851,920
07/1988,2176,971,1024
08/1988,2161,963,1015
09/1988,2139,949,1004
10/1988,2111,940,997
11/1988,2095,933,986
12/1988,2075,922,973
01/1989,2047,913,965
02/1989,2032,904,959
03/1989,2017,893,950
04/1989,1996,884,947
05/1989,1981,878,940
06/1989,1963,868,930
07/1989,2001,931,1133
08/1989,1989,922,1130
09/1989,1971,915,1121
10/1989,1951,910,1111
11/1989,1937,904,1101
12/1989,1917,900,1093
01/1990,1900,892,1087
02/1990,1883,885,1079
03/1990,1871,882,1072
04/1990,1854,878,1069
05/1990,1836,877,1058
06/1990,1816,872,1047
07/1990,1838,915,1215
08/1990,1826,908,1205
09/1990,1810,904,1194
10/1990,1795,900,1191
11/1990,1777,899,1178
12/1990,1764,893,1170
01/1991,1756,890,1159
02/1991,1744,887,1148
03/1991,1734,884,1140
04/1991,1716,880,1126
05/1991,1702,875,1121
06/1991,1689,873,1110
07/1991,1786,933,1225
08/1991,1770,929,1211
09/1991,1759,925,1200
10/1991,1750,924,1196
11/1991,1739,917,1186
12/1991,1726,909,1184
01/1992,1716,903,1170
02/1992,1702,898,1162
03/1992,1688,896,1156
04/1992,1682,895,1144
05/1992,1669,889,1137
06/1992,1646,878,1119
07/1992,1772,939,1212
08/1992,1760,936,1194
09/1992,1746,928,1181
10/1992,1740,921,1174
11/1992,1727,914,1161
12/1992,1715,908,1156
01/1993,1709,904,1151
02/1993,1705,900,1144
03/1993,1699,900,1137
04/1993,1687,894,1132
05/1993,1684,889,1121
06/1993,1674,887,1120
07/1993,2067,941,1163
08/1993,2055,937,1155
09/1993,2050,937,1145
10/1993,2040,936,1135
11/1993,2032,935,1133
12/1993,2025,932,1121
01/1994,2013,925,1118
02/1994,2004,920,1114
03/1994,1989,917,1103
04/1994,1984,917,1099
05/1994,1973,914,1091
06/1994,1968,908,1084
07/1994,2341,1026,1184
08/1994,2332,1019,1176
09/1994,2319,1016,1166
10/1994,2301,1017,1162
11/1994,2288,1013,1158
12/1994,2276,1005,1151
01/1995,2256,997,1140
02/1995,2242,992,1137
03/1995,2226,988,1132
04/1995,2207,982,1120
05/1995,2201,977,1112
06/1995,2183,968,1103
07/1995,2555,1087,1178
08/1995,2546,1078,1169
09/1995,2528,1072,1160
10/1995,2511,1069,1146
11/1995,2495,1063,1139
12/1995,2476,1056,1130
01/1996,2457,1051,1123
02/1996,2438,1045,1119
03/1996,2420,1043,1110
04/1996,2412,1033,1105
05/1996,2396,1029,1101
06/1996,2377,1026,1091
07/1996,2587,1189,1244
08/1996,2569,1182,1237
09/1996,2546,1169,1230
10/1996,2531,1165,1217
11/1996,2517,1160,1208
12/1996,2506,1154,1195
01/1997,2485,1144,1175
02/1997,2468,1140,1168
03/1997,2451,1134,1156
04/1997,2429,1126,1148
05/1997,2417,1117,1145
06/1997,2403,1105,1139
07/1997,2832,1256,1314
08/1997,2806,1248,1296
09/1997,2781,1232,1282
10/1997,2767,1219,1267
11/1997,2746,1204,1260
12/1997,2727,1196,1248
01/1998,2690,1174,1233
02/1998,2660,1165,1219
03/1998,2633,1158,1209
04/1998,2608,1143,1189
05/1998,2583,1133,1182
06/1998,2557,1125,1170
07/1998,2839,1215,1294
08/1998,2816,1203,1272
09/1998,2785,1191,1266
10/1998,2749,1179,1242
11/1998,2701,1154,1221
12/1998,2673,1147,1209
