date,p1,p2,p3
07/1963,1973,,
08/1963,1975,,
09/1963,1974,,
10/1963,1974,,
11/1963,1974,,
12/1963,1980,,
01/1964,1970,,
02/1964,1985,,
03/1964,1987,,
04/1964,1993,,
05/1964,2007,,
06/1964,2009,,
07/1964,2013,,
08/1964,2022,,
09/1964,2030,,
10/1964,2029,,
11/1964,2033,,
12/1964,2035,,
01/1965,2037,,
02/1965,2040,,
03/1965,2045,,
04/1965,2045,,
05/1965,2051,,
06/1965,2055,,
07/1965,2060,,
08/1965,2069,,
09/1965,2074,,
10/1965,2067,,
11/1965,2067,,
12/1965,2073,,
01/1966,2061,,
02/1966,2075,,
03/1966,2076,,
04/1966,2072,,
05/1966,2065,,
06/1966,2074,,
07/1966,2073,,
08/1966,2089,,
09/1966,2091,,
10/1966,2095,,
11/1966,2098,,
12/1966,2099,,
01/1967,2092,,
02/1967,2096,,
03/1967,2098,,
04/1967,2095,,
05/1967,2097,,
06/1967,2093,,
07/1967,2093,,
08/1967,2086,,
09/1967,2087,,
10/1967,2086,,
11/1967,2091,,
12/1967,2091,,
01/1968,2086,,
02/1968,2077,,
03/1968,2081,,
04/1968,2088,,
05/1968,2093,,
06/1968,2095,,
07/1968,2088,,
08/1968,2077,,
09/1968,2089,,
10/1968,2089,,
11/1968,2092,,
12/1968,2099,,
01/1969,2102,,
02/1969,2102,,
03/1969,2116,,
04/1969,2121,,
05/1969,2138,,
06/1969,2146,,
07/1969,2157,,
08/1969,2167,,
09/1969,2183,,
10/1969,2190,,
11/1969,2196,,
12/1969,2204,,
01/1970,2210,,
02/1970,2219,,
03/1970,2239,,
04/1970,2248,,
05/1970,2249,,
06/1970,2255,,
07/1970,2254,,
08/1970,2260,,
09/1970,2264,,
10/1970,2272,,
11/1970,2281,,
12/1970,2289,,
01/1971,2287,,
02/1971,2295,,
03/1971,2297,,
04/1971,2298,,
05/1971,2303,,
06/1971,2310,,
07/1971,2315,,
08/1971,2326,,
09/1971,2340,,
10/1971,2353,,
11/1971,2363,,
12/1971,2377,,
01/1972,2389,,
02/1972,2401,,
03/1972,2411,,
04/1972,2421,,
05/1972,2433,,
06/1972,2438,,
07/1972,2441,,
08/1972,2450,,
09/1972,2462,,
10/1972,2473,,
11/1972,2482,,
12/1972,2499,,
01/1973,5374,,
02/1973,5398,,
03/1973,5394,,
04/1973,5348,,
05/1973,5311,,
06/1973,5244,,
07/1973,5201,,
08/1973,5166,,
09/1973,5120,,
10/1973,5074,,
11/1973,5074,,
12/1973,4983,,
