date,p1,p2,p3
08/1963,1026,467,456
09/1963,1019,460,467
10/1963,1034,459,456
11/1963,1034,453,462
12/1963,1029,469,451
01/1964,1024,474,438
02/1964,1040,464,443
03/1964,1040,463,448
04/1964,1041,475,448
05/1964,1036,479,459
06/1964,1028,487,459
07/1964,1029,476,466
08/1964,1038,486,457
09/1964,1051,483,466
10/1964,1055,479,463
11/1964,1065,481,463
12/1964,1058,486,465
01/1965,1056,486,471
02/1965,1061,484,467
03/1965,1073,477,460
04/1965,1093,469,451
05/1965,1094,486,437
06/1965,1110,479,436
07/1965,1106,468,450
08/1965,1086,492,458
09/1965,1060,511,469
10/1965,1065,508,468
11/1965,1062,510,470
12/1965,1081,501,465
01/1966,1075,495,460
02/1966,1100,488,456
03/1966,1106,487,459
04/1966,1089,503,461
05/1966,1085,489,472
06/1966,1085,488,473
07/1966,1069,507,464
08/1966,1060,508,479
09/1966,1057,501,498
10/1966,1051,503,506
11/1966,1039,521,514
12/1966,1047,515,512
01/1967,1061,518,491
02/1967,1089,507,475
03/1967,1108,501,467
04/1967,1126,483,467
05/1967,1119,494,463
06/1967,1107,508,454
07/1967,1107,497,453
08/1967,1116,486,449
09/1967,1112,488,452
10/1967,1102,492,454
11/1967,1101,493,454
12/1967,1113,481,453
01/1968,1119,461,466
02/1968,1112,471,458
03/1968,1125,473,448
04/1968,1124,477,450
05/1968,1109,493,448
06/1968,1132,482,437
07/1968,1149,468,430
08/1968,1138,473,424
09/1968,1145,475,425
10/1968,1129,482,426
11/1968,1136,467,435
12/1968,1139,473,427
01/1969,1115,493,436
02/1969,1112,494,440
03/1969,1103,505,448
04/1969,1119,493,448
05/1969,1125,490,456
06/1969,1144,482,459
07/1969,1153,487,458
08/1969,1120,522,470
09/1969,1120,528,474
10/1969,1100,547,483
11/1969,1150,525,472
12/1969,1158,531,476
01/1970,1159,541,471
02/1970,1154,533,488
03/1970,1152,526,509
04/1970,1130,558,508
05/1970,1135,563,503
06/1970,1160,567,490
07/1970,1170,554,498
08/1970,1146,573,506
09/1970,1141,581,509
10/1970,1161,574,502
11/1970,1195,565,487
12/1970,1196,579,471
01/1971,1197,576,474
02/1971,1232,560,462
03/1971,1254,538,468
04/1971,1274,526,464
05/1971,1274,530,462
06/1971,1273,526,470
07/1971,1249,542,480
08/1971,1259,535,488
09/1971,1231,561,505
10/1971,1260,551,499
11/1971,1254,567,502
12/1971,1266,581,486
01/1972,1268,577,496
02/1972,1303,550,493
03/1972,1321,553,482
04/1972,1336,551,484
05/1972,1335,555,491
06/1972,1311,579,500
07/1972,1307,586,510
08/1972,1297,593,521
09/1972,1284,613,520
10/1972,1282,616,517
11/1972,1294,605,530
12/1972,1282,631,535
01/1973,1314,606,534
02/1973,1324,603,533
03/1973,1324,616,534
04/1973,2872,1187,1167
05/1973,2724,1295,1202
06/1973,2735,1257,1197
07/1973,2645,1257,1257
08/1973,2631,1211,1292
09/1973,2537,1231,1321
10/1973,2507,1217,1318
11/1973,2478,1230,1326
