date,p1,p2,p3
07/1963,297,284,298
08/1963,297,284,299
09/1963,297,284,299
10/1963,297,284,299
11/1963,296,283,299
12/1963,296,283,299
01/1964,295,283,299
02/1964,297,283,299
03/1964,297,282,299
04/1964,297,282,299
05/1964,297,284,299
06/1964,297,284,298
07/1964,332,318,361
08/1964,332,317,363
09/1964,332,318,363
10/1964,332,317,362
11/1964,332,318,363
12/1964,332,318,363
01/1965,332,318,363
02/1965,332,318,362
03/1965,332,318,361
04/1965,332,318,362
05/1965,332,318,362
06/1965,332,318,362
07/1965,363,351,408
08/1965,363,351,408
09/1965,363,351,408
10/1965,363,351,407
11/1965,363,351,407
12/1965,362,351,406
01/1966,360,349,405
02/1966,362,351,407
03/1966,363,351,407
04/1966,363,351,407
05/1966,361,351,405
06/1966,362,351,407
07/1966,419,382,441
08/1966,419,383,441
09/1966,419,383,441
10/1966,419,383,440
11/1966,419,383,440
12/1966,419,383,440
01/1967,419,383,440
02/1967,418,383,440
03/1967,419,383,440
04/1967,419,383,440
05/1967,419,383,439
06/1967,419,382,439
07/1967,505,455,550
08/1967,506,453,550
09/1967,505,452,549
10/1967,505,452,550
11/1967,505,453,548
12/1967,505,452,547
01/1968,505,452,548
02/1968,504,449,547
03/1968,504,449,548
04/1968,503,449,547
05/1968,503,449,546
06/1968,501,449,545
07/1968,635,486,478
08/1968,633,485,476
09/1968,633,485,476
10/1968,632,483,476
11/1968,632,483,475
12/1968,633,483,475
01/1969,633,483,474
02/1969,632,483,471
03/1969,632,483,471
04/1969,631,483,468
05/1969,631,482,468
06/1969,631,482,469
07/1969,740,517,481
08/1969,740,515,480
09/1969,739,514,481
10/1969,739,513,480
11/1969,737,514,481
12/1969,738,514,481
01/1970,739,514,481
02/1970,736,513,481
03/1970,738,514,481
04/1970,737,513,480
05/1970,736,513,480
06/1970,732,511,480
07/1970,718,596,574
08/1970,714,596,575
09/1970,714,593,574
10/1970,711,593,573
11/1970,711,593,570
12/1970,710,591,568
01/1971,708,589,567
02/1971,706,588,566
03/1971,703,588,564
04/1971,699,588,564
05/1971,697,584,561
06/1971,694,580,560
07/1971,665,625,659
08/1971,664,623,658
