date,p1,p2,p3
07/1963,315,306,305
08/1963,315,305,305
09/1963,315,305,304
10/1963,315,305,304
11/1963,314,304,303
12/1963,313,304,303
01/1964,311,304,304
02/1964,313,303,304
03/1964,314,305,305
04/1964,316,306,306
05/1964,316,306,307
06/1964,317,306,307
07/1964,317,309,308
08/1964,317,308,307
09/1964,319,308,308
10/1964,317,308,308
11/1964,319,308,308
12/1964,319,309,309
01/1965,319,309,309
02/1965,320,308,310
03/1965,319,307,311
04/1965,320,308,311
05/1965,320,310,311
06/1965,324,314,311
07/1965,326,315,314
08/1965,326,318,314
09/1965,327,317,317
10/1965,325,317,314
11/1965,324,316,313
12/1965,325,317,314
01/1966,323,315,316
02/1966,323,316,314
03/1966,324,315,316
04/1966,325,318,317
05/1966,326,317,317
06/1966,327,317,317
07/1966,326,316,317
08/1966,327,317,317
09/1966,329,319,321
10/1966,330,322,321
11/1966,332,322,321
12/1966,331,322,320
01/1967,331,322,321
02/1967,333,321,322
03/1967,333,321,322
04/1967,333,322,323
05/1967,333,322,323
06/1967,332,322,322
07/1967,498,457,628
08/1967,508,465,603
09/1967,500,461,615
10/1967,483,469,612
11/1967,481,455,625
12/1967,489,469,602
01/1968,504,464,587
02/1968,511,453,580
03/1968,521,480,545
04/1968,526,493,532
05/1968,543,484,522
06/1968,545,493,512
07/1968,538,506,492
08/1968,549,500,475
09/1968,556,492,481
10/1968,566,493,462
11/1968,596,480,446
12/1968,604,469,451
01/1969,610,466,446
02/1969,630,470,418
03/1969,628,459,428
04/1969,622,467,428
05/1969,612,486,426
06/1969,652,469,406
07/1969,655,469,407
08/1969,660,462,404
09/1969,662,461,408
10/1969,677,447,406
11/1969,683,448,404
12/1969,678,449,413
01/1970,698,452,393
02/1970,707,446,396
03/1970,697,451,406
04/1970,685,463,412
05/1970,677,465,421
06/1970,688,464,416
07/1970,671,479,415
08/1970,662,466,439
09/1970,658,473,435
10/1970,660,460,449
11/1970,674,462,441
12/1970,657,454,465
01/1971,623,463,491
02/1971,641,455,481
03/1971,614,456,505
04/1971,599,464,510
05/1971,560,472,545
06/1971,579,459,539
07/1971,579,465,542
08/1971,563,472,556
