date,p1,p2,p3
07/1963,601,484,519
08/1963,580,482,558
09/1963,557,492,556
10/1963,587,482,535
11/1963,546,470,576
12/1963,513,471,591
01/1964,549,478,566
02/1964,577,493,539
03/1964,573,484,558
04/1964,570,504,559
05/1964,602,487,535
06/1964,603,478,545
07/1964,583,507,543
08/1964,584,504,561
09/1964,618,483,559
10/1964,602,482,579
11/1964,588,515,578
12/1964,596,506,578
01/1965,590,515,609
02/1965,597,523,610
03/1965,608,498,624
04/1965,599,504,641
05/1965,566,503,660
06/1965,522,518,655
07/1965,534,498,670
08/1965,563,506,655
09/1965,561,528,645
10/1965,585,500,662
11/1965,618,519,628
12/1965,629,517,630
01/1966,618,526,648
02/1966,582,558,690
03/1966,567,567,710
04/1966,524,598,714
05/1966,502,567,735
06/1966,511,558,734
07/1966,544,528,723
08/1966,525,530,706
09/1966,562,526,664
10/1966,610,524,609
11/1966,616,535,592
12/1966,704,524,518
01/1967,707,556,542
02/1967,740,542,565
03/1967,698,543,622
04/1967,625,548,697
05/1967,619,531,712
06/1967,546,566,784
07/1967,537,566,811
08/1967,537,528,846
09/1967,542,546,845
10/1967,568,548,803
11/1967,545,524,835
12/1967,519,546,855
01/1968,537,565,829
02/1968,542,547,826
03/1968,528,526,862
04/1968,564,543,835
05/1968,649,533,785
06/1968,620,568,781
07/1968,548,558,854
08/1968,620,549,802
09/1968,655,562,752
10/1968,593,564,814
11/1968,560,561,857
12/1968,653,535,795
01/1969,757,536,690
02/1969,687,521,768
03/1969,675,530,776
04/1969,721,558,704
05/1969,751,567,669
06/1969,740,577,666
07/1969,721,547,704
08/1969,822,569,596
09/1969,852,573,560
10/1969,855,566,598
11/1969,859,565,591
12/1969,764,577,636
01/1970,836,553,609
02/1970,840,553,623
03/1970,752,584,689
04/1970,719,568,642
05/1970,716,581,598
06/1970,749,571,503
07/1970,761,580,491
08/1970,735,609,532
09/1970,880,593,517
10/1970,818,578,530
11/1970,726,560,599
12/1970,690,554,670
01/1971,797,576,631
02/1971,828,561,652
03/1971,696,587,767
04/1971,630,616,820
05/1971,699,579,759
06/1971,641,617,765
07/1971,586,597,807
08/1971,610,598,800
09/1971,715,570,721
10/1971,761,574,653
11/1971,738,587,641
12/1971,784,609,632
01/1972,839,628,623
02/1972,817,621,683
03/1972,704,624,793
04/1972,639,640,849
05/1972,668,609,830
06/1972,646,611,841
07/1972,613,642,831
08/1972,657,605,829
09/1972,750,606,717
10/1972,817,605,640
11/1972,839,626,626
12/1972,837,633,604
01/1973,872,600,583
02/1973,849,587,582
03/1973,805,614,603
04/1973,734,648,590
05/1973,708,616,575
06/1973,683,601,575
07/1973,1285,1147,1165
08/1973,1262,1073,1133
09/1973,1468,1023,1074
10/1973,1438,1007,1090
11/1973,1324,919,922
12/1973,1099,957,978
01/1974,1153,1001,1071
02/1974,1182,1022,1015
03/1974,1134,1061,1020
04/1974,1141,1017,985
05/1974,932,872,1181
06/1974,970,839,1104
07/1974,914,872,1000
08/1974,751,859,1009
09/1974,774,756,920
10/1974,801,709,1045
11/1974,798,703,944
12/1974,821,713,785
01/1975,939,864,864
02/1975,968,875,869
03/1975,1093,862,872
04/1975,1110,833,880
05/1975,1167,841,919
06/1975,1106,893,997
07/1975,1096,864,1009
08/1975,1073,824,1006
09/1975,873,882,1086
10/1975,927,857,1042
11/1975,889,872,1078
12/1975,967,896,952
01/1976,1018,1014,1003
02/1976,1055,1029,1100
03/1976,1279,956,981
04/1976,1151,910,1111
05/1976,1135,926,1093
06/1976,1027,967,1170
07/1976,959,1000,1180
08/1976,927,1012,1036
09/1976,947,898,1135
10/1976,1092,951,1009
11/1976,1072,969,1038
12/1976,1127,959,1103
01/1977,1126,987,1100
02/1977,1021,925,1255
03/1977,936,933,1352
04/1977,875,905,1467
05/1977,833,928,1469
06/1977,861,946,1474
07/1977,825,905,1550
08/1977,888,905,1451
09/1977,889,916,1442
10/1977,871,894,1449
11/1977,905,972,1410
12/1977,863,925,1489
01/1978,927,962,1363
02/1978,823,894,1559
03/1978,790,950,1605
04/1978,813,954,1669
05/1978,848,1006,1647
06/1978,904,1010,1555
07/1978,856,975,1652
08/1978,884,967,1701
09/1978,1073,1002,1467
10/1978,1006,971,1270
11/1978,990,934,1349
12/1978,1052,865,1339
01/1979,1092,934,1327
02/1979,1083,924,1289
03/1979,1073,910,1384
04/1979,1052,1003,1342
05/1979,1124,999,1259
06/1979,1037,970,1372
07/1979,1041,961,1375
08/1979,1137,962,1340
09/1979,1150,1006,1253
10/1979,1193,945,1143
11/1979,1140,994,1185
12/1979,1191,963,1216
01/1980,1200,1044,1187
02/1980,1074,1064,1276
03/1980,908,1010,1252
04/1980,832,1069,1283
05/1980,1007,965,1268
06/1980,1094,970,1202
07/1980,1145,917,1299
08/1980,1174,1053,1190
09/1980,1338,1000,1115
10/1980,1339,902,1237
11/1980,1073,1004,1421
12/1980,998,1000,1450
01/1981,965,1102,1399
02/1981,1072,1042,1346
03/1981,985,1059,1455
04/1981,1148,1061,1326
05/1981,1270,1003,1284
06/1981,1264,1059,1214
07/1981,1253,999,1266
08/1981,1136,1004,1288
09/1981,1115,918,1258
10/1981,1054,987,1321
11/1981,1092,995,1306
12/1981,1124,1074,1157
01/1982,1190,1027,1132
02/1982,1187,997,1133
03/1982,1109,999,1172
04/1982,1075,1140,1099
05/1982,1070,1034,1193
06/1982,1024,1075,1125
07/1982,966,1054,1182
08/1982,987,1141,1107
09/1982,982,1106,1147
10/1982,1254,1047,1039
11/1982,1190,1046,1178
12/1982,1318,918,1201
01/1983,1261,1011,1235
02/1983,1261,956,1351
03/1983,1235,907,1443
04/1983,1006,997,1641
05/1983,1062,1079,1580
06/1983,1069,1012,1685
07/1983,1054,975,1740
08/1983,972,1035,1703
09/1983,1025,1062,1606
10/1983,1189,1011,1460
11/1983,1282,964,1442
12/1983,1392,1006,1281
01/1984,1558,1043,1125
02/1984,1555,974,1154
03/1984,1530,1013,1187
04/1984,1391,1074,1238
05/1984,1358,1068,1227
06/1984,1314,1068,1300
07/1984,1237,1009,1394
08/1984,1295,1074,1360
09/1984,1356,1103,1265
10/1984,1430,1101,1147
11/1984,1307,1112,1164
12/1984,1277,1121,1198
01/1985,1437,1087,1211
02/1985,1466,1083,1214
03/1985,1417,965,1359
04/1985,1201,933,1559
05/1985,1199,999,1462
06/1985,1108,994,1536
07/1985,1187,977,1491
08/1985,1155,983,1490
09/1985,1178,873,1509
10/1985,1218,933,1394
11/1985,1218,925,1424
12/1985,1315,925,1348
01/1986,1303,896,1450
02/1986,1380,888,1429
03/1986,1343,1012,1389
04/1986,1440,926,1385
05/1986,1462,996,1339
06/1986,1368,925,1511
07/1986,1279,971,1460
08/1986,1136,1016,1529
09/1986,1150,1137,1316
10/1986,1298,1115,1220
11/1986,1250,1069,1296
12/1986,1457,1117,980
01/1987,1582,1142,987
02/1987,1736,1099,1010
03/1987,1849,1033,1019
04/1987,1570,1097,1241
05/1987,1552,1072,1314
06/1987,1437,1201,1355
07/1987,1395,1279,1381
08/1987,1518,1190,1334
09/1987,1568,1247,1229
10/1987,1477,988,1077
11/1987,1383,970,1066
12/1987,1298,1090,1073
01/1988,1198,1129,1250
02/1988,1289,1139,1239
03/1988,1221,1099,1430
04/1988,1234,1097,1431
05/1988,1099,1045,1557
06/1988,1116,1133,1503
07/1988,1252,1056,1413
08/1988,1178,1060,1426
09/1988,1109,1125,1418
10/1988,1068,988,1539
11/1988,1313,913,1304
12/1988,1314,1019,1203
01/1989,1262,1029,1286
02/1989,1294,999,1294
03/1989,1443,997,1186
04/1989,1479,930,1219
05/1989,1376,962,1303
06/1989,1342,955,1293
07/1989,1433,862,1325
08/1989,1400,920,1266
09/1989,1443,927,1213
10/1989,1408,908,1149
11/1989,1299,907,1226
12/1989,1203,993,1200
01/1990,1142,1020,1110
02/1990,1182,1066,1027
03/1990,1066,1055,1174
04/1990,1036,1057,1131
05/1990,1181,987,1098
06/1990,1182,899,1197
07/1990,1230,904,1102
08/1990,1030,943,1097
09/1990,1076,843,1014
10/1990,987,856,981
11/1990,993,931,927
12/1990,974,1062,805
01/1991,1022,1040,874
02/1991,1154,1093,866
03/1991,1251,969,970
04/1991,1310,825,1086
05/1991,1159,858,1213
06/1991,1025,915,1255
07/1991,972,947,1294
08/1991,942,894,1387
09/1991,968,821,1428
10/1991,984,829,1410
11/1991,1041,864,1319
12/1991,1026,902,1324
01/1992,999,1005,1442
02/1992,1194,971,1362
03/1992,1049,924,1564
04/1992,1020,892,1577
05/1992,991,963,1569
06/1992,1118,908,1439
07/1992,1152,946,1394
08/1992,1118,823,1540
09/1992,1308,929,1266
10/1992,1365,950,1268
11/1992,1402,1052,1260
12/1992,1256,1097,1430
01/1993,1311,976,1579
02/1993,1173,944,1728
03/1993,1088,1049,1754
04/1993,1204,1010,1636
05/1993,1253,1046,1624
06/1993,1332,969,1639
07/1993,1392,1025,1565
08/1993,1437,1074,1526
09/1993,1450,1149,1513
10/1993,1377,1168,1673
11/1993,1281,1113,1814
12/1993,1212,1087,1910
01/1994,1220,1137,1951
02/1994,1304,1159,1890
03/1994,1293,1319,1699
04/1994,1184,1373,1733
05/1994,1322,1383,1596
06/1994,1493,1305,1516
07/1994,1495,1284,1600
08/1994,1453,1203,1781
09/1994,1594,1157,1727
10/1994,1640,1218,1648
11/1994,1433,1248,1779
12/1994,1380,1225,1813
01/1995,1410,1223,1850
02/1995,1624,1212,1684
03/1995,1488,1261,1787
04/1995,1487,1316,1761
05/1995,1680,1294,1635
06/1995,1685,1280,1727
07/1995,1915,1157,1701
08/1995,1664,1152,2000
09/1995,1589,1280,1973
10/1995,1415,1250,2075
11/1995,1390,1239,2129
12/1995,1376,1296,2086
01/1996,1434,1263,2092
02/1996,1650,1330,1857
03/1996,1741,1453,1706
04/1996,1876,1422,1681
05/1996,2103,1332,1690
06/1996,2031,1274,1795
07/1996,1801,1198,1998
08/1996,1826,1250,1958
09/1996,1789,1335,1940
10/1996,1847,1323,1848
