date,p1,p2,p3
07/1963,891,508,483
08/1963,823,498,563
09/1963,828,515,543
10/1963,838,509,535
11/1963,778,518,581
12/1963,769,516,596
01/1964,753,519,599
02/1964,796,501,581
03/1964,761,525,592
04/1964,754,537,600
05/1964,747,531,620
06/1964,730,530,637
07/1964,756,532,608
08/1964,774,537,587
09/1964,761,545,603
10/1964,769,543,593
11/1964,767,538,608
12/1964,745,547,626
01/1965,723,524,676
02/1965,760,529,638
03/1965,760,518,645
04/1965,736,532,663
05/1965,733,528,677
06/1965,707,546,692
07/1965,702,531,717
08/1965,712,542,702
09/1965,703,559,699
10/1965,712,545,697
11/1965,705,560,688
12/1965,669,592,698
01/1966,629,583,735
02/1966,651,583,732
03/1966,610,595,764
04/1966,607,596,768
05/1966,589,585,794
06/1966,584,615,777
07/1966,561,609,805
08/1966,566,630,790
09/1966,574,606,804
10/1966,577,573,839
11/1966,611,571,816
12/1966,727,561,710
01/1967,726,565,703
02/1967,771,591,634
03/1967,801,552,643
04/1967,769,582,644
05/1967,792,538,672
06/1967,724,552,720
07/1967,711,548,740
08/1967,641,571,781
09/1967,598,569,824
10/1967,572,572,838
11/1967,515,549,916
12/1967,513,540,920
01/1968,506,570,887
02/1968,500,553,897
03/1968,496,529,924
04/1968,518,531,902
05/1968,525,536,890
06/1968,509,566,881
07/1968,525,546,873
08/1968,540,543,850
09/1968,538,558,850
10/1968,576,519,853
11/1968,568,541,838
12/1968,585,538,826
01/1969,641,520,786
02/1969,638,503,798
03/1969,601,527,818
04/1969,617,519,813
05/1969,667,514,775
06/1969,732,534,693
07/1969,735,528,702
08/1969,770,542,660
09/1969,823,553,602
10/1969,828,576,581
11/1969,828,560,609
12/1969,805,583,620
01/1970,871,553,592
02/1970,920,523,591
03/1970,885,553,612
04/1970,917,556,593
05/1970,922,595,558
06/1970,981,565,539
07/1970,971,593,529
08/1970,950,608,552
09/1970,992,600,530
10/1970,973,615,538
11/1970,977,595,562
12/1970,956,613,572
01/1971,964,623,556
02/1971,1048,560,551
03/1971,975,593,598
04/1971,919,588,662
05/1971,800,610,760
06/1971,800,637,734
07/1971,813,630,735
08/1971,811,636,735
09/1971,820,640,735
10/1971,912,618,676
11/1971,880,613,728
12/1971,832,622,772
01/1972,836,639,757
02/1972,936,589,713
03/1972,872,620,748
04/1972,857,630,763
05/1972,862,618,781
06/1972,842,625,796
07/1972,836,639,799
08/1972,835,651,796
09/1972,838,644,804
10/1972,887,643,760
11/1972,845,668,791
12/1972,867,668,786
01/1973,945,639,745
02/1973,1056,636,650
03/1973,1022,681,645
04/1973,1045,687,623
05/1973,1034,722,609
06/1973,1000,746,613
07/1973,1033,753,583
08/1973,1041,752,590
09/1973,1005,750,635
10/1973,1028,747,623
11/1973,1078,696,637
12/1973,2002,1407,1382
01/1974,1973,1414,1350
02/1974,2212,1372,1163
03/1974,2168,1368,1202
04/1974,2199,1313,1225
05/1974,2057,1343,1328
06/1974,1910,1425,1363
07/1974,1846,1385,1445
08/1974,1873,1321,1462
09/1974,1823,1353,1443
10/1974,1656,1340,1598
11/1974,1679,1303,1584
12/1974,1843,1238,1450
01/1975,1682,1171,1643
02/1975,1845,1267,1365
03/1975,1930,1231,1326
04/1975,1973,1249,1274
05/1975,1989,1232,1286
06/1975,1997,1228,1262
07/1975,2054,1176,1254
08/1975,2089,1098,1287
09/1975,1947,1172,1368
10/1975,1965,1200,1312
11/1975,1765,1267,1445
12/1975,1822,1262,1382
01/1976,1804,1253,1418
02/1976,1791,1209,1390
03/1976,1943,1144,1374
04/1976,1705,1191,1533
05/1976,1700,1188,1563
06/1976,1636,1209,1625
07/1976,1603,1234,1631
08/1976,1927,1163,1383
09/1976,1751,1130,1338
10/1976,1913,1143,1423
11/1976,1808,1137,1504
12/1976,1737,1189,1555
01/1977,1769,1167,1549
02/1977,1683,1146,1603
03/1977,1679,1255,1535
04/1977,1620,1197,1645
05/1977,1652,1154,1667
06/1977,1594,1247,1640
07/1977,1436,1268,1787
08/1977,1498,1269,1710
09/1977,1366,1230,1876
10/1977,1303,1081,2084
11/1977,1261,1166,2029
12/1977,1172,1090,2188
01/1978,1268,1090,2086
02/1978,1352,1076,1983
03/1978,1263,1117,2035
04/1978,1183,1087,2128
05/1978,1208,1119,2082
06/1978,1200,1231,1965
07/1978,1056,1201,2112
08/1978,1082,1218,2060
09/1978,1195,1264,1878
10/1978,1158,1285,1893
11/1978,1148,1228,1953
12/1978,1207,1043,2074
01/1979,1264,1114,1938
02/1979,1381,1193,1723
03/1979,1453,1203,1627
04/1979,1458,1047,1789
05/1979,1442,1097,1749
06/1979,1483,1094,1711
07/1979,1508,1145,1625
08/1979,1492,1113,1679
09/1979,1625,1138,1527
10/1979,1695,1136,1461
