date,p1,p2,p3
07/1963,366,354,354
08/1963,367,356,355
09/1963,367,356,356
10/1963,367,356,356
11/1963,366,355,355
12/1963,366,355,355
01/1964,365,356,357
02/1964,461,494,876
03/1964,540,490,800
04/1964,533,491,817
05/1964,505,491,845
06/1964,513,516,807
07/1964,552,507,778
08/1964,606,514,722
09/1964,591,527,729
10/1964,563,511,770
11/1964,619,508,726
12/1964,645,524,687
01/1965,613,520,725
02/1965,570,522,766
03/1965,598,519,740
04/1965,605,531,721
05/1965,577,515,767
06/1965,605,509,750
07/1965,596,541,731
08/1965,624,552,705
09/1965,599,527,759
10/1965,620,513,743
11/1965,610,542,731
12/1965,615,523,755
01/1966,624,544,718
02/1966,637,532,734
03/1966,666,524,714
04/1966,693,527,689
05/1966,714,527,661
06/1966,715,553,637
07/1966,738,533,633
08/1966,717,540,654
09/1966,690,545,683
10/1966,690,525,707
11/1966,645,539,745
12/1966,646,537,748
01/1967,668,559,704
02/1967,704,581,650
03/1967,740,594,608
04/1967,768,627,546
05/1967,828,586,528
06/1967,820,588,531
07/1967,801,547,585
08/1967,771,569,587
09/1967,717,567,638
10/1967,646,554,711
11/1967,596,562,750
12/1967,512,536,862
01/1968,532,541,829
02/1968,538,522,839
03/1968,592,540,772
04/1968,687,556,662
05/1968,706,547,647
06/1968,765,569,565
07/1968,782,561,541
08/1968,808,543,518
09/1968,811,540,522
10/1968,775,542,546
11/1968,832,503,526
12/1968,840,532,492
01/1969,794,554,516
02/1969,789,535,530
03/1969,841,510,507
04/1969,802,519,540
05/1969,736,517,620
06/1969,728,550,600
07/1969,809,542,532
08/1969,761,535,588
09/1969,714,539,633
10/1969,770,545,578
11/1969,813,543,550
12/1969,759,525,630
01/1970,661,525,732
02/1970,739,514,672
03/1970,753,521,666
04/1970,690,554,703
05/1970,658,557,743
06/1970,655,569,738
07/1970,689,552,724
08/1970,584,563,828
09/1970,554,562,877
10/1970,580,566,859
11/1970,577,561,884
12/1970,618,589,825
01/1971,598,552,891
02/1971,609,556,888
03/1971,677,584,806
04/1971,648,591,837
05/1971,609,623,844
06/1971,518,625,936
07/1971,524,634,928
08/1971,574,679,841
09/1971,521,610,984
10/1971,547,600,982
11/1971,629,616,894
12/1971,692,608,845
01/1972,623,579,946
02/1972,631,567,958
03/1972,761,609,788
04/1972,825,648,694
05/1972,762,599,816
06/1972,774,661,748
07/1972,853,665,671
08/1972,840,666,687
09/1972,738,606,850
10/1972,656,593,947
11/1972,654,609,944
12/1972,635,625,961
