date,p1,p2,p3
07/1963,601,544,648
08/1963,600,542,646
09/1963,597,540,643
10/1963,594,539,641
11/1963,590,536,637
12/1963,589,536,633
01/1964,586,532,621
02/1964,587,533,626
03/1964,584,533,619
04/1964,586,530,620
05/1964,586,529,620
06/1964,583,527,615
07/1964,456,1185,255
08/1964,455,1179,256
09/1964,455,1181,256
10/1964,454,1174,252
11/1964,452,1174,251
12/1964,452,1168,251
01/1965,452,1162,249
02/1965,451,1157,249
03/1965,449,1154,245
04/1965,450,1145,245
05/1965,449,1142,243
06/1965,449,1137,242
07/1965,455,1220,276
08/1965,454,1222,275
09/1965,453,1216,275
10/1965,451,1205,275
11/1965,449,1200,273
12/1965,448,1197,273
01/1966,447,1181,270
02/1966,448,1185,269
03/1966,448,1181,268
04/1966,448,1176,266
05/1966,447,1166,264
06/1966,447,1163,262
07/1966,475,1221,280
08/1966,475,1220,280
09/1966,474,1214,280
10/1966,472,1214,278
11/1966,471,1212,277
12/1966,469,1208,275
01/1967,469,1196,274
02/1967,469,1193,273
03/1967,468,1190,273
04/1967,468,1185,272
05/1967,465,1180,272
06/1967,462,1169,271
07/1967,496,1232,269
08/1967,494,1219,268
09/1967,493,1210,267
10/1967,490,1203,262
11/1967,488,1198,260
12/1967,486,1189,259
01/1968,481,1179,257
02/1968,475,1168,254
03/1968,472,1168,252
04/1968,470,1163,252
05/1968,469,1154,251
06/1968,465,1150,250
07/1968,462,467,1016
08/1968,459,464,1000
09/1968,459,463,998
10/1968,457,458,991
11/1968,455,455,983
12/1968,455,454,976
01/1969,453,452,967
02/1969,450,448,957
03/1969,450,447,951
04/1969,448,446,942
05/1969,448,443,941
06/1969,447,443,936
07/1969,482,402,1086
08/1969,480,401,1079
09/1969,478,401,1073
10/1969,477,399,1068
11/1969,478,399,1064
12/1969,476,398,1063
01/1970,474,397,1058
02/1970,472,394,1058
03/1970,471,395,1058
04/1970,470,395,1054
05/1970,469,394,1051
06/1970,468,392,1045
07/1970,481,456,1159
08/1970,478,456,1155
09/1970,477,456,1151
10/1970,477,456,1145
11/1970,476,455,1143
12/1970,475,453,1140
01/1971,475,452,1132
02/1971,474,450,1130
03/1971,473,448,1125
04/1971,473,447,1119
05/1971,473,444,1112
06/1971,472,443,1105
07/1971,489,454,1236
08/1971,489,451,1234
09/1971,489,451,1233
10/1971,489,450,1233
11/1971,489,450,1233
12/1971,489,449,1229
01/1972,488,447,1225
02/1972,488,445,1222
03/1972,488,445,1216
04/1972,488,444,1212
05/1972,488,445,1208
06/1972,488,445,1198
07/1972,526,1550,200
08/1972,526,1542,200
09/1972,525,1532,200
10/1972,524,1527,200
11/1972,523,1524,199
12/1972,523,1522,199
01/1973,522,1516,199
02/1973,522,1510,199
03/1973,522,1503,199
04/1973,520,1498,198
05/1973,521,1493,198
06/1973,519,1484,198
07/1973,655,1436,280
08/1973,655,1430,278
09/1973,653,1423,277
10/1973,652,1417,278
11/1973,652,1413,278
12/1973,652,1406,278
01/1974,651,1402,278
02/1974,649,1394,278
03/1974,650,1384,277
04/1974,649,1378,277
05/1974,646,1374,277
06/1974,647,1366,276
07/1974,4224,,458
08/1974,4191,,460
09/1974,4149,,454
10/1974,4114,,451
11/1974,4076,,449
12/1974,4038,,449
01/1975,4008,,442
02/1975,3985,,442
03/1975,3994,,435
04/1975,3991,,436
05/1975,3995,,435
06/1975,3976,,432
07/1975,1021,2334,1148
08/1975,1021,2327,1142
09/1975,1018,2328,1152
10/1975,1014,2318,1151
11/1975,1015,2316,1145
12/1975,1015,2296,1142
01/1976,1010,2302,1138
02/1976,989,2249,1120
03/1976,1007,2289,1130
04/1976,991,2269,1118
05/1976,997,2272,1124
06/1976,995,2278,1114
07/1976,1226,2622,627
08/1976,1223,2615,627
09/1976,1193,2406,602
10/1976,1222,2604,625
11/1976,1215,2576,620
12/1976,1220,2586,621
01/1977,1210,2582,618
02/1977,1202,2535,613
03/1977,1199,2560,617
04/1977,1199,2548,609
05/1977,1198,2539,613
06/1977,1192,2537,608
07/1977,906,883,2701
08/1977,900,875,2680
09/1977,893,867,2667
10/1977,890,864,2648
11/1977,887,863,2632
12/1977,883,860,2625
01/1978,881,858,2607
02/1978,873,849,2584
03/1978,871,850,2572
04/1978,866,846,2559
05/1978,861,843,2557
06/1978,858,840,2530
07/1978,1075,963,2331
08/1978,1066,962,2321
09/1978,1052,959,2301
10/1978,1046,955,2297
11/1978,1042,953,2285
12/1978,1038,949,2275
01/1979,1029,946,2269
02/1979,1017,944,2256
03/1979,1010,936,2246
04/1979,1007,932,2244
05/1979,1002,927,2230
06/1979,999,921,2219
07/1979,1140,1003,2134
08/1979,1133,996,2127
09/1979,1130,993,2108
10/1979,1121,987,2103
11/1979,1118,983,2102
12/1979,1115,983,2090
01/1980,1107,977,2067
02/1980,1096,970,2048
03/1980,1087,970,2041
04/1980,1083,960,2028
05/1980,1079,957,2014
06/1980,1075,956,1998
07/1980,1122,1043,2066
08/1980,1119,1042,2058
09/1980,1106,1042,2043
10/1980,1095,1034,2028
11/1980,1095,1032,2027
12/1980,1091,1024,2012
01/1981,1089,1015,2009
02/1981,1085,1007,1995
03/1981,1074,997,1986
04/1981,1071,992,1972
05/1981,1066,986,1963
06/1981,1060,985,1959
07/1981,1434,1033,1835
08/1981,1434,1029,1827
09/1981,1430,1024,1817
10/1981,1417,1019,1794
11/1981,1418,1022,1789
12/1981,1414,1020,1777
01/1982,1404,1011,1757
02/1982,1404,1010,1744
03/1982,1398,1008,1734
04/1982,1390,1000,1710
05/1982,1385,995,1698
06/1982,1380,993,1680
07/1982,1276,1152,2219
08/1982,1265,1147,2200
09/1982,1261,1142,2191
10/1982,1254,1136,2162
11/1982,1241,1129,2132
12/1982,1240,1129,2131
01/1983,1232,1122,2110
02/1983,1223,1111,2095
03/1983,1212,1108,2090
04/1983,1208,1102,2082
05/1983,1204,1096,2065
06/1983,1200,1094,2053
07/1983,1434,1178,2056
08/1983,1432,1174,2041
09/1983,1425,1165,2023
10/1983,1420,1159,2001
11/1983,1415,1152,1988
12/1983,1409,1149,1980
01/1984,1400,1142,1965
02/1984,1393,1135,1942
03/1984,1388,1123,1923
04/1984,1383,1123,1907
05/1984,1377,1118,1901
06/1984,1369,1116,1883
07/1984,1559,1239,2070
08/1984,1553,1236,2047
09/1984,1543,1229,2027
10/1984,1525,1214,2006
11/1984,1512,1207,1989
12/1984,1497,1196,1968
01/1985,1494,1183,1951
02/1985,1480,1176,1926
03/1985,1471,1171,1911
04/1985,1459,1169,1891
05/1985,1449,1164,1878
06/1985,1437,1153,1860
07/1985,1723,1429,2080
08/1985,1712,1421,2054
09/1985,1703,1408,2021
10/1985,1695,1395,1999
11/1985,1685,1386,1978
12/1985,1674,1372,1959
01/1986,1653,1355,1939
02/1986,1643,1343,1922
03/1986,1633,1335,1907
04/1986,1617,1326,1890
05/1986,1607,1316,1865
06/1986,1587,1305,1852
07/1986,1809,1290,1998
08/1986,1792,1282,1969
09/1986,1778,1275,1943
10/1986,1764,1264,1918
11/1986,1749,1252,1886
12/1986,1724,1245,1859
01/1987,1691,1220,1812
02/1987,1683,1206,1787
03/1987,1678,1204,1779
04/1987,1667,1193,1765
05/1987,1657,1188,1755
06/1987,1649,1184,1744
07/1987,1878,1433,1967
08/1987,1868,1420,1947
09/1987,1850,1409,1928
10/1987,1840,1396,1912
11/1987,1830,1378,1890
12/1987,1814,1364,1876
01/1988,1796,1352,1855
02/1988,1780,1343,1844
03/1988,1757,1326,1829
04/1988,1744,1318,1814
05/1988,1728,1305,1801
06/1988,1707,1293,1775
07/1988,1966,2298,1360
08/1988,1955,2268,1350
09/1988,1936,2239,1338
10/1988,1917,2214,1327
11/1988,1904,2186,1322
12/1988,1883,2165,1310
01/1989,1853,2132,1299
02/1989,1842,2112,1291
03/1989,1827,2092,1281
04/1989,1811,2075,1270
05/1989,1801,2055,1261
06/1989,1783,2038,1249
07/1989,2043,2248,1181
08/1989,2027,2228,1177
09/1989,2002,2206,1169
10/1989,1981,2180,1160
11/1989,1967,2160,1152
12/1989,1945,2138,1144
01/1990,1935,2113,1137
02/1990,1916,2095,1131
03/1990,1900,2079,1129
04/1990,1892,2059,1122
05/1990,1877,2043,1112
06/1990,1861,2020,1103
07/1990,1851,2277,1163
08/1990,1844,2244,1156
09/1990,1828,2219,1146
10/1990,1817,2206,1140
11/1990,1799,2183,1141
12/1990,1780,2165,1136
01/1991,1771,2143,1131
02/1991,1758,2125,1124
03/1991,1744,2113,1118
04/1991,1723,2092,1113
05/1991,1711,2074,1105
06/1991,1692,2059,1098
07/1991,1893,2037,1324
08/1991,1882,2007,1315
09/1991,1874,1987,1311
10/1991,1864,1975,1306
11/1991,1850,1962,1302
12/1991,1841,1949,1295
01/1992,1817,1925,1293
02/1992,1803,1911,1289
03/1992,1793,1896,1284
04/1992,1783,1878,1277
05/1992,1772,1858,1269
06/1992,1743,1829,1266
07/1992,1959,1266,1907
08/1992,1943,1259,1872
09/1992,1927,1252,1848
