date,p1,p2,p3
07/1963,419,536,272
08/1963,1767,,110
09/1963,1766,,112
10/1963,1771,,110
11/1963,1759,,114
12/1963,1757,,118
01/1964,444,1171,247
02/1964,449,1182,244
03/1964,450,1177,245
04/1964,453,1182,244
05/1964,457,1185,249
06/1964,453,1185,252
07/1964,453,1186,251
08/1964,453,1184,255
09/1964,455,1193,255
10/1964,452,1189,259
11/1964,454,1193,257
12/1964,458,1191,262
01/1965,442,1201,269
02/1965,443,1204,274
03/1965,443,1209,267
04/1965,444,1210,265
05/1965,443,1215,269
06/1965,447,1220,267
07/1965,449,1220,268
08/1965,452,1227,273
09/1965,452,1226,273
10/1965,451,1228,272
11/1965,450,1227,273
12/1965,449,1237,266
01/1966,467,1203,271
02/1966,469,1220,267
03/1966,469,1230,264
04/1966,473,1222,270
05/1966,474,1218,271
06/1966,472,1216,276
07/1966,472,1219,276
08/1966,474,1228,276
09/1966,473,1232,275
10/1966,477,1232,272
11/1966,474,1245,269
12/1966,473,1253,265
01/1967,501,1215,273
02/1967,499,1225,269
03/1967,500,1224,269
04/1967,498,1225,267
05/1967,497,1225,265
06/1967,496,1225,267
07/1967,490,1231,266
08/1967,489,1229,266
09/1967,489,1226,268
10/1967,486,1230,262
11/1967,487,1229,257
12/1967,483,1225,260
01/1968,470,1296,190
02/1968,469,1273,202
03/1968,465,457,1024
04/1968,466,457,1022
05/1968,463,459,1020
06/1968,462,459,1024
07/1968,459,466,1014
08/1968,458,459,1011
09/1968,457,457,1020
10/1968,460,458,1019
11/1968,458,1291,192
12/1968,452,457,1029
01/1969,473,408,1058
02/1969,469,406,1058
03/1969,471,406,1057
04/1969,471,401,1064
05/1969,471,402,1075
06/1969,474,399,1081
07/1969,477,401,1080
08/1969,478,402,1083
09/1969,482,405,1083
10/1969,481,408,1091
11/1969,480,409,1100
12/1969,478,409,1115
01/1970,481,430,1094
02/1970,482,435,1104
03/1970,483,437,1122
04/1970,478,445,1130
05/1970,477,455,1133
06/1970,475,455,1144
07/1970,477,455,1149
08/1970,475,459,1159
09/1970,471,1468,171
10/1970,472,1478,170
11/1970,474,1479,171
12/1970,475,1478,178
01/1971,480,444,1211
02/1971,478,444,1223
03/1971,481,446,1228
04/1971,482,445,1236
05/1971,485,448,1232
06/1971,484,450,1232
07/1971,487,454,1228
08/1971,486,459,1230
09/1971,489,465,1231
10/1971,491,473,1235
11/1971,493,475,1244
12/1971,495,481,1243
01/1972,518,1519,187
02/1972,520,1527,184
03/1972,520,1522,193
04/1972,523,1526,192
05/1972,524,1536,192
06/1972,526,1537,196
07/1972,525,1548,193
08/1972,525,1548,200
09/1972,527,1546,205
10/1972,529,1545,215
11/1972,527,1551,214
12/1972,528,1563,217
01/1973,655,1399,272
02/1973,657,1406,275
03/1973,658,1416,271
04/1973,654,1423,271
05/1973,655,1430,271
06/1973,651,1437,270
07/1973,653,1433,273
08/1973,655,1446,264
09/1973,664,1455,261
10/1973,664,1466,263
11/1973,658,1473,267
12/1973,768,1482,680
01/1974,4345,,377
02/1974,4343,,390
03/1974,4349,,383
04/1974,4328,,407
05/1974,4306,,417
