date,p1,p2,p3
07/1963,94,88,90
08/1963,94,89,90
09/1963,94,89,90
10/1963,94,89,90
11/1963,94,89,90
12/1963,94,89,89
01/1964,94,89,89
02/1964,94,89,90
03/1964,94,89,90
04/1964,94,89,90
05/1964,94,89,90
06/1964,94,89,90
07/1964,110,103,108
08/1964,110,103,108
09/1964,110,103,108
10/1964,110,103,108
11/1964,110,103,108
12/1964,110,103,108
01/1965,110,103,108
02/1965,110,103,108
03/1965,110,103,108
04/1965,110,103,108
05/1965,110,103,108
06/1965,110,102,108
07/1965,127,118,135
08/1965,127,118,135
09/1965,127,118,135
10/1965,127,118,135
11/1965,127,118,135
12/1965,127,118,134
01/1966,127,118,134
02/1966,127,118,135
03/1966,127,118,135
04/1966,127,118,135
05/1966,127,118,135
06/1966,127,118,135
07/1966,164,156,169
08/1966,164,156,169
09/1966,164,156,169
10/1966,164,156,169
11/1966,164,156,169
12/1966,164,156,169
01/1967,164,156,169
02/1967,163,156,169
03/1967,164,156,169
04/1967,164,156,169
05/1967,164,156,168
06/1967,164,156,168
07/1967,272,262,298
08/1967,272,263,297
09/1967,272,263,297
10/1967,272,263,296
11/1967,271,263,297
12/1967,271,261,297
01/1968,271,262,297
02/1968,270,261,296
03/1968,270,261,297
04/1968,270,261,297
05/1968,270,261,297
06/1968,269,261,296
07/1968,352,333,428
08/1968,352,333,427
09/1968,352,333,427
10/1968,352,332,427
11/1968,352,333,427
12/1968,352,333,427
01/1969,352,333,427
02/1969,352,333,426
03/1969,352,333,426
04/1969,351,332,425
05/1969,352,329,425
06/1969,352,331,425
07/1969,412,368,423
08/1969,412,367,422
09/1969,412,367,423
10/1969,412,367,422
11/1969,412,367,422
12/1969,412,367,423
01/1970,412,367,423
02/1970,411,366,423
03/1970,412,368,423
04/1970,411,368,423
05/1970,410,368,423
06/1970,410,368,423
07/1970,501,408,464
08/1970,501,409,464
09/1970,500,409,462
10/1970,500,408,463
11/1970,499,408,463
12/1970,499,409,463
01/1971,498,409,463
02/1971,498,409,463
03/1971,497,408,462
04/1971,496,408,462
05/1971,497,408,462
06/1971,495,408,461
07/1971,519,469,612
08/1971,518,466,612
09/1971,518,465,612
10/1971,518,466,611
11/1971,518,466,611
12/1971,518,466,608
01/1972,518,464,605
02/1972,517,463,604
03/1972,516,463,602
04/1972,515,463,601
05/1972,516,462,598
06/1972,514,461,598
07/1972,530,498,639
08/1972,531,498,635
09/1972,530,495,632
10/1972,530,494,630
11/1972,530,493,629
12/1972,530,493,629
01/1973,528,493,629
02/1973,528,493,628
03/1973,527,492,626
04/1973,525,492,624
05/1973,525,492,622
06/1973,521,488,620
07/1973,594,505,639
08/1973,594,501,638
09/1973,591,501,639
10/1973,592,500,635
11/1973,591,498,635
12/1973,591,498,633
01/1974,590,498,633
02/1974,585,498,629
03/1974,583,497,625
04/1974,583,496,624
05/1974,584,494,621
06/1974,582,494,617
07/1974,810,724,858
08/1974,807,721,856
09/1974,806,720,846
10/1974,800,717,839
11/1974,799,717,840
12/1974,798,712,838
01/1975,797,713,835
02/1975,794,713,832
03/1975,793,713,833
04/1975,791,713,830
05/1975,790,710,830
06/1975,785,709,828
07/1975,1002,862,1081
08/1975,999,860,1081
09/1975,1001,860,1078
10/1975,999,858,1073
11/1975,1001,857,1072
12/1975,997,854,1069
01/1976,991,854,1065
02/1976,981,836,1034
03/1976,987,852,1062
04/1976,975,840,1043
05/1976,981,843,1050
06/1976,979,846,1047
07/1976,998,1023,1177
08/1976,996,1022,1179
09/1976,955,951,1080
10/1976,994,1022,1170
11/1976,992,1006,1160
12/1976,993,1015,1164
01/1977,989,1010,1163
02/1977,977,992,1149
03/1977,981,1000,1162
04/1977,980,996,1156
05/1977,978,996,1153
06/1977,976,989,1151
07/1977,1051,981,1156
08/1977,1048,975,1153
09/1977,1044,971,1144
10/1977,1044,964,1136
11/1977,1042,963,1128
12/1977,1041,959,1123
01/1978,1039,956,1118
02/1978,1033,948,1108
03/1978,1029,949,1104
04/1978,1021,948,1099
05/1978,1021,946,1094
06/1978,1014,941,1083
07/1978,1031,927,1128
08/1978,1027,921,1124
09/1978,1019,913,1119
10/1978,1016,912,1114
11/1978,1016,909,1109
12/1978,1005,907,1108
01/1979,1006,903,1102
02/1979,999,897,1097
03/1979,990,890,1094
04/1979,990,886,1089
05/1979,981,881,1090
06/1979,975,876,1084
07/1979,1035,878,1078
08/1979,1032,873,1069
09/1979,1028,865,1063
10/1979,1020,865,1055
11/1979,1022,861,1054
12/1979,1018,857,1050
01/1980,1015,851,1039
02/1980,1004,843,1028
03/1980,1002,841,1022
04/1980,1001,836,1010
05/1980,995,835,1008
06/1980,992,831,1007
07/1980,1008,845,1082
08/1980,1007,840,1082
09/1980,1001,838,1079
10/1980,996,831,1064
11/1980,995,831,1061
12/1980,991,828,1049
01/1981,979,825,1056
02/1981,977,818,1048
03/1981,972,810,1041
04/1981,969,805,1032
05/1981,962,799,1031
06/1981,960,797,1021
07/1981,1004,845,1138
08/1981,1004,841,1130
09/1981,997,838,1124
10/1981,990,834,1106
11/1981,992,836,1103
12/1981,990,831,1103
01/1982,985,823,1096
02/1982,984,822,1093
03/1982,980,817,1082
04/1982,972,811,1073
05/1982,970,807,1066
06/1982,965,805,1059
07/1982,1029,861,1103
08/1982,1024,857,1089
09/1982,1024,855,1083
10/1982,1020,852,1067
11/1982,1014,847,1054
12/1982,1011,846,1054
01/1983,1009,839,1047
02/1983,1002,832,1034
03/1983,996,833,1026
04/1983,992,831,1020
05/1983,990,826,1010
06/1983,986,823,1006
07/1983,1068,926,1153
08/1983,1066,921,1146
09/1983,1062,911,1141
10/1983,1054,912,1128
11/1983,1050,911,1118
12/1983,1047,912,1112
01/1984,1044,905,1100
02/1984,1037,898,1090
03/1984,1026,890,1080
04/1984,1022,884,1077
05/1984,1020,883,1072
06/1984,1012,878,1065
07/1984,1251,828,1151
08/1984,1246,820,1146
09/1984,1237,815,1133
10/1984,1229,807,1115
11/1984,1222,798,1106
12/1984,1210,794,1087
01/1985,1205,791,1076
02/1985,1189,785,1070
03/1985,1183,778,1059
04/1985,1176,774,1048
05/1985,1169,773,1041
06/1985,1163,766,1030
07/1985,1288,827,1172
08/1985,1285,823,1157
09/1985,1281,816,1138
10/1985,1270,810,1131
11/1985,1260,804,1123
12/1985,1254,800,1105
01/1986,1245,790,1093
02/1986,1240,783,1086
03/1986,1232,779,1078
04/1986,1224,774,1072
05/1986,1213,764,1065
06/1986,1201,759,1055
07/1986,1237,819,1336
08/1986,1229,812,1322
09/1986,1225,810,1303
10/1986,1217,801,1284
11/1986,1203,792,1260
12/1986,1191,782,1241
01/1987,1167,769,1213
02/1987,1161,767,1202
03/1987,1157,766,1197
04/1987,1149,759,1188
05/1987,1141,753,1185
06/1987,1138,750,1175
07/1987,1143,842,1336
08/1987,1137,836,1327
09/1987,1129,824,1316
10/1987,1124,820,1299
11/1987,1114,814,1283
12/1987,1107,805,1265
01/1988,1097,797,1251
02/1988,1089,791,1243
03/1988,1083,786,1223
04/1988,1070,781,1217
05/1988,1058,774,1209
06/1988,1045,766,1196
07/1988,1148,891,1359
08/1988,1143,882,1347
09/1988,1135,873,1326
10/1988,1125,868,1313
11/1988,1117,863,1300
12/1988,1106,851,1289
01/1989,1093,842,1275
02/1989,1084,833,1264
03/1989,1078,824,1253
04/1989,1071,817,1244
05/1989,1059,811,1240
06/1989,1048,805,1227
07/1989,1131,863,1464
08/1989,1122,862,1449
09/1989,1114,855,1437
10/1989,1111,846,1417
11/1989,1106,842,1403
12/1989,1097,839,1386
01/1990,1088,829,1377
02/1990,1078,823,1368
03/1990,1070,822,1360
04/1990,1063,820,1353
05/1990,1061,816,1334
06/1990,1051,811,1313
07/1990,1189,778,1436
08/1990,1186,773,1421
09/1990,1180,768,1407
10/1990,1175,767,1399
11/1990,1162,764,1385
12/1990,1158,758,1375
01/1991,1154,753,1360
02/1991,1149,752,1346
03/1991,1143,749,1336
04/1991,1130,743,1321
05/1991,1127,737,1311
06/1991,1118,733,1300
07/1991,1125,830,1411
08/1991,1115,828,1391
09/1991,1109,820,1383
10/1991,1107,817,1376
11/1991,1104,813,1360
12/1991,1097,808,1348
01/1992,1093,804,1326
02/1992,1087,799,1312
03/1992,1077,796,1304
04/1992,1076,790,1297
05/1992,1069,789,1285
06/1992,1057,782,1260
07/1992,1079,906,1348
08/1992,1077,900,1322
09/1992,1066,891,1308
10/1992,1061,888,1298
11/1992,1054,879,1283
12/1992,1050,871,1273
01/1993,1047,870,1264
02/1993,1046,870,1256
03/1993,1042,866,1250
04/1993,1040,865,1233
05/1993,1039,860,1224
06/1993,1036,859,1216
07/1993,1172,859,1361
08/1993,1172,852,1352
09/1993,1167,849,1346
10/1993,1162,846,1336
11/1993,1159,845,1331
12/1993,1153,843,1321
01/1994,1151,837,1311
02/1994,1145,836,1304
03/1994,1139,833,1289
04/1994,1137,829,1287
05/1994,1131,822,1281
06/1994,1127,820,1271
07/1994,1301,866,1469
08/1994,1292,864,1458
09/1994,1288,859,1447
10/1994,1288,858,1434
11/1994,1284,856,1422
12/1994,1275,852,1414
01/1995,1262,841,1406
02/1995,1254,838,1401
03/1995,1247,836,1390
04/1995,1239,828,1374
05/1995,1235,827,1365
06/1995,1227,822,1353
07/1995,1479,897,1524
08/1995,1464,895,1509
09/1995,1453,893,1498
10/1995,1443,886,1485
11/1995,1435,880,1471
12/1995,1424,878,1457
01/1996,1414,870,1445
02/1996,1401,864,1436
03/1996,1390,861,1426
04/1996,1382,856,1417
05/1996,1375,852,1411
