date,p1,p2,p3
07/1963,1079,468,426
08/1963,1070,476,429
09/1963,1076,468,430
10/1963,1064,472,438
11/1963,1065,471,438
12/1963,1079,463,438
01/1964,1071,463,436
02/1964,1076,470,439
03/1964,1084,469,434
04/1964,1096,460,437
05/1964,1107,458,442
06/1964,1103,464,442
07/1964,1102,471,440
08/1964,1112,467,443
09/1964,1113,473,444
10/1964,1112,480,437
11/1964,1115,477,441
12/1964,1113,485,437
01/1965,1107,491,439
02/1965,1109,491,440
03/1965,1117,491,437
04/1965,1104,504,437
05/1965,1115,490,446
06/1965,1115,491,449
07/1965,1132,484,444
08/1965,1135,481,453
09/1965,1138,480,456
10/1965,1128,485,454
11/1965,1124,492,451
12/1965,1124,495,454
01/1966,1118,487,456
02/1966,1116,501,458
03/1966,1117,498,461
04/1966,1121,492,459
05/1966,1100,501,464
06/1966,1121,494,459
07/1966,1107,504,462
08/1966,1129,496,464
09/1966,1129,496,466
10/1966,1126,503,466
11/1966,1139,503,456
12/1966,1130,507,462
01/1967,1120,511,461
02/1967,1120,515,461
03/1967,1104,523,471
04/1967,1103,514,478
05/1967,1086,533,478
06/1967,1078,539,476
07/1967,1068,533,492
08/1967,1053,548,485
09/1967,1065,547,475
10/1967,1052,550,484
11/1967,1052,547,492
12/1967,1060,546,485
01/1968,1033,555,498
02/1968,1035,555,487
03/1968,1049,551,481
04/1968,1073,536,479
05/1968,1047,543,503
06/1968,1013,565,517
07/1968,1000,587,501
08/1968,1010,583,484
09/1968,1025,568,496
10/1968,1013,575,501
11/1968,1033,567,492
12/1968,1039,563,497
01/1969,1023,570,509
02/1969,1019,583,500
03/1969,1028,595,493
04/1969,1045,570,506
05/1969,1054,571,513
06/1969,1057,574,515
07/1969,1080,568,509
08/1969,1105,549,513
09/1969,1092,571,520
10/1969,1093,572,525
11/1969,1075,588,533
12/1969,1097,573,534
01/1970,1107,578,525
02/1970,1121,572,526
03/1970,1137,581,521
04/1970,1167,576,505
05/1970,1188,565,496
06/1970,1212,556,487
07/1970,1196,573,485
08/1970,1203,571,486
09/1970,1212,561,491
10/1970,1194,581,497
11/1970,1187,585,509
12/1970,1197,585,507
01/1971,1212,571,504
02/1971,1210,576,509
03/1971,1201,582,514
04/1971,1187,597,514
05/1971,1192,592,519
06/1971,1195,604,511
07/1971,1215,597,503
08/1971,1218,606,502
09/1971,1229,606,505
10/1971,1226,610,517
11/1971,1228,616,519
12/1971,1257,603,517
01/1972,1243,621,525
02/1972,1233,632,536
03/1972,1212,652,547
04/1972,1220,644,557
05/1972,1222,648,563
06/1972,1228,645,565
07/1972,1235,645,561
08/1972,1247,646,557
09/1972,1278,637,547
10/1972,1277,650,546
11/1972,1301,632,549
12/1972,1323,634,542
01/1973,3381,1091,893
02/1973,3388,1083,921
03/1973,3370,1121,897
04/1973,3345,1128,871
05/1973,3358,1100,849
06/1973,3295,1100,845
07/1973,3252,1090,855
08/1973,3232,1077,853
09/1973,3170,1092,853
10/1973,3131,1103,837
11/1973,3145,1078,848
12/1973,3069,1025,887
01/1974,2974,1046,868
02/1974,2994,1019,858
03/1974,3010,1002,838
04/1974,2960,1041,844
05/1974,2931,1051,851
06/1974,2913,1037,853
07/1974,2855,1094,833
08/1974,2835,1105,817
09/1974,2786,1090,834
10/1974,2765,1084,828
11/1974,2731,1086,822
12/1974,2713,1070,821
01/1975,2668,1072,831
02/1975,2745,1027,787
03/1975,2737,1026,806
04/1975,2769,1005,801
05/1975,2781,1019,792
06/1975,2769,1029,777
07/1975,2793,1041,763
08/1975,2767,1055,778
09/1975,2766,1077,778
10/1975,2746,1088,781
11/1975,2775,1097,750
12/1975,2759,1120,726
01/1976,2806,1087,722
02/1976,2767,1059,716
03/1976,2822,1069,726
04/1976,2788,1087,712
05/1976,2817,1085,714
06/1976,2828,1072,728
07/1976,2862,1057,716
08/1976,2913,1014,733
09/1976,2704,986,718
10/1976,2934,1021,732
11/1976,2923,1010,736
12/1976,2945,1017,731
01/1977,2932,1033,722
02/1977,2854,1041,732
03/1977,2864,1063,740
04/1977,2849,1069,742
05/1977,2857,1063,752
06/1977,2867,1041,757
07/1977,2906,1019,743
08/1977,2859,1036,755
09/1977,2840,1039,754
10/1977,2819,1059,743
11/1977,2818,1028,770
12/1977,2819,1026,763
01/1978,2799,1019,781
02/1978,2779,1013,779
03/1978,2728,1047,794
04/1978,2729,1015,800
05/1978,2744,1011,812
06/1978,2716,1020,814
07/1978,2680,1051,798
08/1978,2714,1013,800
09/1978,2695,1017,805
10/1978,2712,1026,795
11/1978,2706,1035,791
12/1978,2705,1024,800
01/1979,2671,1053,805
02/1979,2666,1050,800
03/1979,2661,1033,809
04/1979,2668,1028,819
05/1979,2635,1054,817
06/1979,2654,1038,813
07/1979,2657,1046,798
08/1979,2672,1013,814
09/1979,2644,1069,778
10/1979,2658,1046,788
11/1979,2655,1047,798
12/1979,2642,1072,791
01/1980,2606,1093,802
02/1980,2580,1125,796
03/1980,2553,1135,823
04/1980,2656,1062,792
05/1980,2659,1020,825
06/1980,2655,1050,804
07/1980,2679,1050,800
08/1980,2679,1070,801
09/1980,2681,1053,823
10/1980,2641,1134,801
11/1980,2691,1114,812
12/1980,2681,1120,826
01/1981,2719,1134,816
02/1981,2771,1130,791
03/1981,2808,1113,782
04/1981,2850,1109,773
05/1981,2877,1114,794
06/1981,2896,1126,815
07/1981,2959,1143,782
08/1981,3041,1133,772
09/1981,3045,1136,786
10/1981,3078,1111,772
11/1981,3118,1095,790
12/1981,3174,1067,790
01/1982,3177,1041,809
02/1982,3161,1067,814
03/1982,3182,1053,813
04/1982,3191,1050,784
