date,p1,p2,p3
07/1963,264,259,294
08/1963,264,260,294
09/1963,264,260,294
10/1963,264,260,294
11/1963,264,260,292
12/1963,264,260,292
01/1964,264,260,292
02/1964,264,260,293
03/1964,263,260,293
04/1964,264,260,293
05/1964,264,260,294
06/1964,264,260,294
07/1964,301,305,355
08/1964,300,307,355
09/1964,301,307,355
10/1964,300,307,355
11/1964,301,307,355
12/1964,301,307,355
01/1965,301,307,355
02/1965,301,307,355
03/1965,300,307,355
04/1965,301,307,355
05/1965,301,307,355
06/1965,301,306,355
07/1965,334,333,400
08/1965,334,333,400
09/1965,334,333,400
10/1965,334,332,400
11/1965,334,332,400
12/1965,334,332,398
01/1966,333,329,397
02/1966,334,332,400
03/1966,334,332,400
04/1966,334,333,399
05/1966,333,333,397
06/1966,334,333,398
07/1966,353,395,439
08/1966,353,395,440
09/1966,353,395,440
10/1966,352,395,440
11/1966,352,395,440
12/1966,352,395,440
01/1967,352,395,440
02/1967,351,395,440
03/1967,352,395,440
04/1967,352,395,440
05/1967,352,394,440
06/1967,352,393,440
07/1967,416,478,531
08/1967,416,478,530
09/1967,415,478,529
10/1967,415,478,530
11/1967,414,477,530
12/1967,413,476,530
01/1968,414,477,530
02/1968,413,475,528
03/1968,413,475,529
04/1968,413,474,529
05/1968,412,474,529
06/1968,412,473,527
07/1968,429,506,577
08/1968,429,504,575
09/1968,429,504,575
10/1968,429,503,573
11/1968,428,502,574
12/1968,428,504,573
01/1969,428,503,573
02/1969,427,502,571
03/1969,427,502,571
04/1969,426,499,571
05/1969,426,498,571
06/1969,426,499,572
07/1969,467,581,593
08/1969,465,580,593
09/1969,464,580,593
10/1969,464,578,593
11/1969,463,580,592
12/1969,463,580,593
01/1970,464,580,593
02/1970,464,578,591
03/1970,463,580,593
04/1970,463,580,592
05/1970,462,580,592
06/1970,462,579,588
07/1970,499,619,659
08/1970,498,618,658
09/1970,497,617,656
10/1970,495,614,657
11/1970,494,612,657
12/1970,491,611,657
01/1971,488,610,656
02/1971,487,610,653
03/1971,485,608,652
04/1971,484,607,650
05/1971,481,605,646
06/1971,478,601,645
07/1971,505,633,678
08/1971,504,632,676
09/1971,503,632,676
10/1971,504,631,676
11/1971,504,631,676
12/1971,503,629,676
01/1972,501,628,674
02/1972,499,627,674
03/1972,499,625,674
04/1972,499,625,672
05/1972,498,624,671
06/1972,496,624,670
07/1972,545,646,728
08/1972,546,644,727
09/1972,544,644,722
10/1972,543,644,720
11/1972,543,644,718
12/1972,542,644,719
01/1973,542,644,715
02/1973,542,643,715
03/1973,541,642,712
04/1973,541,639,710
05/1973,541,639,708
06/1973,538,638,702
07/1973,693,816,983
08/1973,692,813,982
09/1973,689,811,981
10/1973,687,810,978
11/1973,688,809,978
12/1973,686,807,976
01/1974,686,807,973
02/1974,681,803,970
03/1974,683,799,963
04/1974,680,800,963
05/1974,679,797,957
06/1974,678,795,955
07/1974,826,967,1309
08/1974,823,966,1308
09/1974,817,962,1301
10/1974,813,957,1293
11/1974,812,951,1286
12/1974,808,946,1286
01/1975,809,944,1279
02/1975,809,942,1277
03/1975,808,945,1275
04/1975,807,945,1275
05/1975,805,945,1279
06/1975,803,940,1272
07/1975,863,1023,1442
08/1975,861,1019,1441
09/1975,863,1021,1446
10/1975,859,1020,1440
11/1975,864,1019,1439
12/1975,866,1012,1433
01/1976,866,1010,1434
02/1976,847,992,1405
03/1976,862,1010,1429
04/1976,851,997,1411
05/1976,857,1002,1421
06/1976,856,1007,1421
07/1976,879,1020,1453
08/1976,876,1022,1457
09/1976,822,958,1356
10/1976,874,1018,1451
11/1976,867,1010,1437
12/1976,870,1013,1445
01/1977,869,1010,1439
02/1977,857,990,1424
03/1977,867,998,1432
04/1977,864,997,1425
05/1977,862,995,1424
06/1977,861,990,1419
07/1977,895,1048,1398
08/1977,893,1042,1395
09/1977,884,1039,1389
10/1977,880,1030,1387
11/1977,877,1028,1381
12/1977,876,1026,1375
01/1978,871,1020,1374
02/1978,870,1008,1360
03/1978,871,1003,1358
04/1978,863,1002,1352
05/1978,860,1003,1346
06/1978,857,996,1333
07/1978,878,1020,1344
08/1978,878,1014,1341
09/1978,870,1007,1334
10/1978,868,1010,1324
11/1978,865,1013,1315
12/1978,856,1009,1313
01/1979,851,1005,1310
