date,p1,p2,p3
12/1971,,,1
01/1972,,2,1
02/1972,15,12,12
03/1972,33,32,34
04/1972,54,47,46
05/1972,106,90,101
06/1972,244,209,228
07/1972,286,272,281
08/1972,236,209,217
09/1972,107,85,120
10/1972,56,44,42
11/1972,50,42,33
12/1972,64,53,48
01/1973,67,60,53
02/1973,82,65,64
03/1973,75,56,61
04/1973,72,67,66
05/1973,131,124,142
06/1973,288,267,300
07/1973,362,329,374
08/1973,312,242,280
09/1973,140,118,151
10/1973,76,67,72
11/1973,63,61,56
12/1973,78,82,72
01/1974,89,83,70
02/1974,100,76,69
03/1974,87,75,70
04/1974,97,72,86
05/1974,237,160,203
06/1974,423,363,396
07/1974,510,432,471
08/1974,415,349,396
09/1974,283,145,272
10/1974,208,105,152
11/1974,174,89,126
12/1974,197,110,147
01/1975,203,124,160
02/1975,194,112,137
03/1975,217,126,154
04/1975,234,137,167
05/1975,266,194,210
06/1975,467,378,437
07/1975,572,457,510
08/1975,548,418,493
09/1975,499,406,485
10/1975,480,377,452
11/1975,454,351,410
12/1975,518,392,468
01/1976,524,396,481
02/1976,368,258,315
03/1976,471,382,435
04/1976,522,434,468
05/1976,426,307,347
06/1976,597,470,564
07/1976,727,571,669
08/1976,696,559,636
09/1976,673,571,682
10/1976,791,646,742
11/1976,686,570,635
12/1976,800,628,706
01/1977,836,630,728
02/1977,585,398,478
03/1977,698,544,627
04/1977,798,653,701
05/1977,623,458,491
06/1977,733,536,639
07/1977,840,615,732
08/1977,792,562,668
09/1977,802,631,741
10/1977,809,628,749
11/1977,761,561,662
12/1977,813,625,697
01/1978,839,639,708
02/1978,584,422,481
03/1978,678,529,627
04/1978,784,615,735
05/1978,591,417,493
06/1978,715,529,614
07/1978,824,614,692
08/1978,791,589,635
09/1978,780,626,704
10/1978,787,652,713
11/1978,731,574,650
12/1978,781,601,684
01/1979,809,623,700
02/1979,587,423,463
03/1979,666,527,615
04/1979,773,602,692
05/1979,610,428,484
06/1979,725,542,590
07/1979,802,603,661
08/1979,764,563,615
09/1979,794,623,663
10/1979,793,634,664
11/1979,726,576,579
12/1979,785,618,639
01/1980,794,633,649
02/1980,559,423,447
03/1980,676,544,592
