date,p1,p2,p3
07/1963,296,279,302
08/1963,296,280,302
09/1963,296,280,302
10/1963,296,280,302
11/1963,296,279,301
12/1963,296,279,301
01/1964,296,279,300
02/1964,295,280,302
03/1964,295,279,302
04/1964,295,279,302
05/1964,296,280,302
06/1964,295,280,302
07/1964,358,304,351
08/1964,359,304,351
09/1964,359,305,351
10/1964,358,304,351
11/1964,359,305,351
12/1964,359,305,351
01/1965,359,305,351
02/1965,358,305,351
03/1965,357,305,351
04/1965,358,305,351
05/1965,358,305,351
06/1965,358,305,351
07/1965,389,349,383
08/1965,389,349,383
09/1965,389,349,383
10/1965,388,349,383
11/1965,388,349,383
12/1965,388,347,383
01/1966,386,347,380
02/1966,388,349,382
03/1966,388,349,383
04/1966,388,349,383
05/1966,387,348,381
06/1966,388,348,383
07/1966,444,378,427
08/1966,444,378,428
09/1966,444,378,428
10/1966,443,378,428
11/1966,443,378,428
12/1966,443,378,428
01/1967,443,378,428
02/1967,442,378,428
03/1967,443,378,428
04/1967,443,378,428
05/1967,442,378,428
06/1967,441,378,428
07/1967,557,460,492
08/1967,556,460,492
09/1967,554,459,492
10/1967,556,459,491
11/1967,554,458,492
12/1967,553,457,492
01/1968,554,458,492
02/1968,554,456,489
03/1968,554,457,489
04/1968,554,456,488
05/1968,553,456,488
06/1968,552,455,487
07/1968,590,462,546
08/1968,587,461,545
09/1968,587,461,545
10/1968,586,461,543
11/1968,585,460,544
12/1968,586,461,543
01/1969,586,460,543
02/1969,582,460,543
03/1969,582,460,543
04/1969,579,459,543
05/1969,580,457,543
06/1969,581,458,542
07/1969,650,507,582
08/1969,647,507,582
09/1969,647,507,581
10/1969,646,507,580
11/1969,646,507,580
12/1969,646,507,581
01/1970,647,507,581
02/1970,647,505,579
03/1970,647,506,581
04/1970,645,505,581
05/1970,645,505,580
06/1970,642,504,578
07/1970,702,540,647
08/1970,700,541,645
09/1970,697,540,645
10/1970,695,539,644
11/1970,692,539,644
12/1970,688,538,644
01/1971,685,537,643
02/1971,682,537,642
03/1971,678,537,641
04/1971,677,536,639
05/1971,670,537,636
06/1971,663,537,635
07/1971,739,536,673
08/1971,738,535,671
09/1971,737,535,671
10/1971,737,535,671
11/1971,737,535,671
12/1971,736,533,670
01/1972,732,533,669
02/1972,730,532,669
03/1972,727,532,668
04/1972,727,531,667
05/1972,725,531,667
06/1972,723,531,666
07/1972,782,566,712
08/1972,779,567,712
09/1972,775,565,711
10/1972,772,565,710
11/1972,772,563,710
12/1972,772,563,710
01/1973,772,562,707
02/1973,772,562,706
03/1973,771,561,703
04/1973,768,560,702
05/1973,767,560,701
06/1973,762,559,697
07/1973,1068,733,1031
08/1973,1063,731,1032
09/1973,1062,729,1028
10/1973,1057,731,1025
11/1973,1057,730,1025
12/1973,1052,730,1022
01/1974,1049,730,1022
02/1974,1039,729,1021
03/1974,1035,729,1014
04/1974,1033,729,1014
05/1974,1029,726,1012
06/1974,1026,723,1012
07/1974,1261,895,1309
08/1974,1259,893,1306
09/1974,1249,888,1302
10/1974,1244,882,1296
11/1974,1238,881,1289
12/1974,1229,879,1290
01/1975,1226,881,1284
02/1975,1224,881,1279
03/1975,1225,880,1279
04/1975,1223,878,1282
05/1975,1222,881,1282
06/1975,1219,876,1276
07/1975,1375,1014,1342
08/1975,1369,1011,1342
09/1975,1374,1013,1345
10/1975,1370,1010,1341
11/1975,1374,1013,1336
12/1975,1366,1008,1335
01/1976,1372,1007,1328
02/1976,1334,996,1305
03/1976,1367,1010,1319
04/1976,1344,1004,1303
05/1976,1356,1003,1314
06/1976,1359,1003,1314
07/1976,1446,919,1390
08/1976,1451,917,1391
09/1976,1333,861,1327
10/1976,1452,915,1380
11/1976,1436,904,1376
12/1976,1443,910,1379
01/1977,1440,910,1371
02/1977,1413,906,1354
03/1977,1435,907,1358
04/1977,1429,903,1355
05/1977,1430,904,1349
06/1977,1430,904,1339
07/1977,1440,1035,1279
08/1977,1433,1033,1275
09/1977,1428,1030,1267
10/1977,1420,1025,1262
11/1977,1417,1018,1260
12/1977,1413,1024,1251
01/1978,1403,1019,1249
02/1978,1393,1010,1241
03/1978,1392,1010,1236
04/1978,1385,1004,1233
05/1978,1386,1002,1226
06/1978,1383,995,1215
07/1978,1422,1007,1240
08/1978,1420,1004,1236
09/1978,1410,999,1226
10/1978,1406,995,1220
11/1978,1399,994,1217
12/1978,1396,990,1211
01/1979,1385,987,1211
02/1979,1380,978,1204
03/1979,1369,973,1199
04/1979,1362,973,1196
05/1979,1358,968,1190
06/1979,1353,961,1183
07/1979,1423,1026,1228
08/1979,1420,1022,1218
09/1979,1409,1018,1215
10/1979,1407,1009,1209
11/1979,1405,1007,1207
12/1979,1402,1003,1202
01/1980,1392,998,1193
02/1980,1377,991,1181
03/1980,1374,985,1177
04/1980,1361,981,1171
05/1980,1350,984,1167
06/1980,1351,981,1160
07/1980,1518,1070,1193
08/1980,1511,1070,1192
09/1980,1500,1069,1184
10/1980,1485,1062,1176
11/1980,1483,1059,1177
12/1980,1473,1054,1170
01/1981,1467,1052,1169
02/1981,1457,1045,1166
03/1981,1445,1040,1156
04/1981,1442,1030,1150
05/1981,1431,1027,1146
06/1981,1424,1024,1142
07/1981,1598,1008,1234
08/1981,1594,1006,1232
09/1981,1593,998,1222
10/1981,1574,992,1213
11/1981,1570,991,1214
12/1981,1566,990,1207
01/1982,1554,978,1201
02/1982,1545,980,1198
03/1982,1539,972,1196
04/1982,1522,965,1189
05/1982,1509,967,1183
06/1982,1500,963,1179
07/1982,1796,1009,1266
08/1982,1781,1008,1262
09/1982,1775,1007,1258
10/1982,1756,1004,1251
11/1982,1732,1001,1248
12/1982,1727,1003,1247
01/1983,1717,994,1242
02/1983,1711,978,1233
03/1983,1703,974,1231
04/1983,1693,971,1227
05/1983,1676,967,1224
06/1983,1662,965,1226
07/1983,1850,1008,1316
08/1983,1840,1007,1312
09/1983,1819,1003,1309
10/1983,1807,1000,1304
11/1983,1795,997,1299
12/1983,1788,994,1297
01/1984,1771,989,1294
02/1984,1758,978,1291
03/1984,1736,977,1283
04/1984,1726,973,1279
05/1984,1720,967,1278
06/1984,1703,964,1271
07/1984,1977,1048,1408
08/1984,1972,1044,1400
