date,p1,p2,p3
08/1971,,,1
09/1971,,1,1
10/1971,26,18,22
11/1971,294,254,263
12/1971,465,371,402
01/1972,497,391,425
02/1972,346,255,301
03/1972,426,335,361
04/1972,497,404,425
05/1972,524,437,403
06/1972,583,449,381
07/1972,587,434,432
08/1972,494,456,432
09/1972,498,420,530
10/1972,507,452,509
11/1972,518,441,495
12/1972,545,450,512
01/1973,544,443,526
02/1973,385,307,374
03/1973,473,393,472
04/1973,557,476,543
05/1973,632,516,473
06/1973,700,530,492
07/1973,723,543,557
08/1973,599,581,551
09/1973,594,505,701
10/1973,643,524,665
11/1973,636,510,629
12/1973,671,547,648
01/1974,668,552,655
02/1974,515,425,495
03/1974,613,536,656
04/1974,709,620,735
05/1974,778,646,689
06/1974,814,686,667
07/1974,809,731,715
08/1974,700,691,740
09/1974,715,586,898
10/1974,759,627,832
11/1974,741,588,766
12/1974,784,592,783
01/1975,788,611,815
02/1975,564,430,572
03/1975,670,512,740
04/1975,798,573,790
05/1975,822,655,721
06/1975,895,664,689
07/1975,865,698,709
08/1975,803,660,665
09/1975,770,718,743
10/1975,812,718,713
11/1975,816,676,656
12/1975,845,707,691
01/1976,828,724,716
02/1976,547,493,478
03/1976,650,642,631
04/1976,766,739,693
05/1976,801,730,718
06/1976,916,671,690
07/1976,860,712,726
08/1976,795,658,680
09/1976,706,670,694
10/1976,815,725,756
11/1976,735,680,737
12/1976,821,703,747
01/1977,806,729,757
02/1977,593,543,540
03/1977,685,634,672
04/1977,777,746,738
05/1977,714,759,780
06/1977,872,709,716
07/1977,827,737,746
08/1977,809,633,704
09/1977,853,666,745
10/1977,843,672,752
11/1977,844,635,741
12/1977,855,661,736
01/1978,872,672,746
02/1978,594,512,525
03/1978,700,581,659
04/1978,804,655,748
05/1978,706,742,756
06/1978,887,646,709
07/1978,865,671,707
08/1978,824,646,661
09/1978,792,666,719
10/1978,778,696,736
11/1978,757,672,698
12/1978,811,684,681
01/1979,823,685,701
02/1979,610,505,515
03/1979,676,597,642
04/1979,761,678,698
05/1979,691,739,731
06/1979,892,635,670
07/1979,855,648,680
08/1979,791,632,615
09/1979,805,679,648
10/1979,786,687,678
11/1979,752,678,653
12/1979,813,674,656
01/1980,813,682,666
02/1980,595,491,497
03/1980,706,581,619
04/1980,763,628,696
05/1980,701,682,728
06/1980,860,632,655
07/1980,811,658,673
08/1980,742,646,640
09/1980,748,678,667
10/1980,750,687,684
11/1980,737,658,643
12/1980,765,666,650
01/1981,768,705,657
02/1981,563,478,501
03/1981,682,588,622
04/1981,743,621,697
05/1981,668,696,702
06/1981,829,633,657
07/1981,791,661,681
08/1981,739,637,657
09/1981,776,639,682
10/1981,747,655,708
11/1981,724,638,640
12/1981,772,670,656
01/1982,775,681,658
02/1982,569,478,484
03/1982,675,581,583
04/1982,737,642,658
05/1982,700,677,712
06/1982,883,624,645
07/1982,857,653,664
08/1982,810,629,649
09/1982,879,660,704
10/1982,877,668,722
11/1982,925,657,682
12/1982,1107,692,710
01/1983,1155,692,728
02/1983,907,511,611
03/1983,962,625,747
04/1983,1125,738,863
05/1983,1036,843,952
06/1983,1357,720,879
07/1983,1230,789,959
08/1983,1143,743,870
09/1983,1128,786,1004
10/1983,1135,783,1018
11/1983,1158,779,915
12/1983,1214,822,982
01/1984,1213,848,989
02/1984,1001,633,766
03/1984,1052,781,896
04/1984,1197,870,1023
05/1984,1116,976,1048
06/1984,1450,828,1002
07/1984,1407,866,1071
08/1984,1328,778,1057
09/1984,1331,830,1127
10/1984,1343,845,1129
11/1984,1287,856,1023
12/1984,1299,890,1041
01/1985,1289,918,1079
02/1985,1100,623,829
03/1985,1161,709,982
04/1985,1293,810,1088
05/1985,1207,1009,1063
06/1985,1508,824,1044
07/1985,1484,836,1089
08/1985,1353,808,1028
09/1985,1339,812,1114
10/1985,1330,822,1111
11/1985,1282,862,993
12/1985,1325,868,1026
01/1986,1358,884,1053
02/1986,1099,647,846
03/1986,1161,721,968
04/1986,1265,837,1058
05/1986,1193,990,1020
06/1986,1471,845,983
07/1986,1477,848,1021
08/1986,1372,798,987
09/1986,1391,808,1073
10/1986,1388,826,1107
11/1986,1355,821,1014
12/1986,1452,824,1017
01/1987,1400,883,1039
02/1987,1100,658,833
03/1987,1189,713,952
04/1987,1353,840,1064
05/1987,1248,1008,1064
06/1987,1617,800,1013
07/1987,1604,836,1092
08/1987,1478,869,1026
09/1987,1467,892,1118
10/1987,1510,919,1142
11/1987,1457,873,1031
12/1987,1505,910,1080
01/1988,1504,955,1126
02/1988,1245,717,829
03/1988,1253,814,1004
04/1988,1427,945,1149
05/1988,1311,1087,1063
06/1988,1646,831,1029
07/1988,1620,873,1093
08/1988,1512,836,963
09/1988,1470,923,1056
10/1988,1481,902,1122
11/1988,1450,877,1047
12/1988,1564,863,1045
01/1989,1549,880,1039
02/1989,1303,679,823
03/1989,1249,791,932
04/1989,1423,916,1060
05/1989,1348,976,1056
06/1989,1663,854,979
07/1989,1599,914,1018
08/1989,1506,864,948
09/1989,1462,893,1041
10/1989,1491,917,1066
11/1989,1444,871,994
12/1989,1554,830,1024
01/1990,1555,857,1041
02/1990,1291,687,850
03/1990,1193,795,924
04/1990,1339,882,1050
05/1990,1297,990,1007
06/1990,1638,806,987
07/1990,1626,840,1060
08/1990,1502,836,993
09/1990,1453,868,1078
10/1990,1460,902,1110
11/1990,1452,865,1033
12/1990,1532,839,1054
01/1991,1518,878,1059
02/1991,1178,749,864
03/1991,1147,783,996
04/1991,1317,907,1067
05/1991,1307,1007,1015
06/1991,1652,811,1030
07/1991,1556,875,1082
08/1991,1436,830,1059
09/1991,1371,899,1135
10/1991,1393,917,1146
11/1991,1381,906,1051
12/1991,1465,913,1085
01/1992,1473,966,1100
02/1992,1186,750,873
03/1992,1219,837,1033
04/1992,1423,963,1152
05/1992,1327,1076,1076
06/1992,1604,919,1104
07/1992,1565,941,1217
08/1992,1509,890,1144
09/1992,1562,987,1180
10/1992,1582,1007,1197
11/1992,1550,958,1112
12/1992,1589,1010,1205
01/1993,1636,1029,1223
02/1993,1242,802,916
03/1993,1309,904,1101
04/1993,1504,1021,1261
05/1993,1472,1189,1150
06/1993,1893,970,1095
07/1993,1841,1067,1170
08/1993,1661,1017,1161
09/1993,1746,1064,1257
10/1993,1769,1093,1267
11/1993,1691,1041,1198
12/1993,1785,1118,1289
01/1994,1811,1173,1302
02/1994,1463,931,996
03/1994,1458,997,1192
04/1994,1751,1184,1339
05/1994,1784,1271,1210
06/1994,2185,1044,1219
07/1994,2484,1142,1331
08/1994,2081,1283,1295
09/1994,2100,1401,1461
10/1994,2134,1431,1436
11/1994,2117,1269,1374
12/1994,2147,1298,1432
01/1995,2161,1338,1458
02/1995,1744,1085,1091
03/1995,1646,1250,1269
04/1995,1997,1382,1455
05/1995,1928,1507,1373
06/1995,2348,1400,1290
07/1995,2333,1471,1408
08/1995,2151,1429,1369
09/1995,2168,1504,1472
10/1995,2204,1524,1467
11/1995,2249,1323,1378
12/1995,2316,1356,1471
01/1996,2327,1384,1485
02/1996,1857,1196,1134
03/1996,1866,1304,1332
04/1996,2140,1445,1474
05/1996,2133,1573,1397
06/1996,2648,1323,1401
07/1996,2632,1400,1506
08/1996,2469,1421,1398
09/1996,2470,1525,1498
10/1996,2466,1550,1535
11/1996,2510,1365,1384
12/1996,2684,1349,1472
01/1997,2718,1371,1506
02/1997,2021,1206,1086
03/1997,2112,1376,1353
04/1997,2470,1528,1498
05/1997,2371,1599,1390
06/1997,2820,1535,1305
07/1997,2881,1553,1384
08/1997,2578,1549,1350
09/1997,2610,1588,1478
10/1997,2679,1594,1472
11/1997,2706,1392,1390
12/1997,2822,1481,1472
01/1998,2787,1498,1507
02/1998,2107,1168,1079
03/1998,2195,1381,1331
04/1998,2573,1549,1518
05/1998,2510,1586,1454
06/1998,2929,1495,1353
07/1998,2912,1556,1412
08/1998,2680,1549,1333
09/1998,2746,1614,1391
10/1998,2692,1658,1431
11/1998,2543,1520,1343
12/1998,2655,1601,1425
01/1999,2672,1638,1423
02/1999,1949,1258,1088
03/1999,2079,1372,1278
04/1999,2384,1613,1453
05/1999,2416,1617,1367
06/1999,2717,1528,1287
07/1999,2663,1563,1333
08/1999,2539,1450,1211
09/1999,2594,1538,1309
10/1999,2569,1565,1319
11/1999,2507,1396,1273
12/1999,2729,1490,1293
01/2000,2774,1518,1292
02/2000,2140,1191,995
03/2000,2226,1355,1170
04/2000,2619,1596,1383
05/2000,2510,1639,1334
06/2000,2991,1503,1235
07/2000,2942,1588,1305
08/2000,2858,1481,1196
09/2000,2956,1571,1237
10/2000,2970,1639,1248
11/2000,2866,1483,1169
12/2000,2939,1505,1206
01/2001,2950,1538,1230
02/2001,2213,1228,951
03/2001,2268,1303,1033
04/2001,2573,1469,1257
05/2001,2602,1484,1187
06/2001,2899,1439,1068
07/2001,2827,1522,1099
08/2001,2570,1444,1106
09/2001,2572,1478,1164
10/2001,2545,1537,1169
11/2001,2423,1417,1169
12/2001,2525,1378,1207
01/2002,2531,1411,1238
02/2002,1897,1091,1053
03/2002,1894,1187,1169
04/2002,2171,1324,1296
05/2002,2281,1355,1208
06/2002,2581,1208,1157
07/2002,2449,1311,1168
08/2002,2322,1230,1104
09/2002,2340,1301,1156
10/2002,2369,1315,1166
11/2002,2251,1249,1074
12/2002,2302,1299,1134
01/2003,2300,1309,1168
02/2003,1639,1098,883
03/2003,1732,1145,1049
04/2003,2074,1278,1205
05/2003,1977,1304,1200
06/2003,2268,1218,1074
07/2003,2103,1317,1127
08/2003,2059,1187,1105
09/2003,2009,1251,1175
10/2003,2029,1258,1209
11/2003,1912,1201,1104
12/2003,2038,1218,1155
01/2004,2039,1249,1174
02/2004,1537,992,846
03/2004,1594,1101,1029
04/2004,1958,1274,1164
05/2004,1830,1394,1149
06/2004,2140,1168,1044
07/2004,2068,1230,1129
08/2004,1963,1199,988
09/2004,2059,1269,1047
10/2004,2072,1277,1082
11/2004,1906,1142,1076
12/2004,2054,1165,1116
01/2005,2068,1218,1110
02/2005,1579,998,757
03/2005,1570,999,866
04/2005,2035,1205,1083
05/2005,1769,1398,1041
06/2005,2091,1194,957
07/2005,2091,1270,997
08/2005,1979,1169,934
09/2005,2060,1239,981
10/2005,2093,1257,996
11/2005,1925,1169,992
12/2005,1949,1217,1087
01/2006,1967,1237,1107
02/2006,1535,1031,850
03/2006,1461,1027,856
04/2006,1917,1210,1080
05/2006,1735,1352,1006
06/2006,2101,1165,886
07/2006,2134,1191,930
08/2006,2008,1171,891
09/2006,2006,1201,964
10/2006,2036,1188,1001
11/2006,1930,1133,951
12/2006,2034,1164,921
01/2007,2070,1172,953
02/2007,1659,942,739
03/2007,1461,988,822
04/2007,1892,1140,998
05/2007,1705,1307,973
06/2007,1988,1160,875
07/2007,2083,1172,907
08/2007,2041,1105,853
09/2007,2097,1102,908
10/2007,2084,1131,942
11/2007,1931,1095,923
12/2007,2007,1141,932
01/2008,2046,1143,951
02/2008,1621,1001,741
03/2008,1452,985,782
04/2008,1931,1179,957
05/2008,1720,1244,995
06/2008,2006,1123,832
07/2008,2043,1181,911
08/2008,1964,1137,858
09/2008,2066,1080,886
10/2008,2057,1107,918
11/2008,1913,1066,855
12/2008,1953,1084,893
01/2009,1972,1096,925
02/2009,1319,959,734
03/2009,1102,1098,768
04/2009,1581,1311,964
05/2009,1700,1047,1061
06/2009,1735,1222,847
07/2009,1727,1147,934
08/2009,1727,1044,826
09/2009,1852,983,879
10/2009,1855,997,916
11/2009,1751,912,880
12/2009,1775,934,952
01/2010,1787,959,963
02/2010,1323,795,748
03/2010,1249,806,771
04/2010,1675,1003,976
05/2010,1531,1090,994
06/2010,1766,1003,821
07/2010,1720,1019,913
08/2010,1677,898,876
09/2010,1719,933,957
10/2010,1726,940,978
11/2010,1584,891,944
12/2010,1673,915,982
01/2011,1688,942,983
02/2011,1327,785,764
03/2011,1179,848,746
04/2011,1594,1011,955
05/2011,1413,1104,956
06/2011,1734,920,818
07/2011,1675,928,919
08/2011,1632,855,885
09/2011,1647,968,877
10/2011,1675,975,884
11/2011,1561,936,868
12/2011,1655,938,867
01/2012,1650,962,899
02/2012,1290,798,736
03/2012,1120,845,781
04/2012,1520,978,949
05/2012,1330,1086,954
06/2012,1630,971,796
07/2012,1590,995,830
08/2012,1543,955,806
09/2012,1550,988,846
10/2012,1551,1010,852
11/2012,1433,946,822
12/2012,1541,959,846
01/2013,1522,992,862
02/2013,1177,888,672
03/2013,1088,876,732
04/2013,1382,1020,866
05/2013,1246,1053,891
06/2013,1530,959,797
07/2013,1511,974,822
08/2013,1468,923,783
09/2013,1506,949,825
10/2013,1525,960,839
11/2013,1473,915,776
12/2013,1523,934,812
01/2014,1551,931,855
02/2014,1183,752,615
03/2014,1091,884,713
04/2014,1494,1018,820
05/2014,1310,1004,900
06/2014,1555,917,773
07/2014,1583,939,823
08/2014,1486,949,826
09/2014,1533,986,830
10/2014,1567,992,846
11/2014,1500,959,786
12/2014,1602,980,818
01/2015,1601,995,842
02/2015,1118,845,654
03/2015,1022,891,757
04/2015,1468,1052,888
05/2015,1387,1011,939
06/2015,1475,1007,789
07/2015,1512,1069,836
08/2015,1426,1067,775
09/2015,1459,1090,837
10/2015,1458,1101,854
11/2015,1385,1017,835
12/2015,1487,1089,819
01/2016,1481,1103,842
02/2016,1139,874,671
03/2016,914,970,746
04/2016,1363,1129,870
05/2016,1376,959,982
06/2016,1491,990,786
07/2016,1474,1028,810
08/2016,1418,1005,736
09/2016,1419,1044,784
10/2016,1422,1039,797
11/2016,1343,990,766
12/2016,1458,953,789
01/2017,1459,976,804
02/2017,1194,852,632
03/2017,900,851,673
04/2017,1390,992,816
05/2017,1365,887,905
06/2017,1501,906,741
07/2017,1417,964,763
08/2017,1407,938,721
09/2017,1460,970,732
10/2017,1481,958,737
11/2017,1393,945,726
12/2017,1430,958,752
01/2018,1419,990,769
02/2018,1218,804,595
03/2018,951,836,570
04/2018,1430,958,699
05/2018,1380,974,752
06/2018,1468,878,732
07/2018,1496,925,751
08/2018,1448,918,741
09/2018,1466,944,765
10/2018,1470,955,780
11/2018,1399,971,717
12/2018,1477,957,748
01/2019,1466,1002,757
02/2019,1206,800,607
03/2019,929,855,658
04/2019,1388,984,769
05/2019,1371,904,855
06/2019,1451,906,748
07/2019,1517,921,765
08/2019,1454,920,723
09/2019,1523,946,724
10/2019,1520,941,739
11/2019,1432,912,738
12/2019,1475,910,787
01/2020,1484,939,805
02/2020,1182,766,612
03/2020,926,799,677
04/2020,1435,934,805
