date,p1,p2,p3
07/1963,286,262,278
08/1963,287,262,278
09/1963,287,262,278
10/1963,287,262,278
11/1963,287,262,276
12/1963,287,261,277
01/1964,286,262,276
02/1964,286,262,278
03/1964,285,262,278
04/1964,287,260,278
05/1964,287,262,278
06/1964,287,262,277
07/1964,345,294,324
08/1964,347,294,323
09/1964,347,294,324
10/1964,346,294,323
11/1964,347,294,324
12/1964,347,294,324
01/1965,347,294,324
02/1965,346,294,324
03/1965,345,294,324
04/1965,346,294,324
05/1965,346,294,324
06/1965,346,294,324
07/1965,377,322,357
08/1965,377,322,357
09/1965,377,322,357
10/1965,376,322,357
11/1965,376,322,357
12/1965,375,321,357
01/1966,374,318,356
02/1966,376,322,356
03/1966,376,322,357
04/1966,376,322,357
05/1966,374,320,357
06/1966,375,322,357
07/1966,429,334,403
08/1966,429,335,403
09/1966,429,335,403
10/1966,428,335,403
11/1966,428,335,403
12/1966,428,335,403
01/1967,428,335,403
02/1967,427,335,403
03/1967,428,335,403
04/1967,428,335,403
05/1967,427,335,403
06/1967,426,335,403
07/1967,527,381,485
08/1967,527,380,485
09/1967,526,380,485
10/1967,526,380,485
11/1967,524,381,485
12/1967,523,381,484
01/1968,525,381,484
02/1968,524,379,483
03/1968,525,379,483
04/1968,525,379,483
05/1968,524,379,483
06/1968,524,377,483
07/1968,543,417,518
08/1968,541,416,517
09/1968,541,416,517
10/1968,540,416,516
11/1968,540,416,517
12/1968,541,416,516
01/1969,541,416,516
02/1969,539,416,516
03/1969,539,416,516
04/1969,536,416,516
05/1969,535,415,516
06/1969,536,416,516
07/1969,634,449,539
08/1969,632,449,539
09/1969,633,448,539
10/1969,632,448,539
11/1969,633,447,538
12/1969,633,447,539
01/1970,633,448,539
02/1970,632,448,537
03/1970,633,448,539
04/1970,633,448,538
05/1970,633,448,537
06/1970,632,448,537
07/1970,709,496,586
08/1970,707,496,586
09/1970,705,495,586
10/1970,705,495,585
11/1970,704,495,585
12/1970,703,495,585
01/1971,701,495,585
02/1971,699,495,585
03/1971,696,495,585
04/1971,695,494,585
05/1971,693,494,584
06/1971,688,494,583
07/1971,754,553,606
08/1971,752,553,604
09/1971,751,553,604
10/1971,751,553,604
11/1971,751,553,604
12/1971,750,552,603
01/1972,747,552,601
02/1972,744,552,601
03/1972,741,552,600
04/1972,741,551,599
05/1972,739,551,599
06/1972,737,551,598
07/1972,788,588,648
08/1972,785,589,648
09/1972,783,585,648
10/1972,781,584,647
11/1972,781,582,647
12/1972,780,583,647
01/1973,780,582,644
02/1973,779,582,644
03/1973,778,581,641
04/1973,775,579,641
05/1973,774,580,639
06/1973,769,579,635
07/1973,1031,799,963
08/1973,1027,796,964
09/1973,1025,792,963
10/1973,1021,792,962
11/1973,1022,793,959
12/1973,1018,790,958
01/1974,1016,792,955
02/1974,1009,790,952
03/1974,1007,787,946
04/1974,1006,787,946
05/1974,999,787,943
06/1974,995,785,943
07/1974,1244,922,1262
08/1974,1242,921,1258
09/1974,1231,918,1253
10/1974,1222,917,1247
11/1974,1220,914,1239
12/1974,1210,916,1238
01/1975,1210,915,1232
02/1975,1207,913,1230
03/1975,1208,914,1228
04/1975,1206,913,1230
05/1975,1207,912,1232
06/1975,1201,910,1226
07/1975,1420,961,1320
08/1975,1420,955,1319
09/1975,1422,960,1322
10/1975,1416,961,1316
11/1975,1420,961,1314
12/1975,1408,958,1314
01/1976,1416,955,1308
02/1976,1374,942,1291
03/1976,1415,953,1300
04/1976,1387,950,1288
05/1976,1401,952,1294
06/1976,1400,954,1296
07/1976,1409,1033,1270
08/1976,1414,1032,1269
09/1976,1286,971,1222
10/1976,1416,1025,1262
11/1976,1394,1023,1256
12/1976,1403,1026,1260
01/1977,1400,1025,1253
02/1977,1371,1017,1242
03/1977,1396,1017,1244
04/1977,1389,1012,1243
05/1977,1389,1011,1239
06/1977,1390,1011,1228
07/1977,1412,1029,1265
