date,p1,p2,p3
08/1971,,1,1
09/1971,,1,2
10/1971,25,23,21
11/1971,288,266,278
12/1971,448,389,428
01/1972,483,416,451
02/1972,333,273,322
03/1972,408,346,403
04/1972,477,421,468
05/1972,509,447,464
06/1972,515,465,494
07/1972,525,470,489
08/1972,515,441,460
09/1972,522,466,502
10/1972,539,457,523
11/1972,536,473,505
12/1972,547,479,551
01/1973,546,497,550
02/1973,377,354,400
03/1973,490,444,509
04/1973,603,537,619
05/1973,614,569,623
06/1973,649,583,662
07/1973,640,593,663
08/1973,606,550,648
09/1973,608,580,680
10/1973,607,583,705
11/1973,627,577,647
12/1973,665,586,702
01/1974,657,597,728
02/1974,525,449,563
03/1974,632,581,694
04/1974,711,656,804
05/1974,743,708,778
06/1974,751,724,811
07/1974,754,737,786
08/1974,731,676,739
09/1974,740,706,778
10/1974,743,704,793
11/1974,736,636,754
12/1974,762,676,752
01/1975,794,669,772
02/1975,554,476,549
03/1975,666,589,674
04/1975,750,654,759
05/1975,772,657,791
06/1975,787,681,807
07/1975,794,684,803
08/1975,755,615,771
09/1975,758,644,844
10/1975,753,660,845
11/1975,747,671,739
12/1975,764,718,773
01/1976,758,721,802
02/1976,514,459,557
03/1976,626,595,713
04/1976,740,666,804
05/1976,726,709,781
06/1976,780,757,758
07/1976,766,752,767
08/1976,743,648,751
09/1976,689,646,745
10/1976,775,666,864
11/1976,713,649,804
12/1976,686,657,740
01/1977,769,697,831
02/1977,586,488,598
03/1977,662,594,744
04/1977,760,701,810
05/1977,750,713,788
06/1977,806,688,823
07/1977,825,677,823
08/1977,773,639,748
09/1977,773,685,822
10/1977,763,684,834
11/1977,751,681,798
12/1977,776,662,820
01/1978,797,675,823
02/1978,566,484,589
03/1978,644,572,734
04/1978,742,660,819
05/1978,769,664,784
06/1978,795,725,744
07/1978,804,710,744
08/1978,775,677,691
09/1978,768,664,759
10/1978,774,684,763
11/1978,757,642,738
12/1978,796,658,732
01/1979,818,673,730
02/1979,578,537,529
03/1979,657,628,643
04/1979,739,687,729
05/1979,789,671,716
