date,p1,p2,p3
07/1963,307,306,317
08/1963,306,307,316
09/1963,305,305,316
10/1963,305,308,315
11/1963,307,305,315
12/1963,305,306,314
01/1964,303,304,315
02/1964,304,306,316
03/1964,306,307,318
04/1964,307,307,316
05/1964,308,308,317
06/1964,308,309,319
07/1964,308,309,320
08/1964,309,308,319
09/1964,310,311,320
10/1964,310,309,319
11/1964,308,310,320
12/1964,310,311,320
01/1965,310,311,320
02/1965,311,311,321
03/1965,311,310,319
04/1965,310,312,322
05/1965,313,313,323
06/1965,317,314,325
07/1965,314,317,330
08/1965,318,318,327
09/1965,318,316,329
10/1965,316,318,325
11/1965,318,313,326
12/1965,317,316,329
01/1966,315,314,326
02/1966,315,314,327
03/1966,317,314,328
04/1966,318,317,328
05/1966,320,317,327
06/1966,316,320,328
07/1966,315,319,327
08/1966,321,319,329
09/1966,323,322,332
10/1966,325,321,331
11/1966,323,320,332
12/1966,322,322,335
01/1967,321,322,334
02/1967,320,321,336
03/1967,322,323,335
04/1967,325,323,335
05/1967,326,322,334
06/1967,547,443,610
07/1967,636,474,483
08/1967,590,463,535
09/1967,582,454,546
10/1967,670,445,455
11/1967,555,478,540
12/1967,618,436,519
01/1968,438,446,678
02/1968,453,460,641
03/1968,538,442,582
04/1968,549,448,566
05/1968,575,451,534
06/1968,531,448,579
07/1968,530,434,581
08/1968,606,433,495
09/1968,503,452,582
10/1968,574,436,523
11/1968,530,477,527
12/1968,538,426,574
01/1969,398,432,705
02/1969,491,442,590
03/1969,527,442,563
04/1969,469,448,613
05/1969,496,424,614
06/1969,538,427,574
07/1969,534,434,567
08/1969,553,442,544
09/1969,491,450,598
10/1969,580,456,504
11/1969,534,461,550
12/1969,466,433,653
01/1970,413,425,717
02/1970,523,457,577
03/1970,527,459,582
04/1970,501,470,601
05/1970,471,456,650
06/1970,598,443,537
07/1970,569,456,552
08/1970,561,471,544
09/1970,516,467,596
10/1970,541,491,551
11/1970,562,478,547
12/1970,509,461,617
01/1971,416,438,731
02/1971,574,466,543
03/1971,576,458,549
04/1971,573,464,549
05/1971,487,453,648
06/1971,577,456,564
07/1971,615,471,514
08/1971,551,492,560
09/1971,453,466,688
10/1971,626,487,499
11/1971,678,451,487
12/1971,570,458,591
01/1972,421,432,767
02/1972,567,486,566
03/1972,599,495,528
04/1972,614,498,517
05/1972,499,459,679
06/1972,595,495,543
07/1972,652,463,526
08/1972,597,488,563
09/1972,467,490,697
10/1972,612,495,552
11/1972,736,443,485
12/1972,584,470,620
01/1973,419,441,823
02/1973,639,500,555
03/1973,641,505,556
04/1973,665,498,539
05/1973,568,499,644
06/1973,667,529,515
07/1973,710,506,506
08/1973,670,513,549
09/1973,540,521,683
10/1973,684,522,544
11/1973,801,472,486
12/1973,695,480,596
01/1974,459,465,867
02/1974,679,513,608
03/1974,668,544,604
04/1974,776,505,543
05/1974,728,554,553
06/1974,713,566,561
07/1974,728,551,576
08/1974,760,544,553
09/1974,656,538,668
10/1974,691,550,620
11/1974,826,540,502
12/1974,806,518,549
01/1975,460,497,934
02/1975,680,542,678
03/1975,674,568,663
04/1975,790,550,569
05/1975,775,577,560
06/1975,695,614,609
07/1975,701,557,662
08/1975,776,579,571
09/1975,644,589,702
10/1975,759,607,577
11/1975,872,558,513
12/1975,799,578,581
01/1976,477,539,938
02/1976,633,566,712
03/1976,630,589,752
04/1976,723,587,637
05/1976,799,573,602
06/1976,740,563,679
07/1976,618,559,810
08/1976,808,596,588
09/1976,672,557,581
10/1976,801,623,575
11/1976,844,587,559
12/1976,837,586,605
01/1977,520,581,932
02/1977,607,584,817
03/1977,680,620,744
04/1977,766,610,671
05/1977,821,611,620
06/1977,772,592,699
07/1977,632,580,859
08/1977,816,635,623
09/1977,832,598,645
10/1977,837,620,606
11/1977,1795,1015,1121
12/1977,1632,1150,1180
01/1978,1243,1101,1627
