date,p1,p2,p3
07/1963,177,173,172
08/1963,178,173,172
09/1963,178,173,172
10/1963,178,173,172
11/1963,178,173,172
12/1963,177,173,172
01/1964,177,172,172
02/1964,178,173,172
03/1964,178,173,172
04/1964,178,173,172
05/1964,178,173,172
06/1964,178,173,172
07/1964,297,264,275
08/1964,297,263,277
09/1964,297,264,277
10/1964,297,263,277
11/1964,297,264,277
12/1964,297,264,277
01/1965,297,264,277
02/1965,297,264,277
03/1965,297,264,276
04/1965,297,264,277
05/1965,297,264,277
06/1965,296,264,277
07/1965,337,286,348
08/1965,337,286,348
09/1965,337,286,348
10/1965,337,286,347
11/1965,337,286,347
12/1965,336,285,347
01/1966,336,285,343
02/1966,337,286,346
03/1966,337,286,347
04/1966,337,286,348
05/1966,337,285,346
06/1966,337,286,347
07/1966,390,320,362
08/1966,390,321,362
09/1966,389,321,362
10/1966,389,321,362
11/1966,389,321,362
12/1966,389,321,362
01/1967,389,321,362
02/1967,388,321,362
03/1967,389,321,362
04/1967,389,321,362
05/1967,388,321,362
06/1967,388,321,361
07/1967,437,354,397
08/1967,437,353,397
09/1967,437,352,397
10/1967,437,353,396
11/1967,437,353,395
12/1967,436,353,394
01/1968,436,353,395
02/1968,435,352,392
03/1968,435,352,393
04/1968,434,351,393
05/1968,434,351,393
06/1968,433,350,392
07/1968,503,408,508
08/1968,503,406,506
09/1968,503,406,506
10/1968,503,404,505
11/1968,503,405,503
12/1968,502,405,505
01/1969,502,405,504
02/1969,502,403,502
03/1969,502,403,502
04/1969,501,402,500
05/1969,501,401,500
06/1969,502,401,500
07/1969,587,419,503
08/1969,587,419,500
09/1969,585,419,501
10/1969,584,418,501
11/1969,582,419,502
12/1969,583,419,502
01/1970,584,419,502
02/1970,582,418,501
03/1970,584,419,501
04/1970,584,417,500
05/1970,583,417,500
06/1970,582,415,497
07/1970,641,432,565
08/1970,639,432,564
09/1970,636,432,563
10/1970,635,432,560
11/1970,634,431,559
12/1970,633,430,556
01/1971,630,429,555
02/1971,629,428,553
03/1971,627,428,550
04/1971,626,428,547
05/1971,624,428,540
06/1971,621,427,536
07/1971,615,486,625
08/1971,614,485,623
09/1971,613,485,623
10/1971,613,485,623
11/1971,613,485,623
12/1971,613,484,620
01/1972,612,483,617
02/1972,611,482,616
03/1972,610,480,616
04/1972,610,479,615
05/1972,611,479,611
06/1972,610,478,610
07/1972,614,512,671
08/1972,613,512,669
09/1972,610,510,667
10/1972,610,508,666
11/1972,609,508,665
12/1972,610,508,664
01/1973,608,508,664
02/1973,608,508,663
03/1973,606,507,662
04/1973,605,505,660
05/1973,604,506,658
06/1973,597,506,655
07/1973,692,527,660
08/1973,691,526,657
09/1973,689,526,657
10/1973,686,527,655
11/1973,685,527,653
12/1973,684,527,652
01/1974,684,526,652
02/1974,680,525,648
03/1974,677,524,645
04/1974,676,524,644
05/1974,676,522,641
06/1974,673,522,638
07/1974,939,662,824
08/1974,938,661,818
09/1974,934,659,812
10/1974,932,655,802
11/1974,931,653,804
12/1974,927,652,801
01/1975,926,653,798
02/1975,923,651,797
03/1975,922,651,798
04/1975,919,650,798
05/1975,917,649,797
06/1975,916,647,792
07/1975,1124,843,1033
08/1975,1121,843,1031
09/1975,1121,843,1030
10/1975,1121,838,1026
11/1975,1121,839,1025
12/1975,1120,837,1018
01/1976,1114,834,1017
02/1976,1099,824,983
03/1976,1105,833,1017
04/1976,1090,826,996
05/1976,1100,830,998
06/1976,1099,827,1000
07/1976,1186,935,1151
08/1976,1181,934,1156
09/1976,1125,874,1058
10/1976,1176,933,1150
11/1976,1171,924,1136
12/1976,1174,927,1144
01/1977,1170,927,1138
02/1977,1163,913,1113
03/1977,1168,923,1124
04/1977,1166,916,1122
05/1977,1164,918,1117
06/1977,1159,914,1115
07/1977,1250,858,1153
08/1977,1244,857,1148
09/1977,1237,855,1139
10/1977,1233,852,1131
11/1977,1230,850,1124
12/1977,1224,851,1121
01/1978,1222,848,1116
02/1978,1216,839,1105
03/1978,1216,837,1101
04/1978,1210,838,1092
05/1978,1203,835,1094
06/1978,1196,827,1086
07/1978,1190,845,1135
08/1978,1185,840,1131
09/1978,1178,834,1122
10/1978,1170,833,1122
11/1978,1172,831,1114
12/1978,1164,828,1110
01/1979,1161,824,1106
02/1979,1153,821,1097
03/1979,1145,817,1090
04/1979,1144,813,1086
05/1979,1136,808,1086
06/1979,1133,806,1074
07/1979,1189,810,1095
08/1979,1184,805,1089
09/1979,1178,802,1080
10/1979,1172,798,1074
11/1979,1170,799,1072
12/1979,1168,793,1068
01/1980,1163,787,1059
02/1980,1151,781,1047
03/1980,1148,778,1043
04/1980,1145,776,1031
05/1980,1140,772,1031
06/1980,1137,770,1028
07/1980,1085,834,1146
08/1980,1083,833,1143
09/1980,1080,829,1138
10/1980,1073,822,1125
11/1980,1074,817,1125
12/1980,1067,814,1117
01/1981,1063,808,1118
02/1981,1061,802,1109
03/1981,1054,799,1099
04/1981,1050,793,1091
05/1981,1047,786,1088
06/1981,1043,784,1080
07/1981,1131,855,1151
08/1981,1132,849,1145
09/1981,1125,845,1140
10/1981,1119,842,1119
11/1981,1119,838,1125
12/1981,1117,834,1124
01/1982,1111,832,1110
02/1982,1112,831,1104
03/1982,1105,829,1094
04/1982,1100,823,1082
05/1982,1094,823,1074
06/1982,1092,815,1069
07/1982,1236,821,1134
08/1982,1229,816,1123
09/1982,1229,816,1116
10/1982,1220,811,1107
11/1982,1213,805,1096
12/1982,1209,806,1094
01/1983,1204,805,1084
02/1983,1194,800,1072
03/1983,1188,798,1068
04/1983,1186,793,1061
05/1983,1180,793,1050
06/1983,1180,790,1042
07/1983,1384,970,1026
08/1983,1381,963,1022
09/1983,1375,963,1010
10/1983,1364,962,1002
11/1983,1357,959,997
12/1983,1348,960,995
01/1984,1343,955,985
02/1984,1333,948,978
03/1984,1325,942,962
04/1984,1320,937,959
05/1984,1314,935,958
06/1984,1305,930,951
07/1984,1422,833,1234
08/1984,1416,829,1227
09/1984,1409,822,1213
10/1984,1397,818,1193
11/1984,1386,813,1183
12/1984,1374,807,1162
01/1985,1367,801,1155
02/1985,1355,796,1144
03/1985,1347,788,1135
04/1985,1339,785,1124
05/1985,1333,781,1120
06/1985,1324,771,1112
07/1985,1624,847,1089
08/1985,1614,847,1077
09/1985,1606,840,1059
10/1985,1598,838,1042
11/1985,1587,834,1030
12/1985,1573,828,1021
01/1986,1561,822,1005
02/1986,1552,818,997
03/1986,1540,814,990
04/1986,1531,811,982
05/1986,1519,806,970
06/1986,1505,800,962
07/1986,1661,856,1157
08/1986,1647,852,1146
09/1986,1639,847,1133
10/1986,1625,840,1116
11/1986,1608,832,1095
12/1986,1592,822,1079
01/1987,1558,805,1057
02/1987,1547,800,1051
03/1987,1543,799,1045
04/1987,1537,792,1033
05/1987,1529,787,1027
06/1987,1522,784,1021
07/1987,1539,869,1183
08/1987,1532,863,1173
09/1987,1514,860,1161
10/1987,1502,854,1150
11/1987,1488,845,1140
12/1987,1474,839,1126
01/1988,1459,834,1115
02/1988,1452,830,1103
03/1988,1438,826,1090
04/1988,1427,817,1085
05/1988,1414,805,1080
06/1988,1398,796,1068
07/1988,1567,876,1232
08/1988,1561,867,1218
09/1988,1543,859,1206
10/1988,1529,856,1192
11/1988,1517,847,1185
12/1988,1501,844,1168
01/1989,1483,840,1152
02/1989,1468,833,1145
03/1989,1456,827,1136
04/1989,1446,820,1125
05/1989,1432,818,1119
06/1989,1420,812,1107
07/1989,1654,870,1246
08/1989,1645,863,1237
09/1989,1630,858,1224
10/1989,1618,853,1208
11/1989,1609,846,1198
12/1989,1598,839,1185
01/1990,1581,836,1177
02/1990,1570,831,1165
03/1990,1565,825,1157
04/1990,1555,822,1152
05/1990,1547,815,1141
06/1990,1535,811,1120
07/1990,1696,832,1184
08/1990,1690,828,1169
09/1990,1679,826,1153
10/1990,1673,822,1147
11/1990,1662,818,1133
12/1990,1654,815,1125
01/1991,1645,814,1114
02/1991,1637,812,1103
03/1991,1629,808,1095
04/1991,1620,801,1080
05/1991,1612,797,1071
06/1991,1607,797,1056
07/1991,1552,866,1284
08/1991,1541,862,1266
09/1991,1531,855,1260
10/1991,1526,853,1255
11/1991,1517,849,1243
12/1991,1507,846,1232
01/1992,1498,844,1212
02/1992,1483,843,1205
03/1992,1476,838,1197
04/1992,1472,835,1189
05/1992,1463,835,1176
06/1992,1442,833,1155
07/1992,1560,847,1259
08/1992,1550,840,1241
09/1992,1540,833,1226
10/1992,1534,831,1215
11/1992,1521,825,1203
12/1992,1515,820,1191
01/1993,1507,817,1189
02/1993,1501,817,1181
03/1993,1495,815,1176
04/1993,1489,811,1165
05/1993,1486,805,1154
06/1993,1480,802,1150
07/1993,1695,805,1251
08/1993,1690,803,1238
09/1993,1681,801,1232
10/1993,1675,800,1218
11/1993,1670,797,1215
12/1993,1662,794,1205
01/1994,1655,790,1197
02/1994,1649,789,1188
03/1994,1644,785,1172
04/1994,1642,783,1167
05/1994,1633,778,1159
06/1994,1627,778,1152
07/1994,1848,925,1248
08/1994,1838,923,1238
09/1994,1830,920,1225
10/1994,1826,915,1217
11/1994,1816,912,1211
12/1994,1808,907,1200
01/1995,1790,904,1187
02/1995,1782,903,1178
03/1995,1772,901,1168
04/1995,1754,892,1160
05/1995,1746,890,1152
06/1995,1737,888,1138
07/1995,2025,939,1328
08/1995,2011,935,1316
09/1995,2000,930,1304
10/1995,1983,925,1294
11/1995,1971,921,1282
12/1995,1960,914,1272
01/1996,1947,907,1262
02/1996,1930,906,1253
03/1996,1921,900,1242
04/1996,1911,896,1233
05/1996,1903,892,1226
06/1996,1890,890,1210
07/1996,2094,999,1412
08/1996,2080,992,1403
09/1996,2058,982,1394
10/1996,2048,974,1382
11/1996,2037,967,1375
12/1996,2025,966,1363
01/1997,2008,956,1343
02/1997,1996,951,1334
03/1997,1983,943,1324
04/1997,1966,937,1315
05/1997,1957,935,1305
06/1997,1949,931,1289
07/1997,2088,1084,1498
08/1997,2068,1076,1480
09/1997,2052,1067,1456
10/1997,2041,1057,1442
11/1997,2022,1047,1430
12/1997,2008,1038,1422
01/1998,1984,1022,1399
02/1998,1966,1013,1384
03/1998,1950,1003,1372
04/1998,1929,992,1351
05/1998,1914,985,1342
06/1998,1904,976,1325
07/1998,2110,1139,1588
08/1998,2093,1127,1563
09/1998,2075,1123,1540
10/1998,2052,1109,1512
11/1998,2015,1096,1475
12/1998,2002,1085,1455
01/1999,1969,1077,1427
02/1999,1946,1065,1402
03/1999,1926,1056,1379
04/1999,1897,1038,1358
05/1999,1872,1032,1339
06/1999,1851,1024,1326
07/1999,1956,1168,1480
08/1999,1925,1153,1465
09/1999,1901,1144,1438
10/1999,1878,1125,1419
11/1999,1860,1117,1400
12/1999,1828,1108,1377
01/2000,1808,1097,1363
02/2000,1792,1087,1350
03/2000,1769,1078,1336
04/2000,1751,1063,1320
05/2000,1727,1060,1311
06/2000,1703,1050,1297
07/2000,1770,1090,1481
08/2000,1759,1079,1467
09/2000,1734,1065,1445
10/2000,1718,1048,1422
11/2000,1684,1032,1401
12/2000,1665,1018,1375
01/2001,1647,1006,1352
02/2001,1632,993,1326
03/2001,1613,986,1310
04/2001,1596,976,1289
05/2001,1571,963,1264
06/2001,1552,950,1244
07/2001,1821,923,1369
08/2001,1798,912,1344
09/2001,1765,899,1318
10/2001,1750,894,1301
11/2001,1736,885,1289
12/2001,1713,871,1274
01/2002,1695,864,1263
02/2002,1685,857,1252
03/2002,1669,853,1237
04/2002,1650,847,1230
05/2002,1636,840,1219
06/2002,1621,832,1206
07/2002,1644,938,1402
08/2002,1633,929,1385
09/2002,1619,925,1359
10/2002,1612,921,1341
11/2002,1602,914,1310
12/2002,1591,910,1292
01/2003,1579,904,1272
02/2003,1565,895,1256
03/2003,1554,886,1238
04/2003,1541,878,1212
05/2003,1529,873,1197
06/2003,1522,865,1188
07/2003,1426,879,1366
08/2003,1418,874,1347
09/2003,1407,868,1327
10/2003,1398,865,1313
11/2003,1389,862,1294
12/2003,1385,860,1276
01/2004,1376,857,1259
02/2004,1366,854,1253
03/2004,1356,848,1248
04/2004,1351,843,1239
05/2004,1338,841,1234
