date,p1,p2,p3
02/1973,30,31,52
03/1973,106,123,245
04/1973,109,118,293
05/1973,104,131,286
06/1973,103,120,290
07/1973,104,121,287
08/1973,124,119,326
09/1973,117,133,322
10/1973,113,116,309
11/1973,113,129,305
12/1973,120,123,292
01/1974,99,124,304
02/1974,87,114,293
03/1974,223,232,316
04/1974,198,218,342
05/1974,200,213,336
06/1974,190,206,317
07/1974,234,258,373
08/1974,193,205,298
09/1974,202,220,268
10/1974,238,278,400
11/1974,181,194,307
12/1974,214,222,351
01/1975,177,204,274
02/1975,197,211,278
03/1975,215,248,331
04/1975,219,250,341
05/1975,232,241,353
06/1975,210,249,359
07/1975,223,254,343
08/1975,220,235,357
09/1975,216,232,321
10/1975,179,226,323
11/1975,204,220,343
12/1975,205,249,315
01/1976,208,227,321
02/1976,204,233,324
03/1976,231,276,353
04/1976,228,275,352
05/1976,216,241,323
06/1976,199,228,334
07/1976,196,226,327
08/1976,201,242,340
09/1976,215,234,289
10/1976,222,254,329
11/1976,220,244,336
12/1976,225,253,364
01/1977,244,258,355
02/1977,254,269,346
03/1977,264,271,346
04/1977,248,269,333
05/1977,236,259,336
06/1977,237,260,354
07/1977,250,267,337
08/1977,266,250,366
09/1977,274,270,346
10/1977,264,273,379
11/1977,277,278,373
12/1977,283,278,377
01/1978,274,282,373
02/1978,261,277,358
03/1978,254,266,346
04/1978,254,279,337
05/1978,277,291,375
06/1978,284,310,378
07/1978,296,305,359
08/1978,297,303,356
09/1978,315,322,368
10/1978,347,320,386
11/1978,354,333,388
12/1978,360,368,378
01/1979,358,344,393
02/1979,338,347,368
03/1979,294,312,353
04/1979,287,282,373
05/1979,301,289,377
06/1979,305,292,379
07/1979,300,280,384
08/1979,293,313,399
09/1979,298,320,381
10/1979,293,305,374
11/1979,300,319,394
12/1979,325,328,400
01/1980,336,335,398
02/1980,339,320,373
03/1980,315,296,374
04/1980,309,296,349
05/1980,295,298,331
06/1980,297,292,347
07/1980,307,285,372
08/1980,315,317,387
09/1980,348,325,397
10/1980,353,358,402
11/1980,351,350,422
12/1980,395,368,399
01/1981,394,370,408
02/1981,382,375,416
03/1981,361,386,407
04/1981,360,359,416
05/1981,352,364,414
06/1981,341,343,408
07/1981,341,358,392
08/1981,338,336,412
09/1981,344,342,404
10/1981,339,325,405
11/1981,348,313,418
12/1981,349,321,407
01/1982,347,318,397
02/1982,344,316,399
03/1982,333,308,405
04/1982,321,309,401
05/1982,316,311,407
06/1982,331,301,421
07/1982,329,291,403
08/1982,317,318,414
09/1982,346,349,397
10/1982,346,355,432
11/1982,353,371,446
12/1982,391,407,482
01/1983,414,408,474
02/1983,406,385,474
03/1983,390,393,435
04/1983,386,399,430
05/1983,388,373,456
06/1983,410,390,467
07/1983,415,395,465
08/1983,417,407,477
09/1983,380,399,448
10/1983,388,382,478
11/1983,390,384,473
12/1983,379,381,470
01/1984,383,373,493
02/1984,387,374,475
03/1984,371,352,461
04/1984,343,332,441
05/1984,329,339,436
06/1984,338,342,468
07/1984,328,315,439
08/1984,342,342,457
09/1984,363,344,469
10/1984,342,329,454
11/1984,345,316,449
12/1984,340,317,428
01/1985,337,319,435
02/1985,342,314,437
03/1985,344,331,475
04/1985,341,327,443
05/1985,342,330,454
06/1985,332,321,465
07/1985,342,336,448
08/1985,360,347,460
09/1985,353,348,461
10/1985,353,337,461
11/1985,346,337,458
12/1985,367,363,471
01/1986,382,385,501
02/1986,379,395,502
03/1986,385,384,480
04/1986,391,389,486
05/1986,409,398,484
06/1986,413,410,506
07/1986,411,398,520
08/1986,428,390,536
09/1986,419,392,538
10/1986,424,396,536
11/1986,407,381,540
12/1986,410,381,537
01/1987,403,393,528
02/1987,408,402,513
03/1987,407,406,532
04/1987,411,409,518
05/1987,410,402,512
06/1987,416,412,498
07/1987,401,399,508
08/1987,404,411,527
09/1987,377,383,542
10/1987,389,397,509
11/1987,408,400,534
12/1987,416,371,557
01/1988,410,367,537
02/1988,399,371,508
03/1988,392,359,519
04/1988,378,361,546
05/1988,372,348,498
06/1988,371,349,486
07/1988,369,338,488
08/1988,395,361,521
09/1988,395,357,512
10/1988,385,356,512
11/1988,382,346,497
12/1988,380,354,492
01/1989,386,348,517
02/1989,386,342,524
03/1989,391,353,529
04/1989,385,340,528
05/1989,385,341,523
06/1989,384,326,415
07/1989,398,341,535
08/1989,406,341,551
09/1989,410,351,629
10/1989,407,352,624
11/1989,418,374,624
12/1989,419,364,594
01/1990,412,360,601
02/1990,409,362,602
03/1990,409,366,582
04/1990,409,366,594
05/1990,415,365,690
06/1990,413,359,622
07/1990,408,374,517
08/1990,407,381,539
09/1990,411,365,516
10/1990,415,366,516
11/1990,418,358,558
12/1990,415,366,564
01/1991,415,361,568
02/1991,416,363,554
03/1991,412,372,577
04/1991,417,377,540
05/1991,416,389,541
06/1991,423,378,518
07/1991,411,371,518
08/1991,426,382,535
09/1991,435,393,567
10/1991,435,398,567
11/1991,430,394,564
12/1991,432,404,554
01/1992,437,396,576
02/1992,438,406,584
03/1992,435,401,593
04/1992,440,401,581
05/1992,431,402,590
06/1992,432,396,591
07/1992,430,385,577
08/1992,456,396,608
09/1992,450,403,606
10/1992,448,416,612
11/1992,452,415,621
12/1992,449,421,613
01/1993,456,421,631
02/1993,460,426,623
03/1993,462,429,607
04/1993,461,420,620
05/1993,517,479,630
06/1993,518,487,609
07/1993,515,489,611
08/1993,546,515,667
09/1993,543,522,687
10/1993,545,523,684
11/1993,549,519,685
12/1993,552,518,669
01/1994,500,461,657
02/1994,545,519,667
03/1994,542,511,682
04/1994,543,511,673
05/1994,537,512,668
06/1994,539,512,667
07/1994,539,512,659
08/1994,564,551,666
09/1994,569,536,661
10/1994,565,536,676
11/1994,558,531,658
12/1994,553,521,666
01/1995,557,523,656
02/1995,552,525,633
03/1995,548,536,631
04/1995,551,533,625
05/1995,545,529,635
06/1995,542,531,642
07/1995,544,524,639
08/1995,572,559,673
09/1995,575,559,666
10/1995,574,562,683
11/1995,572,550,679
12/1995,568,559,683
01/1996,566,560,670
02/1996,571,554,666
03/1996,574,542,679
04/1996,570,536,685
05/1996,572,528,678
06/1996,567,541,684
07/1996,563,551,662
08/1996,594,561,705
09/1996,586,558,701
10/1996,586,564,701
11/1996,585,566,716
12/1996,581,569,709
01/1997,578,581,698
02/1997,583,573,721
03/1997,584,573,719
04/1997,581,564,732
05/1997,577,560,727
06/1997,582,557,718
07/1997,584,565,725
08/1997,617,605,763
09/1997,616,595,776
10/1997,612,606,757
11/1997,614,599,784
12/1997,618,598,757
01/1998,608,597,742
02/1998,605,593,741
03/1998,607,588,748
04/1998,607,590,739
05/1998,610,582,750
06/1998,604,586,746
07/1998,600,582,737
08/1998,632,612,772
09/1998,632,609,778
10/1998,620,600,779
11/1998,617,597,768
12/1998,616,597,765
01/1999,608,590,754
02/1999,607,594,732
03/1999,603,589,744
04/1999,598,583,736
05/1999,591,583,698
06/1999,589,583,718
07/1999,595,572,733
08/1999,607,602,779
09/1999,607,592,771
10/1999,602,593,754
11/1999,591,583,744
12/1999,581,571,768
01/2000,575,568,751
02/2000,578,559,752
03/2000,578,561,744
04/2000,576,550,758
05/2000,563,542,727
06/2000,551,531,720
07/2000,540,525,720
08/2000,557,544,746
09/2000,551,541,732
10/2000,548,537,728
11/2000,547,532,717
12/2000,537,527,718
01/2001,531,517,722
02/2001,526,516,704
03/2001,520,531,688
04/2001,514,505,694
05/2001,508,499,690
06/2001,505,500,701
07/2001,509,502,709
08/2001,490,490,713
09/2001,515,509,732
10/2001,489,485,704
11/2001,486,484,710
12/2001,505,501,700
01/2002,502,502,712
02/2002,497,499,690
03/2002,493,492,699
04/2002,494,491,691
05/2002,492,486,715
06/2002,493,484,710
07/2002,488,484,702
08/2002,504,499,721
09/2002,501,492,728
10/2002,504,493,711
11/2002,496,487,713
12/2002,498,494,723
01/2003,498,487,728
02/2003,495,492,733
03/2003,492,484,732
04/2003,489,483,719
05/2003,491,478,730
06/2003,489,484,749
07/2003,490,484,775
08/2003,1165,932,2572
09/2003,1187,902,2573
10/2003,1174,920,2548
11/2003,1179,933,2492
12/2003,1207,958,2415
01/2004,1232,950,2361
02/2004,1246,946,2340
03/2004,1262,967,2277
04/2004,1265,972,2242
05/2004,1279,957,2207
06/2004,1245,968,2198
07/2004,1260,975,2148
08/2004,1281,982,2238
09/2004,1269,962,2250
10/2004,1241,957,2263
11/2004,1229,904,2303
12/2004,1222,909,2282
01/2005,1188,959,2229
02/2005,1215,934,2207
03/2005,1224,950,2153
04/2005,1233,938,2130
05/2005,1190,996,2097
06/2005,1164,1050,2037
07/2005,1166,1050,2008
08/2005,1274,1036,2179
09/2005,1271,1025,2157
10/2005,1253,1034,2141
11/2005,1240,1107,2053
12/2005,1244,1094,2034
01/2006,1241,1096,1991
02/2006,1231,1068,1993
03/2006,1245,1096,1924
04/2006,1244,1120,1869
05/2006,1229,1149,1839
06/2006,1215,1159,1815
07/2006,1225,1160,1781
08/2006,1294,1202,1904
09/2006,1291,1149,1939
10/2006,1279,1147,1934
11/2006,1292,1128,1911
12/2006,1222,1161,1914
01/2007,1232,1130,1899
02/2007,1211,1099,1906
03/2007,1218,1126,1849
04/2007,1275,1080,1805
05/2007,1232,1097,1793
06/2007,1221,1087,1787
07/2007,1229,1054,1787
08/2007,1253,1155,1900
09/2007,1287,1107,1877
10/2007,1192,1142,1905
11/2007,1188,1117,1902
12/2007,1175,1087,1901
01/2008,1157,1068,1908
02/2008,1146,1068,1898
03/2008,1101,1077,1904
04/2008,1098,1056,1893
05/2008,1065,1068,1884
06/2008,1096,1034,1853
07/2008,1053,1063,1847
08/2008,1100,1181,1951
09/2008,1085,1170,1942
10/2008,1094,1174,1900
11/2008,1058,1131,1934
12/2008,1034,1064,1999
01/2009,995,1031,2030
02/2009,1012,953,2070
03/2009,952,966,2082
04/2009,941,946,2086
05/2009,950,930,2058
06/2009,963,937,2009
07/2009,947,947,1986
08/2009,1000,1017,1962
09/2009,994,990,1979
10/2009,1007,928,2002
11/2009,997,984,1919
12/2009,994,1047,1828
01/2010,1021,1087,1728
02/2010,1029,1112,1672
03/2010,1017,1129,1641
04/2010,1008,1096,1658
05/2010,1010,1123,1599
06/2010,1034,1086,1593
07/2010,1014,1080,1604
08/2010,1019,1112,1650
09/2010,1014,1126,1624
10/2010,1015,1091,1635
11/2010,986,1059,1671
12/2010,982,1017,1679
01/2011,986,1010,1646
02/2011,1018,1006,1599
03/2011,1022,1002,1579
04/2011,1067,1008,1505
05/2011,1058,1028,1464
06/2011,1062,1020,1444
07/2011,1044,1053,1388
08/2011,1084,1059,1492
09/2011,1085,1044,1490
10/2011,1070,1056,1484
11/2011,1057,1043,1485
12/2011,1064,1031,1459
01/2012,1049,1020,1457
02/2012,1038,1002,1470
03/2012,1029,986,1471
04/2012,1043,998,1424
05/2012,1031,1028,1387
06/2012,1043,1000,1386
07/2012,1043,1018,1341
08/2012,1069,1079,1379
09/2012,1053,1048,1406
10/2012,1044,1018,1417
11/2012,1042,993,1420
12/2012,1037,997,1405
01/2013,1023,958,1428
02/2013,1016,929,1449
03/2013,1015,909,1454
04/2013,1034,886,1437
05/2013,1046,889,1398
06/2013,1023,883,1407
07/2013,1038,872,1382
08/2013,1064,864,1481
09/2013,1061,898,1433
10/2013,1057,884,1436
11/2013,1053,872,1432
12/2013,1047,862,1422
01/2014,1033,859,1423
02/2014,1021,865,1411
03/2014,1005,886,1386
04/2014,1043,870,1355
05/2014,1045,927,1280
06/2014,1030,932,1276
07/2014,1043,937,1246
08/2014,1083,961,1396
09/2014,1086,953,1386
10/2014,1099,964,1347
11/2014,1112,921,1353
12/2014,1085,928,1359
01/2015,1062,895,1392
02/2015,1065,867,1399
03/2015,1067,868,1369
04/2015,1066,828,1389
05/2015,1038,862,1370
06/2015,1059,872,1328
07/2015,1063,837,1337
08/2015,1128,926,1476
09/2015,1121,927,1468
10/2015,1110,938,1448
11/2015,1096,912,1462
12/2015,1100,890,1463
01/2016,1082,919,1425
02/2016,1065,886,1447
03/2016,1046,878,1451
04/2016,1060,867,1429
05/2016,1054,872,1406
06/2016,1052,852,1408
07/2016,1047,934,1307
08/2016,1069,959,1441
09/2016,1067,928,1452
10/2016,1053,922,1441
11/2016,1069,907,1423
12/2016,1023,915,1434
01/2017,1021,898,1435
02/2017,1034,890,1413
03/2017,1029,897,1387
04/2017,1036,906,1354
05/2017,1058,892,1324
06/2017,1080,867,1305
07/2017,1096,894,1238
08/2017,1095,977,1305
09/2017,1097,998,1261
10/2017,1071,975,1281
11/2017,1106,938,1260
12/2017,1080,916,1280
01/2018,1116,851,1282
02/2018,1112,822,1300
03/2018,1096,803,1313
04/2018,1102,796,1300
05/2018,1077,806,1293
06/2018,1077,785,1301
07/2018,1075,831,1240
08/2018,1127,885,1342
09/2018,1114,911,1313
10/2018,1117,893,1317
11/2018,1093,903,1309
12/2018,1072,870,1337
01/2019,1047,881,1325
02/2019,1041,889,1307
03/2019,1026,894,1301
04/2019,1035,873,1288
05/2019,1052,865,1265
06/2019,1030,868,1275
07/2019,1005,902,1254
08/2019,1058,943,1376
09/2019,1029,949,1379
10/2019,1022,947,1370
11/2019,1060,901,1354
12/2019,1057,907,1333
01/2020,1056,905,1309
02/2020,1093,878,1284
03/2020,1082,866,1292
04/2020,1054,873,1297
05/2020,1016,899,1292
06/2020,1001,897,1286
07/2020,1060,910,1191
08/2020,1148,908,1294
09/2020,1183,867,1291
10/2020,1182,889,1254
11/2020,1184,856,1263
12/2020,1164,884,1240
