date,p1,p2,p3
07/1963,601,626,729
08/1963,617,633,716
09/1963,637,634,694
10/1963,640,642,680
11/1963,646,644,672
12/1963,651,645,670
01/1964,668,661,629
02/1964,650,677,643
03/1964,631,695,647
04/1964,626,666,693
05/1964,618,676,693
06/1964,649,665,679
07/1964,657,642,697
08/1964,649,632,724
09/1964,649,639,729
10/1964,655,678,683
11/1964,687,669,667
12/1964,702,656,668
01/1965,726,670,629
02/1965,720,668,640
03/1965,710,679,641
04/1965,725,663,646
05/1965,742,670,625
06/1965,762,663,615
07/1965,738,665,639
08/1965,712,675,667
09/1965,694,677,691
10/1965,697,684,677
11/1965,728,681,646
12/1965,773,670,617
01/1966,822,652,570
02/1966,848,635,578
03/1966,860,646,562
04/1966,859,638,567
05/1966,876,623,559
06/1966,879,611,565
07/1966,854,617,588
08/1966,788,647,633
09/1966,782,647,642
10/1966,778,643,662
11/1966,769,631,692
12/1966,753,648,686
01/1967,773,661,650
02/1967,783,669,635
03/1967,830,637,621
04/1967,838,643,608
05/1967,886,605,596
06/1967,885,616,579
07/1967,921,585,572
08/1967,940,590,546
09/1967,947,594,533
10/1967,961,596,510
11/1967,986,570,516
12/1967,976,575,524
01/1968,984,563,523
02/1968,1009,557,497
03/1968,1013,560,493
04/1968,998,576,495
05/1968,970,582,521
06/1968,1013,569,499
07/1968,1031,560,483
08/1968,1033,552,475
09/1968,1013,580,478
10/1968,998,590,483
11/1968,1010,576,487
12/1968,1032,567,482
01/1969,1027,566,485
02/1969,1038,563,480
03/1969,1054,549,486
04/1969,1039,553,502
05/1969,1021,592,496
06/1969,1024,587,511
07/1969,1014,605,513
08/1969,994,624,523
09/1969,965,647,545
10/1969,948,640,574
11/1969,976,635,568
12/1969,985,650,555
01/1970,1025,621,545
02/1970,1043,614,547
03/1970,1011,627,574
04/1970,928,664,631
05/1970,905,689,641
06/1970,923,694,626
07/1970,942,679,622
08/1970,880,701,661
09/1970,838,689,723
10/1970,844,700,710
11/1970,864,706,695
12/1970,865,706,692
01/1971,833,733,702
02/1971,862,729,687
03/1971,923,723,636
04/1971,961,704,623
05/1971,966,698,619
06/1971,948,699,640
07/1971,903,713,681
08/1971,858,729,719
09/1971,843,727,751
10/1971,841,730,760
11/1971,856,722,766
12/1971,882,723,749
01/1972,909,754,702
02/1972,968,731,676
03/1972,1004,723,657
04/1972,1019,720,664
05/1972,1015,722,673
06/1972,990,722,702
07/1972,964,723,742
08/1972,942,709,781
09/1972,921,708,805
10/1972,912,719,814
11/1972,893,714,853
12/1972,835,761,879
01/1973,848,828,803
02/1973,850,835,808
03/1973,901,793,803
04/1973,839,773,885
05/1973,825,801,871
06/1973,828,797,872
07/1973,817,798,880
08/1973,804,763,930
09/1973,759,764,971
10/1973,737,724,1033
11/1973,730,724,1042
12/1973,736,736,1020
01/1974,747,812,932
02/1974,738,829,918
03/1974,733,826,925
04/1974,691,752,1037
05/1974,712,715,1048
06/1974,720,677,1073
07/1974,705,682,1080
08/1974,679,721,1060
09/1974,668,697,1091
10/1974,679,698,1076
11/1974,659,679,1112
12/1974,664,671,1107
01/1975,704,674,1065
02/1975,669,687,1087
03/1975,662,670,1110
04/1975,645,646,1150
05/1975,670,633,1129
06/1975,667,646,1115
07/1975,682,629,1110
08/1975,712,659,1046
09/1975,706,665,1044
10/1975,698,663,1050
11/1975,652,635,1124
12/1975,635,665,1110
01/1976,636,698,1069
02/1976,639,676,1007
03/1976,653,752,999
04/1976,661,711,983
05/1976,672,713,995
06/1976,656,667,1055
07/1976,624,646,1107
08/1976,623,615,1130
09/1976,620,600,894
10/1976,627,616,1132
11/1976,637,607,1108
12/1976,642,628,1107
01/1977,649,664,1064
02/1977,661,672,1008
03/1977,675,677,1013
04/1977,694,647,1020
05/1977,684,657,1024
06/1977,677,651,1035
07/1977,677,649,1031
08/1977,687,631,1034
09/1977,685,647,1018
10/1977,672,644,1022
11/1977,686,624,1025
12/1977,672,669,996
01/1978,688,689,956
02/1978,691,687,938
03/1978,690,702,921
04/1978,691,681,931
05/1978,685,702,906
06/1978,693,710,887
07/1978,689,724,868
08/1978,720,697,859
09/1978,720,707,836
10/1978,748,700,819
11/1978,761,705,800
12/1978,749,715,797
01/1979,716,718,820
02/1979,680,701,863
03/1979,661,703,869
04/1979,674,665,896
05/1979,684,686,861
06/1979,689,685,846
07/1979,704,673,841
08/1979,679,681,852
09/1979,680,666,867
10/1979,665,668,874
11/1979,665,676,861
12/1979,662,663,880
01/1980,692,651,850
02/1980,714,643,821
03/1980,720,643,818
04/1980,700,657,818
05/1980,665,667,839
06/1980,660,632,879
07/1980,647,626,906
08/1980,652,646,882
09/1980,679,648,850
10/1980,697,675,797
11/1980,728,646,796
12/1980,737,632,792
01/1981,729,637,797
02/1981,710,635,804
03/1981,688,639,827
04/1981,674,631,848
05/1981,669,638,839
06/1981,680,644,814
07/1981,695,632,809
08/1981,692,627,815
09/1981,682,628,821
10/1981,671,646,814
11/1981,660,654,818
12/1981,642,650,844
01/1982,636,657,842
02/1982,649,635,852
03/1982,636,646,860
04/1982,618,610,904
05/1982,601,613,916
06/1982,604,610,910
07/1982,585,607,926
08/1982,583,597,924
09/1982,582,587,943
10/1982,574,597,932
11/1982,591,612,899
12/1982,628,607,869
01/1983,659,642,834
02/1983,1392,1077,1974
03/1983,1430,1058,1965
04/1983,1592,1082,2284
05/1983,1578,1156,2252
06/1983,1667,1172,2178
07/1983,1745,1203,2105
08/1983,1795,1273,2050
09/1983,1761,1248,2159
10/1983,1673,1258,2309
11/1983,1589,1334,2391
12/1983,1557,1324,2513
01/1984,1624,1358,2472
02/1984,1637,1337,2551
03/1984,1581,1369,2608
04/1984,1515,1352,2736
05/1984,1532,1320,2790
06/1984,1527,1291,2848
07/1984,1433,1340,2891
08/1984,1468,1266,2961
09/1984,1458,1264,2978
10/1984,1521,1200,2962
11/1984,1530,1162,2975
12/1984,1534,1259,2857
01/1985,1579,1346,2729
02/1985,1616,1294,2727
03/1985,1677,1263,2711
04/1985,1632,1280,2717
05/1985,1649,1302,2671
06/1985,1650,1293,2658
07/1985,1623,1271,2694
08/1985,1630,1246,2723
09/1985,1693,1214,2679
10/1985,1720,1233,2633
11/1985,1692,1334,2564
12/1985,1651,1300,2651
01/1986,1701,1287,2610
02/1986,1769,1265,2570
03/1986,1760,1239,2598
04/1986,1742,1228,2617
05/1986,1750,1271,2570
06/1986,1805,1290,2512
07/1986,1874,1294,2469
08/1986,1897,1255,2558
09/1986,1828,1300,2630
10/1986,1709,1289,2793
11/1986,1715,1291,2806
12/1986,1710,1321,2808
01/1987,1763,1375,2675
02/1987,1765,1349,2743
03/1987,1790,1294,2818
04/1987,1750,1357,2831
05/1987,1771,1398,2826
06/1987,1782,1388,2848
07/1987,1749,1359,2945
08/1987,1725,1478,2910
09/1987,1711,1447,2991
10/1987,1666,1482,3041
11/1987,1656,1388,3172
12/1987,1637,1388,3193
01/1988,1603,1416,3162
02/1988,1622,1394,3153
03/1988,1599,1412,3117
04/1988,1550,1390,3181
05/1988,1610,1309,3169
06/1988,1656,1419,2975
07/1988,1610,1421,3020
08/1988,1611,1392,3032
09/1988,1589,1392,3033
10/1988,1659,1368,2965
11/1988,1646,1417,2907
12/1988,1691,1358,2913
01/1989,1810,1386,2716
02/1989,1766,1402,2731
03/1989,1708,1460,2718
04/1989,1628,1390,2841
05/1989,1661,1373,2807
06/1989,1698,1395,2725
07/1989,1726,1336,2728
08/1989,1740,1290,2748
09/1989,1728,1297,2736
10/1989,1791,1233,2713
11/1989,1792,1213,2714
12/1989,1783,1312,2608
01/1990,1826,1334,2540
02/1990,1830,1297,2577
03/1990,1757,1306,2640
04/1990,1733,1213,2752
05/1990,1777,1247,2667
06/1990,1838,1204,2635
07/1990,1840,1226,2605
08/1990,1881,1185,2602
09/1990,1857,1223,2580
10/1990,1812,1246,2608
11/1990,1711,1274,2653
12/1990,1711,1185,2717
01/1991,1753,1184,2664
02/1991,1757,1160,2665
03/1991,1728,1184,2653
04/1991,1690,1162,2679
05/1991,1796,1120,2598
06/1991,1864,1103,2539
07/1991,1874,1135,2510
08/1991,1865,1159,2505
09/1991,1898,1193,2462
10/1991,2017,1090,2467
11/1991,2037,1089,2448
12/1991,2061,1141,2397
01/1992,2042,1229,2334
02/1992,2131,1233,2258
03/1992,2158,1272,2211
04/1992,2227,1248,2181
05/1992,2220,1274,2204
06/1992,2213,1245,2234
07/1992,2139,1259,2272
08/1992,2192,1238,2237
09/1992,2210,1275,2189
10/1992,2232,1232,2213
11/1992,2214,1281,2171
12/1992,2301,1246,2148
01/1993,2395,1263,2044
02/1993,2488,1257,1992
03/1993,2457,1245,2046
04/1993,2407,1245,2111
05/1993,2403,1301,2117
06/1993,2442,1350,2066
07/1993,2456,1350,2083
08/1993,2541,1333,2055
09/1993,2571,1335,2073
10/1993,2646,1311,2061
11/1993,2731,1342,2001
12/1993,2799,1321,1999
01/1994,2888,1315,1977
02/1994,2893,1339,2042
03/1994,2830,1383,2090
04/1994,2740,1404,2208
05/1994,2749,1416,2237
06/1994,2748,1379,2308
07/1994,2743,1431,2306
08/1994,2816,1435,2266
09/1994,2818,1468,2233
10/1994,2798,1474,2258
11/1994,2783,1487,2268
12/1994,2870,1440,2255
01/1995,2953,1366,2253
02/1995,2925,1403,2240
03/1995,2873,1445,2246
04/1995,2812,1473,2279
05/1995,2827,1555,2192
06/1995,2778,1626,2175
07/1995,2864,1563,2146
08/1995,2904,1545,2164
09/1995,3002,1533,2100
10/1995,3148,1464,2060
11/1995,3155,1443,2082
12/1995,3107,1481,2130
01/1996,3147,1500,2102
02/1996,3191,1483,2111
03/1996,3216,1398,2174
04/1996,3105,1484,2239
05/1996,3220,1476,2180
06/1996,3383,1447,2091
07/1996,3519,1406,2071
08/1996,3518,1368,2173
09/1996,3398,1431,2260
10/1996,3337,1503,2295
11/1996,3299,1545,2308
12/1996,3320,1633,2266
01/1997,3449,1632,2171
02/1997,3429,1625,2213
03/1997,3378,1662,2235
04/1997,3217,1699,2366
05/1997,3139,1725,2424
06/1997,3075,1680,2526
07/1997,3104,1665,2506
08/1997,3122,1682,2455
09/1997,3215,1676,2380
10/1997,3334,1640,2296
11/1997,3443,1643,2172
12/1997,3376,1671,2235
01/1998,3344,1729,2187
02/1998,3190,1738,2317
03/1998,3198,1659,2364
04/1998,3175,1651,2364
05/1998,3259,1633,2279
06/1998,3281,1693,2188
07/1998,3237,1626,2275
08/1998,3084,1673,2364
09/1998,2902,1706,2509
10/1998,2704,1733,2619
11/1998,2586,1681,2695
12/1998,2677,1644,2590
01/1999,2905,1616,2313
02/1999,2954,1628,2216
03/1999,2893,1600,2257
04/1999,2726,1557,2395
05/1999,2669,1532,2433
06/1999,2689,1521,2410
07/1999,2738,1467,2391
08/1999,2830,1435,2314
09/1999,2854,1420,2296
10/1999,2843,1404,2289
11/1999,2732,1456,2326
12/1999,2812,1489,2193
01/2000,3026,1369,2089
02/2000,3137,1288,2053
03/2000,3150,1270,2022
04/2000,3178,1208,2046
05/2000,3150,1251,2044
06/2000,3026,1281,2141
07/2000,2791,1277,2339
08/2000,2622,1346,2439
