date,p1,p2,p3
07/1963,412,435,1126
08/1963,412,433,1119
09/1963,412,433,1110
10/1963,411,431,1104
11/1963,410,426,1102
12/1963,409,425,1099
01/1964,408,419,1085
02/1964,409,421,1085
03/1964,409,420,1077
04/1964,409,418,1081
05/1964,409,418,1078
06/1964,409,418,1067
07/1964,418,436,1159
08/1964,417,434,1150
09/1964,416,434,1153
10/1964,416,433,1141
11/1964,414,431,1143
12/1964,414,431,1137
01/1965,414,429,1131
02/1965,414,427,1126
03/1965,413,425,1120
04/1965,413,424,1113
05/1965,413,423,1109
06/1965,413,423,1103
07/1965,426,447,1187
08/1965,425,446,1184
09/1965,425,445,1178
10/1965,425,444,1166
11/1965,425,442,1159
12/1965,424,440,1157
01/1966,423,439,1136
02/1966,423,436,1144
03/1966,423,437,1138
04/1966,423,436,1132
05/1966,422,434,1122
06/1966,423,431,1118
07/1966,433,450,1190
08/1966,431,450,1189
09/1966,431,448,1183
10/1966,430,447,1179
11/1966,430,447,1176
12/1966,430,447,1168
01/1967,430,444,1158
02/1967,430,444,1154
03/1967,429,444,1151
04/1967,429,443,1145
05/1967,428,440,1141
06/1967,428,431,1135
07/1967,430,472,1191
08/1967,428,468,1180
09/1967,427,466,1172
10/1967,422,463,1163
11/1967,423,460,1154
12/1967,423,458,1144
01/1968,420,454,1135
02/1968,417,448,1124
03/1968,417,444,1123
04/1968,415,443,1118
05/1968,415,438,1112
06/1968,415,435,1106
07/1968,426,484,1178
08/1968,423,480,1162
09/1968,422,479,1161
10/1968,420,473,1155
11/1968,419,472,1144
12/1968,417,469,1140
01/1969,417,467,1129
02/1969,417,463,1116
03/1969,416,461,1110
04/1969,415,458,1102
05/1969,414,456,1101
06/1969,409,458,1096
07/1969,433,484,1240
08/1969,433,482,1232
09/1969,432,477,1230
10/1969,432,473,1225
11/1969,432,474,1220
12/1969,432,474,1216
01/1970,432,470,1211
02/1970,431,470,1207
03/1970,431,470,1207
04/1970,429,472,1202
05/1970,428,470,1197
06/1970,428,469,1191
07/1970,444,478,1332
08/1970,444,477,1325
09/1970,443,477,1322
10/1970,443,475,1318
11/1970,443,475,1314
12/1970,442,475,1308
01/1971,441,472,1301
02/1971,440,471,1298
03/1971,440,469,1291
04/1971,440,469,1284
05/1971,439,467,1277
06/1971,440,466,1268
07/1971,456,484,1375
08/1971,456,482,1372
09/1971,456,482,1371
10/1971,456,482,1370
11/1971,456,482,1370
12/1971,456,482,1365
01/1972,455,481,1360
02/1972,455,478,1358
03/1972,455,479,1350
04/1972,455,479,1345
05/1972,454,479,1344
06/1972,452,479,1336
07/1972,480,528,1433
08/1972,479,527,1426
09/1972,478,526,1417
10/1972,478,524,1413
11/1972,478,523,1409
12/1972,478,522,1408
01/1973,478,520,1401
02/1973,478,519,1396
03/1973,477,518,1391
04/1973,476,518,1384
05/1973,477,518,1378
06/1973,476,516,1369
07/1973,585,804,3808
08/1973,585,799,3755
09/1973,583,794,3698
10/1973,583,791,3647
11/1973,583,791,3624
12/1973,583,788,3527
01/1974,581,785,3434
02/1974,581,784,3413
03/1974,580,780,3393
04/1974,579,780,3379
05/1974,579,780,3358
06/1974,579,776,3325
07/1974,572,783,3427
08/1974,572,779,3382
09/1974,572,773,3339
10/1974,572,773,3297
11/1974,571,770,3261
12/1974,569,769,3226
01/1975,571,767,3187
02/1975,571,765,3166
03/1975,570,766,3164
04/1975,570,766,3161
05/1975,570,765,3162
06/1975,570,762,3138
07/1975,549,802,3246
08/1975,549,799,3217
09/1975,549,798,3212
10/1975,549,795,3194
11/1975,547,792,3185
12/1975,549,790,3158
01/1976,549,787,3145
02/1976,549,785,3050
03/1976,548,784,3113
04/1976,548,781,3070
05/1976,549,778,3082
06/1976,549,778,3073
07/1976,545,772,3318
08/1976,543,770,3295
09/1976,542,757,3035
10/1976,543,767,3269
11/1976,543,761,3233
12/1976,543,765,3242
01/1977,542,763,3225
02/1977,540,755,3177
03/1977,539,755,3191
04/1977,538,753,3172
05/1977,539,752,3162
06/1977,539,749,3148
07/1977,541,750,3377
08/1977,541,744,3343
09/1977,541,741,3315
10/1977,540,741,3289
11/1977,538,738,3270
12/1977,538,736,3251
01/1978,537,733,3230
02/1978,536,729,3192
03/1978,536,728,3181
04/1978,535,726,3147
05/1978,535,722,3150
06/1978,534,719,3119
07/1978,539,742,3248
08/1978,539,738,3225
09/1978,536,733,3194
10/1978,536,733,3172
11/1978,535,729,3152
12/1978,535,728,3133
01/1979,533,728,3114
02/1979,532,721,3092
03/1979,530,715,3073
04/1979,529,713,3064
05/1979,528,709,3043
06/1979,528,705,3020
07/1979,540,715,3246
08/1979,539,711,3219
09/1979,538,709,3195
10/1979,535,708,3177
11/1979,533,706,3165
12/1979,534,703,3149
01/1980,532,700,3115
02/1980,528,693,3084
03/1980,527,692,3070
04/1980,525,690,3042
05/1980,525,685,3026
06/1980,522,685,3006
07/1980,536,752,3241
08/1980,536,748,3223
09/1980,535,747,3195
10/1980,532,743,3165
11/1980,531,740,3161
12/1980,531,738,3130
01/1981,527,736,3117
02/1981,527,732,3095
03/1981,526,729,3066
04/1981,523,727,3050
05/1981,522,721,3034
06/1981,522,717,3024
07/1981,530,774,3580
08/1981,528,771,3559
09/1981,524,771,3537
10/1981,522,770,3493
11/1981,520,767,3491
12/1981,520,765,3475
01/1982,519,759,3435
02/1982,518,758,3424
03/1982,518,755,3412
04/1982,511,750,3382
05/1982,509,749,3355
06/1982,508,749,3328
07/1982,512,765,3722
08/1982,509,760,3676
09/1982,509,756,3658
10/1982,506,754,3620
11/1982,507,750,3569
12/1982,505,750,3556
01/1983,502,745,3523
02/1983,499,739,3489
03/1983,498,740,3469
04/1983,496,738,3454
05/1983,496,735,3427
06/1983,495,737,3403
07/1983,530,782,3845
08/1983,529,778,3822
09/1983,527,776,3785
10/1983,526,773,3755
11/1983,526,772,3733
12/1983,526,770,3719
01/1984,523,767,3691
02/1984,522,767,3654
03/1984,521,762,3618
04/1984,521,761,3596
05/1984,521,757,3577
06/1984,521,755,3549
07/1984,516,769,4454
08/1984,515,767,4416
09/1984,513,765,4382
10/1984,510,759,4327
11/1984,509,753,4285
12/1984,505,747,4243
01/1985,503,742,4213
02/1985,501,736,4165
03/1985,500,731,4140
04/1985,499,728,4101
05/1985,499,725,4070
06/1985,497,719,4021
07/1985,516,837,4302
08/1985,513,833,4258
09/1985,511,829,4203
10/1985,507,827,4165
11/1985,506,821,4126
12/1985,503,816,4083
01/1986,499,806,4036
02/1986,498,802,3994
03/1986,497,797,3964
04/1986,496,788,3926
05/1986,490,785,3885
06/1986,490,782,3843
07/1986,527,887,4365
08/1986,526,887,4308
09/1986,524,881,4267
10/1986,523,874,4220
11/1986,519,866,4172
12/1986,517,859,4119
01/1987,513,846,4026
02/1987,511,839,3984
03/1987,509,837,3973
04/1987,508,835,3935
05/1987,507,829,3916
06/1987,507,827,3891
07/1987,529,875,4769
08/1987,528,867,4731
09/1987,524,856,4695
10/1987,523,848,4658
11/1987,519,843,4608
12/1987,517,840,4567
01/1988,515,836,4520
02/1988,514,831,4483
03/1988,513,820,4430
04/1988,513,816,4394
05/1988,512,809,4352
06/1988,510,803,4292
07/1988,506,879,4717
08/1988,504,873,4668
09/1988,503,865,4612
10/1988,503,858,4558
11/1988,500,852,4518
12/1988,499,845,4462
01/1989,493,837,4402
02/1989,491,833,4361
03/1989,491,831,4315
04/1989,489,825,4274
05/1989,488,821,4236
06/1989,485,817,4193
07/1989,500,804,4524
08/1989,496,800,4487
09/1989,493,793,4441
10/1989,492,789,4388
11/1989,491,785,4350
12/1989,489,780,4305
01/1990,488,774,4267
02/1990,484,766,4232
03/1990,482,766,4197
04/1990,482,763,4165
05/1990,483,761,4120
06/1990,483,758,4071
07/1990,515,815,4397
08/1990,515,813,4343
09/1990,508,808,4300
10/1990,508,807,4271
11/1990,508,804,4232
12/1990,508,797,4194
01/1991,508,796,4159
02/1991,506,795,4120
03/1991,505,794,4091
04/1991,504,793,4039
05/1991,505,789,3998
06/1991,504,789,3953
07/1991,536,813,4249
08/1991,533,810,4197
09/1991,531,808,4168
10/1991,530,809,4141
11/1991,531,807,4109
12/1991,530,806,4081
01/1992,527,803,4034
02/1992,527,800,4005
03/1992,527,796,3972
04/1992,528,793,3936
05/1992,526,791,3899
06/1992,525,789,3834
07/1992,564,886,4286
08/1992,564,882,4228
09/1992,565,880,4183
10/1992,564,878,4146
11/1992,564,872,4103
12/1992,564,872,4073
01/1993,563,868,4042
02/1993,563,865,4013
03/1993,563,863,3991
04/1993,561,861,3959
05/1993,561,858,3931
06/1993,560,856,3912
07/1993,604,877,4498
08/1993,604,874,4460
09/1993,602,869,4437
10/1993,602,868,4408
11/1993,600,865,4393
12/1993,598,865,4368
01/1994,595,866,4328
02/1994,595,863,4299
03/1994,594,861,4265
04/1994,593,861,4247
05/1994,592,859,4214
06/1994,592,855,4184
07/1994,638,953,4970
08/1994,635,948,4940
09/1994,632,946,4898
10/1994,630,940,4863
11/1994,629,936,4834
12/1994,627,932,4803
01/1995,626,930,4758
02/1995,624,925,4714
03/1995,624,920,4678
04/1995,620,918,4629
05/1995,619,915,4594
06/1995,617,908,4552
07/1995,683,1002,4976
08/1995,680,999,4938
09/1995,679,996,4899
10/1995,678,991,4866
11/1995,675,985,4830
12/1995,670,983,4791
01/1996,665,980,4750
02/1996,662,972,4703
03/1996,661,965,4670
04/1996,657,961,4639
05/1996,654,958,4607
06/1996,653,952,4569
07/1996,729,1077,5304
08/1996,725,1073,5269
09/1996,724,1065,5220
10/1996,720,1061,5189
11/1996,718,1058,5150
12/1996,714,1056,5109
01/1997,707,1046,5061
02/1997,706,1041,5020
03/1997,704,1034,4977
04/1997,703,1028,4933
05/1997,702,1023,4899
06/1997,699,1018,4860
07/1997,750,1112,5486
08/1997,743,1099,5425
09/1997,736,1084,5374
10/1997,735,1075,5330
11/1997,733,1067,5282
12/1997,729,1057,5242
01/1998,725,1046,5155
02/1998,724,1035,5098
03/1998,720,1029,5040
04/1998,715,1021,4971
05/1998,714,1016,4914
06/1998,713,1004,4861
07/1998,784,1090,5336
08/1998,778,1081,5266
09/1998,771,1077,5211
10/1998,766,1070,5130
11/1998,758,1057,5037
12/1998,752,1052,4984
01/1999,746,1044,4894
02/1999,743,1040,4828
03/1999,739,1034,4763
04/1999,734,1027,4672
05/1999,730,1020,4612
06/1999,726,1013,4557
07/1999,808,1124,4739
08/1999,801,1103,4680
09/1999,795,1094,4610
10/1999,792,1084,4542
11/1999,785,1069,4491
12/1999,778,1052,4423
01/2000,773,1047,4364
02/2000,770,1035,4319
03/2000,766,1027,4265
04/2000,762,1017,4202
05/2000,758,1011,4161
06/2000,754,997,4121
07/2000,903,1253,4316
08/2000,896,1242,4274
09/2000,887,1232,4219
10/2000,884,1222,4156
11/2000,875,1213,4084
12/2000,867,1203,4012
01/2001,861,1194,3942
02/2001,856,1186,3877
03/2001,850,1174,3826
04/2001,846,1165,3764
05/2001,839,1155,3688
06/2001,835,1147,3625
07/2001,696,1002,4170
08/2001,694,993,4106
09/2001,689,986,4025
10/2001,687,982,3982
11/2001,685,978,3942
12/2001,680,974,3871
01/2002,675,966,3827
02/2002,669,964,3783
03/2002,667,961,3736
04/2002,665,958,3687
05/2002,661,957,3644
06/2002,655,954,3601
07/2002,618,829,3903
08/2002,614,828,3859
09/2002,613,828,3804
10/2002,613,828,3764
11/2002,613,825,3708
12/2002,612,825,3670
01/2003,611,824,3627
02/2003,609,822,3580
03/2003,608,818,3534
04/2003,608,816,3477
05/2003,606,813,3442
06/2003,606,812,3409
07/2003,622,821,3476
08/2003,621,820,3435
09/2003,620,814,3400
10/2003,620,810,3375
11/2003,618,806,3339
12/2003,616,805,3307
01/2004,616,800,3270
02/2004,616,800,3245
03/2004,614,798,3220
04/2004,611,797,3196
