date,p1,p2,p3
07/1963,281,280,316
08/1963,281,280,317
09/1963,281,280,317
10/1963,281,280,317
11/1963,281,279,316
12/1963,281,279,316
01/1964,280,279,316
02/1964,281,280,316
03/1964,281,280,315
04/1964,280,280,316
05/1964,281,280,317
06/1964,281,279,317
07/1964,301,323,385
08/1964,300,323,387
09/1964,301,323,387
10/1964,300,323,386
11/1964,301,323,387
12/1964,301,323,387
01/1965,301,323,387
02/1965,300,323,387
03/1965,300,323,386
04/1965,300,323,387
05/1965,300,323,387
06/1965,301,323,386
07/1965,333,346,441
08/1965,333,346,441
09/1965,333,346,441
10/1965,333,346,440
11/1965,333,346,440
12/1965,333,345,439
01/1966,330,343,438
02/1966,332,346,440
03/1966,333,346,440
04/1966,333,346,440
05/1966,332,344,439
06/1966,333,345,440
07/1966,370,382,483
08/1966,370,383,483
09/1966,370,383,483
10/1966,370,383,482
11/1966,370,383,482
12/1966,370,383,482
01/1967,370,383,482
02/1967,369,383,482
03/1967,370,383,482
04/1967,370,383,482
05/1967,370,383,481
06/1967,370,382,481
07/1967,442,463,597
08/1967,442,463,596
09/1967,441,462,595
10/1967,442,462,595
11/1967,442,462,594
12/1967,442,460,594
01/1968,442,461,594
02/1968,442,457,593
03/1968,442,458,593
04/1968,441,458,592
05/1968,441,458,591
06/1968,441,456,590
07/1968,546,480,565
08/1968,545,477,564
09/1968,545,477,564
10/1968,544,476,563
11/1968,543,476,563
12/1968,544,476,563
01/1969,544,476,562
02/1969,544,475,559
03/1969,544,475,559
04/1969,543,474,557
05/1969,544,473,556
06/1969,543,474,557
07/1969,592,561,576
08/1969,592,560,574
09/1969,592,558,575
10/1969,592,555,576
11/1969,590,557,576
12/1969,591,557,576
01/1970,592,557,576
02/1970,589,556,576
03/1970,592,556,576
04/1970,590,556,575
05/1970,589,556,575
06/1970,587,553,574
07/1970,581,610,690
08/1970,580,608,690
09/1970,580,608,686
10/1970,578,607,685
11/1970,578,606,683
12/1970,577,603,682
01/1971,574,603,680
02/1971,572,601,680
03/1971,570,600,678
04/1971,567,599,678
05/1971,565,597,673
06/1971,563,592,672
07/1971,559,617,766
08/1971,558,616,764
09/1971,558,616,763
