date,p1,p2,p3
07/1963,805,509,659
08/1963,660,609,706
09/1963,613,525,836
10/1963,765,564,645
11/1963,635,584,755
12/1963,608,576,796
01/1964,582,562,826
02/1964,762,576,647
03/1964,673,581,733
04/1964,624,615,754
05/1964,712,580,715
06/1964,634,613,762
07/1964,636,598,779
08/1964,697,679,646
09/1964,685,618,727
10/1964,667,588,774
11/1964,697,599,737
12/1964,687,607,741
01/1965,648,599,790
02/1965,776,584,680
03/1965,728,620,697
04/1965,793,558,694
05/1965,740,556,755
06/1965,729,591,735
07/1965,642,571,847
08/1965,720,675,674
09/1965,708,560,806
10/1965,678,621,768
11/1965,777,583,707
12/1965,777,621,675
01/1966,764,596,701
02/1966,820,643,612
03/1966,817,637,622
04/1966,774,592,706
05/1966,790,583,692
06/1966,627,583,864
07/1966,712,637,724
08/1966,658,643,788
09/1966,679,593,819
10/1966,668,659,768
11/1966,521,622,955
12/1966,734,682,683
01/1967,742,600,750
02/1967,884,580,632
03/1967,882,591,625
04/1967,762,587,746
05/1967,746,634,717
06/1967,849,581,663
07/1967,870,597,626
08/1967,782,600,704
09/1967,724,603,760
10/1967,866,601,619
11/1967,828,606,657
12/1967,704,599,788
01/1968,892,557,637
02/1968,850,586,641
03/1968,607,575,899
04/1968,641,640,807
05/1968,875,600,618
06/1968,920,580,595
07/1968,683,610,795
08/1968,724,616,737
09/1968,776,608,705
10/1968,792,589,708
11/1968,664,608,820
12/1968,720,591,788
01/1969,853,611,638
02/1969,765,630,707
03/1969,614,569,933
04/1969,732,639,750
05/1969,709,579,850
06/1969,802,591,753
07/1969,584,607,966
08/1969,621,615,931
09/1969,768,641,774
10/1969,717,635,838
11/1969,882,597,717
12/1969,706,597,901
01/1970,642,588,980
02/1970,903,627,689
03/1970,684,627,928
04/1970,647,674,927
05/1970,570,597,1082
06/1970,770,667,818
07/1970,745,658,851
08/1970,673,641,946
09/1970,757,670,837
10/1970,1041,629,602
11/1970,693,668,920
12/1970,597,638,1054
01/1971,754,638,895
02/1971,1052,629,614
03/1971,954,640,703
04/1971,809,668,821
05/1971,751,661,891
06/1971,729,624,957
07/1971,705,678,932
08/1971,717,700,909
09/1971,724,703,913
10/1971,849,665,839
11/1971,742,699,922
12/1971,681,690,1006
01/1972,884,680,825
02/1972,1159,617,625
03/1972,910,708,793
04/1972,809,684,928
05/1972,819,692,922
06/1972,735,734,969
07/1972,798,698,945
08/1972,748,760,942
09/1972,719,704,1039
10/1972,825,679,969
11/1972,742,737,1003
12/1972,765,692,1042
01/1973,793,3630,951
02/1973,2368,1414,1616
03/1973,1804,1367,2223
04/1973,2022,1208,2118
05/1973,1653,1589,2069
06/1973,1498,1505,2241
07/1973,1893,1288,2020
08/1973,1794,1273,2099
09/1973,1730,1303,2087
10/1973,1433,1068,2573
11/1973,1873,1447,1754
12/1973,1751,1346,1886
01/1974,1253,1394,2244
02/1974,1980,1353,1541
03/1974,1578,1410,1864
04/1974,1977,1407,1462
05/1974,1840,1292,1701
06/1974,1729,1330,1745
07/1974,1889,1201,1693
08/1974,1639,1430,1689
09/1974,1838,1295,1578
10/1974,1697,1372,1609
11/1974,1310,1211,2119
12/1974,1628,1108,1869
01/1975,1449,1259,1864
02/1975,1622,1146,1791
03/1975,1687,1409,1473
04/1975,1600,1152,1823
05/1975,1491,1462,1639
06/1975,1563,1121,1891
07/1975,1488,1099,2010
08/1975,2229,1120,1251
09/1975,1665,1186,1770
10/1975,1769,1161,1685
11/1975,1215,1545,1862
12/1975,1366,1471,1768
01/1976,1527,1303,1785
02/1976,1557,1146,1839
03/1976,2008,1212,1397
04/1976,1603,1256,1728
05/1976,1605,1434,1577
06/1976,1475,1401,1752
07/1976,1201,1146,2288
08/1976,1593,1446,1621
09/1976,1396,1343,1669
10/1976,1542,1416,1729
11/1976,1987,1046,1637
12/1976,1444,1599,1651
01/1977,1789,1055,1844
02/1977,2068,1333,1226
03/1977,2325,951,1392
04/1977,1679,1355,1627
05/1977,1567,1410,1696
06/1977,1733,1359,1574
07/1977,1429,1104,2135
08/1977,1967,1380,1303
09/1977,2226,950,1457
10/1977,1660,1364,1597
11/1977,1898,1166,1552
12/1977,1489,1135,1984
01/1978,1855,1303,1441
02/1978,2207,1160,1204
03/1978,1944,1406,1219
04/1978,1601,1157,1786
05/1978,1492,1241,1834
06/1978,1838,1105,1607
07/1978,1741,1348,1440
08/1978,1411,1134,1982
09/1978,1826,1156,1535
10/1978,1772,1214,1547
11/1978,1490,1214,1828
12/1978,1535,1043,1951
01/1979,1614,1363,1552
02/1979,1661,1153,1702
03/1979,2015,1063,1425
04/1979,1469,1183,1863
05/1979,1700,1328,1478
06/1979,1495,1347,1663
07/1979,1435,1106,1960
08/1979,1416,1410,1673
09/1979,1482,1173,1836
10/1979,1557,1394,1541
11/1979,1656,1157,1687
12/1979,1439,1106,1960
01/1980,1766,1440,1295
02/1980,1800,1214,1487
03/1980,2021,1157,1333
04/1980,1214,1254,2042
05/1980,1414,1163,1927
06/1980,1539,1031,1939
07/1980,1645,1058,1827
08/1980,1425,1257,1870
09/1980,1864,1343,1351
10/1980,1755,1374,1448
11/1980,1848,1356,1413
12/1980,1554,1541,1532
01/1981,1374,1449,1846
02/1981,1616,1550,1526
03/1981,1306,1435,1962
04/1981,1454,1264,2015
05/1981,1824,1414,1548
06/1981,1659,1392,1787
07/1981,1566,1484,1835
08/1981,2015,1172,1759
09/1981,1798,1219,1952
10/1981,1509,1260,2192
11/1981,1661,1275,2068
12/1981,1512,1531,1990
01/1982,2087,1057,1884
02/1982,1682,1610,1751
03/1982,1767,1388,1894
04/1982,1517,1575,1934
05/1982,1723,1118,2171
06/1982,2184,1201,1624
07/1982,1432,1504,2063
08/1982,1661,1528,1797
09/1982,1153,1021,2811
10/1982,1840,1425,1695
11/1982,1635,1152,2133
12/1982,1911,1183,1886
01/1983,1743,1419,1825
02/1983,2206,1222,1550
03/1983,1778,1171,2043
04/1983,1756,1531,1750
05/1983,1920,1126,2013
06/1983,2126,1578,1397
07/1983,1859,1471,1827
08/1983,1757,1590,1881
09/1983,1379,1535,2389
10/1983,1500,1570,2283
11/1983,1441,1700,2286
12/1983,1632,1317,2556
01/1984,1827,1537,2221
02/1984,2145,1664,1804
03/1984,2076,1436,2137
04/1984,1647,1701,2342
05/1984,1632,1712,2365
06/1984,2202,1521,2014
07/1984,1717,1693,2330
08/1984,1645,1916,2190
09/1984,1644,1226,2883
10/1984,1816,1674,2230
11/1984,1692,1652,2366
12/1984,1772,1578,2351
01/1985,1735,1636,2334
02/1985,2267,1254,2170
03/1985,2296,1511,1874
04/1985,1846,1689,2136
05/1985,1958,1645,2066
06/1985,1551,1245,2860
07/1985,1751,1535,2369
08/1985,2050,1676,1930
09/1985,1887,1563,2196
10/1985,2161,1252,2235
11/1985,1695,1300,2668
12/1985,1771,1168,2730
01/1986,1716,1283,2666
02/1986,2309,1634,1708
03/1986,1768,1205,2681
04/1986,1713,1307,2648
05/1986,2352,1569,1752
06/1986,1795,1237,2686
07/1986,2028,1775,1976
08/1986,2231,1468,2128
09/1986,1376,1237,3243
10/1986,2266,1479,2135
11/1986,1599,1313,2999
12/1986,1780,1597,2561
01/1987,2211,1344,2371
02/1987,2017,1429,2485
03/1987,2155,1496,2343
04/1987,2136,1769,2128
05/1987,2448,1375,2237
06/1987,1979,1684,2449
07/1987,1796,1262,3115
08/1987,1714,2066,2432
09/1987,1925,1806,2521
10/1987,2756,1338,2201
11/1987,2207,1760,2309
12/1987,2499,1488,2261
01/1988,1682,1426,3120
02/1988,2192,1606,2409
03/1988,1818,1563,2791
04/1988,2581,1770,1805
05/1988,2211,1650,2274
06/1988,1885,1809,2416
07/1988,1855,1391,2856
08/1988,2154,1848,2088
09/1988,2552,1321,2193
10/1988,1769,1297,2972
11/1988,1782,1666,2587
12/1988,2325,1308,2366
01/1989,2001,1746,2213
02/1989,1943,1367,2637
03/1989,2187,1660,2075
04/1989,1955,1681,2259
05/1989,1874,1244,2764
06/1989,1789,1240,2828
07/1989,1897,1656,2275
08/1989,1527,1279,3024
09/1989,1950,1722,2132
10/1989,2210,1628,1936
11/1989,2192,1603,1970
12/1989,1605,1736,2417
01/1990,1637,1646,2483
