date,p1,p2,p3
10/1973,3,1,3
11/1973,47,46,47
12/1973,65,63,63
01/1974,70,71,69
02/1974,65,64,64
03/1974,83,80,84
04/1974,91,86,90
05/1974,78,74,79
06/1974,80,76,79
07/1974,78,75,84
08/1974,82,76,74
09/1974,83,77,77
10/1974,87,77,79
11/1974,84,78,79
12/1974,81,86,78
01/1975,87,86,86
02/1975,75,75,76
03/1975,96,90,100
04/1975,98,98,103
05/1975,79,80,90
06/1975,77,79,93
07/1975,79,78,90
08/1975,78,73,91
09/1975,76,79,96
10/1975,75,84,94
11/1975,76,90,92
12/1975,77,93,97
01/1976,78,91,98
02/1976,96,93,102
03/1976,122,117,137
04/1976,126,123,142
05/1976,117,115,109
06/1976,122,117,115
07/1976,121,116,116
08/1976,116,106,114
09/1976,118,108,117
10/1976,126,117,123
11/1976,108,113,125
12/1976,118,118,131
01/1977,119,120,131
02/1977,103,119,113
03/1977,130,131,134
04/1977,136,133,137
05/1977,115,118,127
06/1977,114,125,132
07/1977,116,122,134
08/1977,114,115,131
09/1977,121,118,135
10/1977,125,116,137
11/1977,121,109,138
12/1977,121,120,143
01/1978,125,124,141
02/1978,117,114,133
03/1978,144,143,160
04/1978,156,148,170
05/1978,129,139,169
06/1978,136,137,168
07/1978,137,140,169
08/1978,140,129,170
09/1978,150,141,179
10/1978,149,147,180
11/1978,136,149,177
12/1978,139,157,179
01/1979,136,160,183
02/1979,131,148,165
03/1979,155,165,185
04/1979,157,175,186
05/1979,143,157,174
06/1979,143,158,183
07/1979,143,158,181
08/1979,139,157,173
09/1979,151,165,179
10/1979,154,162,180
11/1979,151,151,177
12/1979,147,156,177
01/1980,153,158,175
02/1980,144,148,160
03/1980,163,175,179
04/1980,169,177,184
05/1980,159,159,166
06/1980,161,158,173
07/1980,164,157,173
08/1980,159,152,179
09/1980,162,161,188
10/1980,166,158,190
11/1980,162,166,164
12/1980,166,168,170
01/1981,170,173,169
02/1981,149,146,170
03/1981,175,168,195
04/1981,175,173,206
05/1981,153,142,186
06/1981,156,154,193
07/1981,158,154,192
08/1981,161,149,175
09/1981,167,149,178
10/1981,163,160,176
11/1981,149,168,169
12/1981,155,165,183
01/1982,156,167,176
02/1982,141,150,164
03/1982,166,171,189
04/1982,173,174,189
05/1982,152,159,169
06/1982,155,160,172
07/1982,155,161,172
08/1982,145,153,174
09/1982,149,160,179
10/1982,149,158,179
11/1982,136,152,173
12/1982,145,159,179
01/1983,148,158,183
02/1983,135,143,172
03/1983,143,156,191
04/1983,147,159,193
05/1983,145,149,178
06/1983,149,152,184
07/1983,152,154,183
08/1983,153,145,172
09/1983,157,150,176
10/1983,153,156,172
11/1983,159,155,154
12/1983,167,159,154
01/1984,169,157,149
02/1984,147,152,145
03/1984,166,175,168
04/1984,176,167,182
05/1984,173,156,156
06/1984,167,169,165
07/1984,165,166,164
08/1984,151,161,171
09/1984,154,161,180
10/1984,159,167,179
11/1984,151,158,198
12/1984,155,162,206
01/1985,162,159,209
02/1985,143,147,191
03/1985,167,162,216
04/1985,181,169,226
05/1985,168,165,202
06/1985,164,169,202
07/1985,162,174,202
08/1985,155,159,210
09/1985,163,163,217
10/1985,163,168,217
11/1985,169,171,203
12/1985,174,170,219
01/1986,170,174,215
02/1986,158,151,212
03/1986,176,179,231
04/1986,184,179,244
05/1986,188,152,234
06/1986,191,158,227
07/1986,190,154,230
08/1986,183,167,216
09/1986,191,163,222
10/1986,194,171,213
11/1986,191,167,201
12/1986,195,176,206
01/1987,193,176,206
02/1987,181,161,190
03/1987,212,186,213
04/1987,220,195,215
05/1987,189,191,191
06/1987,186,201,187
07/1987,187,198,189
08/1987,198,171,200
09/1987,202,179,205
10/1987,197,176,209
11/1987,182,176,209
12/1987,185,184,216
01/1988,188,184,216
02/1988,168,172,192
03/1988,187,175,229
04/1988,181,184,232
05/1988,164,174,201
06/1988,168,181,199
07/1988,175,176,196
08/1988,162,157,206
09/1988,170,157,228
10/1988,175,168,219
11/1988,172,159,203
12/1988,167,169,211
01/1989,168,174,205
02/1989,162,166,186
03/1989,177,188,204
04/1989,192,192,207
05/1989,181,167,196
06/1989,182,166,193
07/1989,179,170,191
08/1989,183,153,194
09/1989,187,157,202
10/1989,190,151,209
11/1989,171,147,218
12/1989,181,164,218
01/1990,185,159,224
02/1990,173,170,186
03/1990,192,198,218
04/1990,196,213,224
05/1990,187,175,215
06/1990,185,176,216
07/1990,180,174,224
08/1990,173,165,225
09/1990,190,171,236
10/1990,198,173,243
11/1990,212,174,210
12/1990,216,183,218
01/1991,221,187,220
02/1991,180,189,214
03/1991,211,223,248
04/1991,223,237,252
05/1991,218,210,225
06/1991,230,205,230
07/1991,227,201,232
08/1991,204,203,247
09/1991,210,199,264
10/1991,206,198,271
11/1991,210,202,251
12/1991,212,210,264
01/1992,214,207,274
02/1992,194,209,247
03/1992,210,245,273
04/1992,216,259,283
05/1992,220,202,282
06/1992,224,205,284
07/1992,231,205,277
08/1992,230,200,276
09/1992,246,203,278
10/1992,245,207,271
11/1992,216,207,277
12/1992,234,211,280
01/1993,235,212,281
02/1993,222,194,244
03/1993,251,216,297
04/1993,259,234,298
05/1993,238,209,263
06/1993,242,212,267
07/1993,241,204,274
08/1993,219,222,261
09/1993,231,223,279
10/1993,232,228,275
11/1993,218,222,276
12/1993,228,233,282
01/1994,227,239,283
02/1994,215,229,258
03/1994,253,239,281
04/1994,254,254,289
05/1994,259,210,281
06/1994,253,216,292
07/1994,248,216,295
08/1994,235,216,285
09/1994,251,225,291
10/1994,253,223,288
11/1994,237,241,260
12/1994,243,254,268
01/1995,246,243,279
02/1995,238,221,256
03/1995,267,246,293
04/1995,284,248,308
05/1995,259,235,275
06/1995,249,249,275
07/1995,250,254,269
08/1995,263,236,256
09/1995,278,243,276
10/1995,277,254,267
11/1995,270,228,272
12/1995,285,237,277
01/1996,288,233,285
02/1996,256,223,279
03/1996,285,254,307
04/1996,306,266,328
05/1996,284,293,355
06/1996,305,296,353
07/1996,309,289,359
08/1996,324,259,362
09/1996,350,284,383
10/1996,346,292,381
11/1996,359,277,335
12/1996,359,288,367
01/1997,365,287,377
02/1997,318,297,391
03/1997,397,380,410
04/1997,422,406,423
05/1997,372,362,393
06/1997,358,377,423
07/1997,359,373,432
08/1997,344,353,446
09/1997,361,389,431
10/1997,369,377,430
11/1997,374,321,473
12/1997,387,329,486
01/1998,376,334,494
02/1998,378,337,412
03/1998,436,404,446
04/1998,447,408,475
05/1998,379,374,453
06/1998,393,399,463
07/1998,391,395,461
08/1998,399,398,413
09/1998,420,403,428
10/1998,416,398,441
11/1998,387,376,452
12/1998,395,400,461
01/1999,407,394,458
02/1999,388,336,455
03/1999,437,385,502
04/1999,456,400,506
05/1999,390,378,479
06/1999,404,370,481
07/1999,397,372,471
08/1999,377,386,443
09/1999,393,389,471
10/1999,396,381,467
11/1999,381,342,471
12/1999,403,360,477
01/2000,408,360,475
02/2000,388,344,411
03/2000,454,398,443
04/2000,474,420,462
05/2000,419,363,448
06/2000,424,367,477
07/2000,423,359,470
08/2000,428,335,432
09/2000,440,348,451
10/2000,445,352,448
11/2000,423,362,409
12/2000,435,355,443
01/2001,432,357,442
02/2001,383,340,410
03/2001,436,389,456
04/2001,450,432,481
05/2001,419,380,437
06/2001,437,374,428
07/2001,437,380,426
08/2001,371,401,423
09/2001,383,436,428
10/2001,394,430,435
11/2001,408,350,470
12/2001,415,384,499
01/2002,417,393,501
02/2002,362,420,466
03/2002,419,482,541
04/2002,464,513,571
05/2002,439,423,551
06/2002,424,423,591
07/2002,435,425,588
08/2002,418,440,548
09/2002,438,449,566
10/2002,456,442,574
11/2002,458,414,543
12/2002,471,433,570
01/2003,467,443,563
02/2003,429,411,475
03/2003,513,486,527
04/2003,560,500,551
05/2003,419,453,543
06/2003,423,469,557
07/2003,414,486,555
08/2003,410,452,523
09/2003,410,470,538
10/2003,437,454,542
11/2003,416,476,482
12/2003,432,490,506
01/2004,435,496,501
02/2004,447,392,430
03/2004,498,420,496
04/2004,519,441,511
05/2004,443,414,458
06/2004,444,428,456
07/2004,440,421,466
08/2004,439,418,417
09/2004,457,435,427
10/2004,447,431,443
11/2004,416,385,443
12/2004,444,399,469
01/2005,446,402,467
02/2005,361,327,418
03/2005,415,390,463
04/2005,457,408,493
05/2005,368,335,431
06/2005,379,331,428
07/2005,382,330,421
08/2005,374,277,408
09/2005,389,307,410
10/2005,392,310,405
11/2005,332,329,369
12/2005,354,332,398
01/2006,345,325,410
02/2006,302,272,390
03/2006,350,321,410
04/2006,374,343,415
05/2006,362,303,340
06/2006,375,290,351
07/2006,370,306,349
08/2006,368,285,323
09/2006,365,320,331
10/2006,360,326,329
11/2006,366,292,310
12/2006,387,305,334
01/2007,389,306,336
02/2007,386,243,311
03/2007,416,281,368
04/2007,451,320,412
05/2007,390,311,351
06/2007,372,300,370
07/2007,382,295,370
08/2007,372,292,325
09/2007,416,295,341
10/2007,412,297,342
11/2007,382,290,335
12/2007,395,309,350
01/2008,363,335,363
02/2008,347,284,322
03/2008,397,325,360
04/2008,466,350,384
05/2008,364,316,351
06/2008,373,321,355
07/2008,370,318,370
08/2008,386,286,326
09/2008,409,292,330
10/2008,403,307,326
11/2008,406,277,301
12/2008,427,296,330
01/2009,437,297,334
02/2009,289,292,294
03/2009,358,336,389
04/2009,400,395,433
05/2009,317,308,373
06/2009,311,326,344
07/2009,321,321,343
08/2009,322,277,329
09/2009,352,290,333
10/2009,353,287,341
11/2009,332,273,320
12/2009,349,300,330
01/2010,358,293,337
02/2010,305,303,266
03/2010,369,313,296
04/2010,407,343,302
05/2010,361,283,300
06/2010,359,271,310
07/2010,343,282,319
08/2010,319,260,330
09/2010,294,279,366
10/2010,294,283,355
11/2010,281,276,328
12/2010,291,290,351
01/2011,296,301,348
02/2011,263,269,327
03/2011,297,306,373
04/2011,342,317,401
05/2011,321,329,309
06/2011,303,333,316
07/2011,302,338,311
08/2011,288,302,327
09/2011,321,303,333
10/2011,327,297,342
11/2011,299,291,340
12/2011,322,328,333
01/2012,323,321,345
02/2012,264,305,331
03/2012,290,347,387
04/2012,321,367,420
05/2012,317,295,401
06/2012,311,296,385
07/2012,311,307,380
08/2012,311,298,360
09/2012,323,315,374
10/2012,335,310,378
11/2012,340,281,355
12/2012,340,309,392
01/2013,352,311,388
02/2013,293,307,318
03/2013,350,350,375
04/2013,392,367,416
05/2013,358,328,337
06/2013,354,304,360
07/2013,362,293,359
08/2013,316,303,338
09/2013,319,334,362
10/2013,318,331,364
11/2013,317,298,345
12/2013,354,295,365
01/2014,356,294,365
02/2014,312,283,284
03/2014,362,317,375
04/2014,391,350,400
05/2014,308,295,357
06/2014,324,288,356
07/2014,336,282,355
08/2014,320,267,350
09/2014,329,265,364
10/2014,334,270,367
11/2014,312,255,360
12/2014,337,289,353
01/2015,342,295,354
02/2015,287,259,338
03/2015,285,273,422
04/2015,320,291,457
05/2015,292,266,407
06/2015,279,276,403
07/2015,285,274,399
08/2015,270,267,389
09/2015,282,279,392
10/2015,280,290,396
11/2015,279,284,365
12/2015,287,315,383
01/2016,287,312,397
02/2016,243,278,382
03/2016,267,311,396
04/2016,297,317,430
05/2016,286,272,400
06/2016,295,265,395
07/2016,300,267,394
08/2016,305,257,378
09/2016,319,266,380
10/2016,320,261,383
11/2016,291,261,382
12/2016,297,281,401
01/2017,299,278,404
02/2017,287,282,341
03/2017,329,285,368
04/2017,390,328,397
05/2017,351,316,363
06/2017,318,281,370
07/2017,322,276,374
08/2017,314,260,372
09/2017,333,272,373
