date,p1,p2,p3
07/1963,243,253,266
08/1963,238,258,266
09/1963,249,242,270
10/1963,240,248,271
11/1963,239,250,266
12/1963,244,245,264
01/1964,249,249,259
02/1964,252,250,257
03/1964,260,240,262
04/1964,251,242,272
05/1964,251,252,263
06/1964,250,246,266
07/1964,278,280,304
08/1964,285,272,309
09/1964,280,294,297
10/1964,285,275,311
11/1964,271,285,312
12/1964,266,294,310
01/1965,274,292,309
02/1965,281,284,312
03/1965,274,279,324
04/1965,268,287,325
05/1965,276,283,320
06/1965,270,277,325
07/1965,279,303,369
08/1965,293,292,366
09/1965,284,303,366
10/1965,285,306,362
11/1965,296,319,342
12/1965,299,314,343
01/1966,300,310,353
02/1966,292,321,361
03/1966,291,320,365
04/1966,282,331,359
05/1966,286,313,365
06/1966,275,313,370
07/1966,315,331,394
08/1966,324,322,386
09/1966,336,310,382
10/1966,355,314,356
11/1966,353,315,358
12/1966,367,314,342
01/1967,366,318,354
02/1967,375,332,342
03/1967,347,330,377
04/1967,332,324,402
05/1967,330,328,399
06/1967,315,343,408
07/1967,355,416,502
08/1967,349,408,513
09/1967,346,425,515
10/1967,360,430,495
11/1967,363,393,524
12/1967,352,399,537
01/1968,368,413,509
02/1968,362,403,519
03/1968,350,388,543
04/1968,370,401,519
05/1968,405,397,497
06/1968,403,389,511
07/1968,431,441,519
08/1968,468,431,493
09/1968,499,412,480
10/1968,443,451,497
11/1968,440,440,513
12/1968,478,449,465
01/1969,529,440,424
02/1969,489,443,457
03/1969,482,435,471
04/1969,524,434,428
05/1969,516,459,408
06/1969,532,422,422
07/1969,581,495,426
08/1969,643,457,404
09/1969,665,417,411
10/1969,660,439,407
11/1969,663,414,416
12/1969,593,451,419
01/1970,624,458,390
02/1970,632,422,415
03/1970,569,468,431
04/1970,537,440,427
05/1970,518,454,408
06/1970,540,404,376
07/1970,577,468,410
08/1970,570,459,450
09/1970,636,486,432
10/1970,606,465,423
11/1970,542,445,470
12/1970,533,454,488
01/1971,588,482,474
02/1971,588,494,480
03/1971,522,503,542
04/1971,497,489,586
05/1971,514,484,543
06/1971,498,465,563
07/1971,475,504,647
08/1971,485,513,632
09/1971,547,480,590
10/1971,553,484,559
11/1971,566,477,530
12/1971,588,476,541
01/1972,607,508,529
02/1972,575,522,563
03/1972,496,542,616
04/1972,496,489,663
05/1972,482,513,630
06/1972,478,492,639
07/1972,501,535,670
08/1972,549,504,648
09/1972,570,519,582
10/1972,613,489,549
11/1972,622,505,534
12/1972,598,540,502
01/1973,584,539,499
02/1973,593,510,488
03/1973,571,516,497
04/1973,545,501,497
05/1973,532,475,475
06/1973,513,470,471
07/1973,779,626,613
08/1973,738,602,600
09/1973,763,607,613
10/1973,742,634,606
11/1973,650,612,534
12/1973,594,585,569
01/1974,637,599,614
02/1974,624,624,583
03/1974,648,610,571
04/1974,639,582,578
05/1974,584,544,607
06/1974,595,508,600
07/1974,646,664,702
08/1974,581,598,733
09/1974,577,535,660
10/1974,591,563,702
11/1974,601,527,647
12/1974,584,512,576
01/1975,687,595,653
02/1975,720,624,625
03/1975,763,631,668
04/1975,742,658,659
05/1975,740,675,722
06/1975,757,669,768
07/1975,735,759,761
08/1975,708,705,784
09/1975,643,654,848
10/1975,662,673,806
11/1975,684,679,788
12/1975,728,653,750
01/1976,795,703,794
02/1976,830,744,828
03/1976,905,729,794
04/1976,774,739,864
05/1976,752,746,859
06/1976,726,754,887
07/1976,726,798,866
08/1976,711,752,780
09/1976,738,725,775
10/1976,791,745,761
11/1976,787,775,747
12/1976,846,740,796
01/1977,829,764,789
02/1977,764,755,848
03/1977,742,735,907
04/1977,698,730,961
05/1977,670,720,972
06/1977,695,747,962
07/1977,690,782,988
08/1977,711,729,992
09/1977,718,708,1005
10/1977,684,695,1017
11/1977,689,763,987
12/1977,679,745,1012
01/1978,684,716,1005
02/1978,643,708,1060
03/1978,664,699,1099
04/1978,668,756,1107
05/1978,677,772,1121
06/1978,644,812,1082
07/1978,698,797,1117
08/1978,712,787,1155
09/1978,754,828,1060
10/1978,714,786,922
11/1978,733,736,970
12/1978,807,720,892
01/1979,824,795,867
02/1979,829,738,872
03/1979,846,757,866
04/1979,869,772,843
05/1979,855,787,817
06/1979,707,849,899
07/1979,828,839,861
08/1979,905,826,833
09/1979,899,809,826
10/1979,880,774,783
11/1979,880,758,810
12/1979,926,727,824
01/1980,915,796,809
02/1980,860,818,822
03/1980,732,771,816
04/1980,695,783,852
05/1980,779,776,803
06/1980,776,835,762
07/1980,881,869,809
08/1980,978,809,811
09/1980,1050,794,768
10/1980,1019,770,832
11/1980,861,806,952
12/1980,787,811,978
01/1981,807,819,948
02/1981,850,811,899
03/1981,820,840,922
04/1981,945,786,854
05/1981,984,762,841
06/1981,958,831,771
07/1981,1003,877,772
08/1981,930,828,806
09/1981,904,751,795
10/1981,891,801,798
11/1981,924,725,834
12/1981,902,778,757
01/1982,934,738,742
02/1982,936,714,722
03/1982,905,703,735
04/1982,864,810,690
05/1982,852,759,726
06/1982,810,751,718
07/1982,897,721,794
08/1982,946,720,757
09/1982,915,712,799
10/1982,1068,726,699
11/1982,1032,764,747
12/1982,1055,742,749
01/1983,1078,694,818
02/1983,1019,763,838
03/1983,970,814,848
04/1983,831,822,1011
05/1983,888,813,1011
06/1983,906,819,1001
07/1983,952,890,1046
08/1983,913,883,1034
09/1983,1007,757,1028
10/1983,1089,736,901
11/1983,1102,767,861
12/1983,1133,739,822
01/1984,1214,720,753
02/1984,1149,741,724
03/1984,1124,780,691
04/1984,1061,745,747
05/1984,1031,709,743
06/1984,1007,663,794
07/1984,1101,754,781
08/1984,1141,791,749
09/1984,1168,718,756
10/1984,1142,786,664
11/1984,1053,783,673
12/1984,1061,690,743
01/1985,1124,770,700
02/1985,1139,778,678
03/1985,1088,784,687
04/1985,991,743,779
05/1985,977,780,731
06/1985,922,747,779
07/1985,1034,875,801
08/1985,1032,842,797
09/1985,1043,801,768
10/1985,1064,799,720
11/1985,1097,777,718
12/1985,1122,786,687
01/1986,1109,772,727
02/1986,1129,755,736
03/1986,1108,776,751
04/1986,1098,808,717
05/1986,1125,807,702
06/1986,1056,784,769
07/1986,1057,873,749
08/1986,1043,826,770
09/1986,1085,740,743
10/1986,1082,769,707
11/1986,1038,811,684
12/1986,1093,746,607
01/1987,1120,763,617
02/1987,1194,749,606
03/1987,1219,746,586
04/1987,1076,748,693
05/1987,1057,739,706
06/1987,1021,737,744
07/1987,1035,863,883
08/1987,1086,804,859
09/1987,1083,817,826
10/1987,938,698,681
11/1987,853,691,675
12/1987,880,696,649
01/1988,867,719,678
02/1988,888,735,682
03/1988,855,729,737
04/1988,887,717,716
05/1988,785,731,754
06/1988,762,728,805
07/1988,823,774,906
08/1988,835,706,927
09/1988,813,674,966
10/1988,757,717,922
11/1988,803,740,792
12/1988,869,706,751
01/1989,861,686,798
02/1989,848,761,723
03/1989,887,744,724
04/1989,862,751,739
05/1989,849,711,782
06/1989,799,698,807
07/1989,914,703,825
08/1989,871,761,776
09/1989,913,757,741
10/1989,913,708,707
11/1989,877,709,707
12/1989,832,768,678
01/1990,819,719,629
02/1990,828,719,619
03/1990,794,759,626
