date,p1,p2,p3
07/1963,239,242,262
08/1963,230,249,264
09/1963,230,250,263
10/1963,239,245,257
11/1963,235,243,259
12/1963,233,248,255
01/1964,246,237,256
02/1964,252,235,253
03/1964,256,234,253
04/1964,247,240,259
05/1964,251,230,266
06/1964,237,247,261
07/1964,275,267,315
08/1964,270,281,309
09/1964,279,278,307
10/1964,270,280,315
11/1964,261,282,319
12/1964,263,280,321
01/1965,266,281,321
02/1965,265,280,324
03/1965,272,267,330
04/1965,271,277,325
05/1965,265,274,333
06/1965,258,274,334
07/1965,275,298,374
08/1965,285,287,375
09/1965,280,293,376
10/1965,280,289,380
11/1965,288,300,365
12/1965,292,302,358
01/1966,292,306,362
02/1966,285,309,377
03/1966,288,310,374
04/1966,289,311,368
05/1966,283,301,376
06/1966,284,290,380
07/1966,311,310,415
08/1966,299,325,404
09/1966,314,320,390
10/1966,326,316,379
11/1966,317,323,382
12/1966,336,321,362
01/1967,336,321,377
02/1967,342,327,376
03/1967,330,327,393
04/1967,312,332,410
05/1967,317,332,404
06/1967,301,339,422
07/1967,352,380,530
08/1967,355,364,541
09/1967,362,384,530
10/1967,364,393,518
11/1967,353,382,535
12/1967,350,379,549
01/1968,354,390,536
02/1968,355,398,521
03/1968,339,392,540
04/1968,355,396,529
05/1968,392,384,513
06/1968,385,397,511
07/1968,409,433,542
08/1968,444,413,528
09/1968,461,421,502
10/1968,427,431,526
11/1968,405,442,539
12/1968,450,407,528
01/1969,496,410,480
02/1969,455,432,495
03/1969,453,436,492
04/1969,490,417,472
05/1969,498,425,453
06/1969,495,405,469
07/1969,543,449,503
08/1969,596,443,458
09/1969,607,441,438
10/1969,589,456,453
11/1969,591,437,458
12/1969,538,447,471
01/1970,574,430,461
02/1970,551,451,460
03/1970,510,449,502
04/1970,510,404,485
05/1970,492,432,452
06/1970,507,392,418
07/1970,552,433,465
08/1970,542,436,496
09/1970,619,452,478
10/1970,575,436,477
11/1970,499,459,494
12/1970,477,465,528
01/1971,513,501,524
