date,p1,p2,p3
07/1963,253,242,278
08/1963,253,242,279
09/1963,253,242,279
10/1963,253,242,279
11/1963,252,242,278
12/1963,253,242,277
01/1964,252,241,279
02/1964,253,242,278
03/1964,253,241,278
04/1964,253,242,278
05/1964,253,242,279
06/1964,253,242,279
07/1964,276,292,346
08/1964,275,292,348
09/1964,276,292,348
10/1964,275,292,348
11/1964,276,292,348
12/1964,276,292,348
01/1965,276,292,348
02/1965,276,292,348
03/1965,276,292,347
04/1965,276,292,348
05/1965,276,292,348
06/1965,276,292,347
07/1965,311,293,404
08/1965,311,293,404
09/1965,311,293,404
10/1965,311,293,403
11/1965,311,293,403
12/1965,311,292,402
01/1966,310,290,400
02/1966,311,293,403
03/1966,311,293,403
04/1966,311,293,403
05/1966,311,293,400
06/1966,311,293,402
07/1966,348,342,415
08/1966,348,342,416
09/1966,348,342,416
10/1966,348,341,416
11/1966,348,341,416
12/1966,348,341,416
01/1967,348,341,416
02/1967,347,341,416
03/1967,348,341,416
04/1967,348,341,416
05/1967,347,341,416
06/1967,347,340,416
07/1967,404,397,518
08/1967,404,397,517
09/1967,404,397,517
10/1967,404,397,517
11/1967,405,397,516
12/1967,404,397,515
01/1968,404,397,516
02/1968,404,395,514
03/1968,404,395,515
04/1968,404,395,515
05/1968,404,394,515
06/1968,403,394,514
07/1968,486,420,500
08/1968,485,419,499
09/1968,485,419,499
10/1968,484,419,498
11/1968,484,419,499
12/1968,485,419,498
01/1969,485,419,498
02/1969,485,417,498
03/1969,485,417,498
04/1969,484,417,496
05/1969,485,416,494
06/1969,485,416,496
07/1969,547,487,503
08/1969,547,487,501
09/1969,546,487,502
10/1969,545,486,503
11/1969,544,486,503
12/1969,544,487,503
01/1970,545,487,503
02/1970,543,486,503
03/1970,545,487,503
04/1970,545,487,503
05/1970,544,487,503
06/1970,544,487,503
07/1970,558,513,618
08/1970,557,511,619
09/1970,556,511,617
10/1970,555,511,617
11/1970,554,511,617
12/1970,554,510,617
01/1971,552,510,617
02/1971,552,508,617
03/1971,550,507,617
04/1971,549,506,617
05/1971,547,507,615
06/1971,542,506,615
07/1971,506,547,740
08/1971,506,545,738
09/1971,506,544,738
10/1971,506,544,738
11/1971,506,544,738
12/1971,504,543,738
01/1972,503,542,735
02/1972,502,541,734
03/1972,502,541,732
04/1972,501,541,731
05/1972,499,541,730
06/1972,497,540,730
07/1972,566,552,777
08/1972,565,552,775
09/1972,565,550,771
10/1972,565,548,770
11/1972,564,549,768
12/1972,563,549,769
01/1973,563,546,768
02/1973,563,546,767
03/1973,561,546,764
04/1973,561,545,760
05/1973,561,544,759
06/1973,560,540,754
07/1973,714,759,989
08/1973,711,760,986
09/1973,706,760,985
10/1973,705,759,982
11/1973,706,758,982
12/1973,703,758,979
01/1974,702,756,979
02/1974,697,753,975
03/1974,694,753,969
04/1974,693,753,969
05/1974,693,750,961
06/1974,693,748,958
07/1974,776,925,1362
08/1974,772,925,1361
09/1974,769,919,1352
10/1974,765,912,1348
11/1974,763,910,1339
12/1974,763,907,1335
01/1975,764,905,1328
02/1975,763,905,1324
03/1975,762,901,1329
04/1975,762,903,1326
05/1975,762,901,1328
06/1975,760,896,1322
07/1975,812,964,1481
08/1975,811,960,1479
09/1975,810,963,1483
10/1975,807,958,1480
11/1975,805,960,1479
12/1975,804,958,1469
01/1976,798,958,1467
02/1976,794,938,1426
03/1976,793,953,1466
04/1976,791,940,1439
05/1976,791,945,1450
06/1976,791,945,1449
07/1976,807,1004,1476
08/1976,805,1003,1473
09/1976,776,960,1326
10/1976,801,1002,1461
11/1976,798,999,1438
12/1976,797,1000,1451
01/1977,795,994,1449
02/1977,782,981,1427
03/1977,786,987,1439
04/1977,786,985,1430
05/1977,784,984,1427
06/1977,781,979,1423
07/1977,793,959,1543
08/1977,790,955,1534
09/1977,788,948,1528
