date,p1,p2,p3
07/1963,262,260,270
08/1963,262,260,271
09/1963,262,260,271
10/1963,262,260,271
11/1963,261,259,271
12/1963,261,259,271
01/1964,260,259,271
02/1964,262,260,270
03/1964,262,260,269
04/1964,262,259,271
05/1964,262,260,271
06/1964,262,260,271
07/1964,289,296,338
08/1964,288,296,340
09/1964,289,296,340
10/1964,288,296,340
11/1964,289,296,340
12/1964,289,296,340
01/1965,289,296,340
02/1965,289,296,340
03/1965,289,296,339
04/1965,289,296,340
05/1965,289,296,340
06/1965,289,296,339
07/1965,318,314,380
08/1965,318,314,380
09/1965,318,314,380
10/1965,318,314,379
11/1965,318,314,379
12/1965,317,314,378
01/1966,314,314,376
02/1966,317,314,379
03/1966,318,314,379
04/1966,318,314,379
05/1966,318,313,377
06/1966,318,313,379
07/1966,367,350,392
08/1966,367,351,392
09/1966,367,351,392
10/1966,367,351,391
11/1966,367,351,391
12/1966,367,351,391
01/1967,367,351,391
02/1967,366,351,391
03/1967,367,351,391
04/1967,367,351,391
05/1967,367,350,391
06/1967,367,349,391
07/1967,449,405,476
08/1967,449,404,476
09/1967,448,404,476
10/1967,449,403,476
11/1967,449,404,475
12/1967,448,404,474
01/1968,448,404,475
02/1968,447,403,473
03/1968,447,403,474
04/1968,447,403,474
05/1968,447,403,473
06/1968,446,402,473
07/1968,585,406,422
08/1968,584,404,422
09/1968,584,404,422
10/1968,583,403,422
11/1968,583,404,422
12/1968,584,403,422
01/1969,584,403,422
02/1969,584,402,421
03/1969,584,402,421
04/1969,583,402,419
05/1969,584,401,417
06/1969,584,402,418
07/1969,669,448,430
08/1969,669,448,428
09/1969,669,447,429
10/1969,668,447,429
11/1969,667,446,430
12/1969,667,447,430
01/1970,668,447,430
02/1970,665,447,430
03/1970,668,447,430
04/1970,667,447,430
05/1970,666,447,430
06/1970,665,447,430
07/1970,632,526,540
08/1970,629,526,541
09/1970,628,525,540
10/1970,627,525,540
11/1970,627,525,539
12/1970,627,525,538
01/1971,625,525,538
02/1971,624,524,538
03/1971,622,524,537
04/1971,620,524,537
05/1971,618,524,536
06/1971,616,520,536
07/1971,599,564,644
08/1971,598,562,643
09/1971,598,562,642
10/1971,598,562,642
11/1971,598,562,642
12/1971,597,560,642
01/1972,595,559,640
02/1972,594,559,638
03/1972,594,559,635
04/1972,593,559,634
05/1972,590,559,634
06/1972,589,557,634
07/1972,630,603,670
08/1972,628,603,669
09/1972,627,601,666
10/1972,626,601,664
11/1972,624,600,665
12/1972,625,600,664
01/1973,623,599,663
02/1973,623,599,662
03/1973,620,597,662
04/1973,620,594,660
05/1973,619,594,659
06/1973,616,592,654
07/1973,869,728,875
08/1973,868,727,872
09/1973,864,725,872
10/1973,862,725,869
11/1973,863,723,870
12/1973,859,722,869
01/1974,858,722,867
02/1974,855,717,863
03/1974,850,716,860
04/1974,849,716,860
05/1974,846,716,852
06/1974,847,714,848
07/1974,1024,883,1163
08/1974,1021,878,1165
09/1974,1019,874,1153
10/1974,1015,870,1146
11/1974,1013,863,1142
12/1974,1010,865,1136
01/1975,1009,862,1132
02/1975,1007,862,1129
03/1975,1004,862,1132
04/1975,1006,862,1129
05/1975,1006,863,1128
06/1975,1002,860,1122
07/1975,1065,955,1255
08/1975,1061,952,1254
09/1975,1061,953,1259
10/1975,1056,952,1254
11/1975,1055,950,1256
12/1975,1054,947,1247
01/1976,1048,946,1246
02/1976,1037,935,1203
03/1976,1042,941,1247
04/1976,1033,936,1217
05/1976,1036,936,1230
06/1976,1036,937,1228
07/1976,1056,965,1282
08/1976,1054,961,1282
09/1976,1025,901,1151
10/1976,1049,956,1275
11/1976,1046,947,1258
12/1976,1046,952,1266
01/1977,1039,951,1264
02/1977,1025,941,1240
03/1977,1027,945,1256
04/1977,1025,941,1251
05/1977,1023,942,1246
06/1977,1017,937,1245
07/1977,1056,905,1354
08/1977,1050,904,1345
09/1977,1045,901,1338
10/1977,1041,896,1332
11/1977,1039,893,1325
12/1977,1033,894,1321
01/1978,1029,893,1313
02/1978,1023,884,1302
03/1978,1022,885,1293
04/1978,1021,880,1284
05/1978,1016,878,1282
06/1978,1004,871,1278
07/1978,1158,827,1245
08/1978,1156,823,1236
09/1978,1144,815,1233
10/1978,1138,812,1232
11/1978,1136,812,1225
12/1978,1129,807,1220
01/1979,1123,806,1213
02/1979,1118,796,1207
03/1979,1112,794,1197
04/1979,1107,792,1193
05/1979,1101,787,1191
06/1979,1093,783,1183
07/1979,1232,911,1061
08/1979,1225,903,1057
09/1979,1224,897,1047
10/1979,1217,891,1042
11/1979,1213,890,1041
12/1979,1208,888,1037
01/1980,1201,879,1031
02/1980,1188,872,1022
03/1980,1182,871,1018
04/1980,1174,867,1009
05/1980,1171,866,1006
06/1980,1169,861,1003
07/1980,1331,937,1022
08/1980,1328,934,1020
09/1980,1319,931,1017
10/1980,1305,921,1011
11/1980,1306,919,1008
12/1980,1295,914,1002
01/1981,1292,909,999
02/1981,1286,907,988
03/1981,1275,899,983
04/1981,1269,891,979
05/1981,1261,887,975
06/1981,1258,883,971
07/1981,1483,883,987
08/1981,1481,880,981
09/1981,1470,876,976
10/1981,1458,868,964
11/1981,1459,866,964
12/1981,1452,863,962
01/1982,1441,856,956
02/1982,1440,854,952
03/1982,1433,845,951
04/1982,1424,842,939
05/1982,1419,839,931
06/1982,1411,836,925
07/1982,1667,953,937
08/1982,1653,951,930
09/1982,1649,949,928
10/1982,1639,941,923
11/1982,1622,939,914
12/1982,1618,935,913
01/1983,1610,931,910
02/1983,1594,923,902
03/1983,1585,920,901
04/1983,1578,917,896
05/1983,1566,914,892
06/1983,1557,913,887
07/1983,1706,977,974
08/1983,1699,973,970
09/1983,1694,964,963
10/1983,1685,960,957
11/1983,1681,952,953
12/1983,1676,947,949
01/1984,1666,940,945
02/1984,1655,934,935
03/1984,1644,929,923
04/1984,1640,924,917
05/1984,1634,921,915
