date,p1,p2,p3
07/1963,261,258,274
08/1963,263,259,273
09/1963,261,261,272
10/1963,264,255,275
11/1963,262,254,278
12/1963,264,250,279
01/1964,255,258,280
02/1964,259,258,278
03/1964,259,259,275
04/1964,260,252,284
05/1964,258,259,276
06/1964,256,260,284
07/1964,290,292,348
08/1964,288,293,350
09/1964,292,290,349
10/1964,292,289,347
11/1964,294,286,350
12/1964,295,286,347
01/1965,291,288,353
02/1965,290,293,347
03/1965,291,289,351
04/1965,293,292,345
05/1965,293,292,343
06/1965,293,292,346
07/1965,314,330,369
08/1965,319,320,374
09/1965,322,321,373
10/1965,317,328,368
11/1965,317,323,373
12/1965,323,326,363
01/1966,327,316,362
02/1966,334,315,364
03/1966,344,315,355
04/1966,346,312,356
05/1966,353,308,349
06/1966,345,309,356
07/1966,387,346,388
08/1966,386,344,390
09/1966,383,345,393
10/1966,377,346,396
11/1966,370,341,413
12/1966,368,347,405
01/1967,369,337,414
02/1967,374,349,395
03/1967,380,356,383
04/1967,382,348,391
05/1967,384,348,386
06/1967,392,343,387
07/1967,506,400,430
08/1967,511,400,422
09/1967,513,398,421
10/1967,530,389,414
11/1967,537,385,408
12/1967,528,390,412
01/1968,541,384,406
02/1968,544,389,396
03/1968,536,390,400
04/1968,536,392,401
05/1968,540,387,399
06/1968,560,385,383
07/1968,611,410,396
08/1968,613,403,398
09/1968,618,398,396
10/1968,616,407,387
11/1968,601,421,389
12/1968,597,422,399
01/1969,595,412,406
02/1969,589,427,396
03/1969,585,418,411
04/1969,572,429,409
05/1969,564,430,413
06/1969,565,435,412
07/1969,619,471,462
08/1969,614,472,468
09/1969,605,478,470
10/1969,601,465,484
11/1969,614,470,464
12/1969,593,487,468
01/1970,572,471,506
02/1970,588,479,483
03/1970,584,466,500
04/1970,570,475,506
05/1970,547,467,536
06/1970,551,462,534
07/1970,590,522,593
08/1970,569,527,605
09/1970,566,521,610
10/1970,600,518,576
11/1970,579,527,590
12/1970,548,533,613
01/1971,536,534,623
02/1971,558,553,579
03/1971,572,546,570
04/1971,574,548,567
05/1971,572,539,571
06/1971,563,526,587
07/1971,613,571,629
08/1971,594,578,634
09/1971,593,562,654
10/1971,589,563,654
11/1971,584,560,660
12/1971,569,565,670
01/1972,571,559,670
02/1972,600,566,629
03/1972,607,569,615
04/1972,602,584,607
05/1972,605,570,620
06/1972,596,603,598
07/1972,660,624,634
08/1972,650,618,647
09/1972,633,607,667
10/1972,627,607,667
11/1972,617,601,683
12/1972,601,593,705
01/1973,605,591,710
02/1973,695,638,1532
03/1973,608,603,702
04/1973,604,601,713
05/1973,607,596,729
06/1973,578,635,732
07/1973,818,792,880
08/1973,837,778,878
09/1973,802,780,910
10/1973,793,747,952
11/1973,788,775,928
12/1973,794,741,951
01/1974,783,714,985
02/1974,815,697,957
03/1974,803,707,949
04/1974,812,737,913
05/1974,844,710,893
06/1974,846,742,859
07/1974,1132,934,1032
08/1974,1093,954,1044
09/1974,1103,892,1075
10/1974,1105,884,1063
11/1974,1054,896,1086
12/1974,1029,906,1094
01/1975,1012,882,1129
02/1975,1007,900,1111
03/1975,998,914,1109
04/1975,1030,909,1084
05/1975,1031,918,1071
06/1975,1046,904,1063
07/1975,1147,955,1234
08/1975,1180,980,1182
09/1975,1157,978,1210
10/1975,1141,969,1224
11/1975,1107,966,1267
12/1975,1085,972,1277
01/1976,1064,974,1295
02/1976,1121,913,1233
03/1976,1163,976,1197
04/1976,1155,934,1195
05/1976,1145,950,1210
06/1976,1160,951,1204
07/1976,1133,968,1254
08/1976,1137,951,1272
09/1976,1078,879,1188
10/1976,1115,912,1331
11/1976,1111,911,1308
12/1976,1093,922,1331
01/1977,1090,924,1318
02/1977,1118,906,1258
03/1977,1140,911,1260
04/1977,1127,909,1268
05/1977,1114,914,1267
06/1977,1159,870,1260
07/1977,1151,884,1306
08/1977,1191,877,1267
09/1977,1203,845,1275
10/1977,1183,884,1240
11/1977,1195,853,1251
12/1977,1210,826,1258
01/1978,1200,840,1244
02/1978,1215,853,1185
03/1978,1239,860,1153
04/1978,1260,852,1122
05/1978,1232,874,1116
06/1978,1287,876,1039
07/1978,1290,891,1075
08/1978,1273,906,1071
09/1978,1305,885,1037
10/1978,1291,893,1038
11/1978,1263,903,1049
12/1978,1253,890,1055
01/1979,1252,873,1061
02/1979,1290,819,1058
03/1979,1294,835,1019
04/1979,1276,860,1006
05/1979,1268,864,1003
06/1979,1283,834,991
07/1979,1303,892,1046
08/1979,1263,903,1054
09/1979,1259,890,1052
10/1979,1236,912,1038
11/1979,1222,942,1022
12/1979,1234,911,1033
01/1980,1233,914,1010
02/1980,1264,874,990
03/1980,1270,887,960
04/1980,1243,877,981
05/1980,1229,830,1034
06/1980,1238,827,1010
07/1980,1389,878,1058
08/1980,1371,905,1041
09/1980,1394,891,1026
10/1980,1384,890,1008
11/1980,1394,899,994
12/1980,1356,922,986
01/1981,1341,911,1004
02/1981,1378,869,997
03/1981,1362,873,997
04/1981,1357,849,999
05/1981,1374,842,986
06/1981,1418,810,965
07/1981,1578,834,1001
08/1981,1575,823,1008
09/1981,1549,842,989
10/1981,1499,850,999
11/1981,1499,882,969
12/1981,1494,847,1001
01/1982,1454,872,987
02/1982,1486,834,984
03/1982,1494,840,962
04/1982,1463,848,956
05/1982,1441,864,944
06/1982,1470,847,929
07/1982,1680,952,971
08/1982,1685,944,950
09/1982,1582,938,1056
10/1982,1593,895,1063
11/1982,1552,937,1044
12/1982,1575,921,1036
01/1983,1560,950,1028
02/1983,1628,936,957
03/1983,1646,912,959
04/1983,1626,961,934
05/1983,1630,956,930
06/1983,1707,931,874
07/1983,1869,995,873
08/1983,1898,952,884
09/1983,1847,936,939
10/1983,1776,971,966
11/1983,1797,938,975
12/1983,1757,941,1018
01/1984,1739,952,1010
02/1984,1803,936,975
03/1984,1783,964,969
04/1984,1754,1003,971
05/1984,1717,1005,1013
06/1984,1790,978,979
07/1984,1916,1096,966
08/1984,1918,1075,991
09/1984,1913,1026,1046
10/1984,1858,1065,1036
11/1984,1798,1079,1055
12/1984,1751,1078,1086
01/1985,1717,1091,1093
02/1985,1751,1081,1046
03/1985,1788,1087,995
04/1985,1800,1034,1014
05/1985,1800,1014,1030
06/1985,1798,983,1058
07/1985,1957,1015,1123
08/1985,1949,1058,1085
09/1985,1945,1012,1106
10/1985,1924,1043,1083
11/1985,1841,1073,1087
12/1985,1784,1060,1152
01/1986,1728,1059,1184
02/1986,1769,1039,1152
03/1986,1725,1069,1141
04/1986,1682,1088,1157
05/1986,1707,1088,1101
06/1986,1710,1056,1105
07/1986,1865,1075,1101
08/1986,1839,1067,1142
09/1986,1767,1017,1237
10/1986,1718,1055,1220
11/1986,1685,1052,1241
12/1986,1683,1063,1237
01/1987,1661,1039,1231
02/1987,1688,1012,1259
03/1987,1683,1088,1203
04/1987,1688,1097,1186
05/1987,1674,1118,1146
06/1987,1696,1099,1156
07/1987,1855,1134,1192
08/1987,1825,1146,1218
09/1987,1803,1142,1234
10/1987,1786,1176,1220
11/1987,1749,1145,1277
12/1987,1728,1104,1327
01/1988,1665,1112,1380
02/1988,1682,1107,1370
03/1988,1636,1170,1380
04/1988,1661,1179,1333
05/1988,1635,1129,1335
06/1988,1651,1147,1270
07/1988,1750,1209,1311
08/1988,1758,1223,1265
09/1988,1713,1210,1297
10/1988,1694,1181,1312
11/1988,1693,1135,1343
12/1988,1679,1116,1351
01/1989,1634,1137,1344
02/1989,1637,1124,1331
03/1989,1636,1122,1338
04/1989,1634,1115,1320
05/1989,1618,1099,1312
06/1989,1610,1045,1343
07/1989,1712,1083,1303
08/1989,1645,1119,1318
09/1989,1600,1166,1300
10/1989,1653,1077,1312
11/1989,1672,1055,1293
12/1989,1577,1089,1344
01/1990,1548,1059,1386
02/1990,1565,1066,1344
03/1990,1540,1062,1371
04/1990,1509,1091,1360
05/1990,1552,1099,1283
06/1990,1552,1036,1315
07/1990,1631,1094,1283
08/1990,1613,1050,1334
09/1990,1613,1029,1347
10/1990,1561,1050,1360
11/1990,1497,1045,1405
12/1990,1510,1020,1424
01/1991,1454,1027,1464
02/1991,1521,992,1446
03/1991,1547,965,1448
04/1991,1589,966,1380
05/1991,1600,966,1337
06/1991,1603,953,1328
07/1991,1668,964,1350
08/1991,1657,960,1346
09/1991,1643,982,1328
10/1991,1656,926,1366
11/1991,1691,918,1345
12/1991,1728,894,1353
01/1992,1664,890,1426
02/1992,1741,965,1296
03/1992,1786,978,1249
04/1992,1773,983,1256
05/1992,1703,953,1313
06/1992,1700,973,1297
07/1992,1748,976,1299
08/1992,1700,970,1365
09/1992,1676,1007,1354
10/1992,1660,1031,1348
11/1992,1670,1040,1343
12/1992,1713,1056,1313
01/1993,1737,1038,1304
02/1993,1800,1027,1280
03/1993,1769,1056,1323
04/1993,1752,1059,1342
05/1993,1702,1039,1351
06/1993,1672,1126,1323
07/1993,1783,1157,1331
08/1993,1784,1144,1361
09/1993,1796,1186,1348
10/1993,1818,1185,1323
11/1993,1907,1147,1307
12/1993,1901,1171,1345
01/1994,1886,1155,1405
02/1994,1891,1182,1398
03/1994,1898,1252,1336
04/1994,1891,1302,1335
05/1994,1807,1274,1358
06/1994,1811,1283,1386
07/1994,1963,1337,1430
08/1994,1945,1296,1475
09/1994,1914,1338,1484
10/1994,1916,1346,1469
11/1994,1910,1317,1480
12/1994,1923,1313,1500
01/1995,1852,1302,1574
02/1995,1908,1347,1486
03/1995,1889,1383,1478
04/1995,1882,1335,1524
05/1995,1884,1300,1532
06/1995,1892,1295,1501
07/1995,2031,1347,1522
08/1995,2062,1333,1524
09/1995,2098,1310,1510
10/1995,2127,1313,1472
11/1995,2127,1271,1515
12/1995,2066,1287,1584
01/1996,2021,1308,1592
02/1996,2009,1353,1573
03/1996,2008,1369,1557
04/1996,2030,1383,1527
05/1996,2056,1369,1512
06/1996,2204,1296,1459
07/1996,2285,1387,1481
08/1996,2216,1453,1509
09/1996,2204,1497,1530
10/1996,2202,1490,1545
11/1996,2120,1541,1619
12/1996,2089,1564,1717
01/1997,2064,1519,1753
