date,p1,p2,p3
07/1963,-0.012237306,0.003551158,0.0042019992
08/1963,0.0672984889,0.0511563945,0.0631188428
09/1963,-0.020560842,-0.022887669,-0.00270917
10/1963,0.0208577296,0.0175326904,0.0719843144
11/1963,-0.001151787,-0.009888635,-0.025131866
12/1963,-0.002827691,0.0436968515,0.0180174672
01/1964,0.0135720266,0.032697595,0.0351168065
02/1964,0.025863228,0.0128353909,0.0293263185
03/1964,0.0169878571,0.0203254097,0.0344809019
04/1964,-0.011987554,0.0183733847,-0.002180855
05/1964,0.0051039571,0.009737967,0.0304029821
06/1964,0.0206853138,0.0147394822,0.0080385087
07/1964,0.0257273553,0.0223038329,0.0180971926
08/1964,-0.012942988,-0.016481068,-0.005016088
09/1964,0.0303016313,0.0351025345,0.0377815471
10/1964,0.0036674421,0.01679397,0.0120334456
11/1964,-0.002604667,0.0188115273,0.0086301965
12/1964,0.0126058596,-0.002489061,-0.007893585
01/1965,0.0581418926,0.0206624408,0.0457048152
02/1965,0.0066639637,-0.005106608,0.0201139756
03/1965,-0.005763805,-0.019747328,-0.009907889
04/1965,0.0548259742,0.0251846209,0.0362595235
05/1965,-0.011395552,-0.001071236,0.0021065576
06/1965,-0.058550207,-0.042915243,-0.048102339
07/1965,0.0144433414,0.0122066326,0.03877868
08/1965,0.0391182153,0.0210175195,0.0498873633
09/1965,0.0412936532,0.0446190496,0.0323092423
10/1965,0.048432375,0.0221747127,0.0462986987
11/1965,0.0016529497,0.0050689616,0.0135934373
12/1965,0.0117431397,0.0150095146,0.0129029585
01/1966,0.0100692962,0.0077406161,0.0328106434
02/1966,-0.005657447,-0.022928292,0.0100485337
03/1966,-0.028698805,-0.023104073,-0.007655427
04/1966,0.0132119047,0.0239095346,0.0479709957
05/1966,-0.0619665,-0.053047111,-0.055215793
06/1966,-0.013324396,-0.018053165,0.0014272517
07/1966,-0.032116188,-0.008161708,-0.002286498
08/1966,-0.071094953,-0.075575972,-0.069005035
09/1966,-0.025965197,-0.018597678,0.0044611264
10/1966,0.027414796,0.0273043788,0.0537066547
11/1966,0.0422589727,0.0065454636,0.0284556037
12/1966,-0.004848492,0.0032264374,-0.003004469
01/1967,0.0985070879,0.0913572411,0.0731884555
02/1967,0.01420955,0.0080991296,0.0154696534
03/1967,0.0558540593,0.0440575198,0.0417308461
04/1967,0.0683768455,0.0443145856,0.0451169423
05/1967,-0.042303141,-0.043333251,-0.036830931
06/1967,0.0489368348,0.0039724394,0.0364299082
07/1967,0.0525139297,0.0687296325,0.0583877617
