date,p1,p2,p3
07/1963,-0.001034967,,0.0010655857
08/1963,0.0536501354,,0.0503047327
09/1963,-0.01745737,,-0.016630944
10/1963,0.0279897938,,0.0086957576
11/1963,-0.01002165,,-0.011826806
12/1963,0.0259853826,,0.0046270961
01/1964,0.0270352252,,0.0069380899
02/1964,0.019718683,,0.0224716947
03/1964,0.0198987604,,0.0191029525
04/1964,0.0031311881,,-0.002790331
05/1964,0.0169636316,,0.0245681888
06/1964,0.0136646048,,0.000312625
07/1964,0.0258134485,,0.0169632516
08/1964,-0.011364142,,-0.015049691
09/1964,0.0328003347,,0.0323371087
10/1964,0.0126052593,,0.0030186285
11/1964,0.0060098519,,0.0045227226
12/1964,0.0000936359,,0.0001722498
01/1965,0.0395943894,,0.0511205191
02/1965,0.0037055981,,0.0283280258
03/1965,-0.010410493,,-0.002551712
04/1965,0.033240594,,0.0301053438
05/1965,-0.006732179,,-0.007270545
06/1965,-0.047947128,,-0.076393801
07/1965,0.0194539099,,0.0216873313
08/1965,0.0286748224,,0.0509873344
09/1965,0.0364074153,,0.0205670838
10/1965,0.0307804014,,0.0365629859
11/1965,0.0040799546,,0.0324973251
12/1965,0.0125028171,,0.0283725106
01/1966,0.0103720839,,0.0351603853
02/1966,-0.013908652,,0.0114349433
03/1966,-0.020945647,,-0.010158696
04/1966,0.0243274951,,0.0387315985
05/1966,-0.052262966,,-0.065865899
06/1966,-0.014218567,,0.0023556474
07/1966,-0.009740214,,-0.022677858
08/1966,-0.074289988,,-0.091118247
09/1966,-0.004090279,,-0.016719992
10/1966,0.0510171874,,-0.004035823
11/1966,0.0141349426,,0.0625548724
12/1966,0.0012897676,,0.0249419783
01/1967,0.0776649884,,0.124093424
02/1967,0.0063369754,,0.0353044612
03/1967,0.0398355397,,0.0586219045
04/1967,0.0434264402,,0.0427766694
05/1967,-0.040849478,-0.032422176,-0.019641635
06/1967,0.022812701,0.0331734891,0.0494603789
07/1967,0.0561517996,0.0379283283,0.058874995
08/1967,-0.004417175,-0.031149741,-0.006357159
09/1967,0.0332618426,0.0052685771,0.0470836904
10/1967,-0.030078469,-0.031704302,-0.014152601
11/1967,0.0079225738,-0.021588943,0.0096240296
12/1967,0.0302591111,0.0442296964,0.0576471179
01/1968,-0.038504675,-0.028642187,-0.035964435
02/1968,-0.02821391,-0.059341992,-0.052354186
03/1968,0.0067972133,0.0101112993,0.0071725757
