date,p1,p2,p3
07/1963,0.0093859592,-0.00692207,-0.00770851
08/1963,0.0417415772,0.068239358,0.0649057567
09/1963,-0.022814052,-0.012305619,-0.01033558
10/1963,0.0145354025,0.0223250935,0.0616966052
11/1963,-0.00428994,-0.011608607,-0.021380358
12/1963,0.036610312,0.024916145,0.0042357331
01/1964,0.0377508383,0.0141885482,0.0159980949
02/1964,0.0192708005,0.0235450564,0.0163145989
03/1964,0.0193025898,0.0258706887,0.0187206792
04/1964,0.010520542,-0.009039654,-0.000491999
05/1964,0.0175031827,0.0086104771,0.0174733579
06/1964,0.0070262105,0.0227061298,0.0177529929
07/1964,0.0237250768,0.0244742918,0.0321638419
08/1964,-0.017370443,-0.01530987,0.0042626876
09/1964,0.0260049094,0.0377552529,0.0402279496
10/1964,0.011850152,0.0164750614,0.0060592063
11/1964,0.0084319966,0.0105939731,0.0076037363
12/1964,-0.003505823,-0.00219264,0.0154384996
01/1965,0.0296035271,0.0561298364,0.0403007641
02/1965,-0.002598837,0.0128601493,0.0111704952
03/1965,-0.015900802,-0.016012329,0.001479863
04/1965,0.0207103305,0.0384907245,0.0533448275
05/1965,-0.00349014,0.0014471697,-0.012731086
06/1965,-0.034662263,-0.058708378,-0.06372489
07/1965,0.015021155,0.0181799903,0.0230655663
08/1965,0.0152003882,0.0439052943,0.0382257191
09/1965,0.0301571312,0.0324928082,0.0528897263
10/1965,0.0216072213,0.0398983958,0.0375673419
11/1965,-0.003595394,0.0157385647,0.0065375143
12/1965,0.0109448402,0.0179647213,0.0066383394
01/1966,0.0020022176,0.010915756,0.02162438
02/1966,-0.025708463,-0.000410887,-0.009541438
03/1966,-0.018611901,-0.01587943,-0.019674808
04/1966,0.0225110169,0.0399402074,0.0145692162
05/1966,-0.046584043,-0.048852912,-0.066545984
06/1966,-0.01717978,-0.005289529,-0.014125223
07/1966,-0.005796076,-0.009037198,-0.017414343
08/1966,-0.079253952,-0.072269476,-0.068768062
09/1966,0.0170432885,-0.022309095,-0.014257104
10/1966,0.076986035,0.0231179171,0.0222738971
11/1966,-0.004541494,0.0458063291,0.0215252456
12/1966,0.0146161541,-0.000555879,-0.012840913
01/1967,0.0567520032,0.0907267702,0.0982450458
02/1967,-0.008191861,0.0235156718,0.0172436061
03/1967,0.0349665963,0.0484519901,0.0466563529
04/1967,0.0236473796,0.0492811413,0.0754361113
05/1967,-0.034375288,-0.044669175,-0.044238216
06/1967,0.0046928299,0.0322129459,0.0369966203
07/1967,0.0474471864,0.0516895629,0.0777696298
08/1967,-0.010337183,-0.004784037,-0.002206674
09/1967,0.0291227429,0.0410479729,0.0417550219
10/1967,-0.020013796,-0.038494704,-0.023082748
11/1967,0.0113733369,0.0139143573,-0.005632219
12/1967,0.0307554054,0.0351669391,0.0300901913
01/1968,-0.025317468,-0.046130148,-0.061190284
02/1968,-0.02593308,-0.045590178,-0.027722039
03/1968,0.0031296629,0.0118068065,0.0099049044
