date,p1,p2,p3
07/1963,-0.004517226,-0.000026006,0.0041364829
08/1963,0.0658254254,0.0484502271,0.0372348336
09/1963,-0.014091632,-0.023715737,-0.010350637
10/1963,0.0550044021,0.0096307911,0.0044624954
11/1963,-0.017125274,-0.002816512,-0.009280062
12/1963,0.0187630403,0.0335305819,0.0185056306
01/1964,0.0257326899,0.0299444211,0.0151682444
02/1964,0.0267489542,0.0158942392,0.014634179
03/1964,0.0234398904,0.0177798939,0.0154130963
04/1964,-0.013431209,0.0158696968,0.0061584668
05/1964,0.0184901883,0.0175684723,0.0130349301
06/1964,0.008949503,0.0151800071,0.0196139092
07/1964,0.018063179,0.0281727412,0.0370628222
08/1964,-0.014117171,-0.012725997,-0.000762231
09/1964,0.041815273,0.0283297507,0.0250926923
10/1964,0.0000164202,0.0198150301,0.0215156257
11/1964,-0.003334569,0.0119942385,0.0108787327
12/1964,0.0014424342,0.0007042233,-0.00568607
01/1965,0.0552595847,0.0273895973,0.0398196065
02/1965,0.0181555686,-0.009304736,0.0122870418
03/1965,-0.004006961,-0.018347337,-0.00454851
04/1965,0.0466696911,0.0245728185,0.01640527
05/1965,-0.014797621,-0.001705309,0.0036593025
06/1965,-0.062641913,-0.036271156,-0.049697272
07/1965,0.0292198389,0.0138021498,0.0170595397
08/1965,0.0486238745,0.0186555494,0.0259027921
09/1965,0.0482545082,0.0304728342,0.0174511126
10/1965,0.04679869,0.0235170151,0.0199783047
11/1965,0.0148999054,0.003270088,0.0000389005
12/1965,0.0178728248,0.0129600244,0.0086568864
01/1966,0.0221619491,0.0054341791,0.0127725028
02/1966,0.0133762656,-0.028406544,-0.017894449
03/1966,-0.016761774,-0.022900949,-0.012110163
04/1966,0.0359860036,0.0210341535,0.0142461333
05/1966,-0.071299452,-0.044526182,-0.038501361
06/1966,0.0009769253,-0.021905874,-0.015042283
07/1966,-0.024118211,-0.003547267,-0.001329286
08/1966,-0.081863982,-0.07277618,-0.073763156
09/1966,-0.01735725,-0.003174597,0.016767388
10/1966,0.0135305793,0.0673534403,0.0539550686
11/1966,0.0641507425,-0.010175105,-0.00252294
12/1966,-0.001936376,0.0057538941,0.0150284594
01/1967,0.1092418477,0.0671027637,0.0675134752
02/1967,0.032017437,-0.00570875,0.0085110327
03/1967,0.0468814519,0.0428750895,0.0282763648
04/1967,0.0652250887,0.0317543347,0.0252630049
05/1967,-0.041434852,-0.040929251,-0.021741774
06/1967,0.0381712208,0.0231193501,0.0080595251
07/1967,0.0644157124,0.0583918998,0.0381314701
08/1967,-0.00460363,-0.006528962,-0.000191948
09/1967,0.0455562601,0.037086063,0.008794625
10/1967,-0.011070937,-0.035815643,-0.042171833
11/1967,0.0123774544,0.0033286668,0.0094977874
12/1967,0.0341792972,0.03650079,0.0284551712
01/1968,-0.075761267,-0.022468367,0.0040868501
02/1968,-0.0436805,-0.030770534,-0.014913086
03/1968,0.0262240799,0.0023342369,-0.013687496
04/1968,0.1257066596,0.082523311,0.0655039137
05/1968,0.0395937287,0.0173402748,0.0244027021
06/1968,-0.014903627,0.0144026969,0.0503052474
07/1968,-0.050963585,-0.002870575,-0.00268057
08/1968,0.0147611579,0.0258926839,0.0121170303
09/1968,0.0451604483,0.0459983681,0.0348962615
10/1968,-0.014005732,0.0231502127,0.0178637118
11/1968,0.0635768517,0.0503431409,0.0662159226
12/1968,-0.04603193,-0.027065182,-0.023729867
01/1969,-0.019908754,-0.007068459,0.0011624398
02/1969,-0.057899156,-0.048030378,-0.053090523
03/1969,0.0341686769,0.0480159943,0.0118699513
04/1969,0.025675911,0.0150127322,0.0100466621
05/1969,-0.012186295,0.0120922834,0.0088302179
06/1969,-0.052038735,-0.075100745,-0.06244573
07/1969,-0.075063655,-0.066631115,-0.052870307
08/1969,0.0728478897,0.0505386022,0.0261862511
09/1969,-0.023048761,-0.029389424,-0.021648634
10/1969,0.0638661983,0.043934786,0.0608682733
11/1969,-0.034079769,-0.034825726,-0.036739893
12/1969,-0.031714226,-0.004873071,-0.021176306
01/1970,-0.094487107,-0.083334037,-0.045911176
02/1970,0.0406428617,0.0613923486,0.0606255914
03/1970,-0.022228367,0.0001283605,0.0119666411
04/1970,-0.145211469,-0.083246543,-0.087389353
05/1970,-0.087724147,-0.047612802,-0.063084458
06/1970,-0.108515934,-0.031114417,-0.026025592
07/1970,0.049854585,0.0789989396,0.0774294098
08/1970,0.0735802674,0.0501428701,0.0374056434
09/1970,0.1031945603,0.0292144962,0.020276015
10/1970,-0.04144933,-0.001807468,-0.006731337
11/1970,0.0432603315,0.0520503774,0.0565961111
12/1970,0.0464488351,0.0613092213,0.071264892
01/1971,0.0843562679,0.0302367337,0.0460642245
02/1971,0.0255813313,0.0269209435,0.0054174242
03/1971,0.0650382388,0.0381077606,0.0306594648
04/1971,0.0402988912,0.0512985632,0.0049879731
05/1971,-0.046389848,-0.03322969,-0.032425985
06/1971,-0.008407395,0.0015320981,0.0191464916
07/1971,-0.079903081,-0.036429576,-0.017295502
08/1971,0.0638689419,0.0454987886,0.0154092968
09/1971,-0.008054845,-0.002711106,-0.009478915
10/1971,-0.052674698,-0.046128394,-0.016434739
11/1971,0.0029734957,0.0003277047,-0.003132804
12/1971,0.1085290674,0.0870717114,0.0826354432
01/1972,0.0764965043,0.0088075577,0.0146873628
02/1972,0.0401015213,0.0362381194,0.0141472957
03/1972,0.0086576686,0.0095108889,0.0022900479
04/1972,0.0125566658,0.009564161,-0.000552895
05/1972,0.0217969427,0.020220333,0.0004628491
06/1972,-0.031969816,-0.012963972,-0.020331025
07/1972,-0.014870683,0.0028590252,-0.003179615
08/1972,0.020642784,0.0432911568,0.0424429592
09/1972,-0.022649002,-0.003877638,-0.005968785
10/1972,-0.012990895,0.013092056,0.0239147106
11/1972,0.0431701788,0.0458792741,0.061329204
12/1972,0.003584207,0.0153759479,0.0004042112
01/1973,-0.030963171,-0.018488313,-0.026455236
02/1973,-0.049693966,-0.044010937,-0.024108981
03/1973,-0.013047377,0.005762374,-0.018199747
04/1973,-0.072468702,-0.040395523,-0.025861808
05/1973,-0.037059169,-0.018373825,-0.01141125
06/1973,-0.009902284,-0.001522837,-0.018007104
07/1973,0.070217599,0.0514716486,0.0263266536
08/1973,-0.028116923,-0.033414522,-0.02353081
09/1973,0.0135604643,0.0578425362,0.077109305
10/1973,0.0135713582,0.0009885925,-0.008664819
11/1973,-0.138153186,-0.110780544,-0.112483337
12/1973,-0.002661716,0.0195903713,0.0204542144
01/1974,0.007257537,-0.012034305,0.0142775181
02/1974,0.0036077437,-0.006876969,0.0084973119
03/1974,-0.036026753,-0.014138211,-0.023101758
04/1974,-0.048335,-0.028313305,-0.079509018
05/1974,-0.036600994,-0.034709929,-0.052175113
06/1974,-0.032435661,-0.008311334,-0.03497431
07/1974,-0.104312127,-0.067181226,-0.028356103
08/1974,-0.075027367,-0.094280565,-0.101256906
09/1974,-0.157448653,-0.113012372,-0.040292324
10/1974,0.1840828529,0.1816919432,0.1182330741
11/1974,-0.036488676,-0.046732292,-0.022488833
12/1974,-0.051546955,-0.011984264,-0.028399888
01/1975,0.1347271067,0.1218240749,0.1948922387
02/1975,0.0969940607,0.0535979954,0.0231064229
03/1975,0.040796929,0.0245211334,0.0134987789
04/1975,0.0712813415,0.0503808106,0.0072473616
05/1975,0.0519154492,0.0628361781,0.0570909219
06/1975,0.0351352979,0.0603752319,0.0787878111
07/1975,-0.083699284,-0.060382077,-0.035242041
08/1975,-0.019432163,-0.020657609,-0.022499496
09/1975,-0.043077741,-0.038861193,-0.014487869
10/1975,0.0611910761,0.0615889019,0.0560051224
11/1975,0.0356310724,0.0230121036,0.0350838151
12/1975,-0.014004588,-0.013266008,-0.005166641
01/1976,0.157075503,0.1082952848,0.1123067674
02/1976,0.0061936292,-0.004517532,0.0220922215
03/1976,0.023599752,0.0388705329,0.0104688538
04/1976,-0.030308343,-0.000900656,0.0042719292
05/1976,-0.010812197,-0.002745138,-0.014517049
06/1976,0.0591318432,0.0399183653,0.0352207174
07/1976,-0.017716708,-0.005041167,0.0133617986
08/1976,-0.009813493,-0.003470385,0.0100637202
09/1976,0.0185875607,0.0305961928,0.0276160101
10/1976,-0.032280298,-0.019401325,-0.008552828
11/1976,-0.003021062,0.004194519,0.0273437458
12/1976,0.0552021287,0.0641140341,0.0703053973
01/1977,-0.055491785,-0.039012305,0.0003079473
02/1977,-0.016981016,-0.021527521,-0.011092522
03/1977,-0.010255453,-0.013293821,0.0033905277
04/1977,-0.006848308,0.0120610389,0.0173386561
05/1977,-0.022594454,-0.011272721,0.0039921032
06/1977,0.0595185314,0.0538278938,0.0425455456
07/1977,-0.01734086,-0.017560121,0.0054196339
08/1977,-0.004650254,-0.021364862,-0.017111848
09/1977,-0.009830102,0.0027684672,0.0100453098
10/1977,-0.047584999,-0.033625019,-0.025071297
11/1977,0.0523345014,0.0407087006,0.0472743944
12/1977,0.0032958623,0.0097974912,0.0091465337
01/1978,-0.058795161,-0.062750069,-0.034918776
02/1978,-0.024506354,-0.009153495,0.0024651191
03/1978,0.027460203,0.0414432495,0.0353534129
04/1978,0.120761756,0.0792891341,0.0378497286
05/1978,0.0300673433,0.0172709196,0.0266409608
06/1978,-0.016422541,-0.016202217,0.0066298551
07/1978,0.0793072484,0.0491646853,0.0365052354
08/1978,0.0403521839,0.0479123655,0.0424803613
09/1978,-0.020681028,0.0034136933,-0.004938377
10/1978,-0.122216942,-0.108746071,-0.106725368
11/1978,0.0350980164,0.0372978521,0.0267542463
12/1978,0.0276890732,0.0143368503,0.0073031378
01/1979,0.0474877585,0.0478642224,0.0618044958
02/1979,-0.039184779,-0.026100371,-0.017977745
03/1979,0.0787393757,0.0687987575,0.0419851542
04/1979,0.0013273676,0.0226660253,0.0014195421
05/1979,-0.017719685,-0.020223155,0.000255811
06/1979,0.0442635889,0.0564223067,0.0426701778
07/1979,0.0081243701,0.0258949123,0.0184361309
08/1979,0.066053674,0.0697504826,0.0520198614
09/1979,-0.007767378,0.0201951628,-0.008743999
10/1979,-0.08072506,-0.06075021,-0.079439648
11/1979,0.0672125214,0.0639027678,0.0534586943
12/1979,0.0443092415,0.022469348,0.0192279138
01/1980,0.0669073707,0.0802807131,0.0371442812
02/1980,-0.020549392,0.0220757481,-0.032591518
03/1980,-0.121004862,-0.127840603,-0.097660646
04/1980,0.0519229631,0.0382848093,0.0834484899
05/1980,0.056084991,0.0609691191,0.0665749027
06/1980,0.0313968377,0.0414451437,0.042281834
07/1980,0.0920523596,0.0699196051,0.0367463684
08/1980,0.0309854364,0.016250994,0.0203176299
09/1980,0.0475529152,0.0240480866,0.0113869237
10/1980,0.0321703718,0.0198501726,0.0005764789
11/1980,0.1694038269,0.099731158,0.0181109644
12/1980,-0.062690281,-0.018561236,0.0054630186
01/1981,-0.077944292,-0.029900141,0.0084051288
02/1981,0.0087784744,0.0264253201,0.0150476651
03/1981,0.0365895396,0.0457372897,0.0644948861
04/1981,-0.041932368,-0.001751024,0.0223602142
05/1981,-0.002386407,0.0151964362,0.0218653454
06/1981,-0.009273204,-0.015704363,0.0186270851
07/1981,0.0239472692,-0.023322998,-0.015722963
08/1981,-0.078192579,-0.052694636,-0.022806512
09/1981,-0.091556648,-0.040438002,-0.036348809
10/1981,0.0949324496,0.0267234975,0.0600956931
11/1981,0.0408165596,0.0505825157,0.0478369995
12/1981,-0.045386534,-0.014365621,-0.01545008
01/1982,-0.053014721,-0.002903913,-0.013751833
02/1982,-0.08754778,-0.030302963,-0.007303304
03/1982,-0.027902575,-0.002175498,0.0113201876
04/1982,0.0514905463,0.0446345177,0.0431121502
05/1982,-0.028082667,-0.035938446,-0.015390007
06/1982,-0.038665247,-0.005021417,-0.013264239
07/1982,-0.043049528,-0.009369189,-0.011430363
08/1982,0.1278143971,0.1208576741,0.100401353
09/1982,0.0088874888,0.0224676928,0.0340374801
10/1982,0.1344373279,0.1152831114,0.096555845
11/1982,0.0502919054,0.0522898195,0.0527953469
12/1982,0.015970374,0.0123097486,0.0158343041
01/1983,0.0560925587,0.0181001355,0.0269129296
02/1983,0.030005938,0.0363174856,0.0349125945
03/1983,0.027334813,0.0459778288,0.0404142199
04/1983,0.086136503,0.0689933736,0.0584929662
05/1983,0.0129694197,0.0041222835,0.0165103946
06/1983,0.0607592247,0.0296644431,0.0095143764
07/1983,-0.045439542,-0.027284043,-0.003346623
08/1983,0.0104551982,0.0005193078,-0.00829457
09/1983,-0.001550707,0.0271147353,0.0451803209
10/1983,-0.04548596,-0.008534975,0.0013427422
11/1983,0.0253343489,0.0350443067,0.0214434846
12/1983,0.0001578643,-0.015661786,-0.018310151
01/1984,-0.00919536,-0.023033397,-0.00476879
02/1984,-0.030291646,-0.046983214,-0.039555847
03/1984,0.0136510567,0.0247550822,0.0014941551
04/1984,0.0049784155,0.0098427519,-0.005979475
05/1984,-0.063686301,-0.050771038,-0.025928846
06/1984,0.0085472767,0.0416046707,0.0285810729
07/1984,-0.03110074,-0.024051838,-0.000534504
08/1984,0.1353076434,0.1063117873,0.0843625167
09/1984,-0.013023481,-0.003448909,0.0333461694
10/1984,-0.008033844,0.0078414992,0.0172197705
11/1984,-0.026207983,-0.005463898,0.0142577635
12/1984,0.020035221,0.027580227,0.0267946562
01/1985,0.1001678254,0.0812581553,0.0580151714
02/1985,0.0072228836,0.0255590992,0.0246889527
03/1985,-0.024571524,0.0121206764,0.0218962128
04/1985,-0.007939939,-0.006385779,0.0164047787
05/1985,0.047603714,0.0704289075,0.0576218492
06/1985,0.0065925086,0.0172698793,0.0333837807
07/1985,0.0151867223,-0.005172497,-0.01798865
08/1985,-0.014648992,0.0014592446,0.0080924686
09/1985,-0.042848016,-0.025469681,-0.039949267
10/1985,0.0390723177,0.054220409,0.0602610814
11/1985,0.0761148799,0.0655733791,0.0582037052
12/1985,0.0450136505,0.0407571011,0.0428755441
01/1986,0.0004210168,0.0115593144,0.0293518754
02/1986,0.0698665386,0.0796390483,0.0793411335
03/1986,0.0429909879,0.072207856,0.050726678
04/1986,-0.010169902,-0.007794326,-0.009957544
05/1986,0.0447774723,0.0624423274,0.046443671
06/1986,-0.007702986,0.0244594774,0.0359848251
07/1986,-0.080507187,-0.06253905,-0.013068289
08/1986,0.0765010224,0.0643761315,0.0531547531
09/1986,-0.072950638,-0.086969785,-0.079348989
10/1986,0.0521609511,0.060434282,0.0341297051
11/1986,0.0242516579,0.0128688338,-0.000888587
12/1986,-0.030178148,-0.019720475,-0.024366165
01/1987,0.1479504801,0.122041937,0.095097251
02/1987,0.063353456,0.046658066,0.0250500914
03/1987,0.0291350817,0.0165110582,0.0003800742
04/1987,-0.001081312,-0.029883649,-0.035989541
05/1987,0.0011500039,0.0183394944,-0.00992963
06/1987,0.0402495345,0.0575307825,0.0426775115
07/1987,0.0469903677,0.0497760675,0.013060385
08/1987,0.0393990502,0.0418996213,0.0388665201
09/1987,-0.030311127,-0.016105125,-0.015418208
10/1987,-0.245591104,-0.202757865,-0.184267056
11/1987,-0.08974478,-0.08115792,-0.02258715
12/1987,0.0946945369,0.0588996383,0.0377080646
01/1988,0.0258381618,0.0651124339,0.0681666217
02/1988,0.060298357,0.0434317769,0.0356412502
03/1988,-0.035965964,-0.009479444,0.0022272884
04/1988,0.0151981877,0.0060986606,0.0026272746
05/1988,0.0020005526,0.0076463386,0.0063089034
06/1988,0.063471816,0.0370871342,0.0490378531
07/1988,-0.012479218,0.0010071653,-0.005859389
08/1988,-0.042848782,-0.011171775,-0.008052382
09/1988,0.0408293321,0.0415736716,0.0303129429
10/1988,0.0120192401,0.0381251719,0.0073504129
11/1988,-0.020775335,-0.015062203,-0.017862432
