date,p1,p2,p3
07/1963,-0.003783943,0.0092794596,0.0002494441
08/1963,0.0559814738,0.0430508751,0.0668048458
09/1963,-0.016505344,-0.022925051,-0.008935388
10/1963,0.0346217161,0.0065308826,0.0566168745
11/1963,-0.002617033,-0.008009714,-0.02889215
12/1963,0.0246476564,0.0319203287,0.0176235564
01/1964,0.0254663862,0.0320708659,0.0199562657
02/1964,0.018812312,0.0179404816,0.0240597354
03/1964,0.0135473338,0.0253081934,0.0262900023
04/1964,-0.015823068,0.0204996467,0.0151023248
05/1964,0.0137656903,0.0135477078,0.0267388362
06/1964,0.0134466204,0.0099730068,0.0186294093
07/1964,0.0209830752,0.0310176478,0.0233374744
08/1964,-0.017980404,-0.006080565,-0.005500072
09/1964,0.0301906614,0.0304244991,0.0484311855
10/1964,0.0040709411,0.0190057079,0.0117280628
11/1964,0.0111839039,0.0089408431,-0.001126362
12/1964,0.005245313,0.0013863681,-0.004836486
01/1965,0.0575713823,0.0195782209,0.0394117492
02/1965,0.0145012737,-0.007180537,0.0085506189
03/1965,-0.013784369,-0.010533277,-0.0077513
04/1965,0.0373543036,0.0323031945,0.0316340811
05/1965,-0.002572769,-0.010254169,0.0043452995
06/1965,-0.049744265,-0.04332032,-0.055957969
07/1965,0.0137936376,0.0185478906,0.0368480099
08/1965,0.0293326793,0.0316447554,0.0297109582
09/1965,0.0391522676,0.030516296,0.0407265402
10/1965,0.0231308663,0.0337014479,0.0566161445
11/1965,0.0078157575,-0.0043212,0.019100958
12/1965,0.0082638976,0.0164105772,0.0200225274
01/1966,0.0040715317,0.0097652284,0.0374305545
02/1966,-0.014023083,-0.020016655,0.0078489551
03/1966,-0.012882935,-0.028713429,-0.011256287
04/1966,0.0307386913,0.0141871573,0.0290835292
05/1966,-0.046077594,-0.056145508,-0.068193889
06/1966,-0.015562407,-0.017492499,0.0098356074
07/1966,-0.015721619,-0.004253538,-0.009857341
08/1966,-0.075816155,-0.073339938,-0.079329364
09/1966,-0.009882076,0.0035502128,-0.007783386
10/1966,0.0444779119,0.0468834894,0.0367770442
11/1966,0.0484980486,-0.011188245,0.0084056397
12/1966,-0.003739299,0.0085561577,0.007109974
01/1967,0.0703701614,0.0756471165,0.1154749991
