date,p1,p2,p3
07/1963,0.005197073,-0.003362833,-0.005581383
08/1963,0.0511399993,0.0564579515,0.0510514675
09/1963,-0.020955475,-0.017691612,-0.013620618
10/1963,0.0248768529,0.0202443561,0.0427117541
11/1963,-0.002560248,-0.017951561,-0.001511702
12/1963,0.0166087298,0.0307707702,0.0245322783
01/1964,0.0275886704,0.0289933461,0.018638114
02/1964,0.0203184005,0.0128314575,0.0374980892
03/1964,0.0305555957,0.0143457835,0.0162105371
04/1964,0.0013195384,-0.007357623,0.0155303188
05/1964,0.0049799078,0.0147743793,0.0271539631
06/1964,0.0165030879,0.0134721094,0.0106398221
07/1964,0.0150050602,0.0266564959,0.0316702802
08/1964,-0.023445555,-0.007731365,-0.006077214
09/1964,0.0275897928,0.0334098355,0.0358699838
10/1964,0.0041172574,0.011939319,0.0218834749
11/1964,0.0079886633,0.0065570883,0.0035403345
12/1964,0.0010261081,-0.004838819,0.0042434503
01/1965,0.0473225597,0.0370741217,0.0351892612
02/1965,0.0184037219,0.0022673369,-0.003754399
03/1965,0.0003819381,-0.014745176,-0.011192186
04/1965,0.0376137613,0.0331162186,0.0308141328
05/1965,-0.008118915,-0.00416182,-0.009389619
06/1965,-0.06229158,-0.048963473,-0.039906242
07/1965,0.0166877066,0.0204698668,0.0202449282
08/1965,0.0433424083,0.0326741404,0.0141092373
09/1965,0.0488347057,0.0273823893,0.0357796661
10/1965,0.0464064253,0.0221659724,0.0276257709
11/1965,0.0156667813,-0.003574955,0.0121145012
12/1965,0.004867288,0.0147269374,0.0179539573
01/1966,0.0017173194,0.0205668507,0.0129045776
02/1966,-0.006349652,-0.018255116,-0.015779412
03/1966,-0.008069056,-0.016252443,-0.039919939
04/1966,0.0373262401,0.0256907061,0.0097617959
05/1966,-0.050269118,-0.053128232,-0.056412045
06/1966,-0.004103915,-0.012216169,-0.021467303
07/1966,-0.009888444,-0.013585636,-0.006872646
08/1966,-0.08453608,-0.068850868,-0.079407369
09/1966,-0.01588523,0.002044413,-0.001903205
10/1966,0.0307871088,0.0617875274,0.0464823918
11/1966,0.0469922663,0.0185903608,-0.018425014
12/1966,0.0011096809,0.0042665957,0.0001798355
01/1967,0.0820871109,0.0703462879,0.0907673814
02/1967,0.0255330041,0.0075124333,-0.010803944
03/1967,0.0502462621,0.0313129683,0.0455856183
04/1967,0.0553172695,0.0322871641,0.0413353081
05/1967,-0.043120263,-0.043852501,-0.034483222
06/1967,0.0368375445,0.0164615915,0.0138917429
07/1967,0.0548164989,0.0539071949,0.0602126686
08/1967,-0.007769764,-0.004694095,-0.003418653
09/1967,0.0451032504,0.0247199945,0.0312795874
10/1967,0.0006134464,-0.033701619,-0.050603129
11/1967,0.0189727936,0.0023519674,-0.003757958
