date,p1,p2,p3
07/1963,,,-0.000774278
08/1963,,,0.0532338104
09/1963,,,-0.017325455
10/1963,,,0.0257100659
11/1963,,,-0.010180688
12/1963,,,0.0235470866
01/1964,,,0.0247519256
02/1964,,,0.0201031186
03/1964,,,0.0198492688
04/1964,,,0.0027001856
05/1964,,,0.0177159016
06/1964,,,0.0118799283
07/1964,,,0.0246372895
08/1964,,,-0.011854805
09/1964,,,0.032750031
10/1964,,,0.0112228767
11/1964,,,0.0055651284
12/1964,,,0.0001140117
01/1965,,,0.040994089
02/1965,,,0.0070624291
03/1965,,,-0.009404684
04/1965,,,0.0327631961
05/1965,,,-0.006372368
06/1965,,,-0.05175473
07/1965,,,0.0197720462
08/1965,,,0.0318844537
09/1965,,,0.034080733
10/1965,,,0.0316443342
11/1965,,,0.0082166519
12/1965,,,0.0147921305
01/1966,,,0.0139435167
02/1966,,,-0.010036608
03/1966,,,-0.019057941
04/1966,,,0.0266199036
05/1966,,,-0.054229305
06/1966,,,-0.011610187
07/1966,,,-0.011887779
08/1966,,,-0.077070892
09/1966,,,-0.006109799
10/1966,,,0.0423481054
11/1966,,,0.0216097898
12/1966,,,0.004909148
01/1967,,,0.0851678889
02/1967,,,0.0112284294
03/1967,,,0.043377559
04/1967,,,0.0432830795
05/1967,,,-0.0371075
06/1967,,,0.0273425489
07/1967,,,0.0565571474
08/1967,,,-0.00498808
09/1967,,,0.0354515752
10/1967,,,-0.027213283
11/1967,,,0.0078802818
12/1967,,,0.034903041
01/1968,,,-0.037789312
02/1968,,,-0.032672122
03/1968,,,0.0071001814
04/1968,,,0.0968902002
05/1968,,,0.028691838
06/1968,,,0.0104094886
07/1968,,,-0.022608686
08/1968,,,0.0187333265
09/1968,,,0.0444567274
10/1968,,,0.0075742166
11/1968,,,0.0603259387
12/1968,,,-0.03258315
01/1969,,,-0.009721005
02/1969,,,-0.054190727
03/1969,,,0.0344914796
04/1969,,,0.0171377016
05/1969,,,0.003944613
06/1969,,,-0.066830122
07/1969,,,-0.067122156
08/1969,,,0.0532999931
09/1969,,,-0.023111787
10/1969,,,0.0571515028
11/1969,,,-0.035013466
12/1969,,,-0.017476998
01/1970,,,-0.076920035
02/1970,,,0.055643985
03/1970,,,-0.0057314
04/1970,,,-0.105961216
05/1970,,,-0.063877344
06/1970,,,-0.049551077
07/1970,,,0.0712092288
08/1970,,,0.0512702576
09/1970,,,0.0502573511
10/1970,,,-0.016896364
11/1970,,,0.049231609
12/1970,,,0.0607897551
01/1971,,,0.0494122312
02/1971,,,0.0215372695
03/1971,,,0.0455559918
04/1971,,,0.0347342171
05/1971,,,-0.036154687
06/1971,,,0.003586959
07/1971,,,-0.042153786
08/1971,,,0.0433353977
09/1971,,,-0.005256287
10/1971,,,-0.040587663
11/1971,,,-0.001052306
12/1971,,,0.0914854432
01/1972,,,0.0287202343
02/1972,,,0.0321242231
03/1972,,,0.0089061234
04/1972,,,0.0067514271
05/1972,,,0.0153171795
06/1972,,,-0.02033332
07/1972,-0.001245622,,-0.010260957
08/1972,0.0449367085,,0.0206894458
09/1972,-0.014172982,,-0.004386646
10/1972,0.0031526822,,0.017538314
11/1972,0.0521025879,,0.042279349
12/1972,0.0136742304,,0.0016429621
01/1973,-0.013740613,,-0.046550252
02/1973,-0.041636598,,-0.041891533
03/1973,0.0028956656,,-0.019396182
04/1973,-0.0447996,,-0.052316833
05/1973,-0.023950742,,-0.020144945
06/1973,-0.008200134,,-0.010321968
07/1973,0.0532975547,,0.0664101106
08/1973,-0.035332959,,-0.023311927
09/1973,0.0479697574,,0.0587896614
10/1973,0.0085381829,,-0.010111716
11/1973,-0.118853184,,-0.130807902
12/1973,0.0137269858,,0.0110225448
01/1974,-0.005922649,,0.016399997
02/1974,-0.002035726,,-0.000847378
03/1974,-0.016292921,,-0.028439341
04/1974,-0.033967689,,-0.06228249
05/1974,-0.037690874,,-0.052836109
06/1974,-0.011520091,,-0.04286697
07/1974,-0.059773818,,-0.087757853
08/1974,-0.094163723,,-0.089315743
09/1974,-0.11140535,,-0.112703317
10/1974,0.1723897997,,0.1676224861
11/1974,-0.04385257,,-0.027130767
12/1974,-0.02423321,,-0.044655621
01/1975,0.1391845892,,0.1519204509
02/1975,0.0635136838,,0.0554827077
03/1975,0.0254961964,,0.0394156346
04/1975,0.0488617678,,0.0499380138
05/1975,0.0587184773,,0.0578671804
06/1975,0.0528001569,,0.0547335661
07/1975,-0.061363345,,-0.064200063
08/1975,-0.017809928,,-0.038526784
09/1975,-0.033023197,,-0.053875953
10/1975,0.0610400306,,0.0485598716
11/1975,0.0262870917,,0.0377253219
12/1975,-0.009648809,,-0.017977159
01/1976,0.1277976401,,0.1268963349
02/1976,-0.000890803,,0.0215743851
03/1976,0.0292510206,,0.0237008367
04/1976,-0.007702246,,-0.020845546
05/1976,-0.004888538,,-0.01670084
06/1976,0.045430516,,0.0477324326
07/1976,-0.007979113,,-0.002137714
08/1976,-0.002730751,,-0.005741762
09/1976,0.0306019042,,0.0095243026
10/1976,-0.023440629,,-0.018450101
11/1976,0.0056186535,,0.0078139963
12/1976,0.0582985233,,0.0741009837
01/1977,-0.035204363,,-0.042240924
02/1977,-0.01961059,,-0.011113384
03/1977,-0.008448348,,-0.008631284
04/1977,0.0063073605,,0.0038391418
05/1977,-0.012436332,,-0.01169854
06/1977,0.0504142039,,0.0624585741
07/1977,-0.015908555,,-0.003210327
08/1977,-0.0188421,,-0.00028507
09/1977,-0.00137319,,0.0021422718
10/1977,-0.035281499,,-0.042055578
11/1977,0.0429664157,,0.0569435214
12/1977,0.0084865393,,0.004916442
01/1978,-0.055859607,,-0.051701108
02/1978,-0.016172086,,-0.002243235
03/1978,0.0293428089,,0.0485635933
04/1978,0.0831138337,,0.0908131518
05/1978,0.0203863999,,0.0361605419
06/1978,-0.014356533,,-0.002712702
07/1978,0.0564927941,,0.0651723835
08/1978,0.0438347797,,0.0464902382
09/1978,-0.005536715,,-0.018254413
10/1978,-0.111255776,,-0.12539398
11/1978,0.0352923859,,0.032245788
12/1978,0.0170314418,,0.0221951136
01/1979,0.050299347,,0.052577049
02/1979,-0.027390096,,-0.035043344
03/1979,0.0674850872,,0.065877789
04/1979,0.0079116639,,0.0128361419
05/1979,-0.015581036,,-0.012851228
06/1979,0.0436674745,,0.0597103341
07/1979,0.0154713432,,0.0208834913
08/1979,0.06534941,,0.0600719044
09/1979,0.0049967982,,-0.006030762
10/1979,-0.066864509,,-0.08847105
11/1979,0.062845663,,0.0635886733
12/1979,0.0266932981,,0.0359886714
01/1980,0.0715049994,,0.0519170909
02/1980,0.0086082464,,-0.033488323
03/1980,-0.124035955,,-0.110607592
04/1980,0.0481425341,,0.0642441443
05/1980,0.0569017762,,0.0717969692
06/1980,0.0363792682,,0.0456993712
07/1980,0.0713822429,,0.0690244432
08/1980,0.0205396184,,0.0313602208
