date,p1,p2,p3
07/1963,-0.007038079,0.0044037528,0.0051153409
08/1963,0.066019648,0.0582511355,0.0495570294
09/1963,-0.004003895,-0.021830156,-0.01675665
10/1963,0.020838665,0.0218004018,0.0430832854
11/1963,-0.016855841,-0.007320336,-0.019193393
12/1963,0.0126914307,0.0371355285,0.025549821
01/1964,0.0297887312,0.0277990102,0.0294277042
02/1964,0.0252820786,0.0148755242,0.0211589897
03/1964,0.022691754,0.0273833809,0.0139846801
04/1964,0.0125190018,-0.000612396,0.0091098786
05/1964,0.0097412766,0.0140355613,0.0203072564
06/1964,0.0266333316,0.0126892642,0.0113078567
07/1964,0.023333652,0.0265276028,0.0266538225
08/1964,-0.011370866,-0.00649506,-0.012489515
09/1964,0.0463367971,0.0338258583,0.0258592016
10/1964,0.0178522008,0.0101501258,0.0089667342
11/1964,0.0058862464,0.0187029868,0.0038106203
12/1964,-0.010680512,0.0096528146,-0.002209657
01/1965,0.0529609248,0.0371559383,0.0322845405
02/1965,0.0215046169,0.003654593,-0.005938055
03/1965,-0.009622789,-0.007188642,-0.010341718
04/1965,0.0391533448,0.0252762995,0.0413801336
05/1965,-0.001584219,0.0025223419,-0.014541095
06/1965,-0.06589935,-0.050902846,-0.034839099
07/1965,0.0315063519,0.016171209,0.0138427714
08/1965,0.0342433023,0.0286468865,0.027333775
09/1965,0.0313199743,0.031238219,0.0401631694
10/1965,0.049210414,0.0208035346,0.0287062802
11/1965,0.0057363446,-0.002055261,0.0059645546
12/1965,0.0255665326,0.019431711,0.0013094768
01/1966,0.0429431682,-0.003036269,0.0051540122
02/1966,-0.003823394,-0.023564086,-0.012367022
03/1966,-0.021881911,-0.020025669,-0.016533472
04/1966,0.0200174288,0.0198427855,0.0251657377
05/1966,-0.065527966,-0.047965717,-0.045816538
06/1966,-0.004343694,-0.01215076,-0.018596047
07/1966,-0.01913111,-0.011988147,-0.00478145
08/1966,-0.075680789,-0.07444037,-0.072656108
09/1966,-0.01798033,0.0143136755,-0.015616173
10/1966,0.0234322139,0.0703963555,0.0366764737
11/1966,0.0207734475,-0.011227721,0.0456449673
12/1966,0.0131096937,-0.00499859,0.005933857
01/1967,0.1038831609,0.0556740815,0.0851375447
02/1967,0.0071433431,-0.008810935,0.0278032086
03/1967,0.0452024065,0.0327410185,0.0465585784
04/1967,0.0417544135,0.0419779418,0.0506965507
05/1967,-0.033359942,-0.046078599,-0.041418665
06/1967,0.0303027623,0.0050613244,0.0284049307
07/1967,0.066422298,0.0606062681,0.0429029079
08/1967,0.0002387711,-0.007577125,-0.008180602
09/1967,0.0401540981,0.0229916133,0.0403717764
10/1967,-0.036756976,-0.037443811,-0.010355322
11/1967,-0.013620885,0.0142318469,0.0154588049
12/1967,0.0271895593,0.0282125873,0.0340234543
01/1968,-0.025762282,-0.028920843,-0.057697506
02/1968,-0.022346628,-0.019730339,-0.039013003
03/1968,0.0092275317,-0.009532388,0.0216252084
04/1968,0.0878003307,0.073232382,0.1051141583
05/1968,0.0084236524,0.0110472569,0.0340956144
06/1968,0.005864253,0.0220519161,0.0069839608
07/1968,0.0042856698,-0.019409813,-0.050508922
08/1968,0.0168903526,0.0117259872,0.0300184211
09/1968,0.0448711579,0.0287227231,0.052458609
10/1968,0.0234219466,-0.002587317,0.0128985291
11/1968,0.0373941418,0.0638051235,0.0688808677
12/1968,-0.038858147,-0.03535871,-0.033419963
01/1969,-0.002743467,-0.016404511,-0.012175537
02/1969,-0.04071667,-0.041817597,-0.065655927
03/1969,0.0346249955,0.0433840926,0.0266375716
04/1969,0.0018213384,0.0236372037,0.022475712
05/1969,0.011282414,0.0019430982,-0.000901184
06/1969,-0.07429018,-0.043150753,-0.073285815
07/1969,-0.058587243,-0.060987338,-0.069206422
08/1969,0.0370413438,0.0458820808,0.0652949485
09/1969,-0.014567661,-0.02559143,-0.033610844
10/1969,0.0528438021,0.0510606783,0.0574945154
11/1969,-0.038824347,-0.031942625,-0.031273712
12/1969,-0.016103973,-0.005882797,-0.016726202
01/1970,-0.068577042,-0.073784347,-0.094703534
02/1970,0.0639832893,0.0524269992,0.0530828348
03/1970,0.0121042278,0.0020392605,-0.014504097
04/1970,-0.076802643,-0.094303483,-0.111158375
05/1970,-0.072202128,-0.043751699,-0.065106298
06/1970,-0.045484761,-0.04505241,-0.051030409
07/1970,0.0749989834,0.0787705298,0.0657598845
08/1970,0.0476280112,0.0460581969,0.0556254976
09/1970,0.0476407339,0.0165604617,0.0587413573
10/1970,-0.0286636,-0.001577831,-0.006968388
11/1970,0.0492796916,0.0576065783,0.048944347
12/1970,0.0659739699,0.0627408196,0.0567531109
01/1971,0.0639182465,0.0330248973,0.039688207
02/1971,0.023939408,0.0156902232,0.021959598
03/1971,0.0306601619,0.0389488362,0.0490005763
04/1971,0.0560022238,0.0229323602,0.038103195
05/1971,-0.032671632,-0.0312861,-0.042150657
06/1971,-0.006497766,0.0085987788,0.003691047
07/1971,-0.043793535,-0.026811877,-0.051220804
08/1971,0.0642177857,0.0229273363,0.0480748644
09/1971,-0.006907622,-0.007347264,-0.002268503
10/1971,-0.057912105,-0.027104059,-0.034875017
11/1971,-0.007128327,0.0041432118,0.0052085566
12/1971,0.0802179179,0.09224417,0.0944227715
01/1972,0.0304535451,0.010644115,0.0322675454
02/1972,0.0214320765,0.029978414,0.0398983027
03/1972,0.0245180821,-0.009422265,0.0150393506
04/1972,0.0029309741,0.0052918152,0.0132999384
05/1972,-0.000534891,0.0235281732,0.0221878192
06/1972,-0.033578441,-0.016091495,-0.012051391
07/1972,-0.010578924,-0.00438609,0.0111698016
08/1972,0.0598154264,0.0435990763,0.0203858811
09/1972,-0.024005331,-0.000897519,-0.003644331
10/1972,-0.002952238,0.0212735,0.0064483815
11/1972,0.0791104267,0.0483255997,0.030886519
12/1972,0.0113839733,0.0090076095,0.0128297879
01/1973,-0.041126539,-0.019301214,-0.008882717
02/1973,-0.046557608,-0.04420333,-0.026557828
03/1973,-0.009017776,0.0062274641,-0.00711443
04/1973,-0.038122703,-0.031673274,-0.055842392
05/1973,-0.027975388,-0.021076828,-0.007108742
06/1973,-0.01980794,0.0034641441,-0.00763027
07/1973,0.0491145498,0.0511894608,0.041241102
08/1973,-0.029599384,-0.029834756,-0.031047751
09/1973,0.083535001,0.0579050646,0.0173237764
10/1973,0.0137662587,-0.000560644,-0.00122535
11/1973,-0.122747969,-0.116771142,-0.109054223
12/1973,0.0559653624,0.0207296894,-0.01230621
01/1974,0.0121750638,-0.017295417,-0.004538908
02/1974,0.0015512149,0.0089645327,-0.014470707
03/1974,-0.022331563,-0.023148901,-0.015593214
04/1974,-0.032472669,-0.030271961,-0.055814138
05/1974,-0.050309187,-0.033648514,-0.027835681
06/1974,-0.01323934,-0.013288449,-0.020666948
07/1974,-0.01268143,-0.076411046,-0.101003451
08/1974,-0.087031977,-0.089963372,-0.093406839
09/1974,-0.091315124,-0.12347961,-0.113882765
10/1974,0.1596357549,0.1884863803,0.156475515
11/1974,-0.03104978,-0.045957064,-0.035639934
12/1974,-0.018701945,-0.028170178,-0.02512024
01/1975,0.1303724731,0.1168502463,0.1618145102
02/1975,0.0423389939,0.0766690742,0.0515177351
03/1975,0.0334308719,0.0147134845,0.041322329
04/1975,0.0756085069,0.0488538808,0.0324213251
05/1975,0.0576633308,0.0516930689,0.0667234327
06/1975,0.06770368,0.0397187024,0.0618893464
07/1975,-0.03792944,-0.074415568,-0.063626976
08/1975,-0.014184014,-0.020055084,-0.024324212
09/1975,-0.027742626,-0.039682906,-0.040806237
10/1975,0.0221921349,0.0748626264,0.0666721022
11/1975,0.011685546,0.0343709477,0.0342041369
12/1975,-0.008780943,-0.021142485,-0.000407108
01/1976,0.1352424193,0.1240313268,0.1146195687
02/1976,0.008358261,-0.012176168,0.0050355751
03/1976,0.0343675021,0.025482065,0.0324098075
04/1976,-0.004410775,-0.008495276,-0.016055462
05/1976,0.0136873128,-0.012734461,-0.010280147
06/1976,0.0613531216,0.049084862,0.0350930877
07/1976,-0.004669814,-0.008876154,-0.004145381
08/1976,-0.004923402,0.002861706,-0.003176481
09/1976,0.0345945958,0.0200769186,0.0279009595
10/1976,-0.015324253,-0.015876575,-0.028982336
11/1976,0.0204952478,0.0035552945,-0.005698017
12/1976,0.071701759,0.060619781,0.0542884981
01/1977,-0.027666276,-0.048385318,-0.04203079
02/1977,-0.0192613,-0.020427095,-0.013687312
03/1977,-0.013103159,-0.010661065,-0.007668582
04/1977,0.0225556961,0.009472578,-0.008017705
05/1977,-0.013244033,-0.008971949,-0.018027605
06/1977,0.0452044581,0.0502600067,0.0537253019
07/1977,-0.017762726,-0.007528338,-0.015881812
08/1977,-0.020181588,-0.01148146,-0.013986878
09/1977,-0.003979141,0.003034724,-0.005173442
10/1977,-0.038745217,-0.041654184,-0.030805563
11/1977,0.0393544641,0.0445301436,0.046238821
12/1977,0.0067085364,-0.003682608,0.0145649159
01/1978,-0.056645288,-0.057015051,-0.055886737
02/1978,-0.016483509,-0.010538716,-0.019111115
03/1978,0.0458257072,0.0310842736,0.0222455221
04/1978,0.0881928825,0.0859435198,0.0835864739
05/1978,0.0168940425,0.0184176672,0.024255205
06/1978,-0.019350184,-0.008770021,-0.011210352
07/1978,0.0586501096,0.0533904299,0.0620750976
08/1978,0.0448195838,0.0340138118,0.0474537324
09/1978,-0.004680103,-0.001094758,-0.020495799
10/1978,-0.122437454,-0.090201083,-0.111370981
11/1978,0.0370210296,0.0311976916,0.0262608592
12/1978,0.0118628382,0.0141810736,0.0272248695
01/1979,0.0608961799,0.0413545778,0.0495039774
02/1979,-0.023989252,-0.032771935,-0.033055659
03/1979,0.0765984704,0.052086276,0.0630057358
04/1979,0.0177129192,0.0037150866,0.0055499905
05/1979,-0.032135741,-0.007463582,-0.012281292
06/1979,0.0552204192,0.0502371035,0.0332213319
07/1979,0.0175221864,0.0198492018,0.0125056078
08/1979,0.0659239417,0.056150514,0.0650927602
09/1979,0.0067611229,0.0013331362,-0.002572305
10/1979,-0.068846045,-0.06632974,-0.075642717
11/1979,0.0549859902,0.0531597479,0.0674053377
12/1979,0.0281035274,0.0141315833,0.0304931084
01/1980,0.0703652406,0.0464527739,0.0723402687
02/1980,0.0160881771,-0.00087174,-0.028846854
03/1980,-0.127894664,-0.0944159,-0.11349758
04/1980,0.0591384931,0.0518687106,0.0410613275
05/1980,0.0663956883,0.055916243,0.0548110758
06/1980,0.0335706276,0.0324908572,0.0411247142
07/1980,0.0613386729,0.0570261734,0.0832399489
08/1980,0.0209271907,0.0079417539,0.0275183316
09/1980,0.0175681062,0.0234676685,0.0507785718
10/1980,0.0365043995,0.0112453983,0.0134096733
11/1980,0.1255627269,0.0881825964,0.1184234166
12/1980,-0.0548201,-0.005317334,-0.03668918
01/1981,-0.042756809,-0.034963985,-0.049565532
02/1981,0.0053164559,0.0319086404,0.0221823058
03/1981,0.0292411263,0.0414287509,0.0570826586
04/1981,-0.027206822,-0.015726361,-0.008439428
05/1981,-0.006435521,0.0109280581,0.0078767417
06/1981,0.0155378322,0.0021802851,-0.021214387
07/1981,-7.248468E-6,0.0018577875,-0.00586379
08/1981,-0.046716641,-0.053134883,-0.068218487
09/1981,-0.055878128,-0.048411156,-0.069049291
10/1981,0.0295966648,0.0609042962,0.071866453
11/1981,0.0574798024,0.0446457949,0.0464744402
12/1981,-0.015686348,-0.026048692,-0.035599891
01/1982,-0.008272163,-0.026361687,-0.036045004
02/1982,-0.032121586,-0.040839703,-0.059138797
03/1982,-0.005998291,-0.003456059,-0.008258093
04/1982,0.0516727563,0.043332718,0.0466957395
05/1982,-0.019999283,-0.020287024,-0.040728845
06/1982,-0.011830026,-0.01616064,-0.024821119
07/1982,-0.011870832,-0.018239601,-0.028199679
08/1982,0.1289581023,0.1139863373,0.1197002487
09/1982,0.0134225105,0.0217497399,0.0263714718
10/1982,0.1439831021,0.1026863517,0.1033770544
11/1982,0.0645741309,0.0500975527,0.0349480868
12/1982,0.0088204243,0.0084803275,0.0290142382
01/1983,0.0461154955,0.0146950703,0.0350866723
02/1983,0.0380447908,0.0370527276,0.0281280015
03/1983,0.0414465144,0.0330441533,0.0391954964
04/1983,0.0801987361,0.0677177399,0.0798505194
05/1983,0.0010768132,-0.000776059,0.0106367218
06/1983,0.0367302226,0.0221317818,0.0491096164
07/1983,-0.029548711,-0.017008203,-0.036624887
08/1983,-0.005384162,0.0130746578,0.0124022683
09/1983,0.0333527,0.0256391142,0.0004429566
10/1983,-0.007879584,-0.002573779,-0.0326024
11/1983,0.0243780265,0.0284446165,0.0202750984
12/1983,0.0016201189,-0.013952883,-0.009573311
01/1984,-0.029342666,-0.003855337,-0.001084989
02/1984,-0.044950438,-0.035070404,-0.030428636
03/1984,0.0224369295,0.0124235291,0.0156812085
04/1984,-0.002364234,0.0127888749,0.0079490633
05/1984,-0.052594021,-0.048794907,-0.046716852
06/1984,0.0220382348,0.0319159955,0.0148958476
07/1984,-0.011422918,-0.024446194,-0.019945001
08/1984,0.1208820976,0.1098408723,0.1057872761
09/1984,0.0027793285,0.0004725788,0.0070775729
10/1984,0.0043455279,0.0024747321,0.0124014866
11/1984,-0.011987853,-0.005336419,-0.002398259
12/1984,0.0233543695,0.0252821962,0.0238290656
01/1985,0.080150014,0.078293162,0.0792468368
02/1985,0.0096798474,0.0232563412,0.020778269
03/1985,-0.012030491,0.0015008204,0.0121202541
04/1985,-0.005907384,0.0084555214,-0.001474764
05/1985,0.0509194607,0.0563632487,0.0680401157
06/1985,0.0024776154,0.0193546444,0.02660656
07/1985,0.0090081994,0.002689254,-0.015946965
08/1985,0.0065986867,-0.006304292,-0.00843342
09/1985,-0.028985436,-0.030425425,-0.044387026
10/1985,0.0474342317,0.0521090861,0.0478619353
11/1985,0.0478412877,0.0747546495,0.0746922742
12/1985,0.0197238373,0.0610968317,0.043124958
01/1986,-0.009182862,0.0109877975,0.0218217191
02/1986,0.0680101731,0.0692781042,0.0878449386
03/1986,0.0471790499,0.0543417695,0.0622635428
04/1986,-0.003206258,-0.009009,-0.019403776
05/1986,0.0583985568,0.0500416481,0.0492586346
06/1986,0.0018495217,0.0156264687,0.0268487392
07/1986,-0.060240621,-0.043073478,-0.06879353
08/1986,0.0778847782,0.0691257652,0.0622810384
09/1986,-0.063618041,-0.084263612,-0.085284228
10/1986,0.0523041276,0.0441888661,0.0581569984
11/1986,0.0185752599,0.0167951181,0.0165172176
12/1986,-0.011587821,-0.026816379,-0.034400765
01/1987,0.131037952,0.1169955072,0.1274599288
02/1987,0.0347342649,0.0420428375,0.0592461845
03/1987,0.0363216808,0.0127473071,0.0216284711
04/1987,-0.015350975,-0.017612842,-0.015143237
05/1987,0.0137483992,0.0004945719,0.0029267215
06/1987,0.0548500534,0.0491912602,0.0478919388
07/1987,0.0478030793,0.0390189291,0.0398239175
08/1987,0.0339747319,0.0424977369,0.0386329869
09/1987,-0.012057159,-0.029828564,-0.030478324
10/1987,-0.226081886,-0.190786517,-0.2277192
11/1987,-0.077167706,-0.070453779,-0.0748392
12/1987,0.0830593194,0.0484990122,0.0822546374
01/1988,0.0448543492,0.0539180894,0.05182625
02/1988,0.0565712674,0.0365856838,0.0536707466
03/1988,0.0032123151,-0.038582673,-0.025627546
04/1988,0.0216356296,0.0073765906,-0.002883393
05/1988,0.0032706438,0.0122444393,0.004912931
06/1988,0.0316317533,0.0565262106,0.0568615959
07/1988,-0.00370745,-0.007088506,-0.003226716
08/1988,-0.035707703,-0.013644054,-0.022190731
09/1988,0.0239330096,0.0440442973,0.0518285406
10/1988,0.0231964348,0.0361587302,0.0080917157
11/1988,-0.018349144,-0.010251777,-0.022843247
12/1988,0.0261603915,0.0148430817,0.0114966427
01/1989,0.0653514643,0.0631452314,0.0644484414
02/1989,-0.023529024,-0.020412337,-0.014936146
03/1989,0.0157043426,0.0213381593,0.0311928596
04/1989,0.0456837831,0.0522052772,0.0460346567
05/1989,0.028731144,0.0481661633,0.0444443416
06/1989,-0.002477263,-0.001618509,-0.006168116
07/1989,0.062931991,0.0871552064,0.0966942653
