date,p1,p2,p3
07/1963,0.0013953598,0.0062220749,-0.000564985
08/1963,0.0514166907,0.0575433959,0.0627813132
09/1963,-0.018365418,-0.024302661,0.0023668836
10/1963,0.0287004929,0.0140862879,0.0650502361
11/1963,-0.013431754,-0.003837619,-0.032852655
12/1963,0.0316693682,0.0346400236,0.003796347
01/1964,0.0354663709,0.0206725783,0.025364431
02/1964,0.0188006196,0.0201773846,0.0214636663
03/1964,0.0177472221,0.0208284457,0.0259324964
04/1964,-0.005169308,0.0142024523,0.0222060129
05/1964,0.0113810308,0.0214640994,0.0191899236
06/1964,0.0171319777,0.0083651887,0.0174925459
07/1964,0.0164539377,0.0293530735,0.0383688303
08/1964,-0.017012938,-0.013430949,0.0049627824
09/1964,0.0307761795,0.0330724752,0.0364684666
10/1964,0.0078534542,0.0190500619,-0.001304051
11/1964,0.0130134678,0.0148890691,-0.009635197
12/1964,2.6050434E-6,0.0030647779,0.0026830687
01/1965,0.0470171087,0.0300796919,0.0384278908
02/1965,0.0148869781,-0.00891247,0.0061664516
03/1965,-0.012246589,-0.018205485,0.0038821244
04/1965,0.0371837557,0.0210930656,0.0499565792
05/1965,-0.001769205,0.0026548278,-0.020602344
06/1965,-0.045407974,-0.038369812,-0.063146859
07/1965,0.0239147729,0.0108468008,0.016979788
08/1965,0.0412001545,0.0120669009,0.0313628213
09/1965,0.0420141884,0.0291961789,0.0313394526
10/1965,0.0276565585,0.0191843115,0.0496333528
11/1965,0.014778692,0.0053937506,-0.024289019
12/1965,0.0128788307,0.0101532122,0.0102243828
01/1966,0.0116374597,0.0018141935,0.0142529934
02/1966,-0.003398899,-0.026361382,-0.020961506
03/1966,-0.00700162,-0.025097803,-0.034833497
04/1966,0.0416316246,0.0125084329,-0.00299753
05/1966,-0.051587718,-0.045325353,-0.055520438
06/1966,-0.006286383,-0.02571912,-0.01137879
07/1966,-0.021236617,-0.00299356,-0.003930442
08/1966,-0.081538404,-0.06928022,-0.069684988
09/1966,-0.021974885,0.013981075,0.000018907
10/1966,0.0284430003,0.0700436383,0.0471341698
11/1966,0.0702149748,-0.002089106,-0.037365388
12/1966,0.0035375127,-0.000415036,0.0044817348
01/1967,0.07851948,0.0612888699,0.0974279948
02/1967,0.0352970017,-0.0071287,-0.014291251
03/1967,0.0493555987,0.0318167756,0.045752353
04/1967,0.0625195888,0.0297620452,0.0369007232
05/1967,-0.049436764,-0.032948595,-0.039559031
06/1967,0.0339463707,0.0124113362,0.0056191543
07/1967,0.0507352851,0.0584199158,0.0612661028
08/1967,-0.006350045,-0.011257629,0.0002770314
09/1967,0.0376639515,0.0349128803,0.0277030108
10/1967,-0.008710176,-0.043005883,-0.04150798
11/1967,0.0208944986,-0.003285303,-0.006089646
12/1967,0.0238991671,0.0422099255,0.0292937409
01/1968,-0.070020304,-0.019518324,-0.000652049
02/1968,-0.035637397,-0.021890661,-0.023138214
03/1968,0.0244252745,-0.0105023,-0.003893902
04/1968,0.116633102,0.0614502868,0.0747237922
05/1968,0.0280656449,0.0152936548,0.0110074167
06/1968,-0.000226578,0.0249134612,0.0225683502
07/1968,-0.054414014,0.0017473942,0.0054877245
08/1968,0.0138852339,0.0217204182,0.0169265081
09/1968,0.0277482085,0.0493650098,0.042632399
10/1968,-0.020863804,0.0310755064,0.0215348764
11/1968,0.0694581223,0.0536073075,0.047364798
12/1968,-0.044930591,-0.032068312,-0.027156097
01/1969,-0.022485982,-0.011175149,0.0053753699
02/1969,-0.048060019,-0.051905171,-0.043058283
03/1969,0.0373824046,0.0416053145,0.0272935402
04/1969,0.031873445,0.0081243119,0.0081676086
05/1969,-0.001673032,0.009679549,0.0034127676
06/1969,-0.036170152,-0.078504296,-0.070428647
07/1969,-0.055906116,-0.072678622,-0.061669814
08/1969,0.0748431415,0.0457258845,0.0233341373
09/1969,-0.007726032,-0.040328132,-0.031328553
10/1969,0.0657088663,0.0484050369,0.0438944076
11/1969,-0.022478107,-0.036309827,-0.046238016
12/1969,-0.000895703,-0.016170325,-0.024259955
01/1970,-0.08474851,-0.087558516,-0.057511245
02/1970,0.0414477287,0.067821425,0.0631084877
03/1970,-0.024637117,0.0043622475,0.0271251155
04/1970,-0.117136118,-0.088482204,-0.074746892
05/1970,-0.084578821,-0.049760279,-0.036171196
06/1970,-0.070717532,-0.018134474,-0.048484072
07/1970,0.043837734,0.0922842695,0.0902619512
08/1970,0.0434264285,0.0441933726,0.0629915554
09/1970,0.0769665303,0.0309538941,0.0087323745
10/1970,-0.010966212,-0.017034087,-0.007457752
11/1970,0.0446244113,0.049525364,0.0649648876
12/1970,0.0551102601,0.0735588175,0.0591392097
01/1971,0.0494740617,0.0472847152,0.0320966508
02/1971,0.0234910207,0.0169799135,0.0194608922
03/1971,0.0587954169,0.0381284554,0.0273090767
04/1971,0.0359977949,0.0396589169,0.0304209069
05/1971,-0.031760639,-0.030517267,-0.045476264
06/1971,0.0098557978,0.0049143069,-0.006054357
07/1971,-0.04770959,-0.037506895,-0.029193916
08/1971,0.0496384656,0.0377420587,0.0349016607
09/1971,0.0022909203,-0.008854294,-0.012441446
10/1971,-0.03719505,-0.039261366,-0.039200231
11/1971,0.0071055645,-0.000361932,-0.00657156
12/1971,0.0995447632,0.088158212,0.0771212392
01/1972,0.031703975,0.0061321735,0.0321350331
02/1972,0.0534238556,0.020701849,0.0048470341
03/1972,0.0178947265,0.0055435866,-0.004202518
04/1972,0.0168816024,0.0057373776,-0.007234303
05/1972,0.0342722409,0.0048009369,-0.002807573
06/1972,-0.010979951,-0.025480749,-0.026178062
07/1972,0.0077905313,-0.003832799,-0.008857878
08/1972,0.01010375,0.0582655219,0.0755039827
09/1972,-0.00316315,-0.015111301,-0.010282761
10/1972,0.0057774443,0.0131138896,0.017266159
11/1972,0.0247123356,0.0613670059,0.0809692074
12/1972,0.0295191547,-0.002020357,-0.011111617
01/1973,-0.019379194,-0.050223288,0.0016079709
02/1973,-0.026938783,-0.050889619,-0.043179305
03/1973,-0.004556151,-0.00830214,0.006684465
04/1973,-0.062601515,-0.040420743,-0.007631716
05/1973,-0.008875103,-0.013526246,-0.033670992
06/1973,-0.004675378,-0.018633699,0.0010144811
07/1973,0.0630964428,0.0557730266,0.008595842
08/1973,-0.034364956,-0.019103289,-0.032376748
09/1973,0.0118861131,0.0968169687,0.0731153366
10/1973,0.0059582069,0.0042351785,-0.006673033
11/1973,-0.112898876,-0.133016737,-0.1021735
12/1973,-0.018449811,0.053189166,0.0456578837
01/1974,-0.017660486,-0.003849444,0.0209352855
02/1974,-0.011503933,0.0090043791,0.0041629962
03/1974,-0.014832078,-0.026424255,-0.023021063
04/1974,-0.031601205,-0.042029738,-0.060306537
05/1974,-0.021319736,-0.059006625,-0.043990496
06/1974,-0.011846394,-0.015357152,-0.030267442
07/1974,-0.098743215,-0.023111255,-0.038173013
08/1974,-0.099243137,-0.09796025,-0.05492682
09/1974,-0.143750811,-0.085579487,-0.047789742
10/1974,0.2268882033,0.1393124315,0.0729581926
11/1974,-0.035452967,-0.045608375,-0.029172248
12/1974,-0.042828149,0.0000301679,-0.014118083
01/1975,0.1023458018,0.1623614733,0.206893101
02/1975,0.0901228185,0.0300756021,0.014963354
03/1975,0.0279564594,0.0268063185,0.0250076731
04/1975,0.0562070341,0.0484078917,0.0180660818
05/1975,0.0573260176,0.0641181697,0.0445220842
06/1975,0.0368398529,0.0655389566,0.0886905255
07/1975,-0.080153691,-0.043590566,-0.035019293
08/1975,-0.026074162,-0.011506785,-0.020836755
09/1975,-0.045486646,-0.029895145,-0.025346347
10/1975,0.0625969454,0.0555300365,0.069758465
11/1975,0.0310087519,0.0193025037,0.0454386423
