date,p1,p2,p3
07/1963,0.0010953215,0.0044946754,-0.001051142
08/1963,0.0530888146,0.0678766199,0.0640191459
09/1963,-0.017572148,-0.005441808,-0.019064072
10/1963,0.0515309615,0.0135208504,0.0131867475
11/1963,-0.017772809,-0.010520706,-0.002458885
12/1963,0.0303547985,0.0240765762,0.0135082822
01/1964,0.0357862871,0.0188388052,0.031818531
02/1964,0.0170504306,0.031846621,0.0315975798
03/1964,0.018661356,0.0392777048,0.0451056265
04/1964,0.0065514486,0.0095208106,0.0013119598
05/1964,0.0150094208,0.0218085269,0.0271588808
06/1964,0.013053227,0.0092502165,0.0121723923
07/1964,0.0221774444,0.0239181058,0.0253138108
08/1964,-0.014485248,-0.010354179,-0.003714637
09/1964,0.028911587,0.0434371164,0.0452490554
10/1964,0.0113420833,0.0107152204,0.0159418041
11/1964,0.012015057,0.0121716974,-0.01333224
12/1964,0.0066520007,-0.004290485,-0.021258705
01/1965,0.0366866867,0.0364563216,0.0520256867
02/1965,0.001403879,0.0087199767,0.014383522
03/1965,-0.014465177,-0.01217869,-0.002610484
04/1965,0.0374054882,0.0375577666,0.0399726758
05/1965,-0.005418624,0.0043746308,-0.01002777
06/1965,-0.043934307,-0.063324474,-0.050009838
07/1965,0.016095926,0.0219540779,0.0331827063
08/1965,0.0305494218,0.0361984694,0.0288346796
09/1965,0.0469877973,0.0245343748,0.0375878581
10/1965,0.0296223446,0.0369627922,0.0593443106
11/1965,0.0007317589,0.0202856775,0.0041525521
12/1965,0.0085299296,0.018235471,0.0353972436
01/1966,0.0068047029,0.019649003,0.0470370737
02/1966,-0.013651292,-0.006596008,-0.003738966
03/1966,-0.020556563,-0.017367689,-0.02482423
04/1966,0.030270288,0.0225261303,0.0205090984
05/1966,-0.049716,-0.062013236,-0.073667289
06/1966,-0.017916831,-0.000877706,0.0028846261
07/1966,-0.012556423,-0.008573755,-0.008906605
08/1966,-0.074856628,-0.062333454,-0.077298573
09/1966,-0.015087046,-0.004533548,-0.006074505
10/1966,0.0290514587,0.0552263842,0.0444735773
11/1966,0.0436819041,-0.007579838,-0.005295128
12/1966,-0.00368586,0.0038876401,-0.003612979
01/1967,0.0823355901,0.0696682604,0.1357823078
02/1967,0.0242938625,-0.002670639,-0.007670719
03/1967,0.0433615738,0.0437104407,0.0517417432
04/1967,0.0610680925,0.030994909,0.0376320405
05/1967,-0.048031387,-0.027002893,-0.033030902
06/1967,0.0238795409,0.0237433538,0.0412591483
07/1967,0.0490314679,0.0705134223,0.0772653307
08/1967,-0.007502823,-0.00788647,0.0053738734
09/1967,0.0463001458,0.0334333854,0.0272311421
10/1967,-0.007430141,-0.037688713,-0.055445072
11/1967,0.010259971,0.0026598836,-0.012711092
12/1967,0.0216220472,0.0370691729,0.0556901075
01/1968,-0.066030795,-0.022641147,-0.019139148
02/1968,-0.035586921,-0.025205569,-0.034734536
03/1968,0.0237901475,0.0006258974,-0.007821865
04/1968,0.110778473,0.0757931013,0.1065392886
05/1968,0.0277273317,0.0096427121,0.0339328252
06/1968,-0.008037122,0.0191525319,0.0031768185
07/1968,-0.048242304,-0.000920278,0.0033087438
08/1968,0.0139360035,0.0189308924,0.0321172907
09/1968,0.0331855627,0.0494556699,0.0655944066
10/1968,-0.013561623,0.024638124,0.0247651796
11/1968,0.0685553334,0.040318725,0.0510299497
12/1968,-0.044123082,-0.02917825,-0.018543539
01/1969,-0.021560993,-0.005930111,-0.013160567
02/1969,-0.049399639,-0.042379982,-0.064447335
03/1969,0.0379769555,0.0408242738,0.0468084505
04/1969,0.0334300948,0.004854573,0.0037097743
05/1969,-0.00414524,0.0048666991,0.0178580238
06/1969,-0.036285232,-0.07959723,-0.094080677
07/1969,-0.050661495,-0.086738873,-0.075873079
08/1969,0.0672768321,0.044198297,0.044517215
09/1969,-0.008236715,-0.029658569,-0.047526382
10/1969,0.0625912097,0.0426348284,0.0313507809
11/1969,-0.022428945,-0.032207781,-0.050803597
12/1969,-0.000362145,-0.025217671,-0.031437638
01/1970,-0.081389317,-0.088978573,-0.077887856
02/1970,0.0390306018,0.0788303684,0.058731855
03/1970,-0.020696579,0.0084231852,0.0104362533
04/1970,-0.111473879,-0.098941233,-0.07879942
05/1970,-0.07872271,-0.05682973,-0.025959014
06/1970,-0.056719537,-0.032400256,-0.04636194
07/1970,0.0469924025,0.0923510436,0.0831087931
08/1970,0.0411271597,0.0616926805,0.062393119
09/1970,0.0754858028,0.020370725,0.0389920693
10/1970,-0.009902179,-0.010561221,-0.025282893
11/1970,0.0441138601,0.0472531445,0.0543646784
12/1970,0.0561545985,0.0611814798,0.0613371469
01/1971,0.046265407,0.0386842963,0.0607341784
02/1971,0.0251729177,0.0273935058,0.025812883
03/1971,0.0582467574,0.0365623141,0.0216540977
04/1971,0.0386739191,0.0478813298,0.0523801365
05/1971,-0.030418268,-0.038535965,-0.046428203
06/1971,0.0082670471,-0.013526894,-0.007195889
07/1971,-0.046717155,-0.036647149,-0.058057425
08/1971,0.0573868849,0.017367065,0.078039542
09/1971,0.0051711343,-0.014786265,-0.024382745
10/1971,-0.040091635,-0.051956425,-0.055643251
11/1971,0.0073572624,-0.006733078,-0.01467297
12/1971,0.092270227,0.0969778214,0.101335876
01/1972,0.0338152213,0.0110183132,0.0590820919
02/1972,0.0458120747,0.0303139388,0.0216421605
03/1972,0.021523901,-0.02720395,-0.00001447
04/1972,0.0123808726,0.0008553386,0.0146519844
05/1972,0.0245300171,0.0169128474,-0.00430932
06/1972,-0.009637773,-0.028089698,-0.05048035
07/1972,0.0074032309,-0.015301508,-0.022292688
08/1972,0.0111727084,0.0616797137,0.0776273773
09/1972,-0.007572397,-0.011348962,-0.026776487
10/1972,0.0039775642,0.0050074893,0.0089360966
11/1972,0.0278151573,0.0715894481,0.100060365
12/1972,0.0290642613,-0.004261673,-0.014567721
01/1973,-0.023560935,-0.014145974,-0.013830868
02/1973,-0.031071167,-0.053111769,-0.056017577
03/1973,-0.00635186,0.0049215249,0.0080689827
04/1973,-0.059817552,-0.028921244,-0.026836337
05/1973,-0.011461717,-0.028812886,-0.048826016
06/1973,-0.008271131,-0.012972281,-0.010957129
07/1973,0.0659804985,0.0307458223,0.0780671599
08/1973,-0.036631818,-0.032417888,-0.020326059
09/1973,0.0213395362,0.0795161277,0.1073162863
10/1973,0.0034874259,0.0120069653,0.0146749548
11/1973,-0.116525773,-0.12340661,-0.133434559
12/1973,-0.019845954,0.0508636768,0.0635814246
01/1974,-0.012793451,-0.008606776,0.0484565112
02/1974,-0.010650554,0.006878644,0.0201391129
03/1974,-0.013169282,-0.023755818,-0.020880273
04/1974,-0.027007356,-0.045488046,-0.021504922
05/1974,-0.02139768,-0.041352885,-0.067816288
06/1974,-0.01175398,-0.010777097,-0.006414949
07/1974,-0.087126416,-0.049266631,-0.033973288
08/1974,-0.097978495,-0.070146196,-0.066236862
09/1974,-0.14335807,-0.087078621,-0.077213394
10/1974,0.2148270974,0.0865382471,0.0984413928
11/1974,-0.042998312,-0.038114272,-0.042905703
12/1974,-0.035567418,-0.009131272,-0.033791368
01/1975,0.0991240626,0.185286055,0.2252516355
02/1975,0.0969496993,0.0261294382,0.0363101576
03/1975,0.0297431725,0.0386456403,0.0776051391
04/1975,0.0658306609,0.032237941,0.0636358888
05/1975,0.0549930845,0.0682097921,0.0280907672
06/1975,0.0405447732,0.0673813534,0.0644591641
07/1975,-0.075798754,-0.052284148,-0.034530517
08/1975,-0.021064786,-0.013892799,-0.017962659
09/1975,-0.043287412,-0.024207376,-0.025847996
10/1975,0.0700692603,0.034301026,0.0547308388
11/1975,0.0309152562,0.0205176106,0.0283513975
12/1975,-0.022794116,-0.002598253,-0.003465781
01/1976,0.1208372825,0.1404578197,0.1570923056
02/1976,-0.014275449,0.0243690025,0.0355826347
03/1976,0.0309119568,0.0266960221,0.0322085072
04/1976,-0.01928387,-0.006685144,0.0061416364
05/1976,-0.012129238,0.0175857994,-0.01294886
06/1976,0.0426188923,0.04909329,0.0474185617
07/1976,-0.017932793,0.0021046482,-0.011652346
08/1976,-0.007364551,-0.000804459,-0.01856676
09/1976,0.0206546648,0.0395910862,0.0271752786
10/1976,-0.026797496,-0.024711509,-0.028246986
11/1976,-0.009024285,0.017688867,0.0197942884
12/1976,0.0440828748,0.0777261784,0.0778424257
01/1977,-0.065151529,-0.016350317,0.002129628
02/1977,-0.01292181,-0.022970098,-0.010150807
03/1977,-0.013154132,-0.010820337,0.0013292858
04/1977,-0.012642073,0.0165854139,0.0289526793
05/1977,-0.022519772,-0.005300225,-0.016687164
06/1977,0.0577311713,0.0426919929,0.0489918649
07/1977,-0.018849584,-0.016046461,-0.019167524
08/1977,0.0017082254,-0.028785919,-0.039307203
