date,p1,p2,p3
07/1963,-0.004128244,0.0051255646,0.0079183355
08/1963,0.0558522915,0.0438991624,0.0610986679
09/1963,-0.01637669,-0.022071596,-0.012704167
10/1963,0.0341476713,0.0056192512,0.0509672417
11/1963,-0.000946355,-0.009687783,-0.029687935
12/1963,0.0278212658,0.0295829214,0.0166188195
01/1964,0.023802243,0.0308737853,0.023304638
02/1964,0.0174273321,0.0167902021,0.0278190984
03/1964,0.0130431503,0.025763066,0.0262647758
04/1964,-0.015604647,0.0145152302,0.0259255153
05/1964,0.0133501394,0.0116063755,0.0280157072
06/1964,0.0111575557,0.0175115588,0.0112096673
07/1964,0.0195425849,0.0243966699,0.0382926125
08/1964,-0.018635214,-0.013566042,0.006743224
09/1964,0.0318514248,0.0316843819,0.0390354039
10/1964,0.0038413428,0.0278628214,-0.000981975
11/1964,0.006441166,0.019045628,-0.006719807
12/1964,0.0044158253,-0.003012873,0.0034089287
01/1965,0.057862876,0.0185787565,0.0359199165
02/1965,0.0125817262,-0.00491656,0.0061873803
03/1965,-0.008919449,-0.020941702,-0.000755365
04/1965,0.0343329359,0.0238655987,0.0507709222
05/1965,-0.00212237,0.0021424031,-0.018662269
06/1965,-0.048979347,-0.040809596,-0.057839327
07/1965,0.0137059999,0.0210313778,0.0311369163
08/1965,0.028488305,0.029633907,0.0406217618
09/1965,0.0370757151,0.032661018,0.0383905545
10/1965,0.0231739322,0.0315850392,0.0589208739
11/1965,0.0053863471,0.0019081049,0.0169038238
12/1965,0.0088968433,0.0125725971,0.0250867848
01/1966,0.0039649886,0.0069604506,0.0428828221
02/1966,-0.014763675,-0.017752988,0.0052701444
03/1966,-0.013292315,-0.025394159,-0.019533236
04/1966,0.0339528748,0.0120695248,0.0187453776
05/1966,-0.04729194,-0.054629602,-0.066989285
06/1966,-0.015461596,-0.011342868,-0.003428227
07/1966,-0.014041428,-0.007820718,-0.009497599
08/1966,-0.075677703,-0.071611458,-0.083430242
09/1966,-0.014995651,0.0067751804,-0.001780189
10/1966,0.0390538504,0.0630917043,0.025636472
11/1966,0.0508996641,-0.00407866,-0.008323716
12/1966,0.0008615593,0.003563143,0.007882864
01/1967,0.0709561442,0.0680218384,0.1285877581
02/1967,0.0264480476,-0.002761494,-0.010717281
03/1967,0.0412635336,0.0388710323,0.0557577968
04/1967,0.0541924963,0.0277848305,0.0541798214
05/1967,-0.047357983,-0.029949026,-0.043518514
06/1967,0.0252974262,0.017135598,0.0252611358
07/1967,0.0448108482,0.0687482223,0.0742394074
08/1967,-0.005655291,-0.013805554,0.0041479293
09/1967,0.0418167504,0.0284218097,0.0291819324
10/1967,-0.013452516,-0.036605225,-0.044078806
11/1967,0.0139034522,0.00375239,-0.007401966
12/1967,0.0247382838,0.0386850216,0.0457155128
01/1968,-0.061226906,-0.011533155,-0.021961229
02/1968,-0.032496824,-0.027795207,-0.035136094
03/1968,0.0129228481,-0.001274135,0.0045915144
04/1968,0.1020874667,0.0708381138,0.1061163039
05/1968,0.0259152385,0.0159343634,0.0334303222
06/1968,0.0014562569,0.0255572322,0.0093058335
07/1968,-0.049279984,-0.012233699,0.0147235522
08/1968,0.0160256761,0.0233469012,0.0149711314
09/1968,0.0344894057,0.0453805314,0.0494577463
10/1968,-0.014063095,0.0214184103,0.0262585807
11/1968,0.0658100494,0.0580556841,0.0520430904
12/1968,-0.040938039,-0.032599499,-0.026101394
01/1969,-0.020791026,-0.00507809,-0.00198176
02/1969,-0.050817818,-0.056769042,-0.04983046
03/1969,0.038582833,0.031910775,0.0372423551
04/1969,0.0324560959,0.0082358359,0.0059015871
05/1969,-0.005574231,0.004054864,0.015849519
06/1969,-0.040275047,-0.085018101,-0.078950966
07/1969,-0.057105655,-0.07166234,-0.069577718
08/1969,0.071073758,0.0447301407,0.0360518686
09/1969,-0.004997425,-0.029480695,-0.042432034
10/1969,0.0661694631,0.0690934216,0.036140384
11/1969,-0.020245822,-0.041140275,-0.046476594
12/1969,-0.00180332,-0.027610707,-0.022748248
01/1970,-0.080135752,-0.072728692,-0.08171345
02/1970,0.0373612546,0.0752869969,0.0646822707
03/1970,-0.028244516,0.0052433302,0.0164846683
04/1970,-0.121939063,-0.098144683,-0.082630323
05/1970,-0.086139395,-0.066185418,-0.030258761
06/1970,-0.066848283,-0.03333762,-0.043039315
07/1970,0.0478227908,0.0835046472,0.0919360828
08/1970,0.0413793427,0.0550020309,0.0617586752
09/1970,0.0795712442,0.0201861548,0.0277753666
10/1970,-0.014156216,-0.030658246,-0.00502193
11/1970,0.0430485044,0.0531269816,0.0589430178
12/1970,0.0536987013,0.081728175,0.0558893001
01/1971,0.0512666732,0.0574441815,0.0295768927
02/1971,0.0227956837,0.0115460934,0.0273528902
03/1971,0.0579049298,0.0435673905,0.0313017842
04/1971,0.037086089,0.0266008763,0.0387314377
05/1971,-0.032025597,-0.031589657,-0.046453462
06/1971,0.0107430243,0.0004778006,-0.006286915
07/1971,-0.050903578,-0.031364992,-0.040227444
08/1971,0.062176506,0.0236741453,0.0276076506
09/1971,0.0025368991,-0.009957988,-0.015641658
10/1971,-0.039753699,-0.03769252,-0.040843524
11/1971,0.0043962706,-0.005055584,-0.006503313
12/1971,0.092940116,0.0930069487,0.0900980478
01/1972,0.0348447627,0.0078525728,0.0370581399
02/1972,0.0455641584,0.0192364215,0.0212986951
03/1972,0.0210718772,-0.002107738,-0.009486682
04/1972,0.013181369,0.0033508516,-0.003647615
05/1972,0.0241212888,0.0080494913,0.0067466977
06/1972,-0.013497207,-0.022298795,-0.030077164
07/1972,0.0054194647,-0.01290893,-0.010777941
08/1972,0.0085206514,0.0511718287,0.0752562333
09/1972,-0.007199585,-0.018741614,-0.006837199
10/1972,0.0044303697,0.0137376107,0.0140009002
11/1972,0.0221781563,0.0711660597,0.0728740123
12/1972,0.0276253956,-0.004462337,-0.009731204
01/1973,-0.024084271,-0.04525474,-0.007565238
02/1973,-0.031424792,-0.048743132,-0.050916917
03/1973,-0.006497056,-0.010996621,0.0059037694
04/1973,-0.063243127,-0.041136718,-0.020593889
05/1973,-0.012500981,-0.013456536,-0.042541378
06/1973,-0.006820582,-0.019092349,-0.002381367
07/1973,0.0677716055,0.0445860877,0.0341075078
08/1973,-0.031488036,-0.028822274,-0.028620406
09/1973,0.0253422562,0.0869004909,0.0813004572
10/1973,0.0067640716,0.0014717135,-0.016927667
11/1973,-0.119767994,-0.123317291,-0.131583811
12/1973,-0.010559159,0.0578540133,0.0191027427
01/1974,-0.016417167,-0.003792453,0.059887538
02/1974,-0.006389876,-0.002627336,0.0191646613
03/1974,-0.018870326,-0.025909302,-0.023159846
04/1974,-0.032895655,-0.05382151,-0.059087808
05/1974,-0.029975829,-0.060101348,-0.04481545
06/1974,-0.016015045,-0.027538544,-0.034185425
07/1974,-0.092579447,-0.022662664,-0.05641136
08/1974,-0.101455385,-0.082423765,-0.060689521
09/1974,-0.13693289,-0.076379926,-0.078386022
10/1974,0.2184850453,0.1248025527,0.0733304156
11/1974,-0.036848155,-0.037925622,-0.042178309
12/1974,-0.038707467,-0.012399807,-0.026460483
01/1975,0.1057112111,0.1955655641,0.2187034623
02/1975,0.0841060721,0.0302713816,0.0219505043
03/1975,0.029054982,0.0206806562,0.0657926318
