date,p1,p2,p3
07/1963,-0.029056621,,-0.00071004
08/1963,0.0284862587,,0.0532982502
09/1963,-0.000278511,,-0.017389913
10/1963,-0.005541049,,0.0256314346
11/1963,-0.019715366,,-0.010211177
12/1963,-0.0117392,,0.0234073943
01/1964,-0.006530123,,0.0245977064
02/1964,-0.005737418,,0.0201635017
03/1964,0.0215692011,,0.0197910776
04/1964,-0.036568062,,0.0024901202
05/1964,0.059262836,,0.0178360931
06/1964,0.0191625875,,0.0118629121
07/1964,0.0004228109,,0.0247077561
08/1964,-0.037165879,,-0.01177204
09/1964,0.0150137206,,0.032793972
10/1964,0.0265245457,,0.0112826852
11/1964,-0.039486295,,0.0061128766
12/1964,0.0315089857,,-0.000065554
01/1965,0.0542947032,,0.0411002579
02/1965,0.0095482826,,0.0070457849
03/1965,-0.008701916,,-0.009318014
04/1965,0.0145876239,,0.0328951686
05/1965,-0.038667169,,-0.006644007
06/1965,-0.071287261,,-0.051995589
07/1965,0.0018037785,,0.0198500133
08/1965,0.0127188618,,0.0320018209
09/1965,-0.016406062,,0.0344976501
10/1965,0.0116398077,,0.0317621977
11/1965,-0.014109584,,0.0084057811
12/1965,0.0360718806,,0.014717589
01/1966,0.0171696015,,0.0141294842
02/1966,-0.027987231,,-0.009818154
03/1966,0.0000551539,,-0.019305788
04/1966,0.0111823647,,0.02674385
05/1966,-0.060628559,,-0.054453359
06/1966,-0.010552619,,-0.011509468
07/1966,-0.007762656,,-0.011905882
08/1966,-0.078054825,,-0.077066632
09/1966,-0.069351089,,-0.006022716
10/1966,-0.010210483,,0.0421742452
11/1966,0.037546486,,0.0216527
12/1966,0.0309639773,,0.0050572628
01/1967,0.1711696764,,0.0851730707
02/1967,0.0534610857,,0.0112512801
03/1967,0.0766087727,,0.0431012159
04/1967,0.0436798838,,0.0433054321
05/1967,-0.020884666,,-0.037015794
06/1967,0.0637676597,,0.0275901244
07/1967,0.0500373514,,0.0565913998
08/1967,-0.053818958,,-0.004795943
09/1967,-0.029303079,,0.0357415409
10/1967,-0.021644332,,-0.027174488
11/1967,0.0130766872,,0.0078302901
12/1967,0.1060487478,,0.0354369484
01/1968,-0.055878601,,-0.037779419
02/1968,-0.136246932,,-0.033193135
03/1968,0.0000788013,,0.0069502058
04/1968,0.2111128795,,0.0977461591
05/1968,0.1165876452,,0.0288857677
06/1968,-0.043456939,,0.0106072968
07/1968,-0.067462102,,-0.022327717
08/1968,0.012532669,,0.0187806357
09/1968,0.0440116663,,0.0449474101
10/1968,0.00492804,,0.0075470938
11/1968,0.0909586105,,0.059498995
12/1968,-0.013004892,,-0.032549953
01/1969,-0.020876838,,-0.008630451
02/1969,-0.079209074,,-0.054825276
03/1969,0.0338935785,,0.0335333465
04/1969,0.0208054143,,0.0168176885
05/1969,-0.01659877,,0.0041435055
06/1969,-0.10757508,,-0.067400651
07/1969,-0.107595631,,-0.066695004
08/1969,0.0672648491,,0.0531565972
09/1969,-0.024895262,,-0.023114196
10/1969,0.1002458538,,0.057157811
11/1969,-0.060979961,,-0.034610803
12/1969,-0.068117677,,-0.017326
01/1970,-0.096824715,,-0.076760754
02/1970,0.0524315333,,0.0554489111
03/1970,-0.040623051,,-0.006258197
04/1970,-0.223416912,,-0.106006054
05/1970,-0.125203025,,-0.064576949
06/1970,-0.127966802,,-0.049222004
07/1970,0.0800483306,,0.0711490303
08/1970,0.0696535368,,0.0511834767
09/1970,0.2123582903,,0.0497414613
10/1970,-0.033977693,,-0.016892924
11/1970,0.0224088093,,0.0493610723
12/1970,0.0009390259,,0.0609517097
01/1971,0.0676577435,,0.049510582
02/1971,0.049136256,,0.0216525404
03/1971,0.0686114246,,0.0457829709
04/1971,0.0554126134,,0.034028274
05/1971,-0.014590908,,-0.0362948
06/1971,0.0173004343,,0.0029621834
07/1971,-0.093648328,,-0.041800717
08/1971,0.1071591447,,0.0428676041
09/1971,0.0131153788,,-0.005316359
10/1971,-0.062439916,,-0.040456451
11/1971,-0.011106216,,-0.001082495
12/1971,0.1456183103,,0.0914992999
01/1972,0.0795607537,,0.0286266211
02/1972,0.051307209,,0.0320483034
03/1972,0.0083640353,,0.0093525627
