date,p1,p2,p3
07/1963,-0.002612645,,0.0052324444
08/1963,0.0546153239,,0.0487588795
09/1963,-0.018309508,,-0.014237135
10/1963,0.0141899369,,0.0625374051
11/1963,-0.006025467,,-0.023288046
12/1963,0.0218363812,,0.0280787294
01/1964,0.0232776599,,0.0284344149
02/1964,0.0198055039,,0.0208860605
03/1964,0.0196025744,,0.0204124474
04/1964,0.0025642494,,0.0017855321
05/1964,0.0162005234,,0.0235563405
06/1964,0.0125283492,,0.0098421169
07/1964,0.0236776441,,0.0308406068
08/1964,-0.011164908,,-0.01629138
09/1964,0.033403458,,0.0284381028
10/1964,0.0099366666,,0.0203441506
11/1964,0.0044985783,,0.0142681827
12/1964,0.0002186549,,-0.000626859
01/1965,0.0454226871,,0.0137178496
02/1965,0.0098926385,,-0.011669137
03/1965,-0.007080407,,-0.024385198
04/1965,0.0343678631,,0.0218991692
05/1965,-0.007170633,,-0.004301286
06/1965,-0.05587166,,-0.025858377
07/1965,0.018293754,,0.0270615168
08/1965,0.0291282226,,0.0453508367
09/1965,0.0326896757,,0.0407784699
10/1965,0.0297356589,,0.0405958224
11/1965,0.0073521227,,0.0124427574
12/1965,0.0150581562,,0.0140395253
01/1966,0.0136536941,,0.0164769729
02/1966,-0.012852292,,0.0036954517
03/1966,-0.022203927,,-0.00550568
04/1966,0.023602491,,0.0404169328
05/1966,-0.054600603,,-0.0539843
06/1966,-0.012059422,,-0.00905102
07/1966,-0.013833825,,0.0020397549
08/1966,-0.07503991,,-0.091382937
09/1966,-0.006010468,,-0.007233924
10/1966,0.0426044912,,0.0380430839
11/1966,0.0188072961,,0.0425153266
12/1966,0.0036883711,,0.015403865
01/1967,0.0855467868,,0.0847930817
02/1967,0.0103941889,,0.018312609
03/1967,0.0455179071,,0.027428954
04/1967,0.0419559484,,0.0527868665
05/1967,-0.035615092,,-0.046218678
06/1967,0.0271058849,,0.0326300482
07/1967,0.0571016945,,0.0521152518
08/1967,-0.004852022,,-0.006107068
09/1967,0.0354218415,,0.0361695562
10/1967,-0.026600134,,-0.031647352
11/1967,0.0070570664,,0.0143107701
12/1967,0.0368805296,,0.025399432
01/1968,-0.036615071,,-0.048084407
02/1968,-0.033036173,,-0.03737951
03/1968,0.0055106352,,0.0187978794
04/1968,0.0987175084,,0.0937949092
05/1968,0.0289313383,,0.0322015271
06/1968,0.0121886069,,-0.004853844
07/1968,-0.022391175,,-0.027076267
08/1968,0.0192304729,,0.0084786958
09/1968,0.0447902424,,0.0480947535
10/1968,0.0077197809,,0.0035208806
11/1968,0.0590760445,,0.0731274318
12/1968,-0.03206059,,-0.039359739
01/1969,-0.009491477,,0.0068926225
02/1969,-0.054734136,,-0.062764398
03/1969,0.0343669328,,0.0157696655
04/1969,0.0166727221,,0.020917034
05/1969,0.0039440349,,0.0029755468
06/1969,-0.067785038,,-0.068938981
07/1969,-0.07005832,,-0.052540799
08/1969,0.0527248411,,0.0561078061
09/1969,-0.026109914,,-0.008547203
10/1969,0.0591358611,,0.0495125353
11/1969,-0.037579249,,-0.021769591
12/1969,-0.019773239,,-0.008263107
01/1970,-0.076412632,,-0.079421485
02/1970,0.0545436205,,0.0596532106
03/1970,-0.010921928,,0.0138698343
04/1970,-0.106929111,,-0.106556324
05/1970,-0.06574384,,-0.060991939
06/1970,-0.046526681,,-0.064051209
07/1970,0.072946049,,0.0294012899
08/1970,0.0521034759,,0.0301714076
09/1970,0.0498686305,,0.0637031232
10/1970,-0.016879943,,-0.019289931
11/1970,0.0493381684,,0.0461223705
12/1970,0.059846379,,0.0807669791
01/1971,0.0486819665,,0.0729595584
02/1971,0.0218848987,,0.019393949
03/1971,0.0465324183,,0.0301612378
04/1971,0.0330738346,,0.0601498274
05/1971,-0.036129224,,-0.037251914
06/1971,0.0037339531,,-0.010757543
07/1971,-0.042109554,,-0.044014248
08/1971,0.043742413,,0.0260198318
09/1971,-0.004915053,,-0.01606527
10/1971,-0.039600805,,-0.087972533
