date,p1,p2,p3
07/1963,-0.01754386,,
08/1963,0.1547619104,,
09/1963,-0.005181347,,
10/1963,0.0572916679,,
11/1963,0.0147783253,,
12/1963,-0.082926832,,
01/1964,0.1914893687,,
02/1964,-0.047321428,,
03/1964,0.047169812,,
04/1964,0.0292792786,,
05/1964,0.0542669594,,
06/1964,-0.106471814,,
07/1964,0.0149836555,0.0036699454,0.0402754164
08/1964,-0.004483868,-0.020821709,0.0045224698
09/1964,0.0657885779,0.0505272964,0.0709410667
10/1964,0.0195858562,0.0188328396,-0.011441065
11/1964,-0.006750104,-0.043519847,0.0541987998
12/1964,-0.025754295,-0.020858443,0.0107399903
01/1965,0.0446516643,0.0533636864,0.0635547937
02/1965,0.0384735702,-0.014909995,0.0078547258
03/1965,-0.009141816,-0.001186184,0.0013908305
04/1965,0.0399312768,0.0552572801,0.0478400616
05/1965,-0.010263388,-0.065535558,-0.004701385
06/1965,-0.089610047,-0.05192252,-0.069172778
07/1965,0.0201787659,0.0332496027,0.0188698039
08/1965,0.0313525096,0.0345185757,0.0224629229
09/1965,0.0517245561,0.0740284824,-0.00416407
10/1965,0.069008983,0.0118130375,0.0426564439
11/1965,-0.041616005,-0.018651356,-0.000276655
12/1965,0.0098022706,0.0310641287,-0.00153387
01/1966,0.0050885865,0.0023683464,0.0095008096
02/1966,-0.010961839,-0.035649873,-0.037041712
03/1966,-0.037876042,-0.01701368,-0.017615242
04/1966,-0.017569224,0.0363110545,0.0310348586
05/1966,-0.069302734,-0.081172858,-0.046545271
06/1966,-0.007488307,0.0023480801,0.0111271813
07/1966,-0.018741505,-0.025434195,-0.045406871
08/1966,-0.071404338,-0.093148679,-0.08958091
09/1966,-0.015570559,0.010970943,-0.056668344
10/1966,0.0348811331,0.0298309929,0.0067743268
11/1966,0.1121107112,-0.019131343,0.0894251933
12/1966,-0.006400429,-0.028412223,0.008227964
01/1967,0.0846395245,0.0918979736,0.1553076159
02/1967,0.0560574788,-0.018364653,0.023299786
03/1967,0.0499002332,0.0382921825,0.0537426772
04/1967,0.0829733082,0.0965759328,0.0725273853
05/1967,-0.038591916,-0.064909015,-0.015681506
06/1967,0.0556242213,-0.001253651,0.0796630548
07/1967,0.0785641736,0.0574722893,0.0575296748
08/1967,-0.006966338,-0.010225973,0.0108883057
09/1967,0.0621712159,0.0062509234,0.0311576888
10/1967,0.0052563462,-0.046450678,-0.015478514
11/1967,0.0060431741,-0.003306894,-0.000861323
12/1967,0.0080861541,0.0674535473,0.0333359897
01/1968,-0.05738784,-0.039664296,-0.036729607
02/1968,-0.021991098,-0.044729454,-0.053341985
03/1968,0.0264231883,-0.000360396,0.0020476891
04/1968,0.1042216679,0.0671224534,0.1088526945
05/1968,0.0240370002,0.0484804111,0.0476222721
06/1968,-0.007425358,0.0391389566,0.0238270081
07/1968,-0.040869742,-0.034760823,-0.029821609
08/1968,0.0255206702,-0.000363712,0.0127696468
09/1968,0.0882994242,0.0313754136,0.0861687455
10/1968,0.0120085831,-0.012345854,-0.006152203
11/1968,0.0950753149,0.0442629338,0.0718477674
12/1968,-0.027654547,-0.045301566,-0.029347293
01/1969,0.0046215175,-0.02854671,-0.023884278
02/1969,-0.079574119,-0.024638498,-0.084030817
03/1969,0.0313470278,0.049037552,0.0337087869
04/1969,0.0104788236,0.027639773,0.0497527535
05/1969,0.0020729895,-0.010357333,0.0189955654
06/1969,-0.096658281,-0.001764816,-0.11607238
07/1969,-0.100888707,-0.077178615,-0.051653492
08/1969,0.0510223336,0.040276213,0.0645833261
09/1969,-0.040379837,-0.003942236,-0.009518447
10/1969,0.068633282,0.0411330879,0.0473607662
11/1969,-0.055192744,-0.03608117,-0.018994714
12/1969,-0.062026753,-0.030170029,0.0049373019
01/1970,-0.084599882,-0.062403072,-0.08552804
02/1970,0.0893912773,0.0890038439,0.0262134413
03/1970,-0.004621762,0.0375475585,-0.007861546
04/1970,-0.121227881,-0.079080744,-0.123062252
05/1970,-0.062488034,-0.073068089,-0.070743538
06/1970,-0.090866669,-0.048414274,-0.091590331
07/1970,0.0495037916,0.1020504453,0.1031143601
08/1970,0.0688587542,0.061985696,0.0515390677
09/1970,0.0589620576,0.0269058183,0.0809383899
10/1970,-0.011860953,-0.009061113,-0.029099148
11/1970,0.0507999944,0.0655809021,0.0425528269
12/1970,0.0523991548,0.0566650542,0.082558135
01/1971,0.0391441987,0.0530109856,0.0655247326
02/1971,0.0235276248,0.0168154842,0.0405284916
03/1971,0.0455881587,0.0340886759,0.0586828743
04/1971,0.0360694842,0.0402272005,0.0527321566
05/1971,-0.062018464,-0.045248054,-0.053825411
06/1971,-0.031083734,0.0034520887,-0.014700644
07/1971,-0.047946314,-0.030118058,-0.054103483
08/1971,0.0596630032,0.0246759833,0.0500596686
09/1971,-0.002779151,-0.007673039,-0.005302775
10/1971,-0.04243842,-0.045178195,-0.052178107
11/1971,0.0059691237,-0.004006054,-0.00560516
12/1971,0.0939483558,0.0944428146,0.1000521553
01/1972,0.0468427967,0.0172224519,0.0362273811
02/1972,0.0391518243,0.0307124355,0.0463275239
03/1972,0.0188046815,-0.004597926,-0.000888025
04/1972,0.0081349493,0.0033825944,0.0203757275
05/1972,0.0151937839,0.0231873622,0.0225526321
06/1972,-0.011481593,-0.024710691,-0.021043981
07/1972,-0.008133145,0.0018331499,-0.002794231
08/1972,0.0400502869,0.0318271176,0.0303187772
09/1972,-0.012042333,-0.007794828,-0.017443459
10/1972,0.0138500487,0.0058035971,0.0012952954
11/1972,0.0526770505,0.0428490929,0.0492677568
12/1972,0.0017904921,0.0172676559,0.0124020937
01/1973,-0.031299587,-0.004207305,-0.033653914
02/1973,-0.042785858,-0.03584659,-0.044317328
03/1973,-0.006473161,0.0054725968,-0.007202263
04/1973,-0.041804469,-0.045429864,-0.054760064
05/1973,-0.017906977,-0.027703069,-0.021827246
06/1973,-0.007768372,-0.003611961,-0.014846278
07/1973,0.0647223293,0.0566294784,0.051792284
08/1973,-0.024813543,-0.037649595,-0.033906743
09/1973,0.0775477153,0.0742219077,0.0076934022
10/1973,0.0004468525,0.0064811346,0.0085170839
11/1973,-0.138689686,-0.126948483,-0.114234067
12/1973,0.031349813,0.033529608,-0.018106252
01/1974,0.0044007257,0.0136179947,-0.014913942
02/1974,0.0112386877,-0.000594622,-0.007984351
03/1974,-0.018368953,-0.028187918,-0.008098905
04/1974,-0.029626365,-0.03092009,-0.035831064
05/1974,-0.031744294,-0.041404153,-0.025706889
06/1974,-0.00956977,-0.008499296,-0.011420658
07/1974,-0.090835171,-0.091300533,-0.049406004
08/1974,-0.106202237,-0.080269155,-0.083693803
09/1974,-0.128046945,-0.131583343,-0.107968189
10/1974,0.1805916201,0.1634061591,0.1874068188
11/1974,-0.041344545,-0.041373183,-0.043026325
12/1974,-0.039689447,-0.029072125,-0.031568311
01/1975,0.1346937848,0.1235507717,0.1302697238
02/1975,0.0590120088,0.0950930915,0.0565249141
03/1975,0.046266674,0.0249546045,0.0501837377
04/1975,0.0683159437,0.0341592947,0.0749303602
05/1975,0.0498502291,0.0518551774,0.0614143372
06/1975,0.0491462125,0.0411794866,0.0583745824
07/1975,-0.068919875,-0.068198613,-0.045959686
08/1975,-0.025515508,-0.012655344,-0.017596317
09/1975,-0.03733762,-0.045200507,-0.020112894
10/1975,0.0797873626,0.0715063719,0.0238432572
11/1975,0.045276318,0.0259669417,0.0073305887
12/1975,-0.019640027,-0.014751628,-0.001994729
01/1976,0.1291280248,0.1281258935,0.1428230612
02/1976,-0.005961289,0.0001154664,0.0154627508
03/1976,0.0322749304,0.0195427409,0.027294198
04/1976,-0.020493308,-0.00934539,0.0074026296
05/1976,-0.013637163,-0.022930847,0.0076282267
06/1976,0.045862735,0.0415001039,0.0476650837
07/1976,-0.016888192,-0.003200557,-0.009818752
08/1976,-0.013842619,0.0128165884,-0.010893655
09/1976,0.02420553,0.0267374351,0.0327911807
10/1976,-0.023112217,-0.020107161,-0.027286549
11/1976,0.0051445125,0.0107225252,0.0037367152
