date,p1,p2,p3
07/1963,-0.020191166,0.005364611,0.0040982314
08/1963,0.0661867934,0.0507728894,0.0523509848
09/1963,-0.012245841,-0.018247464,-0.017847516
10/1963,0.0329744744,0.0365439255,0.0202867908
11/1963,-0.002046268,-0.01969535,-0.004325651
12/1963,-0.004945426,0.0339050253,0.026554565
01/1964,0.0169259595,0.0263708789,0.0305360737
02/1964,0.0322028734,0.0137454344,0.0210351394
03/1964,0.0424924667,0.0216320827,0.0133012038
04/1964,-0.017020508,0.0171173253,-0.003168663
05/1964,0.0239651384,0.0112706819,0.0172733136
06/1964,0.0222006236,0.0149397103,0.008574044
07/1964,0.0220851311,0.0272810609,0.025687134
08/1964,0.0044049607,-0.008320033,-0.018567675
09/1964,0.049126124,0.0376460067,0.0232539876
10/1964,0.01565221,0.0193957965,0.0026813643
11/1964,-0.010080227,0.0121018302,0.0108145873
12/1964,-0.008020632,0.0040335335,0.001850531
01/1965,0.0436437012,0.0232002327,0.0544514677
02/1965,0.0209240254,-0.002274916,0.0080194822
03/1965,-0.002720622,-0.010296624,-0.015002681
04/1965,0.0508798254,0.0332442919,0.0299252442
05/1965,-0.013320739,-0.005346159,-0.001391578
06/1965,-0.070634558,-0.045711224,-0.045618753
07/1965,0.0330816603,0.0174095302,0.0141843919
08/1965,0.0400323568,0.022872569,0.0332024208
09/1965,0.0408375233,0.0478664576,0.0256258268
10/1965,0.0445805531,0.0320735065,0.0265694127
11/1965,0.0241625386,-0.001253919,0.0049373521
12/1965,0.0243377299,0.0129599967,0.0067379527
01/1966,0.0499144772,0.0110292923,-0.00391753
02/1966,0.0032568706,-0.019286887,-0.01364834
03/1966,-0.030917605,-0.025350663,-0.006235908
04/1966,0.0150076811,0.0289457409,0.0264048728
05/1966,-0.076586501,-0.058925125,-0.038832235
06/1966,-0.016566079,-0.011128425,-0.01258498
07/1966,-0.025284607,-0.010578349,-0.004366887
08/1966,-0.067992585,-0.078079376,-0.072560869
09/1966,-0.039062059,0.0018627419,0.0008298183
10/1966,0.007717658,0.0522134989,0.0490020363
11/1966,0.0079577127,-0.001117853,0.0396189268
12/1966,0.0131384943,-0.007527631,0.0076707846
01/1967,0.1381050796,0.0751084131,0.0642039369
02/1967,0.012824073,-0.00291806,0.0185528663
03/1967,0.0490703243,0.0397691681,0.0429163228
04/1967,0.0480875411,0.04484264,0.0470755862
05/1967,-0.02331738,-0.048543317,-0.039407948
06/1967,0.0518746,0.0122662511,0.0225799736
07/1967,0.0734794801,0.068619264,0.0419246052
08/1967,-0.001184993,-0.002650424,-0.011656394
09/1967,0.0424625452,0.0348011893,0.033766796
10/1967,-0.038976899,-0.039363423,-0.0113686
11/1967,-0.007400129,-0.000201034,0.0193542826
12/1967,0.0358815229,0.0329577792,0.0297591776
01/1968,-0.040659924,-0.031280706,-0.047841217
02/1968,-0.030083566,-0.040111725,-0.027457478
03/1968,-0.000408252,-0.002318617,0.016244819
04/1968,0.1165528472,0.0853493742,0.0889842534
05/1968,0.0272229358,0.0151980814,0.0265486657
06/1968,-0.005140186,0.0076623379,0.0142962928
07/1968,-0.038875338,0.0014205992,-0.029981307
08/1968,0.024872991,0.0230564856,0.0090960775
09/1968,0.0660167466,0.0465877898,0.0265318298
10/1968,0.0181268044,0.0229609666,-0.010500327
11/1968,0.0420950045,0.0610935638,0.0656764899
12/1968,-0.021333434,-0.033456434,-0.037990171
01/1969,-0.012479852,-0.014785759,-0.008574484
02/1969,-0.064084787,-0.051760434,-0.044746669
03/1969,0.0296740765,0.0489456999,0.0299873926
04/1969,0.0050692138,0.0136707699,0.0260612432
05/1969,-0.004499861,0.010026753,0.0021558627
06/1969,-0.0834026,-0.083436381,-0.038915933
07/1969,-0.082058269,-0.084667286,-0.042866029
08/1969,0.037417143,0.0518254657,0.0539709045
09/1969,-0.022570976,-0.033968948,-0.019174474
10/1969,0.0582488246,0.0428843247,0.0612378666
11/1969,-0.046905222,-0.040123236,-0.024168174
12/1969,-0.041145735,-0.030212219,0.0057954999
01/1970,-0.064118465,-0.094725681,-0.072751171
02/1970,0.0659019605,0.0620311618,0.0480461308
03/1970,0.0171667153,-0.006377105,-0.011031881
04/1970,-0.109186583,-0.096009199,-0.102631554
05/1970,-0.070818976,-0.051757323,-0.063224949
06/1970,-0.053903289,-0.040126591,-0.052499804
07/1970,0.0727383393,0.0912959633,0.055558165
08/1970,0.0554662438,0.0588618846,0.0441006188
09/1970,0.0468524276,0.0435822869,0.0505021464
10/1970,-0.043258309,-0.009388959,-0.004741085
11/1970,0.0485254316,0.0475555959,0.0531641568
12/1970,0.0721425259,0.0591005256,0.0574369618
01/1971,0.067782198,0.0458996571,0.0376230879
02/1971,0.0175102042,0.0332790105,0.0154703985
03/1971,0.036220543,0.0389303292,0.0495805046
04/1971,0.053853284,0.0483383294,0.0221043345
05/1971,-0.045452278,-0.039354629,-0.029718297
06/1971,-0.013610734,-0.004148545,0.0129684479
07/1971,-0.055292729,-0.041860996,-0.041222643
08/1971,0.0748914338,0.0343504764,0.0364922857
09/1971,-0.007453743,-0.010733958,-0.000680892
10/1971,-0.064717664,-0.050037165,-0.025755395
11/1971,-0.0134348,-0.005909663,0.0056570579
12/1971,0.0942609204,0.0909544001,0.0945004282
01/1972,0.0427773876,0.0182832074,0.029711674
02/1972,0.024184191,0.0260445439,0.0435311559
03/1972,0.0154703086,-0.010440856,0.0109508292
04/1972,-0.000527057,0.0131408002,0.0049575637
05/1972,-0.018485895,0.0177975058,0.0289382064
06/1972,-0.035418701,-0.02926461,-0.006922537
07/1972,-0.031123687,-0.012051379,0.0090014789
08/1972,0.0345898237,0.0556513305,0.0219229645
09/1972,-0.02305186,-0.011909986,-0.006708034
