date,p1,p2,p3
07/1963,0.0045121931,0.0051780051,-0.00969335
08/1963,0.0549104949,0.0522877342,0.0702982363
09/1963,-0.014534962,-0.02149608,-0.008038298
10/1963,0.0620205314,0.0058285333,0.0141150057
11/1963,-0.018329392,-0.010197272,-0.009728731
12/1963,0.0256927745,0.0311419885,0.0187806032
01/1964,0.0373463188,0.0233358548,0.0201334157
02/1964,0.0177695198,0.0193876537,0.0260742398
03/1964,0.0158050521,0.0160220972,0.0498074457
04/1964,0.0117072831,0.0105929361,-0.021202823
05/1964,0.0216151815,0.0131905903,0.0058692743
06/1964,0.0111985976,0.0181087665,0.0159972488
07/1964,0.0134106158,0.0305935783,0.0349169651
08/1964,-0.017978954,-0.010345036,-0.002223233
09/1964,0.0306311277,0.0319720343,0.0359939708
10/1964,0.0058175895,0.0153020974,0.0068937698
11/1964,0.0106053842,0.0078216741,0.0124236981
12/1964,0.0021556301,0.0042718753,-0.006290181
01/1965,0.0551624209,0.0258684496,0.0504187348
02/1965,0.0160142509,-0.003868597,0.0096732022
03/1965,-0.007152407,-0.015149896,-0.0086155
04/1965,0.0405205793,0.0330426928,0.0249485189
05/1965,-0.0033173,-0.00857535,0.0052670585
06/1965,-0.055742022,-0.038159276,-0.060886601
07/1965,0.0212052623,0.0163009548,0.016865423
08/1965,0.0413583981,0.0214779765,0.0248365728
09/1965,0.0357525312,0.0345812387,0.0423955586
10/1965,0.0347590769,0.0315377898,0.0256626757
11/1965,0.0185330145,-0.003025713,-0.002535473
12/1965,0.0119262052,0.0100320376,0.0127400614
01/1966,0.0164967276,0.0050374346,0.0047833195
02/1966,0.0013237118,-0.019704327,-0.027198967
03/1966,-0.010267391,-0.028511278,-0.014644419
04/1966,0.0427302482,0.0127015626,0.021624485
05/1966,-0.047315998,-0.054481062,-0.058034784
06/1966,-0.009606886,-0.02184495,-0.001547859
07/1966,-0.02420594,-0.003576559,-0.001423724
08/1966,-0.072382472,-0.076912488,-0.069048895
09/1966,-0.028611149,0.0089736364,0.0040137959
10/1966,0.0239306419,0.0497274521,0.0650808066
11/1966,0.0651642276,0.0032231352,-0.014578947
12/1966,-0.006059636,0.0046294855,0.0087849739
01/1967,0.0940275578,0.0737269548,0.0637035321
02/1967,0.0273356186,0.0030592769,-0.00654043
03/1967,0.0561437915,0.0328933533,0.0394989018
04/1967,0.0717240583,0.0434389848,0.0133191903
05/1967,-0.043095496,-0.04939005,-0.020326357
06/1967,0.0416714111,0.0099758433,0.0154283113
07/1967,0.0437686013,0.0627482061,0.0640558765
08/1967,-0.007808664,-0.006904908,-0.004584627
09/1967,0.0497930458,0.0250476162,0.0299901916
10/1967,-0.006394428,-0.031135622,-0.046461381
11/1967,0.0119550472,0.0123251936,-0.00343565
12/1967,0.0352617001,0.0248189004,0.0335411321
01/1968,-0.065603055,-0.041161828,-0.008716528
02/1968,-0.042861005,-0.028632096,-0.018613782
03/1968,0.0166701291,0.010618831,-0.008407119
04/1968,0.1148155902,0.0835119856,0.0722283662
05/1968,0.039491348,0.0091717383,0.012051196
06/1968,-0.001844457,0.0130356091,0.0184826754
07/1968,-0.041063078,-0.007190617,-0.014019043
08/1968,0.0179066165,0.0131242309,0.0215989396
09/1968,0.0397636268,0.0313980802,0.0584548906
10/1968,-0.014764025,0.0153163067,0.0255015487
11/1968,0.0642456962,0.0635166346,0.0437179538
12/1968,-0.04265985,-0.033803518,-0.017817248
01/1969,-0.023483069,0.000408933,-0.012584525
02/1969,-0.051829127,-0.049294528,-0.051257913
03/1969,0.0343233521,0.0434587522,0.0282024367
04/1969,0.0232486669,0.0170030233,0.0096931763
05/1969,-0.012487471,0.0176991881,0.0025340997
06/1969,-0.044115245,-0.069192409,-0.079602869
07/1969,-0.068967534,-0.062497159,-0.063791254
08/1969,0.0665219336,0.0502365785,0.0272119767
09/1969,-0.018223777,-0.030988388,-0.023354711
10/1969,0.0553006696,0.053767781,0.0481519724
11/1969,-0.020401919,-0.042687417,-0.037277001
12/1969,-0.015808239,-0.003428874,-0.031003821
01/1970,-0.094479675,-0.07876699,-0.060653753
02/1970,0.0407453608,0.0664069611,0.0599643865
03/1970,-0.01818509,-0.003284007,0.0177112069
04/1970,-0.133095213,-0.088038742,-0.080260842
05/1970,-0.07958976,-0.050043907,-0.054263308
06/1970,-0.072810209,-0.039932166,-0.034040584
07/1970,0.0635265688,0.0587935999,0.0971909361
08/1970,0.059392264,0.0423211921,0.0583423809
09/1970,0.0730734069,0.0443270867,0.0266287618
10/1970,-0.035213448,-0.002721612,-0.010945787
