date,p1,p2,p3
07/1963,0.0098568174,-0.000456433,-0.001620198
08/1963,0.0561494855,0.0562946929,0.0630944492
09/1963,-0.028277039,-0.010470968,-0.011044697
10/1963,0.03203211,0.0490834415,0.0222057632
11/1963,-0.004465825,-0.018792587,-0.015458587
12/1963,0.0303846172,0.0277432041,0.0235328704
01/1964,0.0401696459,0.030151866,0.0224531076
02/1964,0.0281231544,0.0224138919,0.0096069745
03/1964,0.0264953875,0.02440326,0.0251783742
04/1964,0.0110241722,0.0074512808,-0.002782253
05/1964,0.018448852,0.018612324,0.0130705953
06/1964,0.0032133134,0.0152307995,0.0177264572
07/1964,0.0225670012,0.0249738515,0.0181396568
08/1964,-0.010133195,-0.011008457,-0.018874044
09/1964,0.0356336942,0.0354060838,0.0296164522
10/1964,0.0055920115,0.0098767344,0.0200968453
11/1964,0.0138488991,0.0053263149,0.0134209521
12/1964,0.0050252259,-0.001764162,0.0035695184
01/1965,0.0545683345,0.0414777557,0.0189429627
02/1965,0.0174082495,0.0016652275,-0.002491153
03/1965,-0.020770539,-0.008163947,-0.014323937
04/1965,0.0434515133,0.0410709429,0.0257623627
05/1965,0.0030163245,-0.005283344,-0.006069289
06/1965,-0.060420402,-0.047297365,-0.041221188
07/1965,0.0136306001,0.0216491946,0.0214704768
08/1965,0.0359580194,0.0281448241,0.0345303876
09/1965,0.0413288004,0.0405086573,0.0407444379
10/1965,0.0427399292,0.0297169795,0.0306560149
11/1965,-0.009368265,0.0067901977,0.022749614
12/1965,0.0245181697,0.0085232487,0.0098937577
01/1966,0.0129645004,0.0086766554,0.0282104991
02/1966,-0.006456982,-0.013561046,-0.011325725
03/1966,-0.029907384,-0.014059674,-0.025139652
04/1966,0.0169311573,0.0326926712,0.0274070967
05/1966,-0.067222381,-0.050484788,-0.051034252
06/1966,-0.010799627,-0.01571014,-0.006064884
07/1966,-0.025463046,-0.001680104,-0.010809765
08/1966,-0.075384978,-0.072676081,-0.064673973
09/1966,-0.020980801,-0.010066419,-0.000546354
10/1966,0.0379023543,0.0353787402,0.0455191129
11/1966,0.0672000178,0.0022284774,0.0108953427
12/1966,-0.008734524,0.0003948358,0.0038838515
01/1967,0.0859712595,0.0900043474,0.0734153715
02/1967,0.0215431837,0.008997961,0.0072898701
03/1967,0.0540785842,0.0380469533,0.0494939482
04/1967,0.0694120849,0.0464221124,0.0336405813
05/1967,-0.041973931,-0.045276032,-0.032760483
06/1967,0.0472403959,0.0112836014,0.027836819
07/1967,0.0498234542,0.0597237289,0.073356138
08/1967,-0.001883048,-0.009397408,-0.001044518
09/1967,0.0377430065,0.0387734529,0.0401629963
10/1967,-0.027614195,-0.010966797,-0.050804582
11/1967,0.0042733304,0.0091045154,-0.004606726
12/1967,0.0288894498,0.0273806923,0.0371123473
01/1968,-0.059120457,-0.042565405,-0.040756031
02/1968,-0.03758512,-0.027195994,-0.036764676
03/1968,0.0119159789,0.0177739233,0.0027157211
04/1968,0.1146264485,0.0886117635,0.1007630012
05/1968,0.0255608028,0.0187476043,0.0224204262
06/1968,-0.00635905,0.0067681975,0.0000107216
07/1968,-0.014659847,-0.023318683,-0.030981633
08/1968,0.0235100941,0.0140373524,0.0257530007
09/1968,0.0372464133,0.0378599552,0.0646216955
10/1968,0.0104294214,-0.000016122,0.0213848819
11/1968,0.062062298,0.0607086145,0.0352683781
12/1968,-0.035189136,-0.035257524,-0.032152676
01/1969,-0.011096243,-0.017769366,-0.012263726
02/1969,-0.052257482,-0.043914156,-0.053557556
03/1969,0.0311313702,0.0529953345,0.0240235331
04/1969,0.0113047891,0.0265344305,0.0055502317
05/1969,-0.000257233,0.0036238453,0.0053564369
06/1969,-0.068945834,-0.049897279,-0.081315628
07/1969,-0.080719324,-0.06571392,-0.06098506
08/1969,0.0632764673,0.0503092785,0.0575566941
09/1969,-0.024053092,-0.030631446,-0.012701007
10/1969,0.0704065273,0.0373529242,0.0566882799
11/1969,-0.038509161,-0.034688053,-0.024306302
12/1969,-0.024435022,-0.01566022,-0.007401955
01/1970,-0.080407567,-0.089734493,-0.074356719
02/1970,0.0598233913,0.0592990808,0.0427349381
03/1970,-0.005851015,-0.003538427,-0.007311724
04/1970,-0.120868598,-0.089412803,-0.101941092
05/1970,-0.069617516,-0.052216722,-0.066106462
06/1970,-0.043331779,-0.041737859,-0.058513579
