date,p1,p2,p3
07/1963,-0.003066977,-0.005275107,0.0038142776
08/1963,0.0490950024,0.0539881209,0.0539855996
09/1963,-0.025390441,-0.013379872,-0.020884174
10/1963,0.0135402211,0.0204873017,0.031490897
11/1963,-0.011795948,-0.003749944,-0.025117365
12/1963,0.0274205679,0.0267163325,0.0151767079
01/1964,-0.000919938,0.0277627629,0.0239130946
02/1964,0.0273042317,0.0125247882,0.0303814823
03/1964,0.003232204,0.0180512798,0.0287795102
04/1964,0.0004278766,0.0139836911,-0.017935534
05/1964,0.0106027274,0.0057939154,0.0302624551
06/1964,0.0072789089,0.0144330635,0.0109209429
07/1964,0.0101233254,0.0299218542,0.0233118345
08/1964,-0.013798631,-0.014482454,-0.008307409
09/1964,0.016340561,0.0455860088,0.0322441603
10/1964,0.0048552191,0.009309902,0.0159362589
11/1964,-0.012258291,0.0177886706,0.0002373865
12/1964,-0.007762262,0.0041587604,0.0019447409
01/1965,0.0557933629,0.0566747897,0.0312177149
02/1965,-0.003451604,0.011188942,0.0205080995
03/1965,-0.009238047,-0.006083199,-0.013576258
04/1965,0.027139689,0.0399366276,0.0436866618
05/1965,-0.003900652,-0.009053423,-0.010189219
06/1965,-0.041047553,-0.060201058,-0.072875903
07/1965,0.0146837483,0.017646988,0.0451721682
08/1965,0.0165661383,0.0447307154,0.0542132239
09/1965,0.0176436474,0.0403271968,0.0464723668
10/1965,0.0140494665,0.0324862656,0.0505724378
11/1965,-0.002227546,-0.001279923,0.045883902
12/1965,0.0152771778,0.0113836249,0.0214493398
01/1966,-0.003496698,0.0266260986,0.0790583981
02/1966,-0.024000298,-0.00289857,0.0466809993
03/1966,-0.025492707,-0.007373952,-0.015839326
04/1966,0.0219962996,0.0224925118,0.0544903914
05/1966,-0.043950656,-0.054922206,-0.09670445
06/1966,-0.019073472,-0.00999296,0.0109030757
07/1966,-0.003084833,-0.032662165,-0.013580848
08/1966,-0.077675928,-0.07395017,-0.081613758
09/1966,-0.028697486,-0.020754863,0.0168315627
10/1966,0.015653115,0.0252917415,0.0637867242
11/1966,0.062872205,0.0082390176,0.0156901576
12/1966,-0.000113883,0.0030208514,0.0084164461
01/1967,0.119851075,0.1078082128,0.0579965843
02/1967,0.0034036394,0.00684158,0.0314883504
03/1967,0.0450172941,0.0413963856,0.0438431239
