date,p1,p2,p3
08/1963,0.0483496487,0.0507560771,0.0535664457
09/1963,-0.019220619,-0.011126828,-0.016956001
10/1963,-2.228077E-6,0.0280158037,0.0392304195
11/1963,-0.010986612,-0.012035228,-0.006514316
12/1963,0.0303136936,0.03161924,0.0208335862
01/1964,0.0222674251,0.0295630769,0.0274630411
02/1964,0.0090541754,0.0182976626,0.0263809775
03/1964,0.013414034,0.0190568985,0.022466141
04/1964,-0.001810008,0.0115119685,0.0062815376
05/1964,0.0160727131,0.0140206637,0.0217261353
06/1964,0.0082926006,0.0093358202,0.0176341502
07/1964,0.0244859641,0.0257010691,0.029424534
08/1964,-0.01544595,-0.007277729,-0.013845491
09/1964,0.0171330216,0.0316330094,0.0325430035
10/1964,0.0014268464,0.0188675014,0.0173593307
11/1964,0.006091623,0.006137963,0.0111097038
12/1964,-0.005965927,-0.006196106,0.0111925414
01/1965,0.0431787253,0.0357979407,0.0387684324
02/1965,-0.000843563,-0.001736516,0.0073316551
03/1965,-0.00729459,-0.015089817,-0.008086837
04/1965,0.0310525508,0.0261057931,0.0345968947
05/1965,0.0003085656,-0.010908754,-0.007561496
06/1965,-0.037180583,-0.049242016,-0.049401829
07/1965,0.007459545,0.0200668685,0.0325640462
08/1965,0.0158617497,0.023254481,0.0391295746
09/1965,0.0145700905,0.0408958971,0.0348758611
10/1965,0.0258568402,0.0192278119,0.0274464902
11/1965,-0.003429574,-0.00591013,0.0065156194
12/1965,0.0045843364,0.0019485637,0.0243753531
01/1966,-0.010486563,-0.002259776,0.0423008999
02/1966,-0.033561836,-0.021820625,-0.012599967
03/1966,-0.022127721,-0.024690204,-0.013983347
04/1966,0.0117872024,0.0274260432,0.0126555881
05/1966,-0.047741312,-0.041828204,-0.041121754
06/1966,-0.021550673,-0.018648654,-0.009484182
07/1966,-0.001846609,-0.009152245,-0.016038254
08/1966,-0.081312536,-0.066819512,-0.07104973
09/1966,-0.031162491,0.011663068,0.0135668228
10/1966,0.0367517707,0.0551693288,0.0682747665
11/1966,0.0080675745,0.009469,-0.0029705
12/1966,-0.009894733,-0.00539754,0.0248303689
01/1967,0.1102518127,0.0686715155,0.057181351
02/1967,-0.003306518,0.0008428208,0.0170399469
03/1967,0.0378983166,0.0260382826,0.0502652007
04/1967,0.0401858242,0.023224134,0.0530507608
05/1967,-0.053921754,-0.030577751,-0.030429447
06/1967,0.0118700648,0.0126687296,0.0227617555
07/1967,0.048059687,0.0509218731,0.0567495696
08/1967,-0.007398973,-0.001991401,-0.001200389
09/1967,0.0234478374,0.0234785393,0.053318438
10/1967,-0.032880569,-0.041303642,-0.01075205
11/1967,0.0022608263,0.0088166058,0.0089505545
12/1967,0.0226228666,0.0320588252,0.0279676829
