date,p1,p2,p3
07/1963,-0.006399641,-0.001089546,0.0062276926
08/1963,0.0555941884,0.0446981572,0.0712860356
09/1963,-0.031463263,-0.012371403,-0.008995083
10/1963,0.0084786708,0.0342104608,0.0211777815
11/1963,-0.016364706,-0.006781311,-0.001670212
12/1963,0.0223574677,0.0250472531,0.0205429461
01/1964,0.0189991344,0.0287005149,0.0277756899
02/1964,0.0103552106,0.0237325882,0.0244170882
03/1964,0.0171922083,0.0216066862,0.0191800834
04/1964,-0.012337617,0.0050322738,0.0108041402
05/1964,0.0234127774,0.0182214273,0.0097092571
06/1964,0.0081582116,0.0081502543,0.0274465024
07/1964,0.0202913634,0.0238320267,0.0322609097
08/1964,-0.004782169,-0.015173465,-0.013410112
09/1964,0.0259027796,0.0290023772,0.0482260708
10/1964,0.0057394718,0.0139318413,0.0136232661
11/1964,0.0082677776,0.0038262635,0.0065469949
12/1964,-0.006656986,0.0023419357,0.0044527209
01/1965,0.0337783243,0.0379389805,0.0600937576
02/1965,0.0105552712,0.0050870974,0.007168669
03/1965,-0.020275312,-0.002619552,-0.009605532
04/1965,0.02853535,0.0329873074,0.035673915
05/1965,-0.006957083,-0.003852887,-0.014362335
06/1965,-0.063225426,-0.043563682,-0.057530401
07/1965,0.0093123835,0.0237853826,0.0384463508
08/1965,0.0422297367,0.0255755064,0.0328685408
09/1965,0.0267081705,0.0382652132,0.034996883
10/1965,0.0290930864,0.0330774771,0.0323862713
11/1965,0.0216012641,0.0011297641,0.0088078309
12/1965,0.0087134969,0.0045454916,0.0375890469
01/1966,0.0189836243,0.0041552019,0.0355153302
02/1966,0.0050580431,-0.013713324,-0.013065324
03/1966,-0.015352845,-0.03094505,-0.000703582
04/1966,0.0338865702,0.0185795934,0.0332804048
05/1966,-0.067704978,-0.049416561,-0.048865232
06/1966,-0.017047269,-0.011431448,0.0011513679
07/1966,-0.016306401,-0.009638471,-0.011681952
08/1966,-0.080427986,-0.074583851,-0.077627961
09/1966,-0.019547028,0.0009714477,-0.00131727
10/1966,0.034932208,0.0484892254,0.0432663764
11/1966,0.0047268513,0.0177457825,0.0692716131
12/1966,0.0047915993,-0.001616588,0.0189320239
01/1967,0.0767548976,0.080264017,0.1042402647
02/1967,0.009411534,0.0026626543,0.0177202434
03/1967,0.0389058572,0.0374682793,0.0588747879
04/1967,0.0389567378,0.0420292638,0.0502453401
05/1967,-0.052648944,-0.030546298,-0.021060612
06/1967,0.0427068398,0.0235193136,0.0235714852
07/1967,0.0593397544,0.0544578496,0.0568278911
08/1967,-0.008019726,-0.007241343,0.0029585615
09/1967,0.0287112753,0.0377133646,0.0367401113
10/1967,-0.022943499,-0.028541065,-0.030098976
11/1967,-0.005130172,0.0171824787,0.0085663981
12/1967,0.029639348,0.0327514198,0.0498096821
01/1968,-0.051169166,-0.038787689,-0.022463873
02/1968,-0.054746128,-0.026892915,-0.03286427
03/1968,-0.002364904,0.0107136225,0.0136249653
04/1968,0.1007111249,0.0888009226,0.1164333467
05/1968,0.0324731093,0.023655628,0.0395628625
06/1968,-0.002166251,0.0109415974,0.0176715316
