date,p1,p2,p3
08/1963,0.0523909943,0.042552445,0.0699740056
09/1963,-0.022909771,-0.013342032,-0.008871626
10/1963,0.0018651413,0.0388537371,0.0154642207
11/1963,-0.014170563,-0.008796496,-0.004533733
12/1963,0.0272624835,0.0299423588,0.0258681783
01/1964,0.0260935022,0.0253322797,0.0284140881
02/1964,0.0080540034,0.0235152118,0.0232076324
03/1964,0.0179871302,0.0220316276,0.0157413704
04/1964,-0.010148006,0.006133437,0.0222780277
05/1964,0.0228765522,0.0200839578,0.0088193757
06/1964,0.0094980272,0.0069554377,0.027996417
07/1964,0.0232047815,0.0219736452,0.0408309059
08/1964,-0.005600511,-0.01900919,-0.005995604
09/1964,0.0191225023,0.0290609168,0.0332494524
10/1964,0.0157054791,0.0099356866,0.0102290327
11/1964,0.0090817061,0.0046435896,0.0114391549
12/1964,-0.007620604,0.003058647,0.005277778
01/1965,0.0246308135,0.0578993491,0.0415311787
02/1965,-0.00123064,0.0042758442,-0.001027711
03/1965,-0.017753836,-0.003968077,-0.012363572
04/1965,0.019070672,0.0365834869,0.0302323696
05/1965,-0.012987905,0.0010495311,-0.00782762
06/1965,-0.05498558,-0.039002264,-0.043563406
07/1965,0.0074301776,0.0176717019,0.0297585021
08/1965,0.0325566846,0.0206108793,0.0267222438
09/1965,0.0216845246,0.0382562407,0.0350375221
10/1965,0.0244345434,0.024821631,0.0203571541
11/1965,0.0035770884,-0.006417514,0.0018106396
12/1965,0.0049310205,-0.000217834,0.0306040647
01/1966,0.002025486,-0.004160238,0.0297393859
02/1966,-0.013763453,-0.022271647,-0.024073473
03/1966,-0.016048038,-0.033616554,-0.003785776
04/1966,0.0288619473,0.0119485862,0.0212853366
05/1966,-0.057915714,-0.036502469,-0.030031412
06/1966,-0.019682656,-0.017764425,-0.013565106
07/1966,-0.02026954,-0.00517538,-0.006689258
08/1966,-0.075077865,-0.070036986,-0.075064303
09/1966,-0.01267986,0.0039416477,0.0128830728
10/1966,0.0463665595,0.0607312625,0.0620267113
11/1966,0.0003961605,0.0036550068,0.0167856554
12/1966,-0.007051452,0.0045151919,0.018478606
01/1967,0.0585898303,0.0737275888,0.0803578619
02/1967,-0.002554303,0.0120069974,0.0082022113
03/1967,0.0324801919,0.0366698811,0.0487358918
04/1967,0.0225938975,0.0468359516,0.0461137556
05/1967,-0.053221593,-0.036706327,-0.018997332
06/1967,0.0202055751,0.0209912311,0.0111412666
07/1967,0.0518303146,0.0432746296,0.0653391574
08/1967,-0.004655433,-0.006449622,0.0055879024
09/1967,0.028207553,0.0348483184,0.0378971411
10/1967,-0.028257959,-0.025246555,-0.034230941
11/1967,-0.008432635,0.0159443762,0.0121964043
12/1967,0.0181137519,0.0297784054,0.04086722
01/1968,-0.045590239,-0.034111319,-0.017438293
02/1968,-0.041077606,-0.019076678,-0.023310141
03/1968,-0.006653926,0.0123673952,0.0131680627
04/1968,0.0831819499,0.0827035289,0.092354666
05/1968,0.0216660788,0.0153542703,0.0257381284
06/1968,0.004255747,0.0176117972,0.0204642739
07/1968,-0.026718805,-0.005292987,-0.018346003
08/1968,0.0208469235,0.0115324541,0.0194599518
09/1968,0.0321525233,0.0263397446,0.0566623703
10/1968,0.0129163186,-0.005214691,0.042955986
11/1968,0.043514271,0.0489170095,0.0630206436
12/1968,-0.042385752,-0.038997529,-0.030923543
01/1969,0.0001365067,-0.012569714,0.0024718746
02/1969,-0.054604298,-0.032236399,-0.044783715
03/1969,0.0280684363,0.0421890847,0.0410097481
04/1969,0.0180062464,0.0148881498,0.0216512989
05/1969,-0.011276312,0.011145958,0.0164119996
06/1969,-0.068560076,-0.031172661,-0.058179872
07/1969,-0.058429205,-0.061910712,-0.055447669
08/1969,0.0429589406,0.0445576991,0.0552452537
09/1969,-0.015062354,-0.025725338,-0.013206415
10/1969,0.044215685,0.047522527,0.0625700337
11/1969,-0.034683616,-0.028543513,-0.029896826
12/1969,-0.026361841,-0.004366483,-0.008983002
01/1970,-0.079043412,-0.066651958,-0.064868363
02/1970,0.0464916683,0.0397143077,0.0784167747
03/1970,-0.002037494,-0.006590199,0.0192654166
04/1970,-0.084395635,-0.091570783,-0.09485188
05/1970,-0.0736453,-0.046475074,-0.060606833
06/1970,-0.03763741,-0.052553106,-0.013783434
07/1970,0.0680570257,0.0646478414,0.0858033694
08/1970,0.0357681464,0.0472927645,0.0461829081
09/1970,0.0117627982,0.0382127449,0.0511283485
10/1970,-0.023103757,0.0082558902,-0.010687165
11/1970,0.0438478306,0.0574278087,0.0610205345
12/1970,0.0499751864,0.0530714226,0.0867264788
01/1971,0.0210800094,0.026068387,0.0699416328
02/1971,0.0062524197,0.0198804833,0.0264677636
03/1971,0.0431620351,0.0413418453,0.0462400883
04/1971,0.0162345191,0.0342600518,0.0454871938
05/1971,-0.040523065,-0.034801754,-0.02871657
06/1971,0.0232830652,-0.005167353,0.0160932436
07/1971,-0.042943383,-0.038600697,-0.018436676
08/1971,0.0248276834,0.0352860312,0.0565993723
09/1971,-0.010612142,-0.004035841,0.000578348
10/1971,-0.033339277,-0.02971497,-0.042188938
11/1971,0.0014440056,0.0092061153,-0.005066486
12/1971,0.0798414823,0.0850032111,0.0978858325
01/1972,0.0033356965,0.028748444,0.014965855
02/1972,0.0259815574,0.0246637699,0.0428759274
03/1972,0.0014399646,0.0158614471,0.0172826339
04/1972,0.0068322229,0.0072195347,0.0100337194
05/1972,0.0131575953,0.0277080123,0.012743752
06/1972,-0.013935908,-0.009694712,-0.02689056
07/1972,0.0122952837,0.0068940467,-0.010388742
08/1972,0.0196519304,0.047190646,0.0590973166
09/1972,-0.011579489,-0.005421766,0.0049013863
10/1972,0.0207444696,0.0048965834,0.0241414651
11/1972,0.0459798174,0.0345154219,0.0758583218
12/1972,-0.007835423,0.0185510477,0.0254181047
01/1973,-0.037930369,-0.000352133,-0.036772815
02/1973,-0.037228552,-0.035823036,-0.047555418
03/1973,-0.006783704,-0.007429082,-0.001562118
04/1973,-0.048686258,-0.042015614,-0.036754147
05/1973,-0.02660097,-0.013985311,-0.007557162
06/1973,-0.004854204,-0.003447579,-0.014476471
07/1973,0.0434327188,0.0230120389,0.073362577
08/1973,-0.0249089,-0.029738248,-0.029845156
09/1973,0.044468228,0.0193222997,0.0788345924
10/1973,-0.006765525,0.0011070845,0.0162626813
11/1973,-0.106322709,-0.098201875,-0.135071035
12/1973,0.0003429467,0.0243661429,0.0460031438
01/1974,-0.031274871,-0.004862978,0.0302734322
02/1974,-0.003079243,-0.004965331,-0.001349886
03/1974,-0.042346603,-0.013565206,-0.007679416
04/1974,-0.039507321,-0.035669121,-0.053314264
05/1974,-0.04432988,-0.030583794,-0.044500753
06/1974,-0.022390789,-0.011445858,-0.025719493
07/1974,-0.080301454,-0.0833747,-0.049167852
08/1974,-0.101568727,-0.089206907,-0.086590089
09/1974,-0.104877894,-0.135317922,-0.073297469
10/1974,0.1397884262,0.1445073536,0.1963979707
11/1974,-0.027740852,-0.04925887,-0.042863324
12/1974,-0.02503281,-0.023953838,-0.028216552
01/1975,0.0984335414,0.1222742126,0.1792448322
02/1975,0.0267661522,0.0850934088,0.0436982021
03/1975,0.0187954797,0.01226742,0.038265301
04/1975,0.0621931926,0.0413950683,0.049816805
05/1975,0.0447861315,0.0483008417,0.0802995444
06/1975,0.046888503,0.0374859609,0.0829931854
07/1975,-0.065183385,-0.067996412,-0.053551593
08/1975,-0.025770675,-0.018512651,-0.015082249
09/1975,-0.036676107,-0.035867491,-0.037238078
10/1975,0.0353997504,0.0713565619,0.0620619652
11/1975,0.0158570797,0.0435320412,0.0202290891
12/1975,-0.021481064,-0.01403985,0.0030619569
01/1976,0.1047584222,0.1157890097,0.1381455358
02/1976,0.0045104893,-0.014106939,-0.00104984
03/1976,0.0029982676,0.0325743059,0.0378026849
04/1976,-0.014168531,-0.004181078,-0.001254697
05/1976,-0.005399116,-0.007572208,-0.005448095
06/1976,0.0357443687,0.0413412478,0.0583079231
07/1976,-0.016391473,-0.003996065,0.0052324732
08/1976,0.0036302594,0.0014169735,-0.007695322
09/1976,0.020442756,0.0296543584,0.0234056322
10/1976,-0.021792806,-0.024462159,-0.012539225
