date,p1,p2,p3
07/1963,0.0127705775,-0.004453532,-0.011392437
08/1963,0.0520363558,0.0574983633,0.0741250571
09/1963,-0.02333546,-0.007158821,-0.01377899
10/1963,0.050984463,0.0208862858,0.0538090547
11/1963,-0.019844516,-0.010655782,-0.01164276
12/1963,0.0248677383,0.0321924386,0.0192664286
01/1964,0.0352572241,0.0286795857,0.0260508161
02/1964,0.0138755201,0.0315142091,0.0125738464
03/1964,0.0149942049,0.0241504666,0.0538712202
04/1964,0.027112101,0.000731172,-0.030436542
05/1964,0.018166836,0.0188523891,0.0104519654
06/1964,0.009827069,0.0145260727,0.0164292245
07/1964,0.0255453859,0.0162562943,0.032914151
08/1964,-0.014106944,-0.013508681,-0.007787051
09/1964,0.0382750157,0.0267203088,0.0457715313
10/1964,0.0187519172,0.0085600493,0.0058355258
11/1964,0.020253913,-0.000383305,0.014883939
12/1964,0.0018132051,0.0037489373,-0.006199027
01/1965,0.0377695699,0.0346149706,0.0515548822
02/1965,0.0036175839,0.0027696417,0.0119279925
03/1965,-0.02168205,-0.010509875,-0.00293084
04/1965,0.033951768,0.0432229264,0.0319986029
05/1965,0.0043481983,-0.008215697,-0.006869208
06/1965,-0.048820679,-0.047571265,-0.055300981
07/1965,0.0226936555,0.0092361719,0.0333522155
08/1965,0.0318019447,0.0258028955,0.0500087913
09/1965,0.0476452908,0.0346150656,0.0348199305
10/1965,0.0368783726,0.0245014064,0.0504014045
11/1965,-0.004299687,0.0115621278,0.026288592
12/1965,0.0082079843,0.0163881606,0.0233805674
01/1966,0.0060337523,0.0131190352,0.0429767376
02/1966,-0.00573083,-0.023423058,0.0062819782
03/1966,-0.021721459,-0.020636541,-0.016951493
04/1966,0.0290606776,0.026946969,0.0249635392
05/1966,-0.054046138,-0.052018675,-0.068622525
06/1966,-0.01043683,-0.019412334,0.0022838339
07/1966,-0.018452398,-0.003630033,-0.015731584
08/1966,-0.068024301,-0.075273329,-0.07038428
09/1966,-0.025079409,-0.002143891,-0.004442104
10/1966,0.0357168356,0.0421911881,0.0309056024
11/1966,0.0538223718,-0.003379736,0.0339683071
12/1966,-0.006717481,0.0001728715,0.0093030376
01/1967,0.0874130463,0.0777983622,0.103891866
02/1967,0.0216433913,0.0061960511,0.0090735032
03/1967,0.0467981861,0.0435477121,0.0488056797
04/1967,0.0667033846,0.0408571229,0.0341896598
05/1967,-0.0467618,-0.043494441,-0.015131618
06/1967,0.0363782827,0.0115268692,0.0489005724
07/1967,0.0439523598,0.0747105111,0.0642429021
08/1967,-0.008366784,-0.002643536,-0.007197791
09/1967,0.051213396,0.030689256,0.0344720498
10/1967,-0.00714775,-0.041330445,-0.021278091
11/1967,0.0096511777,0.0000203108,0.0064451622
12/1967,0.0281603646,0.0304756423,0.0361085664
01/1968,-0.063845046,-0.04495923,-0.012287868
02/1968,-0.040187737,-0.0294376,-0.023892085
03/1968,0.0195499354,0.0054510081,0.013153392
04/1968,0.1142645572,0.091314727,0.0833372724
05/1968,0.0316710007,0.0164633691,0.0194246244
06/1968,-0.009543733,0.0118399301,0.0059988885
07/1968,-0.038829395,-0.004114092,-0.031361565
08/1968,0.0158645011,0.0219925407,0.0213399296
09/1968,0.0387408349,0.0403879549,0.0626120512
10/1968,-0.016483797,0.0253122544,0.0138296137
11/1968,0.0667675148,0.0570849336,0.0375501987
12/1968,-0.040151099,-0.033549422,-0.019996328
01/1969,-0.026566149,-0.009506208,-0.005667161
02/1969,-0.047985103,-0.051305756,-0.052109522
03/1969,0.0370109879,0.0481934452,0.0336751612
04/1969,0.0255832081,0.012080602,0.0168399582
05/1969,-0.010438699,0.0156145618,0.0038586121
06/1969,-0.044388636,-0.073845826,-0.076166423
07/1969,-0.075506673,-0.069544916,-0.062368827
08/1969,0.0635559626,0.0495565717,0.058738082
09/1969,-0.023304665,-0.034093629,-0.010429329
10/1969,0.0660225697,0.0430858911,0.0508457006
11/1969,-0.037721951,-0.034428791,-0.025955743
12/1969,-0.030806937,-0.011768882,-0.010725733
01/1970,-0.093515956,-0.086725675,-0.07055194
02/1970,0.0689919531,0.0478124946,0.0531537214
